date,open,high,low,close
22-07-2019,72.7,73.55,71.45,72.5
23-07-2019,72.8,73.0,68.0,68.4
24-07-2019,68.4,69.8,67.75,68.2
25-07-2019,68.4,69.0,65.6,66.05
26-07-2019,66.5,69.65,65.95,68.0
29-07-2019,68.85,70.3,67.65,69.3
30-07-2019,69.2,69.65,66.3,66.9
31-07-2019,67.0,69.5,66.6,69.2
01-08-2019,69.0,69.2,66.4,67.5
02-08-2019,67.5,68.9,66.7,67.65
05-08-2019,67.0,68.25,64.4,66.6
06-08-2019,66.7,68.35,66.1,67.95
07-08-2019,68.25,68.7,63.55,64.05
08-08-2019,64.6,66.9,64.2,66.65
09-08-2019,66.75,67.55,65.55,66.55
13-08-2019,66.7,67.55,65.05,65.35
14-08-2019,65.9,66.35,64.9,65.55
16-08-2019,65.55,68.45,64.95,68.1
19-08-2019,67.95,69.1,66.9,67.3
20-08-2019,67.5,67.75,64.6,65.6
21-08-2019,65.75,66.4,63.25,64.05
22-08-2019,64.1,64.3,61.1,61.45
23-08-2019,61.5,64.0,60.95,63.6
26-08-2019,68.0,68.0,63.4,65.75
27-08-2019,66.8,68.2,66.3,67.15
28-08-2019,67.3,67.95,64.9,65.65
29-08-2019,65.55,66.15,63.75,65.05
30-08-2019,65.25,65.9,63.35,64.9
03-09-2019,62.0,62.4,59.05,59.4
04-09-2019,59.9,60.35,58.7,59.9
05-09-2019,61.65,61.9,60.5,61.1
06-09-2019,61.35,61.6,60.8,61.3
09-09-2019,61.3,62.85,60.65,62.6
11-09-2019,62.6,65.0,62.6,64.85
12-09-2019,64.55,65.5,64.25,64.55
13-09-2019,64.55,65.2,62.8,64.9
16-09-2019,64.15,65.65,63.8,64.55
17-09-2019,64.7,65.0,62.15,62.4
18-09-2019,62.85,63.5,62.5,62.95
19-09-2019,62.9,63.0,61.05,61.95
20-09-2019,61.95,66.8,61.4,65.7
23-09-2019,67.0,68.0,64.9,66.85
24-09-2019,66.5,67.1,65.55,66.15
25-09-2019,65.5,65.6,62.65,63.3
26-09-2019,63.6,65.6,62.6,62.8
27-09-2019,62.9,63.7,62.35,62.85
30-09-2019,63.25,63.35,61.05,61.95
01-10-2019,62.95,62.95,56.35,58.7
03-10-2019,58.5,59.95,57.85,59.05
04-10-2019,59.6,59.95,57.7,57.95
07-10-2019,58.0,58.2,56.95,57.25
09-10-2019,57.25,58.8,56.4,58.45
10-10-2019,58.05,58.2,56.2,56.45
11-10-2019,56.65,57.5,55.7,56.9
14-10-2019,57.2,58.4,56.75,57.3
15-10-2019,57.3,58.15,56.7,57.9
16-10-2019,58.15,58.8,57.05,57.35
17-10-2019,57.4,59.3,57.05,59.05
18-10-2019,58.9,60.7,58.5,60.25
22-10-2019,60.25,62.25,59.9,60.75
23-10-2019,60.75,61.95,59.85,61.3
24-10-2019,61.6,61.85,59.15,59.75
25-10-2019,59.5,61.25,58.7,60.7
27-10-2019,61.0,61.4,60.7,60.95
29-10-2019,60.55,62.6,60.3,61.95
30-10-2019,61.9,64.15,61.85,63.7
31-10-2019,64.3,66.85,64.1,65.35
01-11-2019,65.6,67.75,65.1,67.15
04-11-2019,67.8,69.65,67.3,68.2
05-11-2019,69.0,69.55,64.25,64.75
06-11-2019,64.45,65.1,63.3,64.25
07-11-2019,64.25,64.6,61.75,61.95
08-11-2019,61.85,62.6,61.1,61.45
11-11-2019,61.3,62.15,61.1,61.7
13-11-2019,61.85,62.5,60.05,60.3
14-11-2019,60.4,60.95,58.85,60.3
15-11-2019,60.9,63.8,60.8,61.9
18-11-2019,62.25,63.1,61.8,62.4
19-11-2019,62.05,64.85,62.05,64.15
20-11-2019,64.5,65.25,63.4,63.9
21-11-2019,64.0,64.75,63.1,63.25
22-11-2019,63.2,64.7,63.2,63.65
25-11-2019,64.0,64.6,63.65,64.4
26-11-2019,64.75,65.35,62.8,63.2
27-11-2019,63.6,63.9,62.85,63.7
28-11-2019,64.3,67.5,64.05,66.95
29-11-2019,67.05,67.7,65.35,65.6
02-12-2019,65.65,66.4,65.1,65.75
03-12-2019,66.0,66.0,62.75,62.9
04-12-2019,62.8,63.95,61.45,63.75
