date,open,high,low,close
15-11-2021,1150.0,1248.9,1149.0,1202.3
16-11-2021,1210.0,1434.0,1210.0,1341.9
17-11-2021,1350.0,1470.0,1342.0,1447.95
18-11-2021,1440.0,1464.8,1302.55,1332.35
22-11-2021,1332.0,1332.0,1190.1,1237.55
23-11-2021,1230.0,1279.0,1210.0,1214.85
24-11-2021,1228.8,1328.4,1227.0,1303.85
25-11-2021,1315.0,1339.0,1245.2,1260.65
26-11-2021,1254.0,1308.0,1210.0,1273.45
29-11-2021,1251.0,1300.0,1212.0,1229.8
30-11-2021,1244.25,1288.0,1210.0,1215.6
01-12-2021,1247.0,1274.0,1206.3,1214.25
02-12-2021,1224.0,1235.3,1210.0,1213.8
03-12-2021,1215.0,1224.75,1210.0,1210.6
06-12-2021,1214.8,1217.85,1121.3,1146.75
07-12-2021,1163.0,1198.0,1163.0,1190.6
08-12-2021,1200.0,1200.0,1170.0,1187.65
09-12-2021,1190.0,1190.05,1126.1,1131.25
10-12-2021,1124.75,1160.0,1120.85,1134.75
13-12-2021,1101.0,1173.95,1075.65,1153.0
14-12-2021,1153.0,1164.6,1100.0,1125.65
15-12-2021,1127.0,1136.05,1096.25,1119.55
16-12-2021,1120.0,1144.0,1093.2,1101.85
17-12-2021,1105.0,1111.55,1068.1,1083.75
20-12-2021,1058.0,1074.55,885.0,939.15
21-12-2021,985.0,1005.0,950.0,955.7
22-12-2021,985.0,994.25,968.0,980.15
23-12-2021,991.95,991.95,973.3,979.6
24-12-2021,985.0,990.0,975.0,983.05
27-12-2021,975.0,981.9,955.0,977.35
28-12-2021,987.1,998.0,931.0,969.8
29-12-2021,961.0,980.0,952.35,961.45
30-12-2021,959.0,965.2,925.0,929.05
31-12-2021,942.0,970.0,942.0,950.3
03-01-2022,957.9,965.55,940.85,952.3
04-01-2022,958.0,972.05,955.05,965.05
05-01-2022,968.0,968.0,933.0,942.7
06-01-2022,942.65,946.8,885.0,890.6
07-01-2022,894.0,900.7,885.1,894.2
10-01-2022,900.0,906.7,885.35,899.75
11-01-2022,929.0,929.4,856.85,860.55
12-01-2022,862.0,892.0,860.35,871.7
13-01-2022,878.0,921.0,875.0,918.15
14-01-2022,900.0,951.0,898.35,941.4
17-01-2022,945.0,1052.95,942.15,1022.6
18-01-2022,1022.5,1027.0,980.1,998.8
19-01-2022,999.5,999.7,923.85,929.25
20-01-2022,935.9,948.55,910.0,915.4
21-01-2022,915.0,915.0,858.25,864.25
