date,open,high,low,close
22-07-2019,195.0,195.05,178.0,191.3
23-07-2019,186.5,195.15,186.5,193.25
24-07-2019,189.1,195.55,181.0,181.4
25-07-2019,181.15,188.0,180.05,182.65
26-07-2019,180.1,191.7,180.1,187.9
29-07-2019,183.6,187.0,170.0,171.8
30-07-2019,176.0,176.45,165.3,171.1
31-07-2019,168.15,174.95,165.1,171.55
01-08-2019,166.5,172.0,162.1,168.15
02-08-2019,164.8,169.0,160.0,164.65
05-08-2019,156.0,163.0,154.0,159.0
06-08-2019,159.0,171.4,156.4,163.35
07-08-2019,160.25,169.95,160.25,161.4
08-08-2019,161.0,166.95,160.0,161.8
09-08-2019,164.85,178.9,161.0,172.65
13-08-2019,170.1,171.8,165.0,165.65
14-08-2019,166.9,174.65,162.1,169.55
16-08-2019,170.0,178.0,170.0,176.0
19-08-2019,176.0,183.65,175.05,178.85
20-08-2019,181.6,181.6,172.35,178.05
21-08-2019,173.0,192.0,173.0,185.25
22-08-2019,184.1,184.1,173.0,173.95
23-08-2019,173.95,180.9,167.1,175.4
26-08-2019,185.0,186.0,178.1,184.05
27-08-2019,184.05,185.0,181.2,184.2
28-08-2019,182.0,183.55,176.3,178.2
29-08-2019,175.15,179.8,173.35,174.3
30-08-2019,172.5,179.8,172.1,174.3
03-09-2019,176.0,180.2,165.15,167.2
04-09-2019,167.7,174.85,167.0,168.5
05-09-2019,172.85,172.95,167.35,168.6
06-09-2019,171.9,179.4,170.05,175.5
09-09-2019,170.4,178.25,167.95,174.8
11-09-2019,173.2,188.1,173.2,186.6
12-09-2019,189.9,195.0,186.1,187.7
13-09-2019,187.7,191.95,187.5,190.55
16-09-2019,187.05,192.9,182.5,185.85
17-09-2019,188.25,188.95,180.1,181.1
18-09-2019,183.85,192.0,180.1,185.75
19-09-2019,185.75,185.75,177.5,179.45
20-09-2019,178.0,197.9,175.0,194.35
23-09-2019,200.0,204.9,188.75,193.5
24-09-2019,194.9,197.0,189.15,190.65
25-09-2019,191.75,191.75,179.1,180.6
26-09-2019,184.9,197.3,177.65,190.05
27-09-2019,193.1,194.0,186.35,190.6
30-09-2019,199.8,199.8,187.0,192.1
01-10-2019,188.45,197.35,182.0,188.7
03-10-2019,189.05,192.85,185.75,189.9
04-10-2019,190.85,190.85,186.05,186.8
07-10-2019,185.05,193.45,179.0,190.4
09-10-2019,186.4,196.25,185.0,194.2
10-10-2019,193.15,194.0,188.45,191.55
11-10-2019,191.0,196.5,190.15,192.75
14-10-2019,195.9,204.0,191.5,202.15
15-10-2019,205.0,214.0,197.0,200.65
16-10-2019,201.55,203.9,192.1,193.65
17-10-2019,194.15,201.2,192.7,196.35
18-10-2019,196.4,207.85,193.95,198.2
22-10-2019,199.0,206.4,160.35,165.7
23-10-2019,166.5,172.05,164.0,167.2
24-10-2019,167.7,178.05,167.1,170.15
25-10-2019,169.95,172.95,166.0,166.8
27-10-2019,176.8,176.8,168.75,171.3
29-10-2019,173.0,178.95,165.25,175.1
30-10-2019,173.0,185.2,173.0,181.65
31-10-2019,180.95,191.85,180.3,186.05
01-11-2019,187.4,191.0,185.0,189.55
04-11-2019,189.0,192.3,187.1,187.95
05-11-2019,188.05,192.0,187.0,187.35
06-11-2019,188.9,188.95,182.0,183.1
07-11-2019,186.0,186.25,175.05,176.3
08-11-2019,180.75,183.0,175.0,177.3
11-11-2019,175.0,179.85,173.05,176.1
13-11-2019,176.0,181.0,171.0,176.75
14-11-2019,175.55,180.0,172.35,175.2
15-11-2019,177.95,178.95,175.0,175.95
18-11-2019,179.5,179.5,172.0,173.35
19-11-2019,176.95,177.0,171.5,171.85
20-11-2019,172.5,173.45,170.0,170.6
21-11-2019,173.3,175.0,169.1,169.7
22-11-2019,169.0,174.9,169.0,171.6
25-11-2019,179.95,179.95,167.35,170.4
26-11-2019,170.0,174.25,170.0,170.0
27-11-2019,169.3,172.45,164.0,166.8
28-11-2019,165.1,173.2,165.1,172.5
29-11-2019,171.05,174.5,171.05,173.2
02-12-2019,172.1,176.5,171.0,174.6
03-12-2019,174.55,177.35,171.1,171.15
04-12-2019,170.0,176.55,170.0,172.5
05-12-2019,177.75,177.8,168.1,170.45
06-12-2019,172.45,174.0,165.5,166.9
09-12-2019,171.8,173.05,167.0,168.35
10-12-2019,171.3,172.0,168.0,168.3
11-12-2019,174.0,174.0,160.5,164.55
