date,open,high,low,close
30-12-2019,160.0,177.9,152.5,166.9
31-12-2019,162.3,167.4,150.6,152.45
01-01-2020,153.05,159.5,152.4,155.85
02-01-2020,156.05,158.7,154.0,155.7
03-01-2020,156.0,156.0,151.25,151.9
06-01-2020,143.0,153.5,143.0,150.2
07-01-2020,151.75,155.85,150.9,153.55
08-01-2020,149.7,154.8,149.65,153.25
09-01-2020,155.5,169.0,153.05,161.9
10-01-2020,160.85,166.8,159.35,165.3
13-01-2020,167.0,174.4,166.2,169.45
14-01-2020,170.0,174.0,169.75,171.65
15-01-2020,172.1,172.9,168.9,170.25
16-01-2020,171.0,184.4,170.55,174.2
17-01-2020,173.9,177.35,169.0,170.0
20-01-2020,170.5,172.95,165.5,166.3
21-01-2020,169.0,172.8,168.05,171.65
22-01-2020,172.5,176.0,171.5,172.7
23-01-2020,173.4,175.0,171.3,172.85
24-01-2020,172.3,173.7,170.55,171.8
27-01-2020,171.2,177.0,170.25,174.3
28-01-2020,176.0,182.0,174.75,178.25
29-01-2020,180.7,183.6,176.5,177.85
30-01-2020,179.1,179.4,172.5,174.25
31-01-2020,175.0,178.7,171.65,175.95
01-02-2020,175.3,181.0,166.85,168.85
03-02-2020,168.85,171.9,166.0,167.25
04-02-2020,168.35,173.5,168.35,171.4
05-02-2020,172.45,172.9,167.7,168.7
06-02-2020,169.5,171.75,167.45,168.35
07-02-2020,168.7,173.0,168.2,172.15
10-02-2020,171.5,180.9,171.5,179.35
11-02-2020,180.05,183.4,175.4,176.95
12-02-2020,180.0,181.9,171.05,178.75
13-02-2020,180.1,186.9,178.05,184.95
14-02-2020,185.0,195.7,183.0,190.3
17-02-2020,190.8,196.65,186.8,189.5
18-02-2020,189.0,192.0,182.0,185.85
19-02-2020,186.75,188.6,182.0,182.4
20-02-2020,182.0,185.9,181.0,181.85
24-02-2020,179.95,181.7,175.8,179.55
25-02-2020,180.7,183.7,175.5,177.5
26-02-2020,176.0,178.0,173.0,174.3
27-02-2020,174.0,176.05,173.0,174.6
28-02-2020,170.0,171.4,162.65,163.65
02-03-2020,164.3,168.35,151.5,158.4
03-03-2020,158.8,164.5,158.15,160.55
04-03-2020,161.1,162.35,153.6,157.25
05-03-2020,158.3,159.9,154.75,155.4
06-03-2020,153.95,153.95,145.5,147.7
09-03-2020,144.8,145.45,137.0,138.25
11-03-2020,137.9,142.15,130.85,132.0
12-03-2020,125.0,125.0,106.0,108.55
13-03-2020,96.2,110.0,89.0,105.15
16-03-2020,105.0,108.0,99.0,101.0
17-03-2020,101.0,105.0,100.95,102.05
18-03-2020,103.95,105.85,99.95,100.9
19-03-2020,96.0,109.8,92.3,101.5
20-03-2020,103.75,111.65,100.65,109.9
23-03-2020,100.0,103.95,98.05,98.2
