date,open,high,low,close
14-08-2019,15.01,17.99,15.01,15.7
16-08-2019,15.59,15.88,15.5,15.88
19-08-2019,15.9,15.94,15.74,15.76
20-08-2019,15.74,15.74,15.56,15.65
21-08-2019,15.66,15.77,15.55,15.55
22-08-2019,15.55,15.55,15.17,15.18
23-08-2019,14.86,15.18,14.86,15.13
26-08-2019,15.2,15.65,15.03,15.65
27-08-2019,15.75,15.81,15.7,15.74
28-08-2019,15.8,15.8,15.44,15.5
29-08-2019,15.35,15.38,15.13,15.26
30-08-2019,15.43,15.43,15.15,15.34
03-09-2019,15.12,15.16,14.99,15.01
04-09-2019,15.0,15.2,14.98,15.12
05-09-2019,15.13,15.15,14.9,15.02
06-09-2019,15.3,15.6,14.57,15.24
09-09-2019,15.32,15.4,14.0,15.37
11-09-2019,15.07,15.56,14.87,15.55
12-09-2019,15.0,15.65,15.0,15.54
13-09-2019,15.2,15.72,15.2,15.7
16-09-2019,15.4,15.64,15.4,15.5
17-09-2019,15.49,15.56,15.12,15.19
18-09-2019,14.9,15.5,14.9,15.18
19-09-2019,14.8,15.07,14.8,14.9
20-09-2019,14.8,16.13,14.8,16.06
23-09-2019,15.5,17.1,15.5,16.95
24-09-2019,17.3,17.3,16.7,16.95
25-09-2019,16.67,16.73,16.17,16.64
26-09-2019,16.6,17.5,16.6,16.91
27-09-2019,16.81,17.2,16.69,16.75
30-09-2019,16.7,16.7,16.27,16.36
01-10-2019,16.5,16.52,15.79,16.11
03-10-2019,15.97,16.02,15.57,15.97
04-10-2019,16.06,16.06,15.59,15.61
07-10-2019,15.56,15.82,15.53,15.57
09-10-2019,15.05,16.18,15.05,16.15
10-10-2019,16.4,17.0,15.64,15.72
11-10-2019,15.67,15.97,15.57,15.72
14-10-2019,15.75,15.91,15.7,15.77
15-10-2019,15.95,15.96,15.76,15.9
16-10-2019,16.0,16.12,15.8,15.91
17-10-2019,15.95,16.32,15.9,16.3
18-10-2019,16.32,16.35,16.2,16.34
22-10-2019,16.53,16.61,16.4,16.53
23-10-2019,16.47,16.54,15.97,16.48
24-10-2019,16.8,16.8,16.27,16.28
25-10-2019,16.17,16.38,16.09,16.25
27-10-2019,17.0,17.0,16.4,16.44
29-10-2019,16.1,16.7,16.1,16.65
30-10-2019,16.64,16.7,16.55,16.56
31-10-2019,16.62,16.8,16.6,16.65
01-11-2019,16.66,16.78,16.61,16.78
04-11-2019,16.8,16.97,16.63,16.79
05-11-2019,16.8,16.8,16.53,16.6
06-11-2019,16.49,16.95,16.47,16.95
07-11-2019,16.9,16.98,16.84,16.94
08-11-2019,16.98,17.27,16.93,17.09
11-11-2019,17.1,17.3,17.02,17.25
13-11-2019,17.28,17.28,16.88,17.0
14-11-2019,17.2,17.4,16.7,16.98
15-11-2019,17.2,17.28,17.04,17.1
18-11-2019,17.1,17.22,17.02,17.19
19-11-2019,17.15,17.32,17.05,17.3
20-11-2019,17.16,17.43,17.16,17.39
21-11-2019,17.39,17.39,17.26,17.28
22-11-2019,17.3,17.3,17.1,17.22
25-11-2019,17.32,17.48,17.22,17.47
26-11-2019,17.5,17.6,17.42,17.48
27-11-2019,17.3,18.0,17.3,17.58
28-11-2019,17.7,17.8,17.65,17.8
29-11-2019,17.74,17.75,17.53,17.71
