date,open,high,low,close
29-08-2023,187.0,188.0,177.65,177.65
30-08-2023,168.8,168.8,168.8,168.8
31-08-2023,164.1,176.8,164.1,166.85
01-09-2023,162.55,164.95,160.2,161.1
04-09-2023,162.65,162.9,157.0,158.0
05-09-2023,158.0,165.9,155.0,165.9
06-09-2023,169.25,172.8,166.25,171.0
07-09-2023,171.7,172.0,165.0,169.2
08-09-2023,169.95,172.1,168.05,171.3
11-09-2023,172.25,179.85,172.0,179.85
12-09-2023,182.8,188.25,166.0,169.6
13-09-2023,169.95,177.95,165.5,176.2
14-09-2023,177.0,178.4,164.85,167.9
15-09-2023,170.0,176.0,166.95,168.4
18-09-2023,171.85,171.85,167.05,167.75
20-09-2023,167.05,169.2,164.0,164.75
21-09-2023,165.2,171.95,164.5,167.95
22-09-2023,167.65,168.65,163.0,164.6
25-09-2023,166.0,168.85,163.8,164.7
26-09-2023,165.95,167.5,163.9,164.45
27-09-2023,164.45,165.0,162.5,163.35
28-09-2023,163.2,175.9,163.2,171.05
29-09-2023,174.65,180.6,172.85,175.0
03-10-2023,175.0,179.75,171.65,172.5
04-10-2023,170.9,172.15,167.25,170.3
05-10-2023,174.95,174.95,168.35,170.4
06-10-2023,171.0,173.95,169.05,170.05
09-10-2023,170.0,183.05,167.5,176.05
10-10-2023,180.0,192.85,178.75,184.7
11-10-2023,191.0,194.0,186.2,192.1
12-10-2023,194.5,200.85,191.25,193.05
13-10-2023,192.85,208.9,190.7,204.5
16-10-2023,206.5,213.95,202.8,208.85
17-10-2023,214.0,214.0,204.5,208.2
18-10-2023,207.95,215.55,206.0,212.9
19-10-2023,212.0,229.85,206.5,228.0
20-10-2023,228.7,239.35,220.2,221.95
23-10-2023,225.0,231.5,206.0,207.1
25-10-2023,210.8,214.8,199.0,202.45
26-10-2023,201.65,214.0,191.25,212.1
27-10-2023,213.05,218.45,209.3,212.45
30-10-2023,220.0,220.0,209.0,210.85
31-10-2023,211.25,215.75,206.5,208.15
01-11-2023,209.4,224.4,209.4,218.75
02-11-2023,221.8,223.0,216.05,218.15
03-11-2023,219.8,232.8,214.05,226.15
06-11-2023,229.4,234.0,223.0,224.85
07-11-2023,225.6,229.7,218.4,222.0
08-11-2023,224.0,235.6,223.05,229.95
09-11-2023,217.05,224.2,211.0,213.45
10-11-2023,213.05,213.05,206.0,206.35
12-11-2023,209.7,212.0,207.0,207.9
13-11-2023,208.15,210.55,197.1,202.9
15-11-2023,204.95,208.7,203.35,204.3
16-11-2023,205.65,207.7,199.55,200.25
17-11-2023,200.15,206.9,200.15,205.75
20-11-2023,206.7,209.8,201.0,202.0
21-11-2023,205.0,207.15,201.15,202.1
22-11-2023,202.95,204.95,198.3,200.45
23-11-2023,201.7,203.55,197.7,199.2
24-11-2023,199.9,209.8,199.85,205.95
28-11-2023,206.9,211.7,203.95,205.7
29-11-2023,207.6,207.65,202.7,203.45
30-11-2023,202.25,205.4,199.7,202.8
01-12-2023,204.65,204.65,198.0,198.2
04-12-2023,201.1,201.1,190.0,192.85
05-12-2023,192.85,193.2,188.15,190.9
06-12-2023,192.25,198.7,192.2,197.9
07-12-2023,198.85,204.4,194.5,195.85
08-12-2023,196.0,198.8,188.9,191.05
11-12-2023,192.25,195.7,190.1,192.25
12-12-2023,193.6,197.4,193.0,196.0
13-12-2023,197.0,198.4,195.1,196.5
14-12-2023,197.0,198.1,191.8,193.15
