date,open,high,low,close
10-08-2023,16.35,16.35,15.93,15.95
11-08-2023,15.95,16.01,15.9,15.97
14-08-2023,15.97,16.4,15.8,16.01
16-08-2023,16.01,16.03,15.89,16.03
17-08-2023,16.0,16.0,15.86,15.97
18-08-2023,15.98,16.4,15.78,15.8
21-08-2023,15.8,15.96,15.8,15.96
22-08-2023,15.96,15.96,15.88,15.94
23-08-2023,15.94,15.94,15.8,15.9
24-08-2023,16.1,16.11,15.68,15.92
25-08-2023,15.88,15.97,15.88,15.89
28-08-2023,15.88,15.88,15.8,15.84
29-08-2023,15.92,15.92,15.92,15.92
30-08-2023,15.93,16.04,15.93,16.03
31-08-2023,16.0,16.0,15.91,15.94
01-09-2023,15.93,16.01,15.93,16.01
04-09-2023,16.01,16.08,15.97,16.08
05-09-2023,16.08,16.23,16.08,16.23
06-09-2023,16.23,16.27,16.22,16.27
07-09-2023,16.28,16.42,16.28,16.42
08-09-2023,16.45,16.54,16.45,16.54
11-09-2023,16.54,16.62,16.54,16.62
12-09-2023,16.58,16.58,16.45,16.53
13-09-2023,16.5,16.52,16.49,16.51
14-09-2023,16.6,16.65,16.52,16.57
15-09-2023,16.57,16.74,16.57,16.68
18-09-2023,16.7,16.76,16.7,16.75
20-09-2023,16.77,16.77,16.69,16.69
21-09-2023,16.63,16.63,16.51,16.57
22-09-2023,16.6,16.65,16.6,16.6
25-09-2023,16.59,16.59,16.52,16.59
26-09-2023,16.53,16.56,16.51,16.56
27-09-2023,16.57,16.65,16.57,16.62
28-09-2023,16.58,16.58,16.26,16.26
29-09-2023,16.26,16.45,16.26,16.4
03-10-2023,16.38,16.4,16.38,16.39
04-10-2023,16.28,16.32,16.24,16.24
05-10-2023,16.3,16.4,16.3,16.4
09-10-2023,16.4,16.4,16.31,16.38
10-10-2023,16.38,16.57,16.38,16.55
11-10-2023,16.6,16.68,16.6,16.61
12-10-2023,16.61,16.63,16.58,16.58
13-10-2023,16.58,16.58,16.53,16.55
16-10-2023,16.53,16.59,16.53,16.59
17-10-2023,16.6,16.68,16.58,16.62
18-10-2023,16.65,16.65,16.5,16.54
19-10-2023,16.44,16.66,16.44,16.61
20-10-2023,16.5,16.57,16.43,16.45
23-10-2023,16.43,16.44,16.0,16.31
25-10-2023,16.31,16.31,16.16,16.2
26-10-2023,16.05,16.05,15.95,15.99
27-10-2023,16.1,16.17,16.1,16.16
30-10-2023,16.12,16.12,16.0,16.11
31-10-2023,16.1,16.18,16.1,16.12
01-11-2023,16.15,16.15,15.99,16.03
02-11-2023,16.1,16.18,16.09,16.17
03-11-2023,16.17,16.27,16.17,16.27
06-11-2023,16.28,16.41,16.28,16.38
07-11-2023,16.4,16.4,16.37,16.37
08-11-2023,16.4,16.5,16.4,16.44
09-11-2023,16.46,16.49,16.46,16.48
10-11-2023,16.42,16.42,16.31,16.4
12-11-2023,16.4,16.58,16.4,16.53
13-11-2023,16.48,16.48,16.41,16.44
15-11-2023,16.5,16.62,16.5,16.62
16-11-2023,16.7,16.84,16.7,16.76
17-11-2023,16.87,16.96,16.87,16.89
20-11-2023,16.9,17.0,16.9,16.97
21-11-2023,16.97,17.0,16.97,17.0
22-11-2023,17.0,17.06,16.96,16.97
23-11-2023,17.0,17.1,17.0,17.06
24-11-2023,17.04,17.04,16.93,16.95
28-11-2023,17.0,17.02,16.93,17.0
29-11-2023,17.05,17.16,17.05,17.14
30-11-2023,17.19,17.27,17.15,17.27
01-12-2023,17.3,17.39,17.29,17.34
04-12-2023,17.4,17.5,17.4,17.5
05-12-2023,17.48,17.48,17.36,17.47
06-12-2023,17.54,17.6,17.48,17.57
07-12-2023,17.55,17.59,17.5,17.56
08-12-2023,17.6,17.61,17.44,17.44
11-12-2023,17.5,17.57,17.48,17.52
12-12-2023,17.6,17.65,17.54,17.54
13-12-2023,17.48,17.62,17.43,17.58
14-12-2023,17.66,17.78,17.66,17.72
15-12-2023,17.8,18.01,17.8,17.96
18-12-2023,17.96,18.1,17.94,18.02
19-12-2023,18.0,18.12,17.9,18.12
20-12-2023,18.17,18.28,17.79,17.98
21-12-2023,17.73,17.89,17.7,17.87
22-12-2023,17.9,18.1,17.9,18.1
26-12-2023,18.14,18.24,18.03,18.24
27-12-2023,18.28,18.28,18.16,18.26
28-12-2023,18.3,18.55,18.3,18.55
29-12-2023,18.5,18.59,18.44,18.58
01-01-2024,18.57,18.65,18.53,18.62
02-01-2024,18.58,18.58,18.4,18.54
03-01-2024,18.53,18.53,18.4,18.45
04-01-2024,18.5,18.57,18.46,18.55
05-01-2024,18.6,18.61,18.54,18.59
08-01-2024,18.53,18.6,18.34,18.36
09-01-2024,18.4,18.45,18.38,18.42
10-01-2024,18.76,18.76,18.25,18.34
11-01-2024,18.79,18.79,18.4,18.42
12-01-2024,18.54,18.74,18.53,18.72
15-01-2024,18.78,18.9,18.78,18.9
16-01-2024,18.83,18.84,18.69,18.78
17-01-2024,18.77,18.77,18.63,18.69
