date,open,high,low,close
22-07-2019,1.35,1.4,1.35,1.4
23-07-2019,1.35,1.4,1.35,1.4
24-07-2019,1.35,1.4,1.35,1.4
25-07-2019,1.4,1.45,1.35,1.45
26-07-2019,1.4,1.45,1.35,1.4
29-07-2019,1.35,1.4,1.3,1.35
30-07-2019,1.25,1.35,1.25,1.35
31-07-2019,1.3,1.35,1.3,1.3
01-08-2019,1.3,1.35,1.25,1.35
02-08-2019,1.25,1.35,1.25,1.35
05-08-2019,1.25,1.35,1.25,1.3
06-08-2019,1.3,1.3,1.25,1.3
07-08-2019,1.2,1.4,1.2,1.35
08-08-2019,1.4,1.4,1.3,1.4
09-08-2019,1.4,1.45,1.25,1.45
13-08-2019,1.45,1.65,1.3,1.65
14-08-2019,1.35,1.6,1.35,1.4
16-08-2019,1.45,1.45,1.25,1.35
19-08-2019,1.2,1.6,1.2,1.45
20-08-2019,1.3,1.5,1.25,1.4
21-08-2019,1.4,1.65,1.2,1.3
22-08-2019,1.35,1.35,1.2,1.25
23-08-2019,1.35,1.35,1.3,1.3
26-08-2019,1.4,1.4,1.25,1.4
27-08-2019,1.5,1.65,1.3,1.55
28-08-2019,1.45,1.6,1.4,1.55
29-08-2019,1.4,1.65,1.35,1.5
30-08-2019,1.35,1.7,1.35,1.45
03-09-2019,1.5,1.5,1.3,1.35
04-09-2019,1.4,1.45,1.35,1.35
05-09-2019,1.4,1.4,1.3,1.35
06-09-2019,1.35,1.45,1.35,1.4
09-09-2019,1.4,1.45,1.3,1.4
11-09-2019,1.4,1.45,1.35,1.45
12-09-2019,1.35,1.5,1.35,1.45
13-09-2019,1.4,1.45,1.4,1.45
16-09-2019,1.4,1.55,1.4,1.55
17-09-2019,1.5,1.55,1.35,1.5
18-09-2019,1.55,1.55,1.35,1.5
19-09-2019,1.5,1.55,1.35,1.5
20-09-2019,1.4,1.45,1.35,1.4
23-09-2019,1.3,1.45,1.3,1.4
24-09-2019,1.4,1.45,1.35,1.4
25-09-2019,1.4,1.45,1.35,1.45
26-09-2019,1.4,1.45,1.35,1.35
27-09-2019,1.45,1.5,1.35,1.35
30-09-2019,1.45,1.45,1.25,1.3
01-10-2019,1.2,1.45,1.2,1.25
03-10-2019,1.5,1.5,1.2,1.35
04-10-2019,1.35,1.5,1.25,1.35
07-10-2019,1.5,1.5,1.25,1.3
09-10-2019,1.3,1.4,1.25,1.25
10-10-2019,1.4,1.4,1.25,1.35
11-10-2019,1.25,1.35,1.1,1.2
14-10-2019,1.15,1.15,1.15,1.15
15-10-2019,1.2,1.2,1.0,1.0
16-10-2019,1.0,1.1,1.0,1.05
17-10-2019,1.1,1.1,1.0,1.0
18-10-2019,1.0,1.1,1.0,1.05
22-10-2019,1.05,1.05,1.0,1.05
23-10-2019,1.1,1.1,1.0,1.1
24-10-2019,1.1,1.2,1.1,1.2
25-10-2019,1.2,1.2,1.2,1.2
27-10-2019,1.1,1.1,1.1,1.1
29-10-2019,1.2,1.2,1.2,1.2
31-10-2019,1.25,1.25,1.25,1.25
01-11-2019,1.3,1.3,1.2,1.25
04-11-2019,1.25,1.25,1.25,1.25
06-11-2019,1.2,1.3,1.2,1.3
07-11-2019,1.3,1.3,1.3,1.3
14-11-2019,1.25,1.25,1.25,1.25
18-11-2019,1.2,1.25,1.2,1.25
19-11-2019,1.2,1.2,1.2,1.2
20-11-2019,1.2,1.2,1.2,1.2
21-11-2019,1.15,1.2,1.15,1.2
22-11-2019,1.15,1.2,1.15,1.2
25-11-2019,1.15,1.15,1.15,1.15
26-11-2019,1.15,1.15,1.1,1.1
27-11-2019,1.1,1.15,1.1,1.15
