date,open,high,low,close
22-07-2019,154.75,156.45,152.45,154.45
23-07-2019,156.0,160.0,154.15,156.3
24-07-2019,157.0,161.1,155.3,158.9
25-07-2019,158.9,160.5,157.05,157.75
26-07-2019,157.75,159.0,154.8,157.6
29-07-2019,158.0,160.7,157.0,160.0
30-07-2019,160.0,161.0,157.45,160.15
31-07-2019,158.4,163.7,158.0,159.5
01-08-2019,158.0,161.6,156.25,158.15
02-08-2019,158.0,160.8,156.4,159.85
05-08-2019,158.5,158.5,153.3,155.9
06-08-2019,154.15,158.95,154.0,156.15
07-08-2019,159.0,159.0,155.5,156.1
08-08-2019,155.5,157.9,155.4,156.9
09-08-2019,157.9,160.1,155.5,159.0
13-08-2019,161.0,161.0,157.75,159.1
14-08-2019,161.0,161.0,158.5,158.7
16-08-2019,158.45,160.3,156.0,159.25
19-08-2019,161.45,161.45,159.2,159.9
20-08-2019,160.0,160.0,157.45,158.35
21-08-2019,157.0,158.8,155.45,156.1
22-08-2019,156.0,158.0,150.2,156.25
23-08-2019,158.0,158.0,154.85,157.0
26-08-2019,158.2,158.9,155.0,156.5
27-08-2019,156.25,160.0,156.25,157.2
28-08-2019,157.5,158.75,156.0,156.75
29-08-2019,156.1,157.0,153.6,154.1
30-08-2019,154.85,159.5,154.45,156.85
03-09-2019,156.5,157.5,154.1,154.55
04-09-2019,153.2,157.9,153.2,156.75
05-09-2019,155.15,157.75,155.15,156.65
06-09-2019,156.1,161.0,155.25,159.65
09-09-2019,158.65,167.95,158.0,166.55
11-09-2019,169.75,171.9,166.0,167.35
12-09-2019,169.0,169.95,164.95,166.05
13-09-2019,169.5,169.5,164.8,167.0
16-09-2019,166.6,170.7,166.35,168.8
17-09-2019,169.25,170.7,165.2,165.45
18-09-2019,167.0,168.5,162.4,163.85
19-09-2019,164.0,164.7,160.0,161.15
20-09-2019,162.0,175.8,158.3,174.9
23-09-2019,177.5,177.5,170.0,176.4
24-09-2019,176.35,176.35,171.35,172.8
25-09-2019,174.8,174.8,172.5,173.1
26-09-2019,174.8,174.8,172.25,172.9
27-09-2019,172.35,177.0,171.95,174.05
30-09-2019,175.9,178.9,172.0,177.05
01-10-2019,178.9,178.9,167.0,169.75
03-10-2019,168.95,170.9,164.25,167.6
04-10-2019,165.7,171.0,164.0,165.15
07-10-2019,165.15,166.55,160.7,162.3
09-10-2019,163.9,168.6,163.15,168.1
10-10-2019,168.75,172.0,166.15,168.85
11-10-2019,169.35,176.6,169.1,172.55
14-10-2019,172.55,175.4,172.45,174.5
15-10-2019,174.55,175.5,168.3,170.0
16-10-2019,170.5,173.7,168.1,169.0
17-10-2019,170.4,175.8,168.1,171.45
18-10-2019,173.35,173.35,163.25,165.05
22-10-2019,165.9,169.0,165.0,167.25
23-10-2019,162.55,164.85,159.05,163.25
24-10-2019,163.3,166.85,160.65,163.05
25-10-2019,162.55,164.0,160.0,161.0
27-10-2019,162.85,163.9,161.0,163.0
29-10-2019,164.0,166.4,160.65,164.15
30-10-2019,166.0,167.15,163.1,164.05
31-10-2019,165.0,172.35,164.35,167.95
01-11-2019,168.5,171.2,166.55,169.35
04-11-2019,167.3,174.7,167.3,171.45
05-11-2019,172.9,172.9,168.0,169.55
06-11-2019,169.7,171.1,167.55,168.25
07-11-2019,170.0,170.5,167.3,168.0
08-11-2019,170.55,172.4,166.6,167.35
11-11-2019,170.0,171.0,165.0,170.1
13-11-2019,167.5,173.8,167.5,170.0
14-11-2019,172.0,172.0,169.05,170.5
15-11-2019,168.55,183.7,168.55,174.9
18-11-2019,175.95,182.25,174.2,179.15
19-11-2019,180.55,182.9,177.3,179.0
20-11-2019,179.0,181.75,176.05,178.4
21-11-2019,177.15,186.8,176.05,181.65
22-11-2019,183.0,192.6,180.5,188.15
25-11-2019,189.7,194.4,188.35,189.5
26-11-2019,189.5,192.7,178.3,181.05
27-11-2019,180.15,187.5,180.15,186.0
28-11-2019,184.55,188.0,184.0,185.0
29-11-2019,185.0,189.0,183.15,185.2
02-12-2019,183.55,186.45,182.15,185.05
03-12-2019,184.15,185.95,181.2,185.35
04-12-2019,184.25,185.9,183.05,184.9
05-12-2019,184.4,184.85,180.5,181.15
06-12-2019,181.15,185.0,175.1,182.7
09-12-2019,183.5,185.0,177.0,178.95
10-12-2019,179.2,181.5,175.65,180.0
11-12-2019,178.15,180.35,170.2,171.7
12-12-2019,172.3,174.85,170.35,174.45
13-12-2019,173.9,175.6,172.0,173.75
16-12-2019,173.0,174.5,168.1,168.8
17-12-2019,168.8,172.3,166.6,167.3
18-12-2019,167.6,174.5,167.5,170.2
19-12-2019,171.05,174.75,169.1,172.6
20-12-2019,172.0,173.35,169.1,169.65
23-12-2019,170.0,172.5,168.55,170.3
24-12-2019,170.65,171.6,168.75,168.95
26-12-2019,169.0,171.95,168.1,168.65
27-12-2019,169.2,171.5,167.7,169.1
30-12-2019,169.75,170.8,168.45,168.7
31-12-2019,168.9,170.0,168.0,168.2
01-01-2020,169.0,176.5,168.6,174.75
02-01-2020,175.15,181.7,175.15,179.25
03-01-2020,177.0,183.3,176.25,180.45
06-01-2020,180.0,181.5,173.0,173.7
07-01-2020,174.5,181.55,174.5,180.25
08-01-2020,175.3,180.0,175.3,176.85
