date,open,high,low,close
17-12-2021,360.0,383.0,333.85,340.05
20-12-2021,320.0,359.8,313.15,335.15
21-12-2021,338.35,374.85,338.35,364.4
22-12-2021,361.85,401.85,361.45,396.95
23-12-2021,403.0,411.0,376.1,382.7
24-12-2021,380.25,381.85,361.3,371.7
27-12-2021,365.0,385.0,297.4,375.45
28-12-2021,377.0,387.55,375.5,378.65
29-12-2021,375.0,401.0,371.05,383.5
30-12-2021,380.2,399.75,368.1,372.85
31-12-2021,375.0,383.75,370.75,372.35
03-01-2022,372.65,381.45,372.3,374.4
04-01-2022,374.9,396.0,372.0,389.05
05-01-2022,385.9,388.9,376.45,384.6
06-01-2022,378.0,388.0,375.4,379.8
07-01-2022,383.4,385.65,376.35,381.4
10-01-2022,383.0,429.0,381.0,423.5
11-01-2022,430.0,434.5,416.4,428.0
12-01-2022,431.6,436.0,411.15,414.05
13-01-2022,416.9,447.0,412.0,443.3
14-01-2022,438.3,503.3,431.1,475.95
17-01-2022,472.0,503.0,472.0,493.9
18-01-2022,496.0,525.0,485.2,515.2
19-01-2022,508.0,511.6,482.7,488.1
20-01-2022,486.95,489.6,462.0,465.9
21-01-2022,466.1,475.0,418.5,431.75
24-01-2022,430.0,434.25,385.75,401.2
25-01-2022,397.95,397.95,367.55,374.9
27-01-2022,366.0,377.9,355.5,365.45
28-01-2022,368.35,385.0,360.0,372.7
31-01-2022,375.1,389.1,368.0,371.9
01-02-2022,374.9,392.0,374.9,389.7
02-02-2022,393.0,404.8,390.5,395.95
03-02-2022,392.0,395.0,382.25,391.25
04-02-2022,385.0,389.75,380.1,382.2
07-02-2022,382.35,388.35,369.0,379.55
08-02-2022,384.8,385.55,363.15,365.85
09-02-2022,369.0,390.0,364.75,383.65
10-02-2022,383.65,386.7,375.55,379.95
11-02-2022,376.2,381.0,370.0,373.75
14-02-2022,363.4,369.55,339.0,341.75
15-02-2022,345.0,353.8,326.95,349.7
16-02-2022,353.7,356.4,338.0,341.0
17-02-2022,342.0,370.2,338.15,361.75
18-02-2022,359.0,371.65,353.0,355.5
21-02-2022,354.0,354.6,330.35,335.9
22-02-2022,325.0,329.9,306.35,311.75
23-02-2022,319.0,325.45,316.2,319.8
24-02-2022,299.8,315.45,280.0,292.25
25-02-2022,310.0,315.0,298.05,299.7
28-02-2022,294.0,304.2,290.85,299.55
02-03-2022,299.0,305.0,286.45,288.65
03-03-2022,292.95,297.6,286.45,294.05
04-03-2022,293.2,295.15,284.4,287.0
07-03-2022,281.95,284.0,275.2,280.65
08-03-2022,284.0,291.75,282.05,284.65
09-03-2022,289.75,316.0,287.0,303.5
10-03-2022,313.05,314.9,305.65,308.15
11-03-2022,308.0,312.95,303.05,305.35
14-03-2022,308.0,309.35,290.0,292.25
15-03-2022,295.9,297.7,282.05,288.05
16-03-2022,293.0,297.9,282.85,292.9
17-03-2022,297.0,351.45,294.95,334.15
21-03-2022,335.0,354.8,322.4,347.1
22-03-2022,346.75,358.4,342.1,349.45
