date,open,high,low,close
29-07-2019,461.35,461.35,446.05,449.45
30-07-2019,450.4,454.95,385.1,398.7
31-07-2019,395.25,410.35,381.75,403.9
01-08-2019,395.0,407.8,387.1,395.45
02-08-2019,393.7,414.7,388.8,407.45
05-08-2019,403.8,403.8,382.2,389.0
06-08-2019,384.95,399.4,384.95,395.15
07-08-2019,397.5,399.9,360.25,363.45
08-08-2019,362.0,375.0,352.5,366.95
09-08-2019,372.0,399.7,369.0,384.15
13-08-2019,387.25,389.45,367.45,371.15
14-08-2019,373.5,394.75,366.6,388.85
16-08-2019,386.95,398.6,380.3,396.9
19-08-2019,401.0,412.5,397.75,400.35
20-08-2019,400.55,405.65,385.2,390.1
21-08-2019,390.0,390.0,369.65,372.25
22-08-2019,372.0,377.75,344.0,349.35
23-08-2019,344.0,360.95,338.25,354.2
26-08-2019,369.9,379.6,352.65,375.75
27-08-2019,378.0,384.5,354.15,356.75
28-08-2019,352.5,358.95,286.1,313.85
29-08-2019,313.0,332.4,298.4,319.2
30-08-2019,324.0,331.0,313.5,327.2
03-09-2019,321.0,333.4,311.65,315.4
04-09-2019,314.0,326.8,309.2,324.9
05-09-2019,322.95,327.8,318.45,321.9
06-09-2019,325.65,338.9,317.0,336.45
09-09-2019,338.0,365.65,334.1,360.4
11-09-2019,363.0,380.8,359.4,378.25
12-09-2019,381.05,382.9,364.1,367.05
13-09-2019,369.85,372.4,356.75,371.15
16-09-2019,367.8,369.25,357.45,359.8
17-09-2019,361.2,366.8,349.1,351.35
18-09-2019,354.0,357.95,346.3,348.9
19-09-2019,350.4,350.8,324.45,332.1
20-09-2019,333.0,398.4,325.7,382.95
23-09-2019,386.8,415.0,386.0,398.35
24-09-2019,403.0,406.5,385.2,401.0
25-09-2019,396.15,403.6,377.7,383.7
26-09-2019,386.1,401.6,380.0,384.25
27-09-2019,384.05,388.7,360.35,366.25
30-09-2019,364.0,365.45,320.6,328.85
01-10-2019,331.5,338.6,257.05,299.35
03-10-2019,300.0,319.6,292.15,312.0
04-10-2019,317.0,325.0,299.15,302.8
07-10-2019,304.7,307.1,290.5,302.65
09-10-2019,304.55,312.0,280.8,309.6
10-10-2019,307.0,307.8,283.15,288.5
11-10-2019,288.4,292.0,248.1,266.45
14-10-2019,266.0,278.35,255.6,258.9
15-10-2019,259.1,275.0,241.45,264.05
16-10-2019,265.0,273.5,254.4,258.45
17-10-2019,255.0,293.5,253.35,290.2
18-10-2019,285.0,299.0,280.1,295.25
22-10-2019,296.0,298.0,282.0,286.95
23-10-2019,258.3,270.75,230.55,259.15
24-10-2019,262.3,267.0,246.7,251.7
25-10-2019,252.1,263.0,248.0,260.35
27-10-2019,261.1,263.5,257.2,259.25
29-10-2019,263.0,283.35,258.0,276.4
30-10-2019,276.4,291.0,273.2,288.45
31-10-2019,289.0,325.0,281.4,310.1
01-11-2019,312.0,324.8,303.3,310.45
04-11-2019,303.9,317.0,300.0,309.65
05-11-2019,312.95,316.2,296.0,299.1
06-11-2019,298.0,307.8,296.4,304.7
07-11-2019,306.6,319.4,306.5,308.45
08-11-2019,308.0,332.75,305.35,323.9
11-11-2019,323.1,346.45,319.1,343.6
13-11-2019,345.3,352.75,328.8,332.6
14-11-2019,335.0,336.0,314.25,318.0
15-11-2019,321.0,329.35,316.2,317.9
18-11-2019,319.85,325.9,311.4,323.65
19-11-2019,324.0,327.75,319.15,322.75
20-11-2019,324.75,348.35,324.0,344.65
21-11-2019,348.5,359.4,333.3,334.9
22-11-2019,335.0,363.0,332.5,359.3
25-11-2019,365.0,367.0,355.3,360.8
26-11-2019,362.0,364.0,343.6,347.2
27-11-2019,355.5,371.2,353.25,367.55
28-11-2019,372.0,391.2,364.0,381.0
29-11-2019,381.9,385.75,366.3,374.15
02-12-2019,372.95,377.2,362.1,373.4
03-12-2019,378.0,381.3,355.4,365.95
04-12-2019,366.65,374.7,360.65,372.9
05-12-2019,373.0,374.85,362.25,365.5
06-12-2019,367.5,370.0,334.15,338.55
09-12-2019,339.15,345.9,325.25,335.15
10-12-2019,325.0,334.35,317.5,320.75
11-12-2019,322.0,329.8,313.2,324.45
12-12-2019,326.4,337.5,322.3,334.55
13-12-2019,334.6,348.5,334.6,345.4
16-12-2019,346.0,346.75,332.0,336.25
17-12-2019,336.7,342.8,336.25,340.65
18-12-2019,339.55,345.15,333.0,342.4
19-12-2019,340.4,344.5,334.65,342.35
20-12-2019,340.0,351.4,338.8,342.8
23-12-2019,341.5,347.0,332.55,334.0
24-12-2019,335.0,337.8,332.65,334.1
26-12-2019,335.45,336.9,327.8,332.6
27-12-2019,334.0,340.6,333.5,336.55
30-12-2019,336.8,347.0,334.6,345.0
31-12-2019,342.0,347.7,341.6,344.85
01-01-2020,346.0,351.0,345.0,347.95
02-01-2020,347.0,372.4,345.0,369.55
03-01-2020,367.0,367.9,355.75,357.6
06-01-2020,355.0,355.0,334.85,336.85
07-01-2020,343.0,351.8,340.2,344.0
08-01-2020,335.0,348.7,334.05,346.0
09-01-2020,355.0,360.65,352.5,355.35
10-01-2020,355.45,357.9,345.35,348.25
13-01-2020,350.75,360.0,349.5,358.25
14-01-2020,358.0,365.0,352.7,356.6
15-01-2020,358.8,358.8,344.6,350.45
16-01-2020,353.75,354.5,345.1,346.3
17-01-2020,348.0,348.0,341.0,343.8
20-01-2020,345.95,347.55,325.0,328.15
21-01-2020,324.1,342.7,321.35,341.3
22-01-2020,342.65,345.35,332.5,339.2
23-01-2020,330.0,346.7,325.05,339.45
24-01-2020,339.35,339.9,327.65,329.7
27-01-2020,329.6,338.5,327.2,336.2
28-01-2020,337.0,342.6,334.0,339.5
29-01-2020,342.5,343.75,334.2,335.35
30-01-2020,335.45,336.0,320.0,322.35
31-01-2020,325.7,327.4,316.25,318.3
01-02-2020,320.0,326.4,297.55,302.0
03-02-2020,301.0,315.0,297.15,312.5
04-02-2020,315.0,321.7,307.0,318.85
05-02-2020,319.5,323.8,315.2,317.75
06-02-2020,319.7,340.45,319.0,332.1
07-02-2020,335.0,341.8,328.8,339.8
10-02-2020,338.0,339.0,329.65,331.75
11-02-2020,334.0,346.95,334.0,340.15
12-02-2020,344.0,344.2,331.0,332.35
13-02-2020,334.0,334.0,322.85,325.75
14-02-2020,327.0,328.75,315.0,316.55
17-02-2020,316.0,318.25,306.0,306.6
18-02-2020,308.4,308.5,292.35,302.05
19-02-2020,306.85,311.65,302.55,306.55
20-02-2020,306.0,319.5,303.3,308.8
24-02-2020,305.0,307.45,298.2,301.45
25-02-2020,303.0,311.9,303.0,309.3
26-02-2020,306.5,317.85,304.7,314.5
27-02-2020,314.85,316.5,306.5,309.6
28-02-2020,301.5,303.65,285.1,290.9
02-03-2020,299.05,306.6,276.9,283.2
03-03-2020,288.95,296.5,283.6,292.1
04-03-2020,294.5,297.85,279.3,295.85
05-03-2020,298.0,308.1,289.65,301.4
06-03-2020,271.3,275.0,243.05,258.9
09-03-2020,248.0,248.0,199.25,208.2
11-03-2020,201.9,239.2,201.05,226.55
12-03-2020,203.9,215.75,192.6,207.15
13-03-2020,191.15,220.2,166.0,206.6
16-03-2020,199.0,199.9,156.5,162.85
17-03-2020,167.0,174.4,157.0,164.55
18-03-2020,166.0,173.5,152.25,166.95
19-03-2020,155.0,185.35,154.0,176.85
20-03-2020,176.75,187.2,167.75,171.85
23-03-2020,153.35,162.35,139.55,141.1
24-03-2020,149.0,161.9,128.9,154.9
25-03-2020,147.0,170.35,141.0,161.3
26-03-2020,164.0,177.4,155.2,165.1
27-03-2020,176.0,179.8,158.8,160.25
30-03-2020,155.0,157.4,147.5,150.1
31-03-2020,150.6,155.0,133.8,135.5
01-04-2020,137.5,143.65,127.55,131.3
03-04-2020,136.95,139.1,109.25,110.95
07-04-2020,118.95,118.95,105.55,116.2
08-04-2020,113.0,133.6,110.5,121.1
09-04-2020,127.0,128.9,118.2,120.85
13-04-2020,120.0,120.0,112.3,117.6
15-04-2020,120.0,127.75,118.15,120.5
16-04-2020,118.9,125.9,115.0,124.05
17-04-2020,131.0,135.8,124.75,128.0
20-04-2020,130.9,131.0,118.6,119.6
21-04-2020,114.0,114.4,108.5,109.15
22-04-2020,109.0,109.1,101.55,105.15
23-04-2020,106.95,115.65,104.75,106.4
24-04-2020,104.5,110.7,101.7,107.15
27-04-2020,110.0,117.85,107.45,116.7
28-04-2020,124.0,127.9,121.2,126.25
29-04-2020,120.0,127.25,118.1,125.85
30-04-2020,130.0,136.5,130.0,132.15
04-05-2020,126.1,126.3,117.15,121.05
05-05-2020,125.0,128.5,121.6,122.8
06-05-2020,123.2,134.35,119.85,132.1
07-05-2020,132.05,137.0,126.7,128.85
08-05-2020,132.9,133.9,117.55,119.35
11-05-2020,121.95,122.4,114.2,117.1
12-05-2020,114.85,118.4,111.2,116.75
13-05-2020,125.5,126.8,119.2,121.5
14-05-2020,118.5,126.0,116.5,124.25
15-05-2020,123.9,125.4,120.05,120.9
18-05-2020,120.0,120.8,108.85,109.4
19-05-2020,111.0,113.9,108.0,109.85
20-05-2020,109.85,113.45,108.55,112.45
21-05-2020,112.45,115.45,111.05,112.0
22-05-2020,110.0,114.2,105.5,107.25
26-05-2020,109.9,111.55,108.3,110.55
27-05-2020,110.55,118.8,110.05,118.15
28-05-2020,120.5,123.0,115.75,116.65
29-05-2020,114.0,121.35,112.65,120.5
01-06-2020,122.05,132.0,122.05,129.85
02-06-2020,129.5,130.4,125.0,127.15
03-06-2020,130.25,137.8,128.7,130.75
04-06-2020,130.0,132.5,121.3,122.4
05-06-2020,123.25,128.3,123.05,126.25
08-06-2020,131.0,137.9,130.35,132.5
09-06-2020,134.4,151.6,129.55,140.55
10-06-2020,141.7,168.65,141.5,164.2
11-06-2020,167.0,175.5,158.8,160.55
12-06-2020,151.0,170.4,147.15,168.6
15-06-2020,168.5,168.75,159.15,161.35
16-06-2020,166.75,169.75,155.4,161.35
17-06-2020,160.0,166.25,157.2,162.35
18-06-2020,161.0,165.5,160.2,164.8
19-06-2020,167.0,172.35,164.05,168.9
22-06-2020,170.1,192.3,170.1,182.3
23-06-2020,186.0,189.8,181.65,187.0
24-06-2020,190.0,205.7,182.0,185.75
25-06-2020,181.9,192.2,179.4,189.9
26-06-2020,193.3,198.3,189.0,190.65
