date,open,high,low,close
27-12-2023,100.0,105.0,96.0,105.0
28-12-2023,110.25,110.25,110.25,110.25
29-12-2023,115.75,115.75,115.75,115.75
01-01-2024,116.25,121.5,115.75,121.5
02-01-2024,127.55,127.55,127.55,127.55
03-01-2024,133.9,133.9,133.9,133.9
04-01-2024,140.55,140.55,129.25,139.8
05-01-2024,132.85,146.75,132.85,146.75
08-01-2024,146.75,148.0,139.45,139.65
09-01-2024,136.15,146.6,136.0,146.6
10-01-2024,165.0,175.9,162.0,175.9
11-01-2024,190.35,211.05,188.0,211.05
12-01-2024,224.0,232.15,212.05,232.15
15-01-2024,238.7,255.35,225.0,249.25
16-01-2024,249.25,249.3,225.0,230.25
17-01-2024,225.0,230.0,214.7,219.5
18-01-2024,220.0,225.0,204.8,215.4
19-01-2024,219.9,225.0,200.3,204.2
20-01-2024,206.7,214.95,200.0,200.75
23-01-2024,205.85,206.15,180.7,180.75
24-01-2024,180.7,189.75,175.4,189.75
25-01-2024,199.2,199.2,199.2,199.2
29-01-2024,209.15,209.15,192.75,195.9
30-01-2024,196.05,198.4,187.05,188.4
31-01-2024,188.15,197.8,188.15,195.35
01-02-2024,192.7,195.7,187.0,190.6
02-02-2024,192.7,195.95,187.65,188.6
05-02-2024,198.0,198.0,182.15,189.35
06-02-2024,185.55,189.0,179.9,180.5
07-02-2024,179.1,187.5,175.3,181.45
08-02-2024,182.3,187.0,180.0,182.1
09-02-2024,183.2,184.8,173.0,174.3
12-02-2024,174.95,174.95,165.6,166.2
13-02-2024,162.85,170.0,157.9,160.15
14-02-2024,160.0,168.15,156.95,168.15
15-02-2024,170.5,176.55,170.5,176.55
16-02-2024,179.0,185.35,177.0,179.95
19-02-2024,185.0,186.4,177.25,178.5
20-02-2024,178.0,179.45,169.6,170.35
21-02-2024,171.25,174.75,167.75,171.1
22-02-2024,172.0,172.0,165.85,168.3
23-02-2024,170.7,171.0,162.55,164.35
26-02-2024,165.0,172.55,162.55,172.55
27-02-2024,175.0,175.0,166.35,168.1
28-02-2024,169.3,171.0,160.0,160.8
29-02-2024,162.9,165.0,160.0,163.1
01-03-2024,163.45,168.0,163.0,163.85
02-03-2024,164.95,167.85,162.1,165.2
04-03-2024,167.2,167.2,160.0,162.05
05-03-2024,160.0,163.7,156.15,159.45
06-03-2024,158.5,160.0,153.2,154.2
07-03-2024,161.9,161.9,155.0,161.9
11-03-2024,161.0,161.0,155.2,155.85
12-03-2024,159.9,159.9,148.05,151.8
13-03-2024,145.7,151.4,144.25,144.25
14-03-2024,138.25,151.45,137.05,151.4
15-03-2024,156.4,156.4,146.0,147.9
18-03-2024,148.0,154.8,147.9,152.7
19-03-2024,153.7,158.0,149.0,152.15
20-03-2024,152.95,153.5,149.0,149.2
21-03-2024,153.9,156.65,149.25,154.75
22-03-2024,157.0,157.0,151.05,153.3
26-03-2024,154.9,154.9,146.5,151.85
27-03-2024,151.9,153.25,147.0,147.4
28-03-2024,149.65,154.75,148.1,150.75
01-04-2024,152.45,158.25,152.0,158.25
02-04-2024,162.8,165.0,155.15,161.25
03-04-2024,161.15,163.0,158.15,159.4
04-04-2024,166.0,166.0,160.8,163.95
05-04-2024,163.95,168.5,162.0,166.3
08-04-2024,168.3,169.2,162.05,163.55
09-04-2024,164.95,168.5,159.0,159.8
10-04-2024,160.1,165.0,157.5,159.8
12-04-2024,160.95,162.5,159.1,159.7
15-04-2024,155.0,158.05,151.75,151.75
16-04-2024,151.7,153.45,150.0,150.85
18-04-2024,153.0,154.35,149.5,150.8
19-04-2024,149.0,150.5,147.3,149.05
22-04-2024,148.25,153.75,148.25,149.45
23-04-2024,151.4,152.95,148.15,149.35
24-04-2024,151.9,151.9,147.6,148.55
25-04-2024,148.7,149.55,146.05,147.1
26-04-2024,147.95,149.2,145.25,145.5
29-04-2024,148.4,148.4,144.3,144.8
30-04-2024,146.4,146.4,141.8,142.0
02-05-2024,141.1,143.85,140.05,141.0
03-05-2024,141.95,142.8,138.5,139.35
06-05-2024,141.0,142.65,134.05,135.7
07-05-2024,137.6,141.4,136.35,137.95
08-05-2024,142.5,142.5,137.35,137.85
09-05-2024,138.3,139.55,133.75,134.25
10-05-2024,139.0,139.0,134.3,137.7
13-05-2024,140.55,140.55,134.3,135.05
14-05-2024,137.8,138.0,135.25,136.75
15-05-2024,129.95,135.0,129.95,129.95
16-05-2024,127.0,129.5,123.45,123.5
17-05-2024,123.05,129.65,121.2,129.65
18-05-2024,133.15,136.1,132.0,136.1
21-05-2024,135.25,135.25,130.05,131.2
22-05-2024,131.15,133.5,128.5,130.3
23-05-2024,130.5,133.9,129.5,130.7
24-05-2024,130.7,131.9,128.15,129.8
27-05-2024,129.0,131.0,124.1,127.5
28-05-2024,127.45,130.0,125.0,127.65
29-05-2024,127.25,131.0,124.7,128.7
30-05-2024,129.9,131.25,125.15,129.3
31-05-2024,130.0,133.8,127.9,128.5
03-06-2024,128.5,132.0,125.0,126.1
04-06-2024,126.1,132.0,119.8,124.35
05-06-2024,122.05,125.0,118.15,123.1
06-06-2024,122.4,129.2,122.0,129.1
07-06-2024,130.2,132.2,127.0,130.4
10-06-2024,130.9,130.9,127.0,128.4
11-06-2024,128.0,131.0,127.0,130.01
12-06-2024,130.01,130.01,127.0,128.52
13-06-2024,128.1,130.0,128.0,128.98
14-06-2024,129.5,129.9,125.15,128.51
18-06-2024,129.0,130.0,125.5,128.79
19-06-2024,128.99,129.71,127.05,128.24
20-06-2024,126.36,130.5,126.36,129.27
21-06-2024,130.9,135.73,130.0,135.73
