date,open,high,low,close
29-07-2019,106.5,107.9,104.7,105.95
30-07-2019,106.5,106.8,101.0,101.5
31-07-2019,100.55,106.3,100.55,105.2
01-08-2019,104.85,105.75,100.6,102.25
02-08-2019,101.25,102.85,98.95,100.9
05-08-2019,99.9,102.55,96.55,100.2
06-08-2019,99.6,104.85,99.25,103.85
07-08-2019,103.15,105.85,101.15,101.95
08-08-2019,102.35,106.2,102.35,105.75
09-08-2019,106.4,109.0,106.25,107.35
13-08-2019,107.8,109.5,104.95,105.6
14-08-2019,106.15,108.7,105.1,108.1
16-08-2019,108.0,111.7,107.4,111.15
19-08-2019,111.8,112.3,110.05,110.3
20-08-2019,111.15,111.15,108.25,108.7
21-08-2019,108.7,108.7,105.7,106.45
22-08-2019,106.45,106.45,102.95,103.9
23-08-2019,103.7,107.75,101.8,106.45
26-08-2019,108.1,108.65,103.3,107.25
27-08-2019,107.65,109.6,107.65,108.85
28-08-2019,108.85,109.35,105.1,105.7
29-08-2019,104.9,105.3,102.55,104.1
30-08-2019,104.6,108.75,103.75,108.2
03-09-2019,107.15,108.3,104.4,104.85
04-09-2019,105.3,109.05,103.5,108.7
05-09-2019,108.7,109.9,106.15,106.95
06-09-2019,108.85,113.6,108.35,113.0
09-09-2019,113.65,113.8,111.55,113.05
11-09-2019,112.3,114.0,110.65,111.85
12-09-2019,111.0,112.15,110.35,110.8
13-09-2019,111.7,112.0,108.05,110.25
16-09-2019,108.85,110.85,106.8,107.45
17-09-2019,107.45,107.6,102.15,102.55
18-09-2019,103.2,103.5,98.2,99.2
19-09-2019,98.85,98.95,93.55,94.45
20-09-2019,94.8,99.3,92.75,96.8
23-09-2019,98.65,99.4,93.4,98.6
24-09-2019,99.4,99.4,95.45,96.8
25-09-2019,96.8,97.9,94.35,95.2
26-09-2019,95.1,97.25,94.15,96.45
27-09-2019,96.0,96.3,93.1,94.7
30-09-2019,93.85,94.35,91.45,92.35
01-10-2019,92.55,94.25,90.85,92.7
03-10-2019,92.05,94.25,91.3,93.65
04-10-2019,94.15,95.6,92.3,93.7
07-10-2019,93.7,94.0,91.85,92.1
09-10-2019,92.1,94.4,89.6,93.7
10-10-2019,93.25,95.95,92.85,94.55
11-10-2019,94.05,94.6,91.55,92.3
14-10-2019,93.4,95.65,92.8,93.7
15-10-2019,94.2,94.2,92.05,92.45
16-10-2019,92.6,94.3,92.05,94.1
17-10-2019,93.2,94.45,91.75,93.4
18-10-2019,93.75,98.25,93.4,97.9
22-10-2019,97.75,101.55,96.85,100.35
23-10-2019,100.35,103.65,98.2,102.9
24-10-2019,103.15,103.5,99.95,100.65
25-10-2019,100.95,102.6,99.6,102.25
27-10-2019,102.1,102.95,101.35,101.9
29-10-2019,101.35,103.45,100.5,102.25
30-10-2019,102.35,105.4,101.0,103.05
31-10-2019,103.55,105.25,103.15,104.85
01-11-2019,104.85,106.6,104.35,106.2
04-11-2019,106.2,107.2,104.5,105.7
05-11-2019,105.6,106.35,102.1,103.05
06-11-2019,101.85,104.25,100.8,103.3
07-11-2019,104.2,108.0,103.5,107.1
08-11-2019,106.9,107.25,103.85,104.05
11-11-2019,103.7,105.85,103.05,105.4
13-11-2019,105.55,106.35,103.25,103.45
14-11-2019,103.5,103.5,100.15,101.35
15-11-2019,101.4,102.2,99.85,100.55
18-11-2019,100.75,107.0,99.85,105.25
19-11-2019,105.85,107.7,105.0,107.2
20-11-2019,107.95,110.05,107.35,108.75
21-11-2019,108.55,108.55,103.45,103.85
22-11-2019,104.05,106.3,103.6,104.8
25-11-2019,104.65,106.2,103.9,104.55
26-11-2019,104.55,105.15,102.85,103.45
27-11-2019,103.6,103.8,100.7,102.1
28-11-2019,101.95,104.25,101.05,103.9
29-11-2019,103.15,104.25,102.4,103.45
02-12-2019,103.45,104.15,102.0,103.45
03-12-2019,102.45,103.0,97.7,98.05
04-12-2019,97.2,100.25,96.8,99.85
05-12-2019,99.95,102.0,99.5,100.6
06-12-2019,100.5,101.35,95.9,96.75
09-12-2019,97.2,98.8,96.25,97.3
10-12-2019,97.25,99.25,96.75,97.05
11-12-2019,97.6,100.45,97.3,100.2
12-12-2019,100.35,101.9,99.25,101.25
13-12-2019,101.35,102.6,100.6,102.1
16-12-2019,102.05,102.95,101.25,101.95
17-12-2019,102.15,103.9,101.3,103.5
18-12-2019,103.7,103.95,101.75,102.65
19-12-2019,102.7,104.05,102.05,103.05
20-12-2019,102.75,103.45,101.7,102.95
23-12-2019,102.25,103.9,101.65,102.35
24-12-2019,102.25,103.45,102.0,103.0
26-12-2019,102.9,104.25,102.45,103.85
27-12-2019,104.05,107.05,104.0,106.15
30-12-2019,106.15,106.55,105.0,105.95
31-12-2019,105.4,108.55,105.15,107.35
01-01-2020,107.5,108.25,106.15,107.95
02-01-2020,107.95,109.45,107.65,109.1
03-01-2020,108.75,109.45,106.75,107.25
06-01-2020,106.5,107.6,103.4,104.2
07-01-2020,105.1,107.95,104.05,105.55
08-01-2020,104.35,105.4,102.55,103.95
09-01-2020,104.9,107.3,104.9,106.85
10-01-2020,107.25,108.5,106.1,106.7
13-01-2020,107.3,108.3,106.2,107.55
14-01-2020,108.0,108.25,106.25,106.7
15-01-2020,106.5,107.25,104.2,106.8
16-01-2020,106.85,107.65,104.5,105.8
17-01-2020,105.65,106.5,104.5,105.75
20-01-2020,105.6,105.6,102.55,102.9
21-01-2020,102.0,103.5,100.55,100.8
22-01-2020,101.55,102.15,97.3,101.7
23-01-2020,101.85,104.85,101.25,104.2
24-01-2020,104.25,106.9,103.6,106.1
27-01-2020,105.65,109.65,105.45,108.1
28-01-2020,108.15,109.65,106.05,108.7
29-01-2020,108.9,110.95,108.7,110.3
30-01-2020,110.7,111.6,109.25,111.0
31-01-2020,111.75,112.0,106.75,107.8
01-02-2020,107.65,108.35,104.05,104.6
03-02-2020,104.35,105.7,102.1,103.35
04-02-2020,103.75,107.1,103.75,106.7
05-02-2020,110.55,115.15,107.4,113.2
06-02-2020,114.35,115.1,112.6,114.55
07-02-2020,115.15,116.65,113.5,116.3
10-02-2020,117.0,117.4,113.7,115.4
11-02-2020,107.5,109.15,105.95,106.45
12-02-2020,106.1,107.05,103.9,106.45
13-02-2020,106.15,106.75,104.95,105.55
14-02-2020,105.75,107.9,104.25,104.75
17-02-2020,104.9,106.0,103.3,103.6
18-02-2020,103.3,103.3,100.6,102.7
19-02-2020,103.0,104.05,102.25,102.9
20-02-2020,102.7,106.05,102.2,104.95
24-02-2020,103.75,105.8,101.95,102.15
25-02-2020,102.4,102.75,100.0,100.4
