date,open,high,low,close
22-07-2019,24.45,24.45,22.15,24.45
23-07-2019,23.85,24.1,23.25,23.25
24-07-2019,22.65,23.05,22.1,22.1
25-07-2019,21.1,23.2,21.0,22.45
26-07-2019,22.05,22.65,21.35,21.35
29-07-2019,20.3,21.3,20.3,20.3
30-07-2019,19.25,19.25,19.25,19.25
31-07-2019,18.3,18.3,18.3,18.3
01-08-2019,17.4,17.4,17.4,17.4
02-08-2019,16.55,16.55,16.55,16.55
05-08-2019,16.1,16.25,15.7,15.7
06-08-2019,14.95,14.95,14.95,14.95
07-08-2019,14.2,14.2,14.2,14.2
08-08-2019,13.5,14.9,13.5,14.9
09-08-2019,15.65,15.65,15.65,15.65
13-08-2019,16.4,16.4,14.85,16.4
14-08-2019,15.6,17.2,15.6,17.2
16-08-2019,16.35,16.35,16.35,16.35
19-08-2019,15.55,15.55,15.55,15.55
20-08-2019,14.8,14.8,14.8,14.8
21-08-2019,14.05,14.05,14.05,14.05
22-08-2019,13.35,13.35,13.35,13.35
23-08-2019,12.7,14.0,12.7,14.0
26-08-2019,13.35,13.65,13.3,13.3
27-08-2019,12.65,12.65,12.65,12.65
28-08-2019,12.0,12.0,12.0,12.0
29-08-2019,11.4,12.55,11.4,11.45
30-08-2019,11.1,11.25,10.9,10.9
03-09-2019,10.35,10.35,10.35,10.35
04-09-2019,9.85,10.85,9.85,10.85
05-09-2019,10.65,11.4,10.3,11.4
06-09-2019,11.8,11.95,11.4,11.95
09-09-2019,12.55,12.55,12.55,12.55
11-09-2019,13.15,13.15,12.0,13.15
12-09-2019,13.8,13.8,13.25,13.7
13-09-2019,14.3,14.35,13.85,14.35
16-09-2019,15.05,15.1,14.7,15.1
17-09-2019,15.85,15.85,14.45,15.35
18-09-2019,14.6,14.6,14.6,14.6
19-09-2019,13.85,13.85,13.85,13.85
20-09-2019,13.2,14.4,13.15,13.15
23-09-2019,12.8,13.75,12.5,12.5
24-09-2019,12.25,12.95,11.9,11.9
25-09-2019,12.15,12.5,11.3,12.5
26-09-2019,12.75,13.1,12.7,13.1
27-09-2019,13.75,13.75,12.8,13.6
30-09-2019,13.55,13.55,12.9,12.9
01-10-2019,12.55,13.25,12.3,12.3
03-10-2019,11.85,12.2,11.65,11.65
04-10-2019,11.95,12.0,11.1,11.35
07-10-2019,11.5,11.5,10.8,10.8
09-10-2019,11.0,11.35,10.35,11.35
10-10-2019,11.8,11.85,10.9,11.25
11-10-2019,11.35,11.55,10.95,11.1
14-10-2019,10.9,11.35,10.55,10.55
15-10-2019,10.55,10.55,10.0,10.0
16-10-2019,9.8,10.0,9.5,9.5
17-10-2019,9.3,9.4,9.05,9.05
18-10-2019,8.6,8.6,8.6,8.6
22-10-2019,8.15,8.15,8.15,8.15
23-10-2019,7.75,8.55,7.75,7.75
24-10-2019,7.35,8.15,7.35,7.35
25-10-2019,7.15,7.75,7.15,7.75
27-10-2019,8.1,8.1,8.05,8.1
29-10-2019,8.4,8.5,8.4,8.5
30-10-2019,8.95,8.95,8.95,8.95
31-10-2019,9.4,9.4,9.4,9.4
01-11-2019,9.85,9.85,9.85,9.85
04-11-2019,10.35,10.35,9.4,9.65
05-11-2019,9.75,10.05,9.15,9.15
06-11-2019,8.85,9.1,8.7,8.7
07-11-2019,8.35,9.1,8.35,9.1
08-11-2019,9.3,9.6,9.15,9.6
11-11-2019,9.9,10.05,9.6,10.05
13-11-2019,10.25,10.55,9.75,10.45
14-11-2019,10.95,10.95,10.95,10.95
15-11-2019,11.5,11.5,11.5,11.5
18-11-2019,12.05,12.05,12.05,12.05
19-11-2019,12.65,12.65,12.65,12.65
20-11-2019,13.3,13.3,13.3,13.3
21-11-2019,13.95,13.95,12.65,12.65
22-11-2019,12.4,12.65,12.0,12.0
25-11-2019,11.45,12.6,11.4,12.6
26-11-2019,13.15,13.25,12.9,13.25
27-11-2019,13.75,13.75,12.8,12.9
28-11-2019,12.8,12.8,12.3,12.3
29-11-2019,12.2,12.9,11.65,12.0
02-12-2019,12.4,12.4,11.45,11.55
03-12-2019,11.25,11.9,11.25,11.55
04-12-2019,12.0,12.0,11.25,11.4
05-12-2019,11.6,11.6,10.85,10.95
06-12-2019,11.0,11.45,10.75,11.45
09-12-2019,11.8,12.05,11.15,12.0
10-12-2019,12.0,12.3,11.4,11.45
11-12-2019,11.15,11.85,10.85,10.9
12-12-2019,10.85,11.3,10.5,10.65
13-12-2019,10.85,11.2,10.7,11.2
16-12-2019,11.35,11.6,10.85,11.25
17-12-2019,11.45,11.45,10.95,11.05
18-12-2019,11.25,11.25,10.85,10.9
19-12-2019,10.75,11.15,10.45,10.55
20-12-2019,10.75,10.8,10.35,10.5
23-12-2019,10.45,10.7,9.95,10.0
24-12-2019,10.05,10.5,9.8,10.5
26-12-2019,10.65,11.0,10.65,11.0
27-12-2019,11.2,11.2,10.55,10.65
30-12-2019,10.5,11.15,10.5,10.95
31-12-2019,11.05,11.05,10.45,10.5
01-01-2020,10.65,10.75,10.15,10.4
02-01-2020,10.15,10.75,10.1,10.45
03-01-2020,10.6,10.65,10.2,10.45
06-01-2020,10.3,10.35,9.95,9.95
07-01-2020,9.95,10.2,9.95,10.1
08-01-2020,9.9,10.0,9.6,9.6
09-01-2020,9.8,10.1,9.8,10.1
10-01-2020,10.6,10.6,10.6,10.6
13-01-2020,11.1,11.1,10.75,11.1
14-01-2020,11.45,11.55,10.6,10.7
15-01-2020,10.35,10.65,10.3,10.35
16-01-2020,10.35,10.85,10.0,10.85
17-01-2020,10.85,10.85,10.4,10.5
20-01-2020,10.5,10.85,10.2,10.2
21-01-2020,10.15,10.65,10.1,10.45
22-01-2020,10.5,10.55,10.05,10.15
23-01-2020,10.25,10.5,10.15,10.3
24-01-2020,10.25,10.45,10.0,10.1
27-01-2020,10.15,10.25,10.0,10.15
28-01-2020,10.1,10.3,10.1,10.2
29-01-2020,10.25,10.45,10.2,10.3
30-01-2020,10.45,10.45,10.05,10.15
31-01-2020,10.15,10.35,10.0,10.15
01-02-2020,10.1,10.15,9.65,9.7
03-02-2020,9.85,9.85,9.3,9.4
04-02-2020,9.5,9.85,9.35,9.85
05-02-2020,10.35,10.35,10.35,10.35
06-02-2020,10.75,10.75,9.9,10.3
07-02-2020,10.45,10.65,10.25,10.3
10-02-2020,10.45,11.3,10.0,11.25
11-02-2020,11.15,12.4,10.35,12.4
12-02-2020,12.95,13.6,12.45,13.55
13-02-2020,13.35,13.45,12.9,12.9
14-02-2020,13.5,13.5,12.8,13.5
17-02-2020,14.2,14.2,13.95,14.2
18-02-2020,14.65,14.9,14.35,14.9
19-02-2020,15.4,15.55,14.15,14.25
20-02-2020,13.65,14.15,13.55,13.55
24-02-2020,13.2,14.2,12.95,13.0
25-02-2020,13.15,13.3,12.35,12.5
26-02-2020,12.4,12.9,12.3,12.55
27-02-2020,12.85,12.95,12.45,12.55
