date,open,high,low,close
22-07-2019,507.05,518.95,487.0,502.85
23-07-2019,503.05,548.0,491.0,533.95
24-07-2019,528.95,547.8,512.05,544.45
25-07-2019,540.05,543.6,522.2,524.8
26-07-2019,523.6,550.9,523.0,546.5
29-07-2019,531.05,550.0,522.85,531.7
30-07-2019,530.85,539.95,504.0,513.9
31-07-2019,509.0,526.0,490.35,516.35
01-08-2019,522.05,522.05,500.55,503.7
02-08-2019,506.9,520.0,485.0,507.3
05-08-2019,505.0,507.3,488.0,493.95
06-08-2019,490.15,514.75,480.0,496.6
07-08-2019,509.5,511.0,495.0,501.85
08-08-2019,519.5,519.5,490.45,504.0
09-08-2019,520.0,520.0,492.5,510.35
13-08-2019,530.0,536.85,495.35,503.35
14-08-2019,505.8,510.95,501.0,503.75
16-08-2019,503.85,505.0,485.2,500.35
19-08-2019,495.0,517.9,491.3,496.2
20-08-2019,495.05,512.35,495.0,507.9
21-08-2019,500.95,519.95,500.1,514.75
22-08-2019,506.0,513.8,495.05,501.0
23-08-2019,495.05,505.9,495.0,503.6
26-08-2019,533.75,549.6,495.35,536.0
27-08-2019,539.05,556.0,533.95,554.55
28-08-2019,555.05,563.95,546.95,555.4
29-08-2019,551.05,558.05,542.05,550.0
30-08-2019,548.75,555.55,548.75,550.1
03-09-2019,549.35,549.35,535.0,537.5
04-09-2019,547.05,549.85,522.2,530.75
05-09-2019,525.05,532.05,512.0,515.35
06-09-2019,515.0,527.05,503.1,513.15
09-09-2019,510.95,529.0,505.25,516.55
11-09-2019,517.05,522.95,508.2,513.05
12-09-2019,526.0,527.0,504.2,505.9
13-09-2019,503.0,516.3,497.05,510.9
16-09-2019,525.0,526.1,503.5,510.85
17-09-2019,515.15,539.0,515.1,532.75
18-09-2019,538.0,565.95,531.0,561.6
19-09-2019,555.0,566.0,540.55,548.35
20-09-2019,550.55,564.0,549.95,557.35
23-09-2019,562.0,569.95,543.35,561.15
24-09-2019,578.0,578.0,546.05,562.35
25-09-2019,551.35,565.0,549.05,555.75
26-09-2019,569.0,569.0,540.0,557.55
27-09-2019,551.05,564.8,542.4,553.55
30-09-2019,554.0,568.7,551.0,559.8
01-10-2019,564.45,564.45,550.55,550.7
03-10-2019,550.8,558.0,547.55,553.15
04-10-2019,550.55,560.0,538.95,553.55
07-10-2019,558.65,564.7,550.55,559.45
09-10-2019,554.0,564.9,546.05,559.25
10-10-2019,576.5,576.5,551.6,555.25
11-10-2019,550.0,560.0,545.35,558.2
14-10-2019,575.0,587.0,552.55,558.9
15-10-2019,557.0,562.0,550.95,559.9
16-10-2019,560.0,568.95,555.8,564.45
17-10-2019,560.0,574.0,552.2,570.25
18-10-2019,570.0,575.0,565.55,569.35
22-10-2019,569.9,579.9,566.15,576.15
