date,open,high,low,close
24-07-2019,51.95,52.0,51.95,52.0
26-07-2019,48.0,49.95,45.55,49.95
29-07-2019,46.1,49.95,46.1,49.95
30-07-2019,46.0,46.0,46.0,46.0
31-07-2019,46.5,46.95,42.55,46.0
01-08-2019,47.0,47.0,45.1,45.1
06-08-2019,45.0,46.0,42.5,44.5
09-08-2019,45.5,47.0,45.5,47.0
13-08-2019,46.0,46.0,46.0,46.0
14-08-2019,47.0,48.0,45.0,48.0
16-08-2019,47.0,48.95,47.0,48.0
19-08-2019,49.0,49.2,47.05,49.2
20-08-2019,47.0,47.0,47.0,47.0
21-08-2019,46.0,46.0,46.0,46.0
22-08-2019,46.0,46.0,45.5,45.5
26-08-2019,45.0,45.95,42.0,44.2
27-08-2019,46.0,48.5,46.0,48.5
28-08-2019,45.6,47.85,45.0,46.0
29-08-2019,46.0,47.7,46.0,46.5
30-08-2019,47.0,47.95,47.0,47.9
03-09-2019,45.6,45.6,45.0,45.4
04-09-2019,44.65,44.65,44.5,44.5
05-09-2019,46.0,46.0,46.0,46.0
06-09-2019,46.0,46.0,44.0,44.0
09-09-2019,42.05,46.0,42.0,45.0
11-09-2019,45.0,45.0,45.0,45.0
12-09-2019,45.0,45.0,45.0,45.0
13-09-2019,45.0,47.0,45.0,45.0
16-09-2019,45.5,45.5,43.0,43.45
17-09-2019,44.0,45.0,44.0,44.95
18-09-2019,44.5,45.0,44.25,44.8
19-09-2019,44.5,44.75,44.5,44.6
20-09-2019,43.6,44.85,43.5,43.6
23-09-2019,47.0,52.25,47.0,49.7
24-09-2019,49.0,49.9,46.2,46.6
25-09-2019,55.9,55.9,50.0,50.0
26-09-2019,50.0,50.0,49.0,49.0
27-09-2019,49.85,49.85,47.5,47.5
30-09-2019,47.0,54.9,45.0,46.8
01-10-2019,48.9,49.5,47.4,47.4
03-10-2019,45.0,45.0,45.0,45.0
07-10-2019,44.55,44.55,44.05,44.05
09-10-2019,43.05,45.75,43.05,43.65
10-10-2019,44.85,44.85,42.6,43.15
11-10-2019,45.7,45.7,42.0,43.0
14-10-2019,42.6,42.7,41.0,41.0
17-10-2019,40.1,42.4,35.0,42.0
18-10-2019,42.0,44.0,41.0,42.4
22-10-2019,42.0,42.95,42.0,42.0
23-10-2019,41.5,41.5,41.5,41.5
24-10-2019,41.0,41.0,41.0,41.0
25-10-2019,40.0,40.85,39.15,40.3
29-10-2019,41.0,41.0,41.0,41.0
30-10-2019,41.85,41.85,41.05,41.85
31-10-2019,41.25,43.1,41.25,42.85
01-11-2019,42.5,43.85,40.5,41.3
04-11-2019,41.2,41.9,39.15,40.3
05-11-2019,40.5,41.95,40.4,41.35
06-11-2019,40.7,40.75,37.3,40.25
07-11-2019,40.25,42.0,39.65,40.75
08-11-2019,41.45,41.5,41.45,41.45
11-11-2019,41.45,41.45,41.45,41.45
13-11-2019,40.55,40.55,38.4,39.2
14-11-2019,40.45,42.0,40.25,40.5
15-11-2019,48.6,48.6,43.0,46.3
18-11-2019,45.95,55.55,45.95,55.55
19-11-2019,60.0,66.65,59.9,59.9
20-11-2019,65.0,65.0,61.0,64.75
21-11-2019,61.0,64.0,59.1,63.25
22-11-2019,62.45,62.45,62.45,62.45
25-11-2019,62.45,62.45,62.25,62.4
26-11-2019,62.5,63.5,62.5,63.0
27-11-2019,59.0,59.0,57.0,57.15
28-11-2019,57.25,57.25,57.25,57.25
