date,open,high,low,close
12-03-2024,250.0,284.9,243.0,262.6
13-03-2024,262.1,264.8,227.7,232.35
14-03-2024,232.0,265.9,227.65,248.65
15-03-2024,258.0,288.0,251.9,278.25
18-03-2024,275.85,284.9,268.2,271.8
19-03-2024,271.05,274.0,261.0,263.45
20-03-2024,266.0,271.35,259.6,266.85
21-03-2024,268.95,277.7,267.1,273.75
22-03-2024,276.9,283.85,273.0,276.6
26-03-2024,278.55,307.5,268.2,276.35
27-03-2024,274.0,278.7,270.0,271.4
28-03-2024,272.9,280.0,272.25,274.2
01-04-2024,280.0,280.0,273.0,274.9
02-04-2024,274.3,284.0,274.15,278.4
03-04-2024,277.0,281.25,274.35,276.3
04-04-2024,276.95,307.8,276.95,288.15
05-04-2024,285.3,312.0,285.0,301.4
08-04-2024,302.45,305.7,280.3,283.45
09-04-2024,292.7,292.7,277.1,278.8
10-04-2024,279.15,289.95,279.15,283.6
12-04-2024,283.95,287.95,276.05,278.15
15-04-2024,270.0,275.45,268.0,271.15
16-04-2024,269.7,281.95,268.95,277.65
18-04-2024,280.0,284.85,270.7,272.7
19-04-2024,269.0,276.7,268.0,271.65
22-04-2024,275.05,284.9,273.0,278.45
23-04-2024,278.45,286.7,278.3,283.15
24-04-2024,281.15,292.5,280.1,288.2
25-04-2024,286.95,289.05,278.75,280.1
26-04-2024,280.95,286.8,278.0,284.05
29-04-2024,284.05,289.8,278.5,279.65
30-04-2024,281.95,284.0,276.0,278.8
02-05-2024,279.5,284.4,273.15,275.75
03-05-2024,280.1,282.05,273.15,278.05
06-05-2024,276.35,278.85,272.1,273.7
07-05-2024,274.0,275.85,267.9,271.55
08-05-2024,271.55,273.5,268.15,270.9
09-05-2024,270.05,273.6,260.8,262.4
10-05-2024,267.0,267.6,260.5,263.4
13-05-2024,267.45,267.45,258.05,263.7
14-05-2024,265.85,276.05,264.8,269.8
15-05-2024,271.0,272.8,260.5,261.6
16-05-2024,264.2,269.95,261.2,265.0
17-05-2024,265.95,279.5,264.8,277.9
18-05-2024,277.9,279.45,276.05,278.65
21-05-2024,278.65,278.9,268.7,269.7
22-05-2024,271.0,271.2,260.8,261.9
23-05-2024,263.45,267.0,262.5,264.75
24-05-2024,266.0,268.2,261.9,265.7
27-05-2024,286.65,298.0,278.15,281.15
28-05-2024,283.4,284.7,272.0,275.2
29-05-2024,272.0,274.2,270.5,273.05
30-05-2024,272.95,274.35,265.5,266.7
31-05-2024,266.0,281.9,265.4,275.6
03-06-2024,285.0,286.0,266.85,269.6
04-06-2024,266.75,270.0,237.1,246.8
05-06-2024,251.0,258.65,247.5,255.25
06-06-2024,259.1,265.9,257.2,260.5
07-06-2024,261.0,270.45,258.2,268.3
10-06-2024,271.0,273.05,265.25,266.15
11-06-2024,267.5,274.95,266.65,270.3
12-06-2024,271.0,273.25,267.55,269.95
13-06-2024,270.75,272.4,266.7,268.7
14-06-2024,268.0,275.0,267.95,272.85
18-06-2024,274.25,278.0,269.1,270.4
19-06-2024,272.0,272.0,259.15,264.55
20-06-2024,265.45,271.5,262.4,270.3
21-06-2024,270.9,272.2,268.0,269.0
