date,open,high,low,close
22-07-2019,265.0,277.0,261.0,267.25
23-07-2019,263.85,275.45,252.6,271.35
24-07-2019,274.0,285.0,264.0,267.5
25-07-2019,265.0,267.8,250.1,254.6
26-07-2019,254.0,262.7,252.0,257.0
29-07-2019,262.7,262.7,250.25,252.3
30-07-2019,252.6,262.0,222.1,226.9
31-07-2019,230.0,235.0,222.9,229.55
01-08-2019,225.8,227.0,208.15,219.7
02-08-2019,220.0,221.7,210.0,213.5
05-08-2019,210.1,211.0,200.0,206.85
06-08-2019,205.0,214.95,204.95,210.45
07-08-2019,212.85,214.65,208.05,209.75
08-08-2019,206.2,209.8,201.05,205.0
09-08-2019,209.2,242.5,209.2,227.25
13-08-2019,228.85,234.0,223.5,227.45
14-08-2019,228.1,233.0,220.25,229.6
16-08-2019,229.0,232.7,223.15,226.65
19-08-2019,229.9,233.3,225.1,226.85
20-08-2019,224.1,226.75,221.0,222.55
21-08-2019,218.0,229.0,215.0,215.85
22-08-2019,215.85,222.5,204.2,206.65
23-08-2019,205.0,211.0,198.6,209.6
26-08-2019,228.5,251.5,224.85,251.5
27-08-2019,259.0,283.9,257.0,272.3
28-08-2019,265.0,277.0,258.4,271.5
29-08-2019,270.0,276.75,257.2,260.35
30-08-2019,266.0,271.5,261.2,267.25
03-09-2019,263.15,263.15,249.0,254.3
04-09-2019,253.15,262.0,250.15,254.2
05-09-2019,255.7,258.2,250.55,254.45
06-09-2019,256.95,297.8,253.25,282.75
09-09-2019,287.95,292.7,275.15,280.9
11-09-2019,277.7,321.7,276.15,313.9
12-09-2019,322.0,328.0,301.25,302.6
13-09-2019,307.7,314.8,300.0,302.6
16-09-2019,297.95,314.5,291.0,299.85
17-09-2019,303.0,311.5,283.5,288.3
18-09-2019,288.0,294.9,282.0,284.3
19-09-2019,285.0,288.95,274.1,280.35
20-09-2019,280.4,309.0,276.2,293.2
23-09-2019,302.9,318.0,293.55,301.2
24-09-2019,295.6,309.0,295.6,302.15
25-09-2019,303.4,309.0,289.75,293.2
26-09-2019,296.75,305.65,290.0,291.15
27-09-2019,288.15,296.35,281.0,286.2
30-09-2019,285.0,288.1,270.05,276.0
