date,open,high,low,close
22-07-2019,1.8,1.95,1.7,1.85
23-07-2019,1.8,2.0,1.8,1.85
24-07-2019,1.9,1.9,1.75,1.85
25-07-2019,1.85,1.9,1.8,1.85
26-07-2019,1.95,1.95,1.8,1.9
29-07-2019,1.95,1.95,1.8,1.85
30-07-2019,1.8,1.85,1.5,1.55
31-07-2019,1.55,1.8,1.4,1.7
01-08-2019,1.85,1.85,1.55,1.7
02-08-2019,1.8,1.8,1.6,1.7
05-08-2019,1.65,1.7,1.55,1.65
06-08-2019,1.6,1.9,1.6,1.75
07-08-2019,1.7,1.85,1.65,1.7
08-08-2019,1.7,1.75,1.65,1.75
09-08-2019,1.75,1.75,1.6,1.7
13-08-2019,1.65,1.7,1.5,1.55
14-08-2019,1.55,1.65,1.5,1.55
16-08-2019,1.55,1.65,1.55,1.65
19-08-2019,1.65,1.7,1.6,1.65
20-08-2019,1.65,1.65,1.5,1.55
21-08-2019,1.55,1.6,1.45,1.45
22-08-2019,1.4,1.5,1.2,1.3
23-08-2019,1.3,1.3,1.15,1.25
26-08-2019,1.25,1.4,1.2,1.3
27-08-2019,1.3,1.45,1.3,1.4
28-08-2019,1.45,1.45,1.3,1.4
29-08-2019,1.3,1.4,1.3,1.35
30-08-2019,1.3,1.45,1.3,1.4
03-09-2019,1.45,1.45,1.25,1.4
04-09-2019,1.4,1.45,1.3,1.3
05-09-2019,1.35,1.55,1.3,1.55
06-09-2019,1.8,1.85,1.65,1.85
09-09-2019,2.0,2.0,1.85,2.0
11-09-2019,2.2,2.2,2.2,2.2
12-09-2019,2.4,2.4,2.4,2.4
13-09-2019,2.5,2.5,2.3,2.3
16-09-2019,2.3,2.3,2.2,2.2
17-09-2019,2.15,2.15,2.1,2.1
18-09-2019,2.1,2.2,2.1,2.2
19-09-2019,2.3,2.3,2.3,2.3
20-09-2019,2.4,2.4,2.2,2.2
23-09-2019,2.2,2.3,2.1,2.15
24-09-2019,2.15,2.2,2.05,2.05
25-09-2019,2.05,2.1,2.0,2.05
26-09-2019,2.0,2.15,1.95,2.0
27-09-2019,2.0,2.0,1.9,1.9
30-09-2019,1.9,1.9,1.85,1.85
01-10-2019,1.8,1.8,1.8,1.8
03-10-2019,1.75,1.75,1.75,1.75
04-10-2019,1.7,1.8,1.7,1.7
07-10-2019,1.7,1.7,1.65,1.65
09-10-2019,1.65,1.65,1.6,1.6
10-10-2019,1.55,1.55,1.55,1.55
11-10-2019,1.5,1.6,1.5,1.5
14-10-2019,1.5,1.55,1.45,1.55
15-10-2019,1.6,1.6,1.6,1.6
16-10-2019,1.65,1.65,1.55,1.55
17-10-2019,1.55,1.55,1.5,1.5
18-10-2019,1.45,1.55,1.45,1.45
22-10-2019,1.45,1.5,1.4,1.4
23-10-2019,1.35,1.4,1.35,1.35
24-10-2019,1.3,1.35,1.3,1.3
25-10-2019,1.25,1.35,1.25,1.35
27-10-2019,1.4,1.4,1.4,1.4
29-10-2019,1.45,1.45,1.35,1.35
30-10-2019,1.35,1.35,1.3,1.3
31-10-2019,1.25,1.35,1.25,1.3
01-11-2019,1.35,1.35,1.3,1.35
04-11-2019,1.4,1.4,1.4,1.4
05-11-2019,1.45,1.45,1.4,1.45
06-11-2019,1.5,1.5,1.5,1.5
07-11-2019,1.55,1.55,1.55,1.55
08-11-2019,1.6,1.6,1.6,1.6
11-11-2019,1.65,1.65,1.65,1.65
13-11-2019,1.7,1.7,1.7,1.7
14-11-2019,1.75,1.75,1.65,1.65
15-11-2019,1.6,1.7,1.6,1.6
18-11-2019,1.65,1.65,1.55,1.55
19-11-2019,1.5,1.6,1.5,1.5
20-11-2019,1.45,1.55,1.45,1.55
21-11-2019,1.55,1.6,1.5,1.5
22-11-2019,1.5,1.55,1.5,1.55
25-11-2019,1.6,1.6,1.55,1.6
26-11-2019,1.65,1.65,1.65,1.65
27-11-2019,1.7,1.7,1.7,1.7
28-11-2019,1.75,1.75,1.75,1.75
29-11-2019,1.8,1.8,1.7,1.8
02-12-2019,1.85,1.85,1.75,1.85
03-12-2019,1.9,1.9,1.8,1.9
04-12-2019,1.95,1.95,1.85,1.85
05-12-2019,1.85,1.9,1.8,1.85
06-12-2019,1.8,1.9,1.8,1.8
09-12-2019,1.8,1.85,1.75,1.75
10-12-2019,1.75,1.75,1.7,1.7
11-12-2019,1.65,1.75,1.65,1.75
12-12-2019,1.7,1.75,1.7,1.7
13-12-2019,1.75,1.75,1.7,1.75
16-12-2019,1.8,1.8,1.75,1.8
17-12-2019,1.85,1.85,1.75,1.85
18-12-2019,1.8,1.9,1.8,1.9
19-12-2019,1.85,1.9,1.85,1.85
20-12-2019,1.8,1.85,1.8,1.85
23-12-2019,1.85,1.85,1.8,1.8
24-12-2019,1.8,1.85,1.8,1.85
26-12-2019,1.85,1.9,1.85,1.9
27-12-2019,1.9,1.95,1.85,1.9
30-12-2019,1.95,1.95,1.85,1.85
31-12-2019,1.9,1.9,1.9,1.9
01-01-2020,1.95,1.95,1.95,1.95
02-01-2020,2.0,2.0,2.0,2.0
03-01-2020,2.1,2.1,2.1,2.1
06-01-2020,2.2,2.2,2.1,2.2
07-01-2020,2.3,2.3,2.3,2.3
08-01-2020,2.4,2.4,2.2,2.4
09-01-2020,2.4,2.5,2.4,2.4
10-01-2020,2.4,2.5,2.3,2.3
13-01-2020,2.3,2.4,2.2,2.2
14-01-2020,2.2,2.3,2.1,2.1
15-01-2020,2.0,2.2,2.0,2.2
16-01-2020,2.2,2.3,2.1,2.2
17-01-2020,2.2,2.3,2.2,2.25
20-01-2020,2.25,2.35,2.15,2.25
21-01-2020,2.25,2.35,2.2,2.35
22-01-2020,2.35,2.35,2.25,2.3
23-01-2020,2.3,2.4,2.25,2.25
24-01-2020,2.15,2.35,2.15,2.3
27-01-2020,2.3,2.4,2.3,2.35
28-01-2020,2.3,2.4,2.3,2.3
29-01-2020,2.3,2.4,2.3,2.4
30-01-2020,2.35,2.45,2.35,2.35
31-01-2020,2.35,2.45,2.35,2.45
01-02-2020,2.55,2.55,2.5,2.55
03-02-2020,2.65,2.65,2.45,2.65
04-02-2020,2.75,2.75,2.65,2.75
05-02-2020,2.85,2.85,2.85,2.85
10-02-2020,2.85,2.95,2.75,2.95
17-02-2020,2.95,2.95,2.95,2.95
24-02-2020,2.95,2.95,2.85,2.95
02-03-2020,2.85,2.85,2.85,2.85
09-03-2020,2.75,2.75,2.75,2.75
16-03-2020,2.65,2.65,2.65,2.65
24-03-2020,2.55,2.55,2.55,2.55
25-03-2020,2.45,2.45,2.45,2.45
26-03-2020,2.35,2.35,2.35,2.35
27-03-2020,2.25,2.25,2.25,2.25
30-03-2020,2.15,2.15,2.15,2.15
31-03-2020,2.05,2.05,2.05,2.05
01-04-2020,1.95,1.95,1.95,1.95
03-04-2020,1.9,1.9,1.9,1.9
07-04-2020,1.85,1.85,1.85,1.85
08-04-2020,1.8,1.9,1.8,1.8
09-04-2020,1.75,1.75,1.75,1.75
13-04-2020,1.7,1.7,1.7,1.7
15-04-2020,1.7,1.7,1.65,1.65
16-04-2020,1.6,1.7,1.6,1.65
17-04-2020,1.7,1.7,1.65,1.7
20-04-2020,1.75,1.75,1.65,1.7
21-04-2020,1.7,1.75,1.65,1.7
22-04-2020,1.7,1.75,1.7,1.7
23-04-2020,1.75,1.75,1.65,1.65
24-04-2020,1.65,1.7,1.6,1.65
27-04-2020,1.7,1.7,1.6,1.65
28-04-2020,1.7,1.7,1.6,1.6
29-04-2020,1.55,1.65,1.55,1.6
30-04-2020,1.6,1.65,1.55,1.55
04-05-2020,1.55,1.6,1.5,1.55
05-05-2020,1.5,1.6,1.5,1.5
06-05-2020,1.5,1.55,1.5,1.55
07-05-2020,1.55,1.6,1.5,1.55
08-05-2020,1.6,1.6,1.55,1.6
11-05-2020,1.65,1.65,1.55,1.65
12-05-2020,1.6,1.65,1.6,1.6
13-05-2020,1.65,1.65,1.55,1.6
14-05-2020,1.65,1.65,1.6,1.6
15-05-2020,1.6,1.65,1.6,1.6
18-05-2020,1.65,1.65,1.55,1.55
19-05-2020,1.5,1.55,1.5,1.5
20-05-2020,1.55,1.55,1.5,1.5
21-05-2020,1.5,1.55,1.5,1.5
22-05-2020,1.55,1.55,1.5,1.55
26-05-2020,1.55,1.6,1.5,1.6
27-05-2020,1.6,1.65,1.55,1.65
28-05-2020,1.65,1.7,1.65,1.7
29-05-2020,1.7,1.75,1.7,1.75
01-06-2020,1.75,1.8,1.75,1.8
02-06-2020,1.85,1.85,1.85,1.85
03-06-2020,1.9,1.9,1.9,1.9
04-06-2020,1.95,1.95,1.95,1.95
05-06-2020,2.0,2.0,2.0,2.0
08-06-2020,2.1,2.1,2.1,2.1
09-06-2020,2.2,2.2,2.2,2.2
10-06-2020,2.3,2.3,2.3,2.3
11-06-2020,2.4,2.4,2.3,2.4
12-06-2020,2.5,2.5,2.3,2.35
15-06-2020,2.35,2.45,2.35,2.45
16-06-2020,2.55,2.55,2.35,2.5
17-06-2020,2.6,2.6,2.6,2.6
18-06-2020,2.7,2.7,2.7,2.7
19-06-2020,2.8,2.8,2.8,2.8
22-06-2020,2.9,2.9,2.9,2.9
23-06-2020,3.0,3.0,3.0,3.0
24-06-2020,3.15,3.15,3.15,3.15
25-06-2020,3.3,3.3,3.2,3.3
26-06-2020,3.45,3.45,3.45,3.45
29-06-2020,3.6,3.6,3.6,3.6
30-06-2020,3.75,3.75,3.75,3.75
01-07-2020,3.9,3.9,3.6,3.6
02-07-2020,3.6,3.7,3.45,3.45
03-07-2020,3.3,3.3,3.3,3.3
06-07-2020,3.15,3.15,3.15,3.15
07-07-2020,3.0,3.0,3.0,3.0
08-07-2020,2.85,3.15,2.85,2.85
09-07-2020,2.95,2.95,2.95,2.95
10-07-2020,3.05,3.05,3.05,3.05
13-07-2020,3.2,3.2,3.2,3.2
14-07-2020,3.35,3.35,3.35,3.35
15-07-2020,3.5,3.5,3.5,3.5
16-07-2020,3.65,3.65,3.65,3.65
17-07-2020,3.8,3.8,3.8,3.8
20-07-2020,3.95,3.95,3.95,3.95
21-07-2020,4.1,4.1,4.1,4.1
22-07-2020,4.3,4.3,4.3,4.3
23-07-2020,4.5,4.5,4.5,4.5
24-07-2020,4.7,4.7,4.7,4.7
27-07-2020,4.9,4.9,4.9,4.9
28-07-2020,5.1,5.1,5.1,5.1
29-07-2020,5.35,5.35,5.35,5.35
30-07-2020,5.6,5.6,5.6,5.6
31-07-2020,5.85,5.85,5.85,5.85
03-08-2020,6.1,6.1,6.1,6.1
04-08-2020,6.4,6.4,6.4,6.4
05-08-2020,6.7,6.7,6.7,6.7
06-08-2020,7.0,7.0,7.0,7.0
07-08-2020,7.35,7.35,7.35,7.35
10-08-2020,7.7,7.7,7.7,7.7
11-08-2020,8.05,8.05,8.05,8.05
12-08-2020,8.45,8.45,7.65,8.45
13-08-2020,8.85,8.85,8.85,8.85
14-08-2020,9.25,9.25,9.25,9.25
17-08-2020,9.7,9.7,9.7,9.7
18-08-2020,10.15,10.15,9.25,9.25
19-08-2020,8.8,9.7,8.8,9.5
20-08-2020,9.5,9.95,9.1,9.9
21-08-2020,10.3,10.35,9.85,10.35
24-08-2020,10.75,10.85,10.6,10.85
25-08-2020,11.25,11.35,11.0,11.35
26-08-2020,11.0,11.25,10.8,10.8
27-08-2020,10.3,10.3,10.3,10.3
28-08-2020,9.8,9.8,9.8,9.8
31-08-2020,9.35,9.35,9.35,9.35
01-09-2020,8.9,8.9,8.9,8.9
02-09-2020,8.5,8.5,8.5,8.5
03-09-2020,8.1,8.45,8.1,8.1
04-09-2020,7.7,7.7,7.7,7.7
07-09-2020,7.35,7.35,7.35,7.35
08-09-2020,7.0,7.0,7.0,7.0
09-09-2020,6.65,6.65,6.65,6.65
10-09-2020,6.35,6.95,6.35,6.95
11-09-2020,7.25,7.25,6.65,7.25
14-09-2020,7.25,7.6,7.1,7.6
15-09-2020,7.85,7.95,7.5,7.7
16-09-2020,7.85,7.9,7.35,7.35
17-09-2020,7.0,7.0,7.0,7.0
18-09-2020,6.65,7.15,6.65,6.65
21-09-2020,6.65,6.75,6.35,6.35
22-09-2020,6.15,6.3,6.05,6.05
23-09-2020,5.8,6.2,5.75,5.75
24-09-2020,5.6,5.75,5.5,5.5
25-09-2020,5.25,5.75,5.25,5.75
28-09-2020,5.8,6.0,5.8,6.0
29-09-2020,6.3,6.3,5.7,5.7
30-09-2020,5.8,5.95,5.5,5.95
01-10-2020,6.15,6.15,5.75,5.8
05-10-2020,5.95,5.95,5.55,5.6
06-10-2020,5.45,5.7,5.35,5.35
07-10-2020,5.15,5.6,5.15,5.5
08-10-2020,5.7,5.75,5.25,5.25
09-10-2020,5.35,5.45,5.0,5.05
12-10-2020,5.05,5.25,4.8,5.2
13-10-2020,5.1,5.35,5.05,5.25
14-10-2020,5.4,5.5,5.15,5.45
15-10-2020,5.45,5.45,5.2,5.2
16-10-2020,5.25,5.45,4.95,5.45
19-10-2020,5.7,5.7,5.4,5.7
20-10-2020,5.8,5.95,5.55,5.95
21-10-2020,6.1,6.2,6.1,6.2
22-10-2020,6.35,6.5,6.2,6.5
23-10-2020,6.8,6.8,6.8,6.8
26-10-2020,7.1,7.1,6.5,6.5
27-10-2020,6.2,6.45,6.2,6.2
28-10-2020,6.2,6.3,5.9,6.2
29-10-2020,6.2,6.5,6.05,6.5
30-10-2020,6.7,6.8,6.35,6.8
02-11-2020,7.1,7.1,6.7,6.8
03-11-2020,7.0,7.0,6.5,6.5
04-11-2020,6.25,6.35,6.2,6.2
05-11-2020,6.1,6.45,6.0,6.15
06-11-2020,6.3,6.45,6.0,6.35
09-11-2020,6.15,6.45,6.05,6.15
10-11-2020,6.35,6.35,5.85,5.9
11-11-2020,6.05,6.05,5.75,5.95
12-11-2020,6.0,6.15,5.85,6.05
13-11-2020,6.2,6.3,6.0,6.15
14-11-2020,6.4,6.4,6.1,6.2
17-11-2020,6.2,6.2,5.9,5.9
18-11-2020,6.1,6.1,5.75,5.8
19-11-2020,5.65,6.0,5.65,5.85
20-11-2020,5.85,5.95,5.65,5.7
23-11-2020,5.6,5.9,5.55,5.85
24-11-2020,5.9,6.0,5.65,5.75
25-11-2020,5.9,5.9,5.6,5.65
26-11-2020,5.65,5.75,5.5,5.6
27-11-2020,5.7,5.8,5.45,5.55
01-12-2020,5.55,5.8,5.55,5.75
02-12-2020,5.85,5.9,5.6,5.8
03-12-2020,5.75,6.05,5.75,6.0
04-12-2020,6.3,6.3,6.05,6.3
07-12-2020,6.5,6.6,6.5,6.6
08-12-2020,6.9,6.9,6.6,6.8
09-12-2020,6.95,7.1,6.7,6.75
10-12-2020,6.9,6.9,6.45,6.6
11-12-2020,6.4,6.55,6.3,6.3
14-12-2020,6.45,6.6,6.15,6.6
15-12-2020,6.9,6.9,6.35,6.6
16-12-2020,6.75,6.9,6.65,6.9
17-12-2020,7.2,7.2,6.85,7.15
18-12-2020,7.3,7.45,6.8,6.8
21-12-2020,6.8,6.8,6.5,6.5
22-12-2020,6.25,6.3,6.2,6.2
23-12-2020,5.95,6.5,5.95,6.3
24-12-2020,6.3,6.6,6.3,6.6
28-12-2020,6.75,6.9,6.65,6.85
29-12-2020,6.9,7.1,6.55,6.9
30-12-2020,6.95,7.1,6.75,6.9
31-12-2020,7.05,7.05,6.7,6.75
01-01-2021,6.9,6.9,6.75,6.8
04-01-2021,6.9,7.1,6.7,7.05
05-01-2021,7.2,7.4,6.8,7.4
06-01-2021,7.6,7.75,7.45,7.75
07-01-2021,8.1,8.1,8.1,8.1
08-01-2021,8.4,8.45,7.7,7.7
11-01-2021,7.7,7.9,7.35,7.7
12-01-2021,7.4,8.05,7.4,8.05
13-01-2021,8.2,8.45,7.8,8.35
14-01-2021,8.35,8.45,8.05,8.1
15-01-2021,7.95,8.45,7.75,8.15
18-01-2021,8.25,8.3,7.75,7.75
19-01-2021,7.55,7.85,7.5,7.65
20-01-2021,7.75,7.85,7.3,7.35
21-01-2021,7.3,7.45,7.0,7.05
22-01-2021,7.05,7.15,6.7,6.7
25-01-2021,6.6,6.85,6.4,6.5
27-01-2021,6.6,6.8,6.4,6.8
28-01-2021,7.05,7.1,6.7,7.05
29-01-2021,7.1,7.4,6.8,7.4
01-02-2021,7.7,7.75,7.45,7.7
02-02-2021,8.0,8.0,7.35,7.35
03-02-2021,7.3,7.7,7.05,7.5
04-02-2021,7.55,7.85,7.35,7.6
05-02-2021,7.75,8.0,6.9,7.6
08-02-2021,7.6,7.75,7.3,7.45
09-02-2021,7.55,7.55,7.1,7.15
10-02-2021,7.1,7.3,6.8,6.95
11-02-2021,7.2,7.3,6.95,7.2
12-02-2021,7.25,7.6,7.2,7.25
15-02-2021,7.45,7.45,7.05,7.3
16-02-2021,7.2,7.35,7.0,7.1
17-02-2021,7.05,7.3,6.9,7.1
