date,open,high,low,close
22-07-2019,85.0,87.75,85.0,86.05
23-07-2019,89.45,89.45,85.75,86.2
24-07-2019,86.45,88.9,81.35,83.9
25-07-2019,86.35,87.45,80.15,82.1
26-07-2019,84.5,86.1,82.0,83.15
29-07-2019,87.5,87.5,80.8,82.35
30-07-2019,85.0,85.5,81.5,82.45
31-07-2019,80.75,83.45,80.75,82.5
01-08-2019,82.5,84.85,75.5,76.55
02-08-2019,81.1,81.1,71.0,73.0
05-08-2019,73.5,74.25,62.5,66.2
06-08-2019,66.0,79.45,66.0,79.05
07-08-2019,77.45,91.1,75.5,83.25
08-08-2019,83.3,84.5,76.5,79.25
09-08-2019,78.9,82.25,76.55,77.25
13-08-2019,77.25,79.2,73.5,75.5
14-08-2019,75.0,75.55,72.0,72.65
16-08-2019,73.0,73.0,70.15,71.25
19-08-2019,70.25,74.0,70.0,71.1
20-08-2019,70.05,72.8,69.0,69.55
21-08-2019,68.85,72.5,68.0,68.75
22-08-2019,68.9,69.5,64.0,65.0
23-08-2019,66.05,69.9,61.1,68.0
26-08-2019,70.45,70.5,65.55,66.75
27-08-2019,67.35,80.1,67.35,80.1
28-08-2019,83.8,96.1,83.5,93.5
29-08-2019,92.5,95.85,88.8,90.65
30-08-2019,90.5,108.8,90.0,108.5
03-09-2019,105.0,119.35,105.0,118.55
04-09-2019,118.5,128.0,116.0,124.85
05-09-2019,129.0,130.65,126.15,129.25
06-09-2019,128.0,128.0,116.35,116.6
09-09-2019,115.0,116.5,105.0,112.3
11-09-2019,116.5,122.55,113.5,122.55
12-09-2019,129.9,129.9,117.25,118.75
13-09-2019,119.75,122.2,115.5,120.75
16-09-2019,118.0,120.5,108.7,116.95
17-09-2019,121.5,121.5,111.1,114.25
18-09-2019,117.5,117.5,110.5,113.3
19-09-2019,109.15,116.2,109.15,109.85
20-09-2019,110.0,114.7,105.0,109.0
23-09-2019,113.5,114.45,110.0,110.3
24-09-2019,114.0,115.0,108.05,110.45
25-09-2019,110.45,111.55,107.5,109.15
26-09-2019,105.0,111.5,105.0,108.15
27-09-2019,109.0,111.5,107.5,109.0
30-09-2019,109.0,109.0,107.5,107.5
01-10-2019,106.05,110.0,102.5,105.3
03-10-2019,100.25,106.95,100.25,101.8
04-10-2019,101.5,101.5,96.75,98.9
07-10-2019,98.9,98.9,93.95,93.95
09-10-2019,89.5,89.5,89.3,89.3
10-10-2019,90.0,90.0,84.85,84.85
11-10-2019,80.6,88.45,80.6,86.8
14-10-2019,82.65,87.0,82.5,83.4
15-10-2019,82.5,86.0,81.5,85.05
16-10-2019,87.0,87.0,82.5,83.55
17-10-2019,84.0,86.45,81.5,85.45
18-10-2019,87.5,87.5,85.0,86.2
