date,open,high,low,close
22-07-2019,157.85,157.85,157.85,157.85
23-07-2019,154.45,165.7,151.1,165.7
24-07-2019,170.4,173.95,170.25,173.95
25-07-2019,182.45,182.45,165.3,165.3
26-07-2019,157.05,157.05,157.05,157.05
29-07-2019,149.25,164.2,149.2,153.45
30-07-2019,150.95,155.35,145.8,145.8
31-07-2019,138.55,138.55,138.55,138.55
01-08-2019,131.6,142.05,131.6,131.6
02-08-2019,130.45,130.45,125.05,125.05
05-08-2019,131.15,131.15,118.8,118.95
06-08-2019,113.7,124.9,113.7,124.9
07-08-2019,129.25,131.1,120.9,129.7
08-08-2019,130.4,136.15,124.45,136.15
09-08-2019,141.95,142.95,138.65,142.95
13-08-2019,143.15,150.1,142.95,150.1
14-08-2019,156.85,157.6,150.9,157.6
16-08-2019,164.85,165.45,159.8,165.15
19-08-2019,166.05,172.15,161.55,168.25
20-08-2019,169.1,169.55,159.9,168.4
21-08-2019,167.0,167.0,160.9,161.85
22-08-2019,161.55,167.8,153.8,154.75
23-08-2019,152.0,152.0,147.05,147.45
26-08-2019,154.7,154.75,140.25,142.4
27-08-2019,138.0,149.5,135.4,138.15
28-08-2019,138.5,141.85,133.15,137.25
29-08-2019,134.9,142.05,134.9,139.35
30-08-2019,137.05,146.25,132.4,136.2
03-09-2019,140.15,140.25,133.65,137.8
04-09-2019,141.6,142.9,136.05,141.8
05-09-2019,138.1,143.8,135.1,136.7
06-09-2019,136.7,141.4,133.8,138.35
09-09-2019,140.25,140.25,133.8,134.4
11-09-2019,139.35,140.3,134.55,139.75
12-09-2019,143.8,146.25,140.45,146.25
13-09-2019,153.4,153.55,142.95,153.55
16-09-2019,159.8,159.8,146.7,159.15
17-09-2019,155.1,158.0,152.85,154.1
18-09-2019,158.0,158.0,148.05,151.25
19-09-2019,145.9,154.25,143.7,144.25
20-09-2019,143.8,145.6,137.1,138.1
23-09-2019,140.15,141.1,134.05,135.45
24-09-2019,135.4,138.5,132.7,136.3
25-09-2019,137.55,138.5,133.6,134.6
26-09-2019,134.15,137.85,131.4,133.15
27-09-2019,133.2,136.55,127.65,129.7
30-09-2019,128.7,128.7,123.2,123.2
01-10-2019,123.2,123.2,117.1,117.1
