date,open,high,low,close
08-05-2023,108.75,108.95,105.05,107.0
09-05-2023,109.65,110.8,105.55,106.55
10-05-2023,106.3,108.4,103.6,106.1
11-05-2023,105.55,107.0,104.15,104.65
12-05-2023,103.1,107.45,99.9,104.8
15-05-2023,104.8,108.65,103.15,106.1
16-05-2023,106.85,113.65,105.35,109.5
17-05-2023,112.75,113.65,105.55,107.55
18-05-2023,109.15,110.35,107.95,109.0
19-05-2023,110.35,110.35,107.25,108.0
22-05-2023,109.65,109.65,105.95,107.0
23-05-2023,108.6,110.85,106.75,108.05
24-05-2023,109.15,109.25,105.8,108.0
25-05-2023,112.9,112.9,104.35,106.35
26-05-2023,106.95,107.6,102.25,102.6
29-05-2023,104.15,106.95,101.5,103.05
30-05-2023,103.1,105.55,103.1,103.9
31-05-2023,104.65,112.9,103.4,110.0
01-06-2023,110.45,112.75,107.0,107.75
02-06-2023,112.9,113.75,109.7,111.8
05-06-2023,113.5,113.5,109.0,109.7
06-06-2023,111.2,121.4,110.9,118.35
07-06-2023,118.75,120.15,112.5,114.2
08-06-2023,115.25,116.2,111.25,112.75
09-06-2023,110.6,115.3,109.65,111.05
12-06-2023,112.7,112.85,109.0,109.7
13-06-2023,110.85,112.8,108.65,109.1
14-06-2023,112.5,112.6,109.7,111.75
15-06-2023,112.25,113.65,109.65,110.15
16-06-2023,111.8,112.45,107.95,108.95
19-06-2023,111.95,111.95,108.0,108.8
20-06-2023,110.3,110.3,106.75,107.35
21-06-2023,107.35,108.8,102.3,104.5
22-06-2023,104.5,108.0,103.6,104.6
23-06-2023,103.6,106.1,102.95,103.6
26-06-2023,103.6,106.3,102.5,102.95
27-06-2023,104.05,104.35,102.6,103.55
28-06-2023,103.55,104.95,98.65,101.7
30-06-2023,101.65,103.15,100.65,101.35
03-07-2023,102.25,104.3,99.5,100.8
04-07-2023,101.75,102.4,99.0,100.2
05-07-2023,116.0,116.95,106.15,109.35
06-07-2023,110.25,113.65,108.1,111.05
07-07-2023,110.9,111.05,103.0,106.3
10-07-2023,106.0,107.65,103.7,105.1
11-07-2023,106.15,106.2,101.0,101.6
12-07-2023,102.45,102.45,98.0,98.75
13-07-2023,98.75,104.75,97.9,102.0
14-07-2023,102.0,104.4,101.25,101.95
17-07-2023,101.95,103.65,98.3,99.55
18-07-2023,101.05,102.5,99.8,100.1
19-07-2023,101.0,101.9,99.7,100.95
20-07-2023,100.95,101.1,98.25,99.45
21-07-2023,99.3,99.4,96.0,96.45
24-07-2023,96.45,97.45,89.95,92.1
25-07-2023,91.8,95.45,90.75,93.45
26-07-2023,93.0,94.35,87.15,88.4
27-07-2023,90.0,93.4,85.25,92.25
28-07-2023,92.25,93.3,88.8,89.8
31-07-2023,90.7,90.7,89.0,89.45
01-08-2023,90.3,95.0,89.5,94.1
02-08-2023,94.75,94.75,89.9,90.8
03-08-2023,90.8,91.4,88.1,88.75
04-08-2023,89.65,92.85,89.55,91.05
07-08-2023,92.0,92.0,90.05,90.7
08-08-2023,90.05,91.9,87.6,88.35
09-08-2023,89.0,92.2,86.75,90.65
10-08-2023,91.0,91.0,88.25,89.6
11-08-2023,90.45,90.45,88.0,88.25
14-08-2023,89.55,89.55,84.1,84.4
16-08-2023,85.35,86.0,79.8,81.7
17-08-2023,82.0,84.0,81.7,82.05
18-08-2023,82.85,86.0,82.55,83.9
21-08-2023,84.0,84.85,80.05,80.7
22-08-2023,80.3,81.8,79.35,80.5
23-08-2023,80.55,82.8,78.15,79.05
24-08-2023,79.25,79.4,74.8,75.3
25-08-2023,75.3,76.2,67.8,70.35
28-08-2023,70.35,77.0,70.35,74.6
29-08-2023,75.1,76.3,72.4,73.4
30-08-2023,74.3,81.9,73.3,78.15
31-08-2023,79.4,80.2,78.1,79.15
