date,open,high,low,close
23-07-2019,3.55,3.7,3.55,3.7
24-07-2019,3.55,3.55,3.55,3.55
31-07-2019,3.4,3.4,3.4,3.4
01-08-2019,3.25,3.25,3.25,3.25
02-08-2019,3.1,3.1,3.1,3.1
05-08-2019,2.95,2.95,2.95,2.95
06-08-2019,3.05,3.05,3.0,3.0
07-08-2019,2.85,2.85,2.85,2.85
08-08-2019,2.95,2.95,2.95,2.95
09-08-2019,3.0,3.0,2.9,2.9
13-08-2019,3.0,3.0,3.0,3.0
14-08-2019,2.85,2.85,2.85,2.85
16-08-2019,2.75,2.75,2.75,2.75
19-08-2019,2.75,2.85,2.65,2.85
20-08-2019,2.85,2.9,2.85,2.9
21-08-2019,3.0,3.0,2.85,2.85
22-08-2019,2.85,2.85,2.75,2.75
23-08-2019,2.75,2.8,2.75,2.75
26-08-2019,2.75,2.75,2.65,2.65
27-08-2019,2.6,2.75,2.6,2.6
28-08-2019,2.5,2.7,2.5,2.7
29-08-2019,2.75,2.75,2.6,2.7
30-08-2019,2.7,2.7,2.7,2.7
03-09-2019,2.65,2.65,2.65,2.65
04-09-2019,2.55,2.65,2.55,2.65
06-09-2019,2.75,2.75,2.55,2.75
09-09-2019,2.75,2.75,2.7,2.7
11-09-2019,2.75,2.75,2.6,2.6
12-09-2019,2.7,2.7,2.5,2.7
13-09-2019,2.6,2.7,2.6,2.65
16-09-2019,2.65,2.75,2.55,2.6
17-09-2019,2.7,2.7,2.7,2.7
18-09-2019,2.7,2.8,2.6,2.8
19-09-2019,2.8,2.8,2.7,2.7
20-09-2019,2.6,2.6,2.6,2.6
23-09-2019,2.6,2.6,2.6,2.6
24-09-2019,2.6,2.7,2.6,2.6
26-09-2019,2.7,2.7,2.6,2.6
27-09-2019,2.7,2.7,2.5,2.5
30-09-2019,2.5,2.5,2.4,2.4
01-10-2019,2.4,2.4,2.3,2.3
03-10-2019,2.3,2.4,2.3,2.4
04-10-2019,2.3,2.3,2.3,2.3
07-10-2019,2.2,2.4,2.2,2.4
09-10-2019,2.2,2.6,2.2,2.6
10-10-2019,2.6,2.85,2.4,2.7
11-10-2019,2.75,2.95,2.5,2.85
