date,open,high,low,close
22-07-2019,17.1,17.1,16.15,16.75
23-07-2019,16.7,17.05,15.7,16.8
24-07-2019,17.4,17.45,16.5,16.7
25-07-2019,17.0,17.15,15.7,16.7
26-07-2019,16.55,17.4,16.2,17.1
29-07-2019,17.2,17.3,16.1,16.4
30-07-2019,16.5,16.7,15.5,15.85
31-07-2019,16.05,16.4,15.4,16.25
01-08-2019,16.3,16.4,15.4,16.3
02-08-2019,16.15,17.4,15.0,17.05
05-08-2019,16.85,16.9,15.8,16.8
06-08-2019,16.4,17.05,16.0,17.0
07-08-2019,16.9,16.95,16.05,16.65
08-08-2019,16.7,16.95,15.75,16.55
09-08-2019,16.65,16.9,15.8,16.55
13-08-2019,16.45,16.7,15.9,16.5
14-08-2019,16.35,16.8,15.5,16.25
16-08-2019,16.15,16.7,15.5,15.75
19-08-2019,15.55,16.65,15.5,16.45
20-08-2019,16.6,17.0,16.2,16.75
21-08-2019,16.7,17.0,16.1,16.2
22-08-2019,16.1,16.9,15.55,16.1
23-08-2019,16.4,18.5,16.1,16.95
26-08-2019,17.75,18.0,17.05,17.5
27-08-2019,18.3,18.3,16.65,17.85
28-08-2019,18.4,18.4,16.9,17.75
29-08-2019,17.6,17.95,17.3,17.7
30-08-2019,17.8,17.95,16.45,17.1
03-09-2019,17.15,17.3,16.75,17.1
04-09-2019,17.05,17.5,16.6,17.4
05-09-2019,17.45,17.6,16.75,17.5
06-09-2019,17.5,18.5,16.65,18.3
09-09-2019,18.05,20.0,17.85,19.95
11-09-2019,19.95,21.9,19.8,21.45
12-09-2019,20.4,22.7,20.4,21.75
13-09-2019,23.25,23.25,20.35,20.65
16-09-2019,20.65,21.45,20.25,20.5
17-09-2019,20.35,20.8,19.65,20.2
18-09-2019,20.5,21.25,19.55,20.85
19-09-2019,21.0,21.0,19.4,20.25
20-09-2019,20.9,21.5,19.45,19.75
23-09-2019,20.35,20.65,19.75,19.75
24-09-2019,19.8,19.95,19.1,19.4
25-09-2019,19.2,19.2,18.7,18.85
26-09-2019,19.0,19.15,18.5,18.75
27-09-2019,18.95,19.25,15.0,16.0
30-09-2019,15.15,17.75,15.15,17.2
01-10-2019,17.5,18.15,16.5,17.7
03-10-2019,17.65,18.85,16.9,17.3
04-10-2019,16.8,17.8,16.55,17.15
07-10-2019,17.35,17.75,15.35,16.6
09-10-2019,15.4,17.5,15.4,17.05
10-10-2019,17.75,17.75,16.1,16.65
11-10-2019,16.85,17.6,16.7,17.15
14-10-2019,17.45,17.85,17.1,17.3
15-10-2019,17.6,17.7,16.65,17.2
16-10-2019,16.3,17.7,16.25,16.75
17-10-2019,17.0,17.4,16.6,17.2
18-10-2019,17.4,17.7,16.6,17.3
22-10-2019,18.3,18.3,16.5,16.75
23-10-2019,16.25,17.0,14.25,16.95
24-10-2019,17.0,17.0,15.65,16.6
25-10-2019,16.0,16.8,15.8,16.05
27-10-2019,16.6,16.75,16.1,16.3
29-10-2019,16.15,16.65,15.25,15.55
30-10-2019,15.7,16.2,15.5,16.0
31-10-2019,16.4,16.4,15.4,15.85
01-11-2019,16.35,16.35,15.7,15.8
04-11-2019,14.8,16.25,14.8,16.05
05-11-2019,16.1,16.55,15.5,15.9
06-11-2019,15.7,16.25,15.6,15.6
07-11-2019,15.9,16.5,14.75,16.2
08-11-2019,16.5,16.6,15.7,15.95
11-11-2019,16.05,16.2,15.6,15.85
13-11-2019,15.85,15.9,15.0,15.45
14-11-2019,15.1,16.2,15.1,16.05
15-11-2019,16.15,16.15,15.1,15.85
18-11-2019,15.7,16.2,15.5,15.5
19-11-2019,15.4,16.05,13.6,15.95
20-11-2019,15.8,16.15,15.5,15.95
21-11-2019,15.9,15.95,15.3,15.6
22-11-2019,15.65,15.95,14.5,15.05
25-11-2019,15.55,15.55,14.7,15.15
26-11-2019,15.0,15.35,14.8,15.05
27-11-2019,15.1,15.2,14.0,14.2
28-11-2019,14.35,14.45,13.65,14.2
29-11-2019,14.75,14.75,13.9,14.25
02-12-2019,14.35,14.9,13.65,14.55
03-12-2019,14.25,14.5,13.65,14.0
04-12-2019,13.95,14.7,13.7,14.5
05-12-2019,14.55,14.6,14.2,14.5
06-12-2019,14.65,14.65,13.85,14.1
09-12-2019,14.0,14.25,13.8,13.85
10-12-2019,14.0,14.0,13.1,13.55
11-12-2019,13.65,13.65,12.4,12.75
12-12-2019,12.9,13.0,12.35,12.65
13-12-2019,13.05,13.5,12.7,13.0
16-12-2019,12.95,13.1,12.55,13.05
17-12-2019,12.9,14.2,11.5,13.6
18-12-2019,13.65,13.95,13.1,13.3
19-12-2019,13.3,13.7,13.25,13.35
20-12-2019,13.6,13.8,13.1,13.1
23-12-2019,13.1,13.5,12.8,13.2
24-12-2019,13.5,13.55,12.75,12.8
26-12-2019,12.8,13.0,12.6,12.75
27-12-2019,12.85,14.0,11.55,13.75
30-12-2019,13.95,13.95,11.3,12.45
31-12-2019,13.5,14.85,11.65,13.0
01-01-2020,14.3,14.85,13.3,13.7
02-01-2020,14.0,14.25,12.95,13.45
03-01-2020,14.25,14.25,13.3,13.5
06-01-2020,13.5,13.5,11.9,12.2
07-01-2020,12.6,13.6,12.2,13.15
08-01-2020,12.7,13.15,12.45,12.8
09-01-2020,12.75,13.15,12.5,13.0
10-01-2020,13.15,14.4,12.6,13.95
13-01-2020,14.0,14.4,13.25,13.85
14-01-2020,14.1,14.1,13.3,13.65
15-01-2020,13.5,13.9,13.3,13.55
16-01-2020,14.0,14.0,13.05,13.3
17-01-2020,13.5,13.95,13.15,13.25
20-01-2020,13.3,13.5,10.75,13.25
21-01-2020,13.0,13.65,12.4,13.45
22-01-2020,13.1,13.6,13.05,13.4
23-01-2020,13.5,13.5,11.9,12.65
24-01-2020,12.85,13.45,12.7,13.3
27-01-2020,13.4,13.85,12.55,13.4
28-01-2020,13.5,13.5,12.55,13.15
29-01-2020,13.1,14.3,12.8,13.95
30-01-2020,13.8,14.6,13.6,14.1
31-01-2020,13.9,14.5,13.9,14.3
