date,open,high,low,close
22-07-2019,646.3,649.0,630.1,646.6
23-07-2019,641.3,677.0,635.0,642.7
24-07-2019,631.7,657.85,631.7,640.45
25-07-2019,638.65,642.55,618.0,619.85
26-07-2019,639.0,639.0,610.35,636.05
29-07-2019,639.0,639.0,611.0,612.55
30-07-2019,629.0,629.5,602.0,611.6
31-07-2019,610.05,617.0,600.15,606.55
01-08-2019,604.05,607.05,603.05,606.8
02-08-2019,614.2,614.2,600.15,602.55
05-08-2019,601.0,606.0,580.2,596.75
06-08-2019,595.25,605.05,581.2,602.35
07-08-2019,594.05,608.05,588.05,594.15
08-08-2019,590.0,616.75,580.05,606.8
09-08-2019,605.0,619.5,605.0,614.8
13-08-2019,601.05,630.05,601.05,608.5
14-08-2019,616.05,628.0,603.05,627.95
16-08-2019,601.0,601.9,585.55,595.9
19-08-2019,581.15,626.0,581.15,600.25
20-08-2019,594.0,609.45,590.1,602.0
21-08-2019,631.95,631.95,570.0,574.35
22-08-2019,557.55,568.05,532.05,542.0
23-08-2019,533.3,564.9,533.3,546.4
26-08-2019,546.0,570.0,541.35,554.45
27-08-2019,548.7,554.0,548.25,553.9
28-08-2019,556.55,598.95,556.55,573.2
29-08-2019,565.7,565.7,548.0,550.65
30-08-2019,570.05,589.65,564.0,570.95
03-09-2019,560.0,575.05,560.0,565.8
04-09-2019,558.75,575.0,550.1,552.45
05-09-2019,558.0,568.95,548.3,550.0
06-09-2019,550.35,577.15,549.7,553.9
09-09-2019,555.5,564.25,546.4,549.3
11-09-2019,552.3,589.95,550.55,571.7
12-09-2019,582.05,589.0,572.0,575.9
13-09-2019,566.75,585.1,555.05,577.35
16-09-2019,577.35,577.35,563.05,573.7
17-09-2019,573.65,578.9,568.0,569.95
18-09-2019,557.05,586.8,557.05,571.75
19-09-2019,579.0,589.0,566.7,581.35
20-09-2019,591.75,625.0,552.0,577.9
23-09-2019,635.0,635.0,570.15,607.5
24-09-2019,590.0,621.0,580.0,587.25
25-09-2019,596.0,598.7,568.0,576.75
26-09-2019,580.05,599.0,580.0,580.6
27-09-2019,586.05,600.0,580.0,585.9
30-09-2019,584.0,589.0,569.3,578.55
01-10-2019,581.05,602.05,575.3,596.0
03-10-2019,595.0,595.0,585.0,590.0
04-10-2019,585.05,599.8,580.0,585.05
07-10-2019,587.2,599.95,568.0,587.6
09-10-2019,570.65,582.5,564.95,575.0
10-10-2019,586.05,595.0,571.95,576.5
11-10-2019,570.0,587.55,566.0,566.9
14-10-2019,583.0,606.0,570.0,588.85
15-10-2019,571.5,609.0,571.5,577.6
16-10-2019,578.1,586.0,570.25,575.8
17-10-2019,568.05,593.0,568.05,579.0
18-10-2019,585.65,592.0,576.4,586.75
22-10-2019,599.0,625.0,578.0,592.9
23-10-2019,605.0,615.05,591.0,600.7
24-10-2019,585.75,609.0,585.7,596.35
25-10-2019,599.0,600.0,578.55,588.85
27-10-2019,595.95,644.3,591.5,621.6
29-10-2019,601.05,608.0,593.05,597.6
30-10-2019,609.95,609.95,590.4,594.15
31-10-2019,590.0,619.95,588.35,609.0
01-11-2019,610.05,620.0,610.0,611.1
