date,open,high,low,close
22-07-2019,260.5,282.05,250.4,280.05
23-07-2019,271.6,277.95,267.25,275.0
24-07-2019,269.0,278.75,268.0,269.4
25-07-2019,269.6,274.65,264.05,269.7
26-07-2019,261.7,272.0,261.0,268.45
29-07-2019,261.15,266.7,261.0,262.0
30-07-2019,254.5,269.0,254.5,267.0
31-07-2019,252.0,268.95,252.0,264.65
01-08-2019,260.0,265.0,256.0,260.45
02-08-2019,251.1,264.85,249.0,261.8
05-08-2019,249.0,262.8,233.8,245.4
06-08-2019,238.05,254.0,238.05,251.7
07-08-2019,263.0,263.0,236.0,248.2
08-08-2019,250.0,254.95,240.0,249.55
09-08-2019,251.25,254.5,244.2,250.6
13-08-2019,250.6,250.6,236.35,239.0
14-08-2019,236.9,244.7,235.1,236.45
16-08-2019,236.0,236.9,231.6,233.0
19-08-2019,233.0,239.65,233.0,236.15
20-08-2019,237.0,241.0,237.0,239.25
21-08-2019,240.9,248.45,237.35,238.5
22-08-2019,228.0,241.5,228.0,235.55
23-08-2019,228.5,244.0,214.4,233.65
26-08-2019,245.0,245.0,227.1,242.55
27-08-2019,235.4,244.45,230.55,239.05
28-08-2019,242.0,247.15,231.35,239.0
29-08-2019,241.95,249.0,236.0,244.8
30-08-2019,244.75,259.0,236.05,248.55
03-09-2019,243.5,252.0,238.75,246.55
04-09-2019,243.0,268.95,238.5,257.55
05-09-2019,250.0,259.9,250.0,256.95
06-09-2019,258.0,259.0,253.15,258.4
09-09-2019,258.4,269.5,255.0,258.6
11-09-2019,261.0,261.4,257.0,258.2
12-09-2019,258.25,261.95,246.75,253.55
13-09-2019,260.0,260.0,249.0,257.65
16-09-2019,259.7,278.95,250.15,269.65
17-09-2019,266.0,268.05,251.25,254.8
18-09-2019,256.0,264.0,240.55,246.0
19-09-2019,252.9,252.9,240.05,245.95
20-09-2019,243.0,257.5,242.0,253.5
23-09-2019,259.85,265.15,250.0,264.25
24-09-2019,264.25,280.0,252.1,262.75
25-09-2019,260.0,263.0,250.85,258.15
26-09-2019,264.75,264.95,252.5,255.6
27-09-2019,250.15,264.35,241.8,246.55
30-09-2019,246.6,246.6,238.0,241.9
01-10-2019,245.85,245.85,227.0,230.25
03-10-2019,225.5,246.65,225.5,233.55
