date,open,high,low,close
22-07-2019,50.6,51.1,48.95,50.05
23-07-2019,49.4,50.15,49.2,49.9
24-07-2019,49.2,50.05,49.2,49.7
25-07-2019,49.7,50.1,49.2,49.65
26-07-2019,49.2,50.15,49.2,49.8
29-07-2019,49.05,50.35,49.05,50.15
30-07-2019,49.85,50.05,49.6,49.75
31-07-2019,49.2,50.05,49.2,49.75
01-08-2019,49.2,49.7,46.95,47.7
02-08-2019,47.6,47.7,45.95,46.8
05-08-2019,46.8,46.95,46.05,46.85
06-08-2019,46.4,49.2,46.05,46.65
07-08-2019,47.05,48.2,46.5,46.8
08-08-2019,47.35,47.35,45.95,46.25
09-08-2019,46.0,47.15,45.4,46.8
13-08-2019,46.85,47.9,46.6,47.25
14-08-2019,43.95,43.95,37.8,37.8
16-08-2019,35.05,37.6,32.55,33.4
19-08-2019,33.3,35.05,33.0,33.2
20-08-2019,33.2,34.2,29.45,33.7
21-08-2019,33.3,33.75,30.95,31.35
22-08-2019,30.95,32.7,29.55,31.4
23-08-2019,31.3,31.55,30.35,30.6
26-08-2019,31.5,31.6,30.0,31.05
27-08-2019,31.75,34.15,31.2,33.65
28-08-2019,34.2,34.4,31.6,32.15
29-08-2019,31.5,32.8,30.45,31.15
30-08-2019,31.25,31.65,30.65,31.2
03-09-2019,31.05,31.4,30.65,31.1
04-09-2019,31.2,31.6,30.65,31.15
05-09-2019,31.15,31.5,30.55,31.05
06-09-2019,31.4,31.5,30.45,30.95
09-09-2019,30.95,34.05,30.75,32.2
11-09-2019,32.25,33.05,31.3,32.35
12-09-2019,32.5,33.45,31.85,32.05
13-09-2019,32.05,32.25,31.45,32.1
16-09-2019,32.15,32.85,30.65,31.3
17-09-2019,31.5,31.8,30.65,31.1
18-09-2019,31.35,31.85,31.2,31.55
19-09-2019,30.95,31.4,30.45,30.5
20-09-2019,30.5,32.6,30.5,32.4
23-09-2019,33.7,35.5,32.8,33.1
24-09-2019,31.95,36.1,31.95,34.3
25-09-2019,34.3,35.75,33.55,34.7
26-09-2019,34.0,35.6,33.35,33.6
27-09-2019,33.55,34.25,33.0,33.3
30-09-2019,33.0,33.5,32.05,32.4
01-10-2019,33.25,33.3,31.85,32.25
03-10-2019,31.85,32.8,31.4,32.0
04-10-2019,31.7,33.45,31.7,32.05
07-10-2019,32.15,33.25,31.05,33.0
09-10-2019,31.85,33.1,31.7,32.95
10-10-2019,31.9,33.1,31.9,32.8
11-10-2019,31.5,33.65,31.5,33.3
14-10-2019,32.85,34.05,32.35,33.4
15-10-2019,33.4,34.1,31.85,31.9
16-10-2019,32.05,32.35,30.95,31.05
17-10-2019,31.3,31.7,31.05,31.35
18-10-2019,31.45,32.95,31.05,32.35
22-10-2019,32.45,32.65,31.95,32.15
23-10-2019,32.15,34.1,31.8,33.2
24-10-2019,33.75,33.75,32.4,32.7
25-10-2019,32.65,33.0,32.55,32.75
27-10-2019,32.45,33.1,32.05,32.6
29-10-2019,32.3,33.4,32.3,32.9
30-10-2019,32.25,33.15,32.05,32.8
31-10-2019,32.7,33.25,31.45,32.0
01-11-2019,31.7,36.3,31.7,35.4
04-11-2019,35.8,40.4,35.8,38.75
05-11-2019,38.95,39.35,36.8,37.3
06-11-2019,37.25,38.75,37.2,37.5
07-11-2019,36.7,39.55,36.7,38.15
08-11-2019,37.7,39.35,37.7,38.55
11-11-2019,39.05,39.55,37.05,37.7
13-11-2019,38.6,39.15,37.75,38.1
14-11-2019,37.55,39.3,37.25,38.75
15-11-2019,38.5,41.55,38.5,40.0
18-11-2019,40.25,40.75,39.0,40.1
19-11-2019,40.5,40.95,38.65,39.25
20-11-2019,38.9,39.8,36.95,38.65
21-11-2019,39.8,39.8,38.1,38.95
22-11-2019,38.7,41.05,38.7,39.1
25-11-2019,39.45,39.45,37.7,39.05
26-11-2019,38.65,39.35,37.6,38.05
27-11-2019,38.4,39.55,38.05,38.2
28-11-2019,38.2,39.0,38.15,38.4
29-11-2019,38.35,39.35,37.65,38.9
02-12-2019,38.4,39.3,38.1,39.1
03-12-2019,38.65,39.95,38.5,39.7
04-12-2019,40.15,40.3,39.35,39.8
05-12-2019,39.8,40.0,39.45,39.8
06-12-2019,39.35,40.7,39.35,39.9
09-12-2019,39.45,39.9,38.65,39.4
10-12-2019,39.4,39.6,39.3,39.45
11-12-2019,40.8,40.8,39.5,39.65
12-12-2019,38.9,39.85,38.9,39.7
13-12-2019,40.7,40.7,39.35,39.95
16-12-2019,39.05,40.5,39.05,39.7
17-12-2019,40.5,40.5,39.55,39.75
18-12-2019,39.85,39.95,39.55,39.8
19-12-2019,38.6,39.95,38.6,39.55
20-12-2019,39.2,39.95,39.2,39.8
23-12-2019,40.3,40.3,39.3,39.6
24-12-2019,39.7,39.95,39.5,39.8
26-12-2019,39.35,42.3,39.35,40.6
27-12-2019,40.55,40.6,39.8,39.95
30-12-2019,40.3,40.4,39.55,39.8
31-12-2019,39.5,41.45,39.3,40.4
01-01-2020,40.65,41.25,39.85,40.35
02-01-2020,40.1,40.85,39.95,40.4
03-01-2020,40.05,40.65,39.65,39.9
06-01-2020,39.65,39.85,38.65,39.0
07-01-2020,39.0,39.7,38.55,38.75
08-01-2020,38.45,40.6,38.45,38.8
09-01-2020,39.3,40.05,38.8,39.55
10-01-2020,39.7,40.5,39.55,40.25
13-01-2020,39.75,40.75,39.6,40.0
14-01-2020,39.85,42.1,39.4,39.95
15-01-2020,39.95,41.05,39.85,40.35
16-01-2020,40.4,42.0,40.05,41.75
17-01-2020,42.2,42.3,40.55,40.8
20-01-2020,41.65,41.95,40.25,41.25
21-01-2020,40.4,41.25,40.4,40.85
22-01-2020,40.8,41.05,39.65,40.0
23-01-2020,39.9,40.3,39.65,40.05
24-01-2020,41.05,41.05,39.35,39.8
27-01-2020,38.6,39.85,38.6,39.5
28-01-2020,39.65,40.25,39.2,39.75
29-01-2020,39.8,40.05,39.35,39.7
30-01-2020,39.3,40.5,39.2,39.3
31-01-2020,39.6,39.65,39.1,39.35
01-02-2020,38.45,38.45,34.4,35.25
03-02-2020,36.3,36.3,34.05,34.25
04-02-2020,34.25,36.85,34.25,36.45
05-02-2020,36.1,36.1,35.15,35.5
06-02-2020,34.7,38.65,33.75,37.4
07-02-2020,37.8,37.85,36.55,37.1
10-02-2020,37.05,38.9,37.05,37.65
11-02-2020,37.05,37.85,37.05,37.55
12-02-2020,37.1,37.95,37.05,37.75
13-02-2020,36.9,38.6,36.1,38.45
14-02-2020,38.8,38.8,37.5,37.65
17-02-2020,37.6,38.45,35.15,37.85
18-02-2020,38.6,38.6,36.55,36.95
19-02-2020,36.35,37.95,36.0,37.25
20-02-2020,37.05,37.05,35.8,35.95
24-02-2020,35.6,35.9,34.85,35.05
25-02-2020,35.05,35.5,34.6,34.85
26-02-2020,34.6,35.4,33.75,34.6
27-02-2020,34.4,34.8,32.8,34.35
28-02-2020,33.75,33.75,31.7,32.2
02-03-2020,32.35,33.1,32.2,32.9
03-03-2020,32.35,33.9,32.05,32.55
04-03-2020,32.15,32.85,31.5,32.45
05-03-2020,33.15,33.15,31.2,31.65
06-03-2020,31.2,31.25,29.55,30.65
09-03-2020,29.8,30.4,28.7,28.9
11-03-2020,28.8,29.55,28.2,28.55
12-03-2020,27.95,28.4,25.8,26.45
13-03-2020,22.7,31.7,21.55,25.85
16-03-2020,23.1,23.9,21.75,22.1
17-03-2020,22.25,23.05,20.8,21.2
18-03-2020,21.2,22.55,20.45,21.4
19-03-2020,19.05,22.5,19.05,22.1
20-03-2020,21.4,22.5,20.75,22.0
23-03-2020,17.65,22.5,17.6,20.8
24-03-2020,21.0,22.4,19.65,21.8
25-03-2020,23.05,23.05,19.0,19.6
26-03-2020,18.3,20.8,18.3,18.95
27-03-2020,18.95,20.3,18.45,18.75
30-03-2020,17.55,19.5,17.35,17.8
31-03-2020,19.1,19.1,17.05,18.3
01-04-2020,19.7,19.7,17.35,19.2
03-04-2020,18.45,20.65,18.0,20.3
07-04-2020,21.1,21.9,20.35,21.35
08-04-2020,21.2,25.6,20.65,23.35
09-04-2020,24.0,26.45,23.45,23.85
13-04-2020,23.6,24.35,22.95,23.15
15-04-2020,24.3,25.8,22.95,24.0
16-04-2020,23.8,25.1,21.55,22.25
17-04-2020,23.9,24.85,22.3,24.45
20-04-2020,23.6,26.45,23.6,25.9
21-04-2020,25.9,26.25,23.65,24.6
22-04-2020,23.6,26.15,23.6,25.2
23-04-2020,25.45,25.9,24.55,25.55
24-04-2020,25.2,25.55,24.85,25.25
27-04-2020,24.85,25.85,23.65,24.55
28-04-2020,24.0,26.8,24.0,25.6
29-04-2020,25.4,26.15,25.05,25.4
30-04-2020,25.8,25.8,25.3,25.35
04-05-2020,23.8,25.3,23.8,24.35
05-05-2020,25.15,25.15,23.95,24.4
06-05-2020,25.2,29.25,24.0,24.15
07-05-2020,23.9,25.3,23.05,23.95
08-05-2020,23.45,24.9,22.3,22.75
11-05-2020,22.35,27.35,22.35,27.25
12-05-2020,26.05,26.7,24.7,25.1
13-05-2020,26.5,26.55,24.7,25.1
14-05-2020,24.0,25.25,24.0,24.65
15-05-2020,25.3,25.3,24.0,24.8
18-05-2020,23.9,25.1,23.9,24.45
19-05-2020,24.4,27.95,24.35,25.25
20-05-2020,25.25,29.8,23.75,29.1
21-05-2020,28.4,28.4,26.8,27.25
22-05-2020,27.25,27.95,26.3,26.8
26-05-2020,26.75,27.35,26.25,26.45
27-05-2020,26.55,27.45,25.85,26.5
28-05-2020,26.6,27.3,25.3,25.8
29-05-2020,25.8,25.85,25.05,25.35
01-06-2020,25.8,27.1,25.6,25.85
02-06-2020,26.2,26.7,25.8,26.15
03-06-2020,26.35,31.35,26.15,31.35
04-06-2020,33.55,37.65,33.15,37.65
05-06-2020,41.25,41.4,38.15,41.4
08-06-2020,44.85,44.85,37.65,38.95
09-06-2020,39.0,40.95,37.95,40.05
10-06-2020,40.1,40.8,36.25,39.95
11-06-2020,39.0,40.2,38.8,39.85
12-06-2020,37.95,40.3,37.5,39.75
15-06-2020,40.7,40.8,39.4,39.95
16-06-2020,40.1,40.7,39.85,40.4
17-06-2020,41.0,42.2,40.05,40.35
18-06-2020,41.15,41.15,39.1,40.0
19-06-2020,39.55,40.3,39.35,39.85
22-06-2020,39.85,41.35,39.1,40.45
23-06-2020,41.15,41.3,40.5,41.1
24-06-2020,40.95,41.25,40.45,40.85
25-06-2020,39.55,41.15,39.1,40.75
26-06-2020,39.9,40.8,39.85,40.8
29-06-2020,40.7,40.85,39.85,40.0
30-06-2020,40.2,40.7,39.95,40.05
01-07-2020,39.95,40.05,39.65,40.0
02-07-2020,39.55,40.85,39.55,40.05
03-07-2020,40.5,40.7,39.85,40.0
06-07-2020,39.2,40.8,39.2,40.7
07-07-2020,40.7,40.7,38.1,40.05
08-07-2020,39.85,40.8,39.85,40.55
09-07-2020,40.8,40.8,39.95,40.3
10-07-2020,39.55,40.8,39.35,40.05
13-07-2020,39.75,40.8,39.75,40.05
14-07-2020,40.25,40.75,39.75,40.65
15-07-2020,39.95,42.95,39.95,40.9
16-07-2020,40.9,41.7,40.1,40.85
17-07-2020,40.1,41.0,40.1,40.45
20-07-2020,41.0,44.5,41.0,44.5
21-07-2020,45.95,47.15,43.6,44.05
22-07-2020,44.55,45.75,41.85,42.4
23-07-2020,42.55,44.55,41.5,44.1
24-07-2020,44.05,44.55,42.2,43.05
27-07-2020,43.1,45.85,43.1,44.7
28-07-2020,45.8,46.8,45.15,46.1
29-07-2020,46.05,50.45,46.05,48.3
30-07-2020,48.95,49.55,44.55,46.05
31-07-2020,45.75,49.45,44.55,45.15
03-08-2020,45.95,46.85,43.6,43.85
04-08-2020,44.55,45.45,43.85,44.45
05-08-2020,45.2,45.2,42.8,43.9
06-08-2020,43.6,44.55,43.6,43.8
07-08-2020,44.7,44.7,42.85,43.05
10-08-2020,44.0,47.35,42.35,46.65
11-08-2020,46.8,46.8,43.85,44.5
12-08-2020,44.55,44.55,42.9,44.05
13-08-2020,44.6,45.0,43.7,44.55
14-08-2020,44.8,45.35,43.7,44.15
17-08-2020,44.15,45.35,43.95,44.5
18-08-2020,43.75,45.55,43.75,45.2
19-08-2020,46.3,46.3,44.85,45.35
20-08-2020,45.55,45.55,44.05,44.3
21-08-2020,44.35,45.1,43.85,44.25
24-08-2020,45.45,47.35,44.3,46.3
25-08-2020,46.85,48.6,46.4,47.85
26-08-2020,48.75,50.0,47.8,49.5
27-08-2020,50.55,54.4,48.3,51.7
28-08-2020,51.85,53.45,50.05,50.45
31-08-2020,50.45,51.35,46.0,48.05
01-09-2020,47.1,50.6,45.85,46.8
02-09-2020,48.75,49.2,47.15,48.45
03-09-2020,48.5,49.25,47.65,48.35
04-09-2020,47.45,48.3,46.85,47.05
07-09-2020,46.6,48.2,46.6,47.45
08-09-2020,47.75,50.6,47.55,48.85
09-09-2020,48.0,49.5,48.0,49.05
10-09-2020,49.7,52.05,48.55,49.25
11-09-2020,49.7,50.45,48.95,49.65
14-09-2020,49.7,51.1,49.1,49.85
15-09-2020,49.85,52.2,49.45,51.75
16-09-2020,52.4,56.55,51.85,55.2
17-09-2020,54.45,55.3,53.55,53.8
18-09-2020,54.35,54.6,51.7,52.35
21-09-2020,51.4,53.35,50.55,51.5
22-09-2020,50.55,54.35,49.15,50.8
23-09-2020,51.55,52.2,49.35,51.15
24-09-2020,50.05,50.85,48.95,49.4
25-09-2020,50.45,53.9,49.7,52.8
28-09-2020,53.8,54.65,52.5,53.15
29-09-2020,54.2,54.2,51.9,52.5
30-09-2020,51.85,54.35,51.3,52.5
01-10-2020,51.6,53.35,51.4,51.75
05-10-2020,51.3,53.2,51.3,51.75
06-10-2020,52.8,52.8,51.65,52.1
07-10-2020,51.1,52.7,50.6,51.6
08-10-2020,51.6,54.65,51.6,52.45
09-10-2020,52.6,55.3,51.95,53.95
12-10-2020,54.65,55.1,52.05,52.45
13-10-2020,52.4,56.9,52.1,55.8
14-10-2020,55.8,58.1,54.3,55.0
15-10-2020,55.0,55.15,52.1,52.45
16-10-2020,52.75,53.9,51.55,52.15
19-10-2020,52.05,54.3,51.95,53.1
20-10-2020,52.2,53.35,52.05,52.6
21-10-2020,52.5,54.2,52.05,53.55
22-10-2020,53.05,54.75,53.05,54.4
23-10-2020,54.85,56.05,53.75,55.05
26-10-2020,55.3,59.5,55.3,56.75
27-10-2020,57.05,58.95,56.65,58.55
28-10-2020,59.05,60.45,57.45,58.45
29-10-2020,62.2,67.25,59.9,64.0
30-10-2020,64.5,66.35,61.0,61.95
02-11-2020,62.5,64.7,60.9,61.75
03-11-2020,62.85,64.4,61.0,63.65
04-11-2020,64.2,69.2,62.8,63.65
05-11-2020,64.0,67.0,63.75,65.6
06-11-2020,65.95,66.55,63.05,63.85
09-11-2020,64.15,68.25,64.15,66.95
10-11-2020,67.25,67.7,65.15,65.7
11-11-2020,66.1,70.4,65.6,69.55
12-11-2020,68.45,76.5,68.45,74.0
13-11-2020,74.4,74.95,72.4,73.8
14-11-2020,74.4,74.75,72.5,73.55
17-11-2020,73.2,74.45,71.85,73.05
18-11-2020,73.2,73.2,71.2,71.95
19-11-2020,71.8,74.0,70.7,72.8
20-11-2020,73.15,73.15,70.45,71.75
23-11-2020,70.9,76.4,70.6,72.05
24-11-2020,72.55,73.55,71.5,71.95
25-11-2020,71.4,72.35,70.2,70.45
26-11-2020,69.85,73.6,69.85,72.35
27-11-2020,72.2,73.85,71.1,73.3
01-12-2020,73.75,73.75,71.7,72.0
02-12-2020,71.35,72.45,70.85,71.9
03-12-2020,71.5,72.35,69.15,70.1
04-12-2020,70.5,71.7,68.15,71.5
07-12-2020,72.65,73.85,71.45,72.1
