date,open,high,low,close
22-07-2019,24.5,25.2,23.5,24.0
23-07-2019,23.65,25.0,23.65,24.5
24-07-2019,25.7,25.7,24.45,24.5
25-07-2019,24.1,24.8,24.1,24.5
26-07-2019,24.05,24.9,23.85,24.75
29-07-2019,24.8,25.6,23.5,24.15
30-07-2019,24.25,25.0,23.55,23.85
31-07-2019,23.4,24.1,23.0,23.65
01-08-2019,23.5,24.65,22.75,23.1
02-08-2019,22.6,23.8,22.6,23.2
05-08-2019,22.6,24.0,22.35,22.55
06-08-2019,22.0,23.5,22.0,23.0
07-08-2019,23.9,23.9,22.4,22.9
08-08-2019,22.5,23.0,22.5,22.65
09-08-2019,23.35,24.0,23.25,23.5
13-08-2019,24.15,25.0,23.7,23.95
14-08-2019,25.7,25.75,23.5,23.55
16-08-2019,23.4,24.05,23.3,23.7
19-08-2019,23.8,24.2,23.45,23.55
20-08-2019,24.4,24.4,23.45,23.7
21-08-2019,23.85,23.85,22.55,23.6
22-08-2019,23.0,23.75,22.75,23.3
23-08-2019,24.05,24.3,23.0,23.85
26-08-2019,24.95,26.0,23.6,25.0
27-08-2019,25.75,25.75,24.5,25.0
28-08-2019,24.55,25.35,24.5,24.5
29-08-2019,24.3,24.95,24.15,24.5
30-08-2019,24.9,25.0,24.1,24.35
03-09-2019,23.95,24.8,23.2,23.95
04-09-2019,24.75,24.75,23.75,24.0
05-09-2019,24.95,24.95,23.35,23.6
06-09-2019,23.3,25.15,23.25,24.75
09-09-2019,25.25,26.0,24.1,24.95
11-09-2019,26.0,26.0,24.75,24.9
12-09-2019,25.05,25.05,24.85,25.0
13-09-2019,25.8,25.85,24.9,25.0
16-09-2019,25.45,25.55,24.5,24.6
17-09-2019,25.2,25.35,24.25,24.45
18-09-2019,23.9,23.95,22.95,23.5
19-09-2019,23.9,23.95,23.0,23.1
20-09-2019,23.05,23.5,22.5,23.1
23-09-2019,24.65,24.65,21.4,22.25
24-09-2019,22.05,22.7,22.0,22.1
25-09-2019,22.7,22.7,21.6,21.85
26-09-2019,22.05,22.5,20.8,21.45
27-09-2019,22.0,22.6,21.05,21.55
30-09-2019,22.35,22.6,21.3,22.1
01-10-2019,22.95,23.3,21.6,22.3
03-10-2019,22.0,22.0,21.05,21.7
04-10-2019,22.5,22.5,21.6,21.85
07-10-2019,21.9,22.0,21.25,21.85
