date,open,high,low,close
31-03-2021,101.15,101.26,101.15,101.23
01-04-2021,101.7,101.72,101.65,101.65
05-04-2021,101.85,101.85,101.85,101.85
06-04-2021,102.2,102.2,102.2,102.2
07-04-2021,102.33,102.82,102.33,102.8
08-04-2021,105.88,105.88,102.55,102.55
09-04-2021,102.45,102.7,102.45,102.7
12-04-2021,102.7,102.95,102.7,102.75
13-04-2021,102.6,102.6,102.6,102.6
15-04-2021,102.75,102.75,102.7,102.7
16-04-2021,102.55,102.55,102.55,102.55
20-04-2021,102.65,102.65,102.45,102.45
22-04-2021,102.53,102.55,102.5,102.55
23-04-2021,102.57,102.57,102.51,102.51
26-04-2021,102.45,102.45,102.45,102.45
27-04-2021,102.41,102.46,102.41,102.46
28-04-2021,102.45,102.45,102.45,102.45
29-04-2021,102.55,102.55,102.55,102.55
30-04-2021,102.4,102.4,102.4,102.4
03-05-2021,102.51,102.51,102.51,102.51
04-05-2021,102.45,102.45,102.45,102.45
05-05-2021,102.45,102.45,102.45,102.45
06-05-2021,102.55,102.8,102.55,102.73
07-05-2021,102.7,102.7,102.6,102.62
10-05-2021,102.73,102.78,102.73,102.78
11-05-2021,102.81,102.82,102.78,102.82
12-05-2021,102.9,102.9,102.9,102.9
14-05-2021,102.88,102.92,102.55,102.87
17-05-2021,102.8,102.8,102.76,102.76
18-05-2021,102.86,102.89,102.81,102.85
19-05-2021,102.98,102.98,102.91,102.91
20-05-2021,103.0,103.05,102.88,103.05
21-05-2021,103.02,103.05,102.95,103.05
24-05-2021,102.98,103.05,102.96,103.05
25-05-2021,103.1,103.1,103.05,103.05
27-05-2021,103.18,103.24,103.18,103.23
28-05-2021,103.21,103.7,103.21,103.55
31-05-2021,103.24,103.25,103.24,103.25
01-06-2021,103.2,103.24,103.08,103.1
02-06-2021,103.18,103.25,103.05,103.25
03-06-2021,103.19,103.19,103.13,103.13
04-06-2021,106.22,106.22,103.25,103.35
07-06-2021,103.5,103.5,103.38,103.45
08-06-2021,103.48,103.53,103.45,103.46
09-06-2021,103.55,103.6,103.55,103.55
10-06-2021,103.5,103.52,103.5,103.52
11-06-2021,103.61,103.61,103.56,103.61
14-06-2021,103.8,103.8,103.8,103.8
16-06-2021,103.67,103.67,103.56,103.57
17-06-2021,106.67,106.67,103.47,103.52
18-06-2021,103.52,103.52,103.5,103.51
21-06-2021,103.75,105.52,103.66,103.66
22-06-2021,103.56,103.6,103.48,103.6
23-06-2021,103.64,103.64,103.64,103.64
24-06-2021,103.58,103.58,103.58,103.58
25-06-2021,103.58,103.58,103.5,103.5
28-06-2021,103.59,103.64,103.55,103.64
29-06-2021,104.0,104.0,103.62,103.66
30-06-2021,103.73,103.73,103.6,103.6
01-07-2021,103.45,103.57,103.45,103.57
02-07-2021,103.52,103.53,103.47,103.52
05-07-2021,103.57,103.57,103.52,103.54
06-07-2021,103.6,103.6,103.6,103.6
07-07-2021,103.53,103.53,103.53,103.53
08-07-2021,103.47,103.47,103.47,103.47
09-07-2021,103.47,103.52,103.47,103.5
12-07-2021,103.55,103.69,103.55,103.61
13-07-2021,103.61,103.61,103.56,103.61
14-07-2021,103.62,103.65,103.6,103.62
15-07-2021,103.57,103.62,103.55,103.55
16-07-2021,106.65,106.65,103.6,103.6
19-07-2021,103.65,103.69,103.64,103.69
20-07-2021,103.65,103.7,103.65,103.67
22-07-2021,103.79,103.92,103.79,103.87
23-07-2021,103.87,103.95,103.84,103.91
26-07-2021,104.0,104.0,103.95,103.95
27-07-2021,104.07,104.12,103.76,104.05
28-07-2021,100.93,104.17,100.93,104.15
29-07-2021,107.27,107.27,104.13,104.13
30-07-2021,104.15,104.16,104.11,104.11
02-08-2021,104.1,104.3,104.1,104.21
03-08-2021,104.21,104.21,104.02,104.1
04-08-2021,104.13,104.2,104.13,104.2
05-08-2021,104.23,104.23,104.19,104.22
06-08-2021,104.3,104.3,104.25,104.27
09-08-2021,104.28,104.34,104.25,104.3
10-08-2021,104.39,104.39,104.37,104.37
11-08-2021,104.39,104.39,104.39,104.39
12-08-2021,104.44,104.44,104.39,104.44
13-08-2021,104.53,104.58,104.51,104.58
16-08-2021,104.78,104.78,104.78,104.78
17-08-2021,104.74,104.77,104.74,104.74
18-08-2021,104.77,104.8,104.75,104.79
20-08-2021,104.98,104.98,104.9,104.92
23-08-2021,104.93,104.98,104.93,104.98
24-08-2021,105.04,105.09,104.95,104.99
25-08-2021,105.08,105.11,105.08,105.11
26-08-2021,105.12,105.12,104.77,104.95
27-08-2021,105.0,105.45,105.0,105.44
30-08-2021,108.6,108.6,105.3,105.34
31-08-2021,105.4,105.55,105.4,105.46
01-09-2021,108.62,108.62,105.38,105.46
