date,open,high,low,close
22-07-2019,3301.0,3330.0,3300.0,3325.96
23-07-2019,3340.0,3340.0,3297.09,3310.91
24-07-2019,3312.0,3329.95,3306.0,3314.78
25-07-2019,3324.99,3350.0,3301.05,3349.04
26-07-2019,3304.0,3347.9,3304.0,3322.66
29-07-2019,3318.0,3339.95,3304.0,3315.23
30-07-2019,3310.0,3320.0,3305.0,3309.12
31-07-2019,3306.0,3319.0,3293.0,3316.5
01-08-2019,3314.0,3314.0,3271.0,3271.98
02-08-2019,3300.0,3329.0,3290.0,3322.84
05-08-2019,3323.0,3410.5,3323.0,3396.78
06-08-2019,3398.0,3418.5,3390.0,3405.01
07-08-2019,3420.0,3450.0,3420.0,3439.18
08-08-2019,3450.0,3468.5,3438.0,3445.52
09-08-2019,3451.0,3451.0,3430.0,3443.88
13-08-2019,3449.2,3496.9,3449.2,3493.2
14-08-2019,3460.0,3498.0,3460.0,3488.71
16-08-2019,3462.0,3520.0,3462.0,3501.94
19-08-2019,3510.0,3525.0,3498.0,3519.5
20-08-2019,3519.5,3529.0,3500.0,3526.22
21-08-2019,3525.0,3549.99,3525.0,3548.45
22-08-2019,3550.0,3630.0,3550.0,3612.65
23-08-2019,3599.9,3640.0,3599.9,3618.74
26-08-2019,3630.0,3745.0,3630.0,3733.42
27-08-2019,3730.0,3760.0,3708.25,3748.32
28-08-2019,3750.0,3819.0,3706.0,3778.95
29-08-2019,3800.0,3840.0,3775.05,3834.19
30-08-2019,3775.0,3825.0,3750.0,3767.95
03-09-2019,3752.5,3825.0,3752.5,3786.2
04-09-2019,3786.0,3835.0,3786.0,3814.72
05-09-2019,3790.0,3810.0,3783.1,3801.0
06-09-2019,3752.0,3756.0,3721.0,3726.58
09-09-2019,3702.5,3810.0,3702.5,3766.44
11-09-2019,3766.0,3800.0,3740.0,3769.0
12-09-2019,3750.0,3750.0,3730.15,3745.55
13-09-2019,3740.0,3779.0,3729.0,3760.0
16-09-2019,3754.0,3800.0,3745.0,3776.26
17-09-2019,3799.0,3799.0,3765.0,3770.1
18-09-2019,3750.0,3767.0,3729.05,3751.21
19-09-2019,3800.0,3800.0,3710.2,3723.74
20-09-2019,3730.0,3750.0,3705.0,3719.72
23-09-2019,3720.0,3788.0,3703.0,3710.0
24-09-2019,3710.0,3710.0,3685.0,3697.0
25-09-2019,3715.0,3750.0,3700.0,3706.0
26-09-2019,3691.0,3700.0,3681.0,3693.5
27-09-2019,3690.0,3690.0,3611.0,3632.66
30-09-2019,3611.65,3640.0,3605.0,3624.99
01-10-2019,3600.0,3619.0,3556.0,3585.31
03-10-2019,3600.0,3675.0,3600.0,3650.0
04-10-2019,3650.0,3684.95,3646.2,3653.43
07-10-2019,3659.0,3730.0,3659.0,3688.9
09-10-2019,3700.0,4049.0,3656.75,3738.19
10-10-2019,3680.0,3700.0,3660.0,3665.05
11-10-2019,3670.0,3705.0,3653.0,3679.0
14-10-2019,3650.0,3680.0,3626.0,3652.55
15-10-2019,3744.0,3744.0,3680.0,3691.31
16-10-2019,3700.0,3702.0,3682.0,3685.84
17-10-2019,3686.0,3705.0,3686.0,3695.76
18-10-2019,3672.0,3749.0,3672.0,3689.38
22-10-2019,3680.0,3700.0,3650.1,3668.69
23-10-2019,3667.0,3699.0,3660.05,3692.5
24-10-2019,3699.0,3774.0,3699.0,3745.05
25-10-2019,3750.0,3818.9,3750.0,3804.63
27-10-2019,3805.0,3835.0,3805.0,3817.27
29-10-2019,3799.0,3799.0,3725.0,3740.0
30-10-2019,3701.7,3705.0,3681.0,3700.0
31-10-2019,3700.0,3705.0,3685.01,3702.81
01-11-2019,3700.0,3750.0,3700.0,3725.0
04-11-2019,3740.0,3740.0,3681.5,3704.69
05-11-2019,3700.0,3725.0,3700.0,3700.41
06-11-2019,3681.0,3705.0,3681.0,3699.18
07-11-2019,3690.0,3744.0,3685.1,3744.0
08-11-2019,3715.0,3720.0,3681.1,3720.0
11-11-2019,3720.0,3720.0,3680.0,3704.36
13-11-2019,3690.0,3709.9,3663.05,3699.17
14-11-2019,3719.9,3719.9,3701.0,3701.18
15-11-2019,3765.0,3782.0,3672.51,3686.31
18-11-2019,3700.0,3745.0,3700.0,3705.0
19-11-2019,3779.95,3779.95,3686.1,3698.21
20-11-2019,3675.0,3750.0,3675.0,3681.0
21-11-2019,3683.0,3700.0,3661.05,3673.3
22-11-2019,3695.0,3695.0,3674.0,3681.42
