date,open,high,low,close
23-07-2019,3160.0,3249.99,3160.0,3249.99
25-07-2019,3260.0,3260.0,3260.0,3260.0
26-07-2019,3201.0,3201.0,3201.0,3201.0
29-07-2019,3250.0,3250.0,3250.0,3250.0
31-07-2019,3250.0,3250.0,3250.0,3250.0
05-08-2019,3350.0,3350.0,3275.0,3275.0
07-08-2019,3400.0,3400.0,3400.0,3400.0
08-08-2019,3410.0,3410.0,3410.0,3410.0
09-08-2019,3470.0,3470.0,3470.0,3470.0
16-08-2019,3470.0,3470.0,3470.0,3470.0
19-08-2019,3500.0,3500.0,3500.0,3500.0
20-08-2019,3352.0,3352.0,3352.0,3352.0
22-08-2019,3589.0,3590.0,3589.0,3589.71
23-08-2019,3589.0,3589.0,3585.0,3585.0
27-08-2019,3610.0,3612.0,3610.0,3612.0
28-08-2019,3620.0,3620.0,3620.0,3620.0
29-08-2019,3651.0,3651.0,3650.0,3650.0
30-08-2019,3651.0,3729.99,3651.0,3700.0
03-09-2019,3729.0,3799.99,3729.0,3799.95
11-09-2019,3805.0,3805.0,3805.0,3805.0
13-09-2019,3651.0,3651.0,3651.0,3651.0
17-09-2019,3655.5,3655.5,3655.5,3655.5
18-09-2019,3660.0,3680.0,3660.0,3680.0
20-09-2019,3680.0,3680.0,3600.0,3620.0
23-09-2019,3620.0,3620.0,3620.0,3620.0
25-09-2019,3645.0,3645.0,3645.0,3645.0
30-09-2019,3600.0,3600.0,3600.0,3600.0
07-10-2019,3599.0,3599.0,3599.0,3599.0
17-10-2019,3669.99,3669.99,3669.99,3669.99
22-10-2019,3669.0,3669.99,3669.0,3669.99
25-10-2019,3701.0,3949.0,3669.95,3949.0
29-10-2019,3940.0,3940.0,3940.0,3940.0
14-11-2019,3800.0,3800.0,3592.0,3592.0
15-11-2019,3550.0,3550.0,3550.0,3550.0
18-11-2019,3560.0,3600.0,3551.0,3600.0
21-11-2019,3659.99,3659.99,3659.99,3659.99
03-12-2019,3625.0,3625.0,3625.0,3625.0
09-12-2019,3570.0,3570.0,3570.0,3570.0
13-12-2019,3570.0,3570.0,3570.0,3570.0
19-12-2019,3590.0,3650.0,3570.0,3650.0
20-12-2019,3645.0,3645.0,3645.0,3645.0
24-12-2019,3575.0,3575.0,3575.0,3575.0
26-12-2019,3750.0,3850.0,3750.0,3850.0
06-01-2020,3850.0,3850.0,3850.0,3850.0
07-01-2020,3680.0,3680.0,3680.0,3680.0
08-01-2020,3750.0,3805.0,3750.0,3805.0
09-01-2020,3750.0,3750.0,3750.0,3750.0
10-01-2020,3700.0,3700.0,3700.0,3700.0
14-01-2020,3725.0,3725.0,3725.0,3725.0
15-01-2020,3999.0,3999.0,3999.0,3999.0
16-01-2020,3700.0,3700.0,3700.0,3700.0
17-01-2020,3701.0,3800.0,3701.0,3800.0
20-01-2020,3800.0,3800.0,3800.0,3800.0
24-01-2020,3799.0,3799.0,3799.0,3799.0
27-01-2020,3799.0,3799.0,3799.0,3799.0
28-01-2020,3799.0,3799.0,3799.0,3799.0
01-02-2020,3711.0,3711.0,3711.0,3711.0
07-02-2020,3800.0,3800.0,3800.0,3800.0
10-02-2020,3809.99,3809.99,3809.99,3809.99
13-02-2020,3800.0,3800.0,3800.0,3800.0
25-02-2020,4000.0,4000.0,4000.0,4000.0
26-02-2020,4000.0,4000.0,4000.0,4000.0
04-03-2020,4210.0,4210.0,4210.0,4210.0
05-03-2020,4210.0,4210.0,4210.0,4210.0
09-03-2020,4004.0,4005.0,4004.0,4005.0
12-03-2020,3912.0,3912.0,3912.0,3912.0
13-03-2020,3850.0,3850.0,3850.0,3850.0
16-03-2020,3800.0,3800.0,3800.0,3800.0
19-03-2020,3949.0,4180.0,3949.0,4180.0
24-03-2020,4149.0,4149.0,4149.0,4149.0
26-03-2020,3810.0,3822.0,3810.0,3822.0
30-03-2020,4000.0,4000.0,3950.0,3990.0
03-04-2020,3990.0,4000.0,3990.0,4000.0
07-04-2020,4024.0,4024.0,4024.0,4024.0
13-04-2020,4150.0,4200.01,4150.0,4200.01
15-04-2020,4250.01,4250.01,4250.01,4250.01
16-04-2020,4300.0,4450.0,4300.0,4450.0
17-04-2020,4450.0,4450.0,4380.0,4380.0
20-04-2020,4380.0,4380.0,4380.0,4380.0
23-04-2020,4600.0,4600.0,4420.0,4450.0
27-04-2020,4650.0,4650.0,4640.0,4650.0
28-04-2020,4647.0,4647.0,4600.0,4600.0
29-04-2020,4600.0,4649.0,4570.0,4649.0
04-05-2020,4550.0,4649.0,4550.0,4649.0
05-05-2020,4580.0,4580.0,4580.0,4580.0
06-05-2020,4610.0,4610.0,4610.0,4610.0
07-05-2020,4609.0,4610.0,4609.0,4610.0
11-05-2020,4590.0,4611.0,4535.0,4599.0
12-05-2020,4658.99,4700.0,4658.99,4700.0
13-05-2020,4537.8,4537.8,4537.8,4537.8
14-05-2020,4619.9,4619.9,4619.9,4619.9
20-05-2020,4615.0,4630.0,4615.0,4630.0
21-05-2020,4600.0,4600.0,4600.0,4600.0
26-05-2020,4649.0,4649.0,4649.0,4649.0
27-05-2020,4649.99,4649.99,4649.99,4649.99
29-05-2020,4580.01,4580.01,4580.01,4580.01
01-06-2020,4580.01,4580.01,4580.01,4580.01
03-06-2020,4639.01,4640.0,4639.01,4640.0
04-06-2020,4511.0,4590.0,4501.0,4590.0
11-06-2020,4600.0,4630.0,4600.0,4630.0
12-06-2020,4649.0,4649.0,4649.0,4649.0
15-06-2020,4550.0,4550.0,4550.0,4550.0
19-06-2020,4688.9,4689.0,4688.9,4688.94
22-06-2020,4688.94,4688.94,4688.94,4688.94
23-06-2020,4700.0,4700.0,4700.0,4700.0
24-06-2020,4749.0,4749.0,4749.0,4749.0
25-06-2020,4723.0,4759.0,4723.0,4759.0
30-06-2020,4759.0,4759.0,4759.0,4759.0
01-07-2020,4850.0,4850.0,4829.0,4850.0
03-07-2020,4789.99,4789.99,4789.99,4789.99
06-07-2020,4849.0,4869.0,4849.0,4869.0
10-07-2020,4801.0,4801.0,4801.0,4801.0
14-07-2020,4869.0,4995.0,4810.0,4823.95
16-07-2020,4989.95,5100.0,4989.95,5100.0
24-07-2020,4998.0,4998.0,4998.0,4998.0
27-07-2020,5247.99,5247.99,5150.0,5200.0
28-07-2020,5238.0,5299.0,5190.0,5190.0
29-07-2020,5299.0,5299.0,5199.0,5248.0
03-08-2020,5280.0,5290.0,5280.0,5280.0
05-08-2020,5449.0,5449.0,5449.0,5449.0
06-08-2020,5455.0,5455.0,5455.0,5455.0
07-08-2020,5455.0,5455.0,5310.0,5337.27
11-08-2020,5459.0,5459.0,5156.01,5250.0
12-08-2020,5070.0,5101.0,5050.0,5100.0
27-08-2020,5100.0,5100.0,5100.0,5100.0
02-09-2020,4920.0,4920.0,4920.0,4920.0
03-09-2020,4930.0,5000.0,4930.0,5000.0
04-09-2020,4930.0,5031.1,4930.0,5031.1
07-09-2020,5001.0,5001.0,5000.0,5000.0
09-09-2020,4955.16,4955.16,4955.16,4955.16
10-09-2020,4955.16,5050.0,4955.16,5050.0
16-09-2020,5050.0,5050.0,5050.0,5050.0
22-09-2020,5079.0,5079.0,5079.0,5079.0
24-09-2020,4750.01,4949.0,4750.01,4949.0
25-09-2020,4977.0,4977.0,4977.0,4977.0
30-09-2020,4998.0,5048.0,4998.0,5048.0
05-10-2020,4842.0,4860.0,4800.0,4860.0
08-10-2020,4998.0,4998.0,4998.0,4998.0
13-10-2020,4998.0,4998.0,4928.0,4928.0
19-10-2020,4900.0,4900.0,4900.0,4900.0
23-10-2020,4842.0,5094.0,4842.0,5089.98
26-10-2020,5056.0,5056.0,5056.0,5056.0
27-10-2020,4910.0,4910.0,4900.0,4900.0
28-10-2020,4821.0,4821.0,4821.0,4821.0
29-10-2020,5040.0,5040.0,4974.99,4974.99
06-11-2020,4974.99,4974.99,4974.99,4974.99
09-11-2020,4900.0,4974.99,4900.0,4974.99
10-11-2020,4800.0,5029.99,4800.0,5029.99
12-11-2020,4950.0,4998.0,4950.0,4998.0
13-11-2020,4996.0,4996.0,4996.0,4996.0
14-11-2020,5090.0,5090.0,5090.0,5090.0
17-11-2020,5090.0,5090.0,5090.0,5090.0
18-11-2020,4840.04,4840.04,4840.04,4840.04
19-11-2020,4835.0,4835.21,4820.2,4820.2
24-11-2020,4825.1,4850.0,4820.2,4820.2
25-11-2020,4820.2,4898.93,4820.2,4898.92
27-11-2020,4898.91,4898.91,4898.91,4898.91
03-12-2020,4898.89,4898.89,4898.89,4898.89
07-12-2020,4900.0,4900.0,4735.0,4850.0
08-12-2020,4989.0,4989.0,4760.0,4777.0
09-12-2020,4989.0,4989.0,4989.0,4989.0
10-12-2020,4935.0,4935.0,4924.99,4924.99
11-12-2020,4910.0,4910.0,4898.99,4898.99
14-12-2020,4889.99,4889.99,4889.99,4889.99
15-12-2020,4750.0,4750.0,4750.0,4750.0
17-12-2020,4880.0,4880.0,4880.0,4880.0
21-12-2020,4880.0,4880.0,4880.0,4880.0
22-12-2020,4806.01,4806.01,4806.01,4806.01
23-12-2020,4998.0,4998.0,4998.0,4998.0
24-12-2020,4800.0,4800.0,4800.0,4800.0
28-12-2020,4989.0,4989.0,4989.0,4989.0
29-12-2020,4989.0,4989.0,4989.0,4989.0
30-12-2020,4998.0,5048.0,4998.0,5000.0
31-12-2020,4998.0,5100.0,4998.0,5074.5
01-01-2021,5100.0,5100.0,5100.0,5100.0
04-01-2021,5100.0,5100.0,5100.0,5100.0
05-01-2021,5100.0,5100.0,5100.0,5100.0
08-01-2021,4925.01,4950.0,4925.0,4950.0
13-01-2021,4950.0,4950.0,4900.0,4900.0
14-01-2021,5097.0,5097.0,5097.0,5097.0
15-01-2021,5097.0,5127.0,4951.0,4962.01
19-01-2021,4900.0,4910.01,4900.0,4910.01
20-01-2021,4910.0,4910.0,4910.0,4910.0
21-01-2021,5097.0,5097.0,5097.0,5097.0
22-01-2021,5097.0,5097.0,5097.0,5097.0
28-01-2021,5049.0,5049.0,5049.0,5049.0
01-02-2021,5088.0,5088.0,5088.0,5088.0
03-02-2021,4770.0,4770.0,4770.0,4770.0
04-02-2021,5088.0,5088.0,4781.01,4800.02
05-02-2021,5088.0,5088.0,5087.0,5087.0
11-02-2021,4801.01,4801.01,4801.01,4801.01
12-02-2021,5000.0,5000.0,5000.0,5000.0
15-02-2021,4782.0,4782.0,4782.0,4782.0
16-02-2021,5079.99,5079.99,4782.01,5079.99
22-02-2021,5079.99,5079.99,5059.99,5059.99
23-02-2021,5059.99,5059.99,5055.99,5055.99
01-03-2021,5088.0,5088.0,5088.0,5088.0
03-03-2021,4656.0,5088.0,4656.0,5088.0
05-03-2021,4620.0,4680.0,4612.01,4636.27
08-03-2021,4900.0,4900.0,4900.0,4900.0
09-03-2021,4900.0,4900.0,4900.0,4900.0
10-03-2021,4900.0,4900.0,4900.0,4900.0
16-03-2021,4586.2,4800.0,4584.0,4800.0
22-03-2021,4799.0,4799.0,4799.0,4799.0
31-03-2021,4975.0,4975.0,4975.0,4975.0
01-04-2021,4980.0,4980.0,4980.0,4980.0
05-04-2021,4580.0,4580.0,4580.0,4580.0
12-04-2021,5038.0,5038.0,4621.0,4631.01
15-04-2021,5088.0,5088.0,5088.0,5088.0
16-04-2021,5060.0,5060.0,5060.0,5060.0
19-04-2021,5060.0,5060.0,4651.01,4651.01
20-04-2021,5069.0,5069.0,5069.0,5069.0
23-04-2021,4720.0,4750.0,4720.0,4750.0
28-04-2021,5000.0,5000.0,5000.0,5000.0
03-05-2021,5087.0,5087.0,5086.95,5086.95
10-05-2021,4740.0,4999.98,4740.0,4999.98
11-05-2021,4800.0,4950.0,4800.0,4950.0
14-05-2021,4750.0,4835.0,4750.0,4810.0
17-05-2021,4978.0,5050.0,4746.0,4751.0
