date,open,high,low,close
27-05-2020,4540.0,4594.0,4505.0,4558.03
28-05-2020,4558.03,4584.0,4558.03,4574.28
29-05-2020,4545.03,4580.0,4545.03,4572.29
01-06-2020,4572.29,4598.0,4560.0,4589.65
02-06-2020,4584.0,4596.0,4563.0,4589.37
03-06-2020,4580.0,4600.0,4554.0,4577.54
04-06-2020,4577.54,4600.0,4560.0,4595.58
05-06-2020,4530.0,4598.0,4525.0,4591.0
08-06-2020,4555.0,4610.0,4530.0,4601.25
09-06-2020,4581.0,4620.0,4580.0,4597.35
10-06-2020,4595.0,4620.0,4590.0,4606.14
11-06-2020,4640.0,4640.0,4607.0,4617.65
12-06-2020,4617.65,4640.0,4615.05,4634.0
15-06-2020,4615.0,4640.0,4595.0,4599.93
16-06-2020,4595.0,4639.0,4595.0,4612.39
17-06-2020,4627.0,4627.0,4612.0,4618.27
18-06-2020,4615.0,4647.0,4603.0,4625.0
19-06-2020,4619.5,4655.0,4610.0,4620.12
22-06-2020,4620.0,4680.0,4620.0,4677.49
23-06-2020,4671.0,4710.0,4660.01,4694.6
24-06-2020,4710.0,4710.0,4685.0,4700.3
25-06-2020,4711.0,4725.0,4690.0,4692.33
26-06-2020,4611.0,4720.0,4611.0,4717.62
29-06-2020,4724.0,4750.0,4652.0,4736.77
30-06-2020,4749.0,4749.0,4709.1,4739.36
01-07-2020,4739.36,4806.0,4733.5,4801.05
02-07-2020,4740.0,4823.0,4740.0,4799.89
03-07-2020,4799.0,4799.0,4740.0,4748.92
06-07-2020,4750.0,4849.0,4748.0,4776.67
07-07-2020,4750.0,4810.0,4750.0,4790.04
08-07-2020,4899.0,4899.0,4778.0,4804.62
09-07-2020,4800.0,4830.0,4790.0,4802.0
10-07-2020,4835.0,4860.0,4794.0,4809.13
13-07-2020,4800.0,4839.99,4800.0,4830.7
14-07-2020,4802.0,4840.33,4802.0,4825.57
15-07-2020,4804.0,4850.0,4800.0,4839.9
16-07-2020,4810.0,4850.0,4810.0,4850.0
17-07-2020,4845.05,4855.0,4830.0,4853.91
20-07-2020,4855.0,4899.0,4840.0,4885.71
21-07-2020,4898.0,4898.0,4862.0,4896.55
22-07-2020,4899.0,4950.0,4899.0,4936.4
23-07-2020,4949.05,4989.5,4941.1,4971.35
24-07-2020,4970.0,5034.99,4970.0,5025.13
27-07-2020,5069.95,5190.0,5069.95,5181.76
28-07-2020,5200.05,5245.0,5115.04,5147.05
29-07-2020,5147.1,5199.0,5147.0,5178.69
30-07-2020,5175.0,5220.0,5170.0,5176.5
31-07-2020,5151.0,5225.0,5151.0,5216.2
03-08-2020,5215.0,5275.0,5215.0,5262.67
04-08-2020,5265.0,5320.0,5252.1,5274.91
05-08-2020,5300.0,5319.0,5282.0,5304.64
06-08-2020,5290.0,5330.0,5285.0,5290.86
07-08-2020,5329.95,5329.95,5285.05,5315.31
10-08-2020,5291.2,5338.0,5195.1,5221.5
11-08-2020,5200.0,5200.0,5030.0,5080.43
12-08-2020,5034.7,5034.7,4800.0,4945.78
13-08-2020,4925.0,4989.0,4910.0,4960.4
14-08-2020,5039.0,5039.0,4985.0,4995.01
17-08-2020,5000.0,5025.0,4990.0,5019.37
