date,open,high,low,close
22-07-2019,3245.0,3245.0,3245.0,3245.0
23-07-2019,3200.0,3225.0,3200.0,3225.0
24-07-2019,3225.0,3225.0,3100.0,3110.08
25-07-2019,3200.0,3250.0,3200.0,3250.0
29-07-2019,3269.99,3269.99,3269.99,3269.99
30-07-2019,3269.99,3269.99,3269.99,3269.99
31-07-2019,3200.0,3200.0,3200.0,3200.0
02-08-2019,3200.0,3200.0,3200.0,3200.0
05-08-2019,3250.0,3250.0,3250.0,3250.0
06-08-2019,3249.0,3325.0,3249.0,3255.0
07-08-2019,3395.0,3400.0,3395.0,3400.0
08-08-2019,3410.0,3430.0,3381.0,3400.0
09-08-2019,3400.0,3400.0,3400.0,3400.0
13-08-2019,3400.0,3470.0,3400.0,3448.57
14-08-2019,3450.0,3450.0,3450.0,3450.0
19-08-2019,3469.0,3469.0,3469.0,3469.0
21-08-2019,3600.0,3600.0,3510.0,3530.0
26-08-2019,3630.01,3630.01,3630.0,3630.0
28-08-2019,3660.0,3660.0,3660.0,3660.0
06-09-2019,3711.0,3711.0,3711.0,3711.0
09-09-2019,3650.0,3711.0,3650.0,3710.81
12-09-2019,3611.0,3710.0,3611.0,3710.0
13-09-2019,3710.0,3710.0,3710.0,3710.0
16-09-2019,3710.0,3710.0,3710.0,3710.0
17-09-2019,3720.0,3720.0,3720.0,3720.0
10-10-2019,3530.0,3605.0,3530.0,3605.0
16-10-2019,3606.0,3606.0,3606.0,3606.0
24-10-2019,3630.0,3673.0,3630.0,3673.0
25-10-2019,3825.0,3825.0,3825.0,3825.0
05-11-2019,3625.0,3660.0,3625.0,3660.0
08-11-2019,3625.01,3625.01,3625.01,3625.01
13-11-2019,3625.0,3625.0,3625.0,3625.0
19-11-2019,3555.0,3625.0,3555.0,3625.0
03-12-2019,3750.0,3750.0,3750.0,3750.0
16-12-2019,3600.0,3600.0,3600.0,3600.0
18-12-2019,3600.0,3600.0,3600.0,3600.0
19-12-2019,3550.0,3649.99,3550.0,3649.99
20-12-2019,3649.0,3649.0,3649.0,3649.0
24-12-2019,3615.0,3615.0,3615.0,3615.0
26-12-2019,3615.0,3615.0,3615.0,3615.0
27-12-2019,3685.0,3685.0,3685.0,3685.0
07-01-2020,3685.0,3789.99,3685.0,3789.99
08-01-2020,3850.0,3850.0,3850.0,3850.0
10-01-2020,3850.1,3850.1,3725.0,3725.0
20-01-2020,3725.0,3725.0,3631.0,3700.0
28-01-2020,3711.0,3711.0,3711.0,3711.0
29-01-2020,3625.0,3774.99,3600.0,3770.0
30-01-2020,3750.0,3750.0,3750.0,3750.0
05-02-2020,3751.01,3751.01,3751.0,3751.0
07-02-2020,3750.0,3750.0,3750.0,3750.0
11-02-2020,3755.0,3755.0,3755.0,3755.0
12-02-2020,3800.0,3800.0,3800.0,3800.0
13-02-2020,3800.0,3875.0,3800.0,3875.0
18-02-2020,3865.0,3865.0,3865.0,3865.0
25-02-2020,3900.0,3900.0,3860.0,3860.0
27-02-2020,3995.0,3995.0,3995.0,3995.0
03-03-2020,3990.0,3990.0,3990.0,3990.0
04-03-2020,3701.0,4000.0,3701.0,4000.0
05-03-2020,4045.0,4045.0,4045.0,4045.0
06-03-2020,4100.0,4100.0,4100.0,4100.0
09-03-2020,4100.0,4100.0,3915.0,3915.0
12-03-2020,3930.0,3930.0,3930.0,3930.0
18-03-2020,3937.0,3937.0,3636.0,3701.0
25-03-2020,3760.0,3760.0,3760.0,3760.0
27-03-2020,3900.0,3900.0,3900.0,3900.0
30-03-2020,3900.0,3900.1,3900.0,3900.0
31-03-2020,4138.0,4138.0,4138.0,4138.0
03-04-2020,4005.0,4005.0,3927.0,3951.0
07-04-2020,4026.0,4026.0,3999.0,3999.0
08-04-2020,4011.0,4011.0,4011.0,4011.0
09-04-2020,4021.0,4090.0,4021.0,4055.0
13-04-2020,4069.0,4250.0,4069.0,4250.0
15-04-2020,4205.0,4400.0,4205.0,4378.1
16-04-2020,4450.0,4450.0,4450.0,4450.0
17-04-2020,4425.0,4425.0,4425.0,4425.0
20-04-2020,4322.0,4420.0,4322.0,4350.82
21-04-2020,4400.0,4400.0,4400.0,4400.0
22-04-2020,4525.0,4525.0,4500.0,4500.0
23-04-2020,4500.0,4520.0,4500.0,4515.0
24-04-2020,4550.0,4550.0,4550.0,4550.0
27-04-2020,4628.02,4628.02,4628.02,4628.02
28-04-2020,4530.0,4580.0,4526.0,4580.0
29-04-2020,4595.0,4615.0,4570.0,4615.0
30-04-2020,4475.0,4590.0,4475.0,4580.0
04-05-2020,4545.0,4545.0,4545.0,4545.0
06-05-2020,4545.0,4590.0,4545.0,4590.0
07-05-2020,4526.0,4590.0,4526.0,4540.0
08-05-2020,4580.0,4585.0,4580.0,4585.0
13-05-2020,4537.0,4585.0,4537.0,4550.0
14-05-2020,4538.0,4550.0,4538.0,4550.0
15-05-2020,4595.0,4595.0,4595.0,4595.0
18-05-2020,4600.0,4650.0,4600.0,4630.01
19-05-2020,4590.0,4590.0,4552.0,4560.0
20-05-2020,4679.99,4679.99,4679.99,4679.99
21-05-2020,4600.0,4630.0,4590.0,4591.0
22-05-2020,4589.0,4589.0,4544.99,4589.0
26-05-2020,4640.0,4640.0,4600.0,4600.0
27-05-2020,4600.0,4600.0,4600.0,4600.0
28-05-2020,4551.0,4551.0,4550.0,4550.5
29-05-2020,4100.0,4591.0,4100.0,4580.97
01-06-2020,4600.0,4600.0,4560.0,4565.7
02-06-2020,4566.01,4625.0,4550.1,4565.49
03-06-2020,4600.0,4600.0,4555.0,4558.54
