date,open,high,low,close
22-07-2019,10.75,10.75,10.05,10.6
23-07-2019,10.6,11.3,10.5,11.1
24-07-2019,11.65,11.65,10.4,10.7
25-07-2019,11.45,11.45,10.5,10.75
26-07-2019,10.75,11.25,10.6,10.9
29-07-2019,11.0,11.0,10.25,10.75
30-07-2019,11.35,11.4,9.5,9.8
31-07-2019,9.85,9.85,9.15,9.25
01-08-2019,9.75,9.8,8.05,8.6
02-08-2019,9.45,9.7,8.1,8.7
05-08-2019,8.4,8.9,8.0,8.7
06-08-2019,8.4,8.95,8.15,8.8
07-08-2019,9.75,9.8,7.7,8.0
08-08-2019,8.7,8.75,8.0,8.75
09-08-2019,8.5,9.05,8.1,8.9
13-08-2019,8.7,9.0,7.8,8.3
14-08-2019,9.9,9.9,8.3,8.4
16-08-2019,9.25,9.25,8.1,8.7
19-08-2019,9.0,9.05,8.2,8.45
20-08-2019,8.3,8.95,7.75,8.35
21-08-2019,8.35,8.65,8.15,8.4
22-08-2019,8.5,8.7,8.4,8.65
23-08-2019,8.2,8.95,7.45,7.6
26-08-2019,8.0,8.0,7.45,7.65
27-08-2019,7.5,8.85,7.5,8.25
28-08-2019,8.5,8.7,8.1,8.4
29-08-2019,8.35,8.45,8.2,8.2
30-08-2019,8.7,8.75,8.25,8.25
03-09-2019,8.95,8.95,7.35,8.0
04-09-2019,8.2,8.2,7.55,7.8
05-09-2019,8.25,8.25,7.85,8.0
06-09-2019,7.9,8.25,7.55,8.0
09-09-2019,8.05,8.15,7.35,7.8
11-09-2019,8.0,9.35,7.4,9.35
12-09-2019,10.95,10.95,9.35,10.45
13-09-2019,10.85,12.2,9.5,11.7
16-09-2019,11.45,12.35,11.45,11.95
17-09-2019,12.15,12.95,11.45,12.25
18-09-2019,11.65,12.75,11.4,11.7
19-09-2019,11.0,12.35,11.0,11.75
20-09-2019,11.2,12.1,11.15,11.75
23-09-2019,11.75,12.05,11.0,11.25
24-09-2019,11.8,12.25,10.4,11.3
25-09-2019,11.15,11.4,10.65,11.3
26-09-2019,10.5,11.15,10.5,10.75
27-09-2019,10.55,10.8,10.0,10.3
30-09-2019,9.65,10.5,9.6,9.75
01-10-2019,10.0,10.3,9.0,9.1
03-10-2019,9.75,9.75,8.5,8.75
04-10-2019,8.85,9.05,8.55,9.0
07-10-2019,9.0,9.3,8.65,8.9
09-10-2019,8.6,9.3,8.6,8.7
10-10-2019,8.95,8.95,8.3,8.3
11-10-2019,7.95,8.65,7.95,8.65
14-10-2019,8.25,8.55,8.25,8.25
15-10-2019,8.0,8.65,8.0,8.65
16-10-2019,8.4,8.4,8.35,8.4
17-10-2019,8.0,8.05,8.0,8.0
18-10-2019,7.6,8.4,7.6,8.4
22-10-2019,8.05,8.35,8.0,8.15
23-10-2019,7.95,8.4,7.75,7.85
24-10-2019,7.55,8.2,7.55,8.2
25-10-2019,8.0,8.35,7.8,7.9
27-10-2019,8.15,8.15,8.15,8.15
29-10-2019,8.5,8.55,8.0,8.55
30-10-2019,8.75,8.75,8.25,8.55
31-10-2019,8.9,8.9,8.35,8.7
01-11-2019,9.05,9.1,8.4,8.95
04-11-2019,9.15,9.15,8.55,8.55
05-11-2019,8.55,8.85,8.3,8.8
06-11-2019,8.85,9.0,8.5,8.85
07-11-2019,8.55,8.8,8.45,8.45
08-11-2019,8.75,8.85,8.35,8.8
11-11-2019,9.2,9.2,8.55,8.85
13-11-2019,9.1,9.1,8.65,9.1
14-11-2019,9.0,9.05,8.65,8.65
15-11-2019,8.6,8.9,8.25,8.6
18-11-2019,8.9,8.95,8.35,8.6
19-11-2019,8.3,8.95,8.3,8.95
20-11-2019,8.65,9.2,8.55,8.65
21-11-2019,8.9,8.95,8.4,8.5
22-11-2019,8.3,8.9,8.3,8.75
25-11-2019,8.5,8.6,8.35,8.35
26-11-2019,8.1,8.75,8.1,8.25
27-11-2019,8.25,8.5,8.25,8.5
28-11-2019,8.9,8.9,8.5,8.65
29-11-2019,9.05,9.05,8.7,9.05
02-12-2019,9.05,9.5,9.05,9.5
03-12-2019,9.35,9.7,9.15,9.25
04-12-2019,8.8,9.6,8.8,8.9
05-12-2019,8.55,9.2,8.55,8.55
06-12-2019,8.55,9.1,7.7,8.25
09-12-2019,7.75,8.65,7.75,8.1
10-12-2019,8.0,8.5,8.0,8.3
11-12-2019,7.75,8.15,7.75,8.15
12-12-2019,8.15,8.7,7.7,8.35
13-12-2019,8.35,8.7,8.0,8.7
16-12-2019,8.15,8.75,8.1,8.25
17-12-2019,7.8,8.7,7.75,8.25
18-12-2019,8.35,8.35,7.8,8.0
19-12-2019,8.45,8.45,7.5,8.3
20-12-2019,7.75,8.5,7.75,8.15
23-12-2019,7.75,7.95,7.4,7.5
24-12-2019,7.95,7.95,7.2,7.35
26-12-2019,7.35,7.85,7.35,7.75
27-12-2019,8.35,8.35,7.7,7.7
30-12-2019,7.95,8.15,7.7,7.7
31-12-2019,8.1,8.25,7.5,8.25
01-01-2020,8.25,8.25,7.85,8.25
02-01-2020,7.7,8.7,7.7,8.15
03-01-2020,8.45,8.6,8.15,8.55
06-01-2020,8.15,8.4,8.15,8.4
07-01-2020,8.05,8.55,8.05,8.1
08-01-2020,7.8,8.0,7.7,7.95
09-01-2020,7.75,8.3,7.75,7.95
10-01-2020,8.0,8.25,7.65,7.75
13-01-2020,8.1,8.1,7.55,8.05
14-01-2020,8.05,8.45,8.05,8.45
15-01-2020,8.8,8.85,8.1,8.65
16-01-2020,8.95,8.95,8.25,8.9
17-01-2020,8.95,8.95,8.55,8.95
20-01-2020,8.65,8.65,8.65,8.65
21-01-2020,8.9,8.9,8.25,8.8
22-01-2020,8.7,9.2,8.7,9.2
23-01-2020,9.2,9.2,8.75,8.9
24-01-2020,8.85,9.3,8.85,9.3
27-01-2020,9.3,9.3,8.85,9.25
28-01-2020,8.85,9.6,8.8,9.25
29-01-2020,9.2,9.7,9.2,9.55
30-01-2020,9.1,9.45,9.1,9.1
31-01-2020,9.5,9.55,8.75,9.0
01-02-2020,9.45,9.45,8.6,8.65
03-02-2020,8.7,9.05,8.7,9.05
04-02-2020,9.5,9.5,8.6,9.1
05-02-2020,8.65,9.45,8.65,9.4
06-02-2020,9.25,9.4,9.0,9.0
07-02-2020,9.35,9.45,8.6,8.6
10-02-2020,9.0,9.0,8.4,9.0
11-02-2020,9.45,9.45,8.55,8.75
13-02-2020,8.75,8.75,8.5,8.5
14-02-2020,8.1,8.15,8.1,8.1
17-02-2020,7.9,8.25,7.7,8.25
18-02-2020,7.85,7.85,7.85,7.85
19-02-2020,7.7,8.0,7.5,7.5
20-02-2020,7.15,7.15,7.15,7.15
24-02-2020,6.9,6.9,6.9,6.9
25-02-2020,6.9,7.0,6.65,7.0
26-02-2020,6.65,7.0,6.65,7.0
27-02-2020,7.0,7.0,7.0,7.0
28-02-2020,6.65,7.0,6.65,6.65
02-03-2020,6.9,6.95,6.9,6.95
03-03-2020,6.95,6.95,6.95,6.95
06-03-2020,6.95,6.95,6.95,6.95
12-03-2020,7.0,7.0,6.95,6.95
13-03-2020,6.8,6.85,6.8,6.85
16-03-2020,6.55,6.55,6.55,6.55
18-03-2020,6.5,6.55,6.5,6.55
19-03-2020,6.55,6.55,6.5,6.5
20-03-2020,6.5,6.5,6.5,6.5
23-03-2020,6.5,6.5,6.2,6.2
25-03-2020,5.9,5.9,5.9,5.9
26-03-2020,5.9,5.9,5.7,5.7
27-03-2020,5.7,5.7,5.6,5.6
30-03-2020,5.6,5.6,5.35,5.35
31-03-2020,5.2,5.35,5.1,5.1
01-04-2020,4.95,4.95,4.85,4.85
03-04-2020,4.85,5.05,4.65,5.0
07-04-2020,5.2,5.2,4.8,5.0
08-04-2020,5.25,5.25,4.75,5.0
09-04-2020,5.0,5.25,4.9,5.25
13-04-2020,5.5,5.5,5.05,5.15
15-04-2020,5.15,5.4,5.0,5.4
16-04-2020,5.65,5.65,5.65,5.65
17-04-2020,5.9,5.9,5.65,5.9
20-04-2020,5.9,6.15,5.75,6.15
21-04-2020,6.45,6.45,5.85,6.4
22-04-2020,6.7,6.7,6.3,6.4
23-04-2020,6.1,6.7,6.1,6.5
24-04-2020,6.2,6.7,6.2,6.2
27-04-2020,5.9,6.5,5.9,6.5
28-04-2020,6.5,6.8,6.25,6.6
29-04-2020,6.3,6.9,6.3,6.3
30-04-2020,6.6,6.6,6.0,6.55
04-05-2020,6.55,6.8,6.25,6.7
06-05-2020,6.65,6.65,6.55,6.55
07-05-2020,6.55,6.85,6.25,6.65
08-05-2020,6.9,6.9,6.35,6.65
11-05-2020,6.65,6.65,6.65,6.65
12-05-2020,6.6,6.6,6.6,6.6
13-05-2020,6.45,6.5,6.3,6.3
18-05-2020,6.3,6.3,6.3,6.3
19-05-2020,6.0,6.0,6.0,6.0
20-05-2020,5.95,5.95,5.7,5.7
21-05-2020,5.65,5.65,5.65,5.65
22-05-2020,5.4,5.4,5.4,5.4
26-05-2020,5.4,5.4,5.15,5.15
27-05-2020,5.35,5.35,4.9,5.15
28-05-2020,4.9,5.4,4.9,4.9
29-05-2020,4.95,5.05,4.7,4.7
01-06-2020,4.5,4.85,4.5,4.85
02-06-2020,4.85,5.05,4.85,5.05
03-06-2020,5.05,5.3,5.05,5.2
04-06-2020,5.25,5.45,5.25,5.45
05-06-2020,5.7,5.7,5.7,5.7
08-06-2020,5.95,5.95,5.95,5.95
09-06-2020,5.95,6.2,5.95,6.2
10-06-2020,6.2,6.5,5.9,6.5
11-06-2020,6.8,6.8,6.8,6.8
12-06-2020,7.0,7.1,7.0,7.1
15-06-2020,7.1,7.1,6.75,6.8
16-06-2020,6.5,7.1,6.5,6.7
17-06-2020,6.4,7.0,6.4,6.6
18-06-2020,6.85,6.9,6.3,6.9
19-06-2020,7.0,7.2,6.6,7.2
22-06-2020,7.2,7.2,7.2,7.2
23-06-2020,7.5,7.55,6.85,7.45
24-06-2020,7.45,7.8,7.45,7.8
25-06-2020,7.8,7.8,7.5,7.8
26-06-2020,7.8,8.15,7.8,8.15
29-06-2020,8.55,8.55,8.5,8.55
30-06-2020,8.65,8.65,8.55,8.55
01-07-2020,8.6,8.6,8.15,8.15
02-07-2020,8.15,8.55,8.15,8.45
03-07-2020,8.35,8.35,8.35,8.35
06-07-2020,8.25,8.25,7.95,7.95
07-07-2020,7.95,8.2,7.65,7.65
08-07-2020,7.65,8.0,7.3,7.7
09-07-2020,8.05,8.05,7.35,8.0
10-07-2020,8.0,8.05,8.0,8.0
13-07-2020,8.05,8.4,8.05,8.4
14-07-2020,8.45,8.45,8.1,8.4
15-07-2020,8.0,8.0,8.0,8.0
16-07-2020,7.9,8.0,7.9,8.0
20-07-2020,7.95,8.0,7.95,8.0
22-07-2020,7.6,7.6,7.6,7.6
23-07-2020,7.6,7.7,7.6,7.6
24-07-2020,7.6,7.6,7.25,7.25
27-07-2020,6.95,7.25,6.9,6.9
28-07-2020,6.6,6.6,6.6,6.6
29-07-2020,6.3,6.85,6.3,6.6
30-07-2020,6.6,6.9,6.6,6.9
31-07-2020,6.9,6.9,6.9,6.9
03-08-2020,7.2,7.2,7.2,7.2
06-08-2020,7.2,7.55,7.2,7.55
07-08-2020,7.55,7.55,7.5,7.5
10-08-2020,7.5,7.5,7.5,7.5
11-08-2020,7.45,7.85,7.45,7.85
12-08-2020,7.85,7.85,7.5,7.5
13-08-2020,7.4,7.4,7.15,7.15
14-08-2020,7.1,7.15,7.1,7.1
17-08-2020,7.1,7.45,7.1,7.45
18-08-2020,7.45,7.8,7.1,7.45
19-08-2020,7.1,7.45,7.1,7.1
20-08-2020,6.75,7.1,6.75,6.75
21-08-2020,7.05,7.05,7.05,7.05
24-08-2020,7.05,7.35,6.75,7.35
25-08-2020,7.7,7.7,7.0,7.65
26-08-2020,7.3,8.0,7.3,7.95
27-08-2020,8.25,8.25,7.6,8.0
28-08-2020,7.65,8.1,7.6,7.65
31-08-2020,7.8,7.8,7.35,7.75
01-09-2020,7.7,7.7,7.7,7.7
02-09-2020,7.5,7.7,7.35,7.65
03-09-2020,8.0,8.0,7.3,7.4
04-09-2020,7.4,7.75,7.4,7.75
07-09-2020,7.75,7.95,7.4,7.4
08-09-2020,7.05,7.4,7.05,7.05
09-09-2020,7.05,7.2,6.85,6.85
10-09-2020,6.85,7.15,6.85,7.0
11-09-2020,6.85,6.85,6.85,6.85
14-09-2020,6.85,6.85,6.55,6.8
15-09-2020,7.1,7.1,7.1,7.1
17-09-2020,7.45,7.45,6.8,7.45
18-09-2020,7.3,7.45,7.1,7.1
21-09-2020,6.75,7.45,6.75,6.8
22-09-2020,6.8,6.8,6.8,6.8
23-09-2020,6.8,6.8,6.8,6.8
24-09-2020,6.8,7.0,6.5,6.75
25-09-2020,7.0,7.0,7.0,7.0
28-09-2020,7.35,7.35,6.65,6.75
29-09-2020,6.55,7.05,6.55,6.65
30-09-2020,6.65,6.95,6.35,6.95
05-10-2020,6.95,6.95,6.9,6.95
06-10-2020,6.65,7.25,6.65,7.25
07-10-2020,7.25,7.6,7.25,7.55
