date,open,high,low,close
22-07-2019,69.45,70.0,67.1,67.8
23-07-2019,68.65,69.7,67.6,68.8
24-07-2019,69.65,70.0,68.1,69.8
25-07-2019,69.9,70.7,69.55,69.65
26-07-2019,69.0,72.0,68.65,71.55
29-07-2019,71.35,71.75,68.25,71.4
30-07-2019,71.05,71.05,65.7,67.1
31-07-2019,66.55,68.4,66.4,67.6
01-08-2019,67.0,67.9,65.3,65.85
02-08-2019,64.0,68.9,64.0,68.15
05-08-2019,67.95,68.0,64.5,65.7
06-08-2019,66.0,67.7,65.55,66.75
07-08-2019,68.0,68.4,66.5,66.95
08-08-2019,68.35,68.9,66.55,68.25
09-08-2019,68.5,70.9,68.3,70.2
13-08-2019,68.0,71.0,67.5,68.75
14-08-2019,70.0,73.4,68.5,71.95
16-08-2019,73.5,77.7,73.0,76.35
19-08-2019,78.0,79.0,75.4,77.1
20-08-2019,77.1,77.1,74.05,74.6
21-08-2019,75.05,75.2,72.05,73.4
22-08-2019,73.35,73.4,69.0,69.75
23-08-2019,67.6,71.05,67.6,69.9
26-08-2019,70.85,74.95,70.85,73.1
27-08-2019,74.7,77.2,72.7,76.4
28-08-2019,76.4,76.55,71.1,71.85
29-08-2019,73.3,73.35,69.7,70.5
30-08-2019,70.3,74.5,70.0,73.7
03-09-2019,73.9,74.0,71.5,72.1
04-09-2019,71.2,75.0,71.0,73.3
05-09-2019,73.15,75.3,71.35,72.25
06-09-2019,73.55,74.7,73.0,73.95
09-09-2019,74.0,79.5,72.7,77.95
11-09-2019,79.0,81.8,77.2,79.25
12-09-2019,80.65,81.0,76.55,78.0
13-09-2019,78.9,78.9,76.8,78.4
16-09-2019,78.4,84.2,73.8,82.5
17-09-2019,82.0,82.3,75.15,76.45
18-09-2019,77.6,79.2,77.1,78.95
19-09-2019,79.5,79.5,73.2,73.9
20-09-2019,75.4,85.0,73.6,79.85
23-09-2019,79.0,85.45,79.0,84.45
24-09-2019,84.4,91.9,83.3,85.4
25-09-2019,86.0,86.6,83.55,85.45
26-09-2019,86.65,86.7,84.0,86.05
27-09-2019,87.3,87.3,82.0,84.0
30-09-2019,85.0,86.25,78.75,84.65
01-10-2019,84.15,86.0,79.6,80.75
03-10-2019,79.2,83.25,79.2,81.95
04-10-2019,83.8,83.85,79.4,80.9
07-10-2019,80.8,82.4,79.65,80.8
09-10-2019,80.25,82.0,79.0,81.25
10-10-2019,81.2,83.9,81.0,82.35
11-10-2019,82.4,87.75,81.15,84.9
14-10-2019,85.0,86.85,85.0,85.8
15-10-2019,88.0,96.7,86.55,91.95
16-10-2019,92.0,96.4,91.0,95.3
17-10-2019,95.0,102.0,94.0,96.5
18-10-2019,97.0,98.75,93.6,94.65
22-10-2019,94.7,96.05,92.15,94.15
23-10-2019,95.0,95.0,92.0,92.45
24-10-2019,92.75,93.3,87.6,88.45
25-10-2019,88.95,90.1,85.0,87.35
27-10-2019,89.45,89.45,87.05,88.2
29-10-2019,89.75,89.75,86.7,87.65
30-10-2019,87.0,93.0,87.0,91.95
31-10-2019,93.0,94.8,87.75,92.05
01-11-2019,93.5,94.4,90.0,90.35
04-11-2019,91.4,106.6,90.0,103.5
05-11-2019,104.0,104.9,96.7,97.75
06-11-2019,98.7,102.95,97.1,98.0
07-11-2019,98.95,100.0,97.1,97.75
08-11-2019,96.0,99.3,94.55,96.3
11-11-2019,94.0,94.0,88.65,90.45
13-11-2019,91.7,93.95,89.5,90.95
14-11-2019,91.0,91.75,88.1,88.85
15-11-2019,89.0,92.4,88.35,90.3
18-11-2019,90.15,97.3,88.95,93.5
19-11-2019,92.6,95.7,90.9,91.7
20-11-2019,91.65,92.2,90.05,90.45
21-11-2019,88.4,91.0,88.4,89.2
22-11-2019,89.1,91.2,88.25,89.1
25-11-2019,89.1,96.4,88.45,95.8
26-11-2019,96.35,96.35,92.25,92.6
27-11-2019,93.25,93.25,90.7,91.05
28-11-2019,90.95,97.5,90.9,93.7
29-11-2019,94.1,94.25,90.3,92.55
02-12-2019,93.95,93.95,92.0,92.35
03-12-2019,91.5,93.0,91.0,91.9
04-12-2019,92.05,97.5,87.4,89.55
05-12-2019,92.4,92.4,83.1,84.0
06-12-2019,85.5,86.5,80.8,81.5
09-12-2019,82.25,82.75,78.2,78.7
10-12-2019,79.5,79.5,75.25,75.85
11-12-2019,76.0,79.3,75.85,77.3
12-12-2019,78.25,82.5,77.9,80.9
13-12-2019,82.3,82.75,79.6,80.7
16-12-2019,78.65,80.7,78.65,79.5
17-12-2019,80.6,81.9,79.0,79.8
18-12-2019,79.75,81.7,78.95,80.7
19-12-2019,80.15,81.9,79.8,80.25
20-12-2019,79.85,82.0,79.85,81.4
23-12-2019,80.1,82.3,79.5,81.8
24-12-2019,81.1,83.5,80.3,80.95
26-12-2019,80.3,82.2,79.1,81.55
27-12-2019,81.85,83.0,80.4,80.95
30-12-2019,80.0,81.4,80.0,81.0
31-12-2019,81.5,84.8,80.7,83.1
01-01-2020,83.95,84.05,82.1,82.35
02-01-2020,83.2,85.25,82.95,83.85
03-01-2020,83.7,88.95,82.9,84.7
06-01-2020,84.0,84.95,80.9,83.7
07-01-2020,83.7,86.4,82.65,84.9
08-01-2020,83.5,85.65,82.3,82.7
09-01-2020,84.0,86.4,84.0,85.1
10-01-2020,85.75,87.0,83.7,85.5
13-01-2020,86.55,86.85,84.45,84.7
14-01-2020,85.85,85.95,83.1,84.0
15-01-2020,83.95,87.7,76.0,85.25
16-01-2020,85.8,94.4,85.7,91.5
17-01-2020,91.9,92.95,88.65,89.45
20-01-2020,92.2,92.2,87.1,89.75
21-01-2020,89.0,90.0,86.6,87.7
22-01-2020,88.2,89.7,85.35,86.85
23-01-2020,87.1,95.5,86.6,94.5
24-01-2020,96.0,111.65,96.0,104.5
27-01-2020,104.2,111.25,104.0,105.65
28-01-2020,106.5,107.25,98.1,99.95
29-01-2020,100.6,103.9,96.0,98.0
30-01-2020,98.8,102.9,96.55,99.1
31-01-2020,98.3,103.0,97.5,99.95
01-02-2020,100.0,102.8,93.4,95.7
03-02-2020,97.3,101.75,95.55,98.5
04-02-2020,99.45,99.75,96.05,97.75
05-02-2020,96.35,98.4,93.3,94.4
