date,open,high,low,close
23-07-2019,16.0,16.1,15.95,16.1
29-07-2019,16.85,17.2,16.85,17.2
30-07-2019,17.25,17.8,16.35,16.35
31-07-2019,16.95,17.0,16.95,17.0
02-08-2019,16.35,16.95,16.35,16.95
05-08-2019,15.35,15.35,15.35,15.35
06-08-2019,15.95,15.95,15.95,15.95
07-08-2019,15.85,15.95,15.75,15.9
09-08-2019,16.0,16.0,16.0,16.0
16-08-2019,16.05,16.05,16.05,16.05
21-08-2019,16.15,18.25,16.15,18.15
22-08-2019,18.0,18.0,18.0,18.0
23-08-2019,18.65,18.65,18.35,18.35
06-09-2019,19.0,19.0,19.0,19.0
09-09-2019,20.85,20.95,20.35,20.65
12-09-2019,20.7,21.35,20.35,20.35
17-09-2019,21.35,21.35,21.35,21.35
19-09-2019,21.35,21.35,21.35,21.35
30-09-2019,20.0,20.0,20.0,20.0
07-10-2019,18.75,18.75,18.75,18.75
18-10-2019,19.35,19.35,19.35,19.35
23-10-2019,20.5,20.5,20.5,20.5
24-10-2019,21.75,21.75,21.0,21.0
25-10-2019,21.75,22.75,21.75,22.75
29-10-2019,23.25,23.25,23.25,23.25
30-10-2019,25.0,26.75,25.0,26.75
01-11-2019,26.4,27.0,26.4,27.0
04-11-2019,26.75,26.95,26.75,26.9
05-11-2019,24.5,24.5,24.5,24.5
06-11-2019,24.9,26.1,24.9,26.05
13-11-2019,24.0,24.0,24.0,24.0
15-11-2019,22.25,22.5,22.25,22.5
19-11-2019,22.0,22.0,20.25,20.25
22-11-2019,20.25,20.25,20.0,20.0
25-11-2019,20.5,20.5,20.5,20.5
26-11-2019,20.65,21.6,20.65,21.6
27-11-2019,22.0,23.9,22.0,23.9
03-12-2019,21.0,21.0,21.0,21.0
04-12-2019,20.0,20.5,20.0,20.5
13-12-2019,22.0,22.0,22.0,22.0
20-12-2019,21.5,21.5,21.5,21.5
06-01-2020,20.0,20.25,20.0,20.25
07-01-2020,20.0,20.0,20.0,20.0
10-01-2020,20.25,20.25,20.25,20.25
13-01-2020,20.25,20.25,20.25,20.25
22-01-2020,20.25,20.25,20.25,20.25
04-03-2020,19.1,19.25,17.55,19.25
06-03-2020,19.8,19.8,19.8,19.8
09-03-2020,18.75,18.75,18.0,18.35
11-03-2020,18.9,19.0,18.9,19.0
12-03-2020,18.25,18.25,18.0,18.0
19-03-2020,16.5,16.5,15.0,15.0
26-03-2020,15.0,15.0,15.0,15.0
15-06-2020,14.0,14.0,14.0,14.0
18-06-2020,16.8,16.8,16.8,16.8
24-06-2020,16.8,16.8,16.8,16.8
02-07-2020,14.0,20.15,14.0,20.15
03-07-2020,24.15,24.15,24.15,24.15
13-08-2020,23.7,23.7,23.7,23.7
14-08-2020,22.55,22.55,22.55,22.55
05-10-2020,23.0,23.0,23.0,23.0
06-01-2021,21.85,21.85,21.85,21.85
15-01-2021,20.8,20.8,20.8,20.8
18-01-2021,20.75,20.75,20.5,20.5
19-01-2021,20.9,20.9,20.9,20.9
20-01-2021,21.85,21.9,21.85,21.85
21-01-2021,22.0,22.0,22.0,22.0
22-01-2021,23.1,23.1,23.1,23.1
25-01-2021,24.0,24.25,23.5,24.25
28-01-2021,23.5,23.5,23.5,23.5
29-01-2021,23.25,23.25,23.25,23.25
03-02-2021,23.0,23.25,23.0,23.25
05-02-2021,23.5,23.5,23.5,23.5
08-02-2021,24.0,24.65,23.25,23.25
09-02-2021,24.4,24.4,24.4,24.4
10-02-2021,24.4,24.4,24.4,24.4
11-02-2021,23.2,23.2,23.2,23.2
15-02-2021,24.0,24.0,24.0,24.0
23-02-2021,24.0,24.0,24.0,24.0
24-02-2021,23.95,24.0,23.95,24.0
26-02-2021,24.0,24.0,24.0,24.0
01-03-2021,23.5,23.5,23.5,23.5
02-03-2021,23.5,23.5,23.5,23.5
05-03-2021,24.0,24.0,24.0,24.0
09-03-2021,24.0,24.0,23.5,23.5
10-03-2021,24.0,24.0,24.0,24.0
12-03-2021,23.5,23.5,23.5,23.5
15-03-2021,23.5,24.0,23.5,24.0
16-03-2021,24.0,24.0,24.0,24.0
17-03-2021,24.0,24.0,23.5,23.5
18-03-2021,23.5,23.5,23.5,23.5
22-03-2021,24.0,24.0,24.0,24.0
23-03-2021,24.0,24.0,23.5,23.5
24-03-2021,23.5,23.5,23.5,23.5
25-03-2021,23.5,23.5,23.5,23.5
26-03-2021,23.25,23.5,23.25,23.5
30-03-2021,23.5,23.5,23.5,23.5
31-03-2021,23.5,23.5,23.5,23.5
01-04-2021,23.5,23.5,23.5,23.5
05-04-2021,23.5,24.0,23.5,24.0
06-04-2021,23.5,23.5,23.5,23.5
07-04-2021,23.5,23.5,23.1,23.35
13-04-2021,23.5,23.5,23.5,23.5
01-06-2021,22.5,22.5,22.5,22.5
