date,open,high,low,close
20-08-2019,16.6,17.3,16.0,16.3
21-08-2019,16.35,16.7,14.05,15.75
22-08-2019,15.45,15.9,14.95,15.5
23-08-2019,15.15,15.5,15.1,15.25
26-08-2019,15.2,15.9,15.0,15.1
27-08-2019,15.45,16.0,15.4,15.95
28-08-2019,15.9,16.0,15.45,15.55
29-08-2019,15.7,15.85,15.3,15.4
30-08-2019,15.55,15.8,15.45,15.65
03-09-2019,15.25,15.8,15.15,15.4
04-09-2019,15.4,15.75,15.2,15.45
05-09-2019,15.45,15.7,15.4,15.6
06-09-2019,15.5,16.0,15.5,15.8
09-09-2019,15.85,16.1,15.45,15.95
11-09-2019,16.1,16.75,16.05,16.65
12-09-2019,16.65,17.3,16.35,16.65
13-09-2019,16.4,17.2,16.35,16.95
16-09-2019,16.9,17.2,16.35,17.0
17-09-2019,16.8,17.2,16.6,16.8
18-09-2019,17.2,17.2,16.0,16.95
19-09-2019,17.0,17.0,16.2,16.45
20-09-2019,16.45,17.7,16.25,17.15
23-09-2019,17.75,17.75,16.9,17.3
24-09-2019,17.1,18.15,17.0,17.8
25-09-2019,17.8,18.1,17.35,17.4
26-09-2019,17.25,17.75,17.1,17.55
27-09-2019,17.75,17.75,16.35,17.05
30-09-2019,17.0,17.8,16.9,17.25
01-10-2019,17.25,17.4,16.1,16.6
03-10-2019,17.15,17.15,16.1,16.5
04-10-2019,16.95,16.95,16.4,16.5
07-10-2019,16.6,16.8,16.2,16.5
09-10-2019,16.7,16.85,16.15,16.6
10-10-2019,16.85,16.85,16.3,16.4
11-10-2019,16.3,16.5,16.15,16.45
14-10-2019,16.25,16.3,14.55,16.0
15-10-2019,16.35,16.55,16.0,16.5
16-10-2019,16.25,16.95,16.15,16.75
17-10-2019,16.6,17.1,16.5,16.7
18-10-2019,17.0,17.0,16.5,16.75
22-10-2019,16.4,17.4,16.4,16.7
23-10-2019,16.55,17.05,16.55,16.65
24-10-2019,16.55,18.45,16.25,17.65
25-10-2019,18.0,20.15,18.0,19.45
27-10-2019,20.3,21.6,20.0,21.2
29-10-2019,21.65,24.5,20.6,23.7
30-10-2019,23.65,24.2,22.6,23.0
31-10-2019,23.0,23.25,22.05,22.7
01-11-2019,22.45,23.0,21.65,21.8
04-11-2019,22.5,22.5,20.15,21.05
05-11-2019,21.3,22.45,20.75,21.75
06-11-2019,21.7,22.3,21.35,21.8
07-11-2019,22.0,22.15,20.5,21.35
08-11-2019,21.75,21.8,20.4,20.65
11-11-2019,21.15,21.25,20.65,20.9
13-11-2019,21.1,22.0,20.3,21.25
14-11-2019,21.3,22.2,20.6,21.9
15-11-2019,22.0,24.05,22.0,24.05
18-11-2019,24.75,26.45,23.5,26.35
19-11-2019,26.7,27.05,25.05,25.05
20-11-2019,24.35,26.0,24.35,24.75
21-11-2019,24.9,24.95,23.55,23.85
22-11-2019,23.55,24.25,23.5,23.75
25-11-2019,23.9,24.9,23.1,23.3
26-11-2019,23.65,23.85,22.75,22.95
27-11-2019,23.1,23.35,22.3,23.1
28-11-2019,23.45,23.45,22.7,22.9
29-11-2019,23.25,23.25,22.3,22.45
02-12-2019,22.45,23.5,22.35,22.8
03-12-2019,23.05,23.35,22.5,22.75
04-12-2019,22.8,23.75,22.2,23.45
05-12-2019,23.9,24.2,23.5,23.95
06-12-2019,24.7,24.75,23.35,23.5
09-12-2019,23.5,24.2,22.65,23.05
10-12-2019,23.6,23.6,22.75,23.3
11-12-2019,23.45,23.5,22.8,23.05
12-12-2019,23.35,23.35,22.9,22.95
13-12-2019,23.35,24.9,22.95,24.0
16-12-2019,24.65,24.8,23.5,23.6
17-12-2019,23.5,23.95,23.15,23.65
18-12-2019,23.65,23.9,22.9,22.95
19-12-2019,23.0,23.75,22.55,23.5
20-12-2019,23.9,24.4,23.25,24.2
23-12-2019,24.5,24.9,23.9,24.2
24-12-2019,24.4,24.5,23.7,24.0
26-12-2019,24.0,24.45,23.6,24.25
27-12-2019,24.35,26.65,24.05,26.6
30-12-2019,27.0,28.2,26.25,27.2
31-12-2019,27.2,27.5,26.25,26.7
01-01-2020,26.65,26.85,25.6,25.8
02-01-2020,25.75,27.8,25.4,26.75
03-01-2020,27.35,27.35,26.0,26.1
06-01-2020,26.4,26.4,25.0,25.1
07-01-2020,25.25,27.2,25.25,26.55
08-01-2020,26.45,27.7,25.5,26.4
09-01-2020,26.4,27.0,26.0,26.35
10-01-2020,26.4,27.5,25.95,26.85
13-01-2020,27.0,29.3,26.9,28.95
14-01-2020,29.5,29.85,27.75,28.2
15-01-2020,28.3,29.0,27.4,27.95
16-01-2020,28.35,28.6,27.4,27.8
17-01-2020,28.0,28.3,27.65,27.85
20-01-2020,28.5,28.5,27.75,27.85
21-01-2020,27.55,27.9,27.25,27.6
22-01-2020,27.6,28.9,27.4,28.35
23-01-2020,29.2,29.4,28.4,28.7
24-01-2020,29.2,29.3,28.25,28.85
27-01-2020,28.65,31.0,28.55,29.2
28-01-2020,29.4,31.35,28.5,29.0
29-01-2020,29.5,30.5,29.0,29.35
30-01-2020,29.7,29.75,28.15,28.6
31-01-2020,29.0,29.0,27.4,27.65
01-02-2020,28.0,28.0,26.05,26.7
03-02-2020,27.5,27.5,25.5,26.1
04-02-2020,26.8,27.45,26.3,26.55
05-02-2020,26.75,27.75,26.45,27.5
06-02-2020,28.85,28.95,27.95,28.75
07-02-2020,28.75,29.85,28.75,29.1
10-02-2020,29.5,30.15,28.5,28.95
11-02-2020,29.3,29.6,28.7,28.9
12-02-2020,28.95,29.1,27.5,27.75
13-02-2020,27.3,28.0,26.75,26.85
14-02-2020,26.55,28.7,26.3,27.75
17-02-2020,27.75,27.9,26.5,26.75
18-02-2020,26.65,26.95,25.8,26.4
19-02-2020,26.55,27.8,26.55,27.5
20-02-2020,27.5,30.5,27.45,30.0
24-02-2020,30.4,33.9,29.6,31.6
25-02-2020,32.3,32.75,30.75,31.25
26-02-2020,31.45,32.45,30.75,31.1
27-02-2020,31.35,31.9,30.25,31.5
28-02-2020,30.4,30.7,29.3,30.05
02-03-2020,30.75,31.7,29.6,29.95
03-03-2020,30.15,31.7,30.05,31.2
04-03-2020,31.65,32.0,29.8,31.3
05-03-2020,31.9,31.95,30.8,31.05
06-03-2020,29.65,31.9,28.3,31.5
09-03-2020,30.3,31.65,30.0,30.8
11-03-2020,30.75,31.55,30.1,30.35
12-03-2020,28.65,28.9,27.0,27.5
13-03-2020,26.0,29.5,22.25,27.7
16-03-2020,27.4,29.0,26.15,27.6
17-03-2020,27.3,28.5,26.2,26.45
18-03-2020,27.45,27.45,25.0,25.05
19-03-2020,24.65,25.95,22.95,24.75
20-03-2020,24.8,26.0,24.15,24.6
23-03-2020,20.7,23.6,20.7,21.95
