date,open,high,low,close
22-07-2019,125.2,135.0,125.2,131.15
23-07-2019,130.0,132.5,128.85,131.4
24-07-2019,130.2,131.75,126.35,129.05
25-07-2019,140.0,140.0,128.0,130.5
26-07-2019,127.0,132.8,127.0,129.3
29-07-2019,126.0,138.95,126.0,134.65
30-07-2019,133.0,136.0,129.0,129.1
31-07-2019,126.1,131.85,119.0,119.5
01-08-2019,119.5,125.4,110.05,112.35
02-08-2019,112.35,114.0,108.0,108.35
05-08-2019,102.0,102.0,94.25,98.6
06-08-2019,98.05,105.9,98.0,102.9
07-08-2019,101.95,103.85,98.0,98.95
08-08-2019,98.3,99.65,86.15,89.85
09-08-2019,89.0,91.9,87.65,89.1
13-08-2019,102.5,102.5,85.0,87.25
14-08-2019,87.0,94.95,82.0,84.8
16-08-2019,84.0,89.85,84.0,87.5
19-08-2019,86.0,90.0,84.0,84.4
20-08-2019,89.25,89.3,78.65,80.0
21-08-2019,76.0,81.5,72.0,72.1
22-08-2019,71.0,73.5,67.35,68.4
23-08-2019,66.0,75.2,64.0,75.2
26-08-2019,76.5,82.7,76.1,82.7
27-08-2019,87.75,90.95,85.0,90.95
28-08-2019,92.0,97.0,86.4,90.95
29-08-2019,91.0,94.8,87.1,87.7
30-08-2019,90.25,90.4,84.25,84.65
03-09-2019,84.1,86.95,81.0,82.6
04-09-2019,83.0,84.85,79.35,82.35
05-09-2019,82.6,86.4,81.4,84.15
06-09-2019,86.4,86.4,80.35,81.95
09-09-2019,84.7,86.0,84.3,85.75
11-09-2019,82.15,90.0,82.15,90.0
12-09-2019,91.0,94.5,90.05,94.5
13-09-2019,94.45,95.9,92.0,93.95
16-09-2019,95.5,98.5,95.0,96.1
17-09-2019,99.0,99.0,95.3,96.55
18-09-2019,95.95,97.95,91.75,92.75
19-09-2019,92.75,92.75,88.15,88.15
20-09-2019,87.0,90.0,84.2,86.45
23-09-2019,90.75,90.75,88.65,89.75
24-09-2019,93.0,94.2,90.5,92.0
25-09-2019,91.8,91.8,88.1,89.05
26-09-2019,90.0,92.4,86.1,87.2
27-09-2019,90.45,91.4,84.55,87.65
30-09-2019,84.5,85.9,83.3,83.3
01-10-2019,83.0,84.75,79.15,81.85
03-10-2019,79.8,83.5,77.85,78.55
04-10-2019,80.45,80.45,76.55,78.5
07-10-2019,80.9,81.5,75.2,76.35
09-10-2019,72.7,80.15,72.55,78.15
10-10-2019,76.0,77.05,74.7,75.65
11-10-2019,76.8,78.4,73.0,76.0
14-10-2019,79.7,79.7,73.3,74.9
15-10-2019,76.35,78.4,73.55,77.55
16-10-2019,80.05,80.05,75.25,77.45
17-10-2019,78.0,79.9,74.1,75.75
18-10-2019,74.0,79.5,73.45,79.5
22-10-2019,80.0,83.45,76.0,79.1
23-10-2019,80.0,80.9,77.0,79.3
24-10-2019,78.3,82.5,77.5,79.6
25-10-2019,79.5,80.9,75.65,77.25
27-10-2019,80.5,80.5,76.55,79.15
29-10-2019,81.2,81.2,76.5,79.55
30-10-2019,80.55,80.6,78.5,79.35
31-10-2019,78.0,83.3,78.0,83.3
01-11-2019,83.0,87.3,82.5,84.95
04-11-2019,89.0,89.0,82.15,83.3
05-11-2019,81.05,83.45,79.3,81.1
06-11-2019,83.35,83.4,78.0,81.4
07-11-2019,82.9,84.0,78.45,78.9
08-11-2019,79.75,80.75,76.15,78.7
11-11-2019,80.0,80.45,76.3,76.6
13-11-2019,78.95,78.95,76.2,76.75
14-11-2019,76.4,76.4,72.95,72.95
15-11-2019,74.0,76.55,73.0,75.15
18-11-2019,76.0,78.9,71.4,78.9
19-11-2019,76.1,82.8,76.1,82.8
20-11-2019,86.6,86.9,86.55,86.9
21-11-2019,90.5,91.2,86.15,90.05
22-11-2019,87.5,90.0,85.8,86.25
25-11-2019,86.0,88.0,83.1,84.2
26-11-2019,83.55,84.2,80.0,80.0
27-11-2019,77.2,83.2,77.2,81.6
28-11-2019,80.6,82.8,77.55,79.15
29-11-2019,78.15,79.1,76.0,78.4
02-12-2019,76.35,78.4,75.55,76.7
03-12-2019,76.8,77.0,74.55,75.15
04-12-2019,77.0,77.0,74.05,76.45
05-12-2019,74.1,78.85,74.1,77.6
06-12-2019,77.6,79.5,75.35,75.45
09-12-2019,77.7,77.7,73.0,73.9
10-12-2019,75.7,75.7,70.55,71.55
11-12-2019,72.7,73.1,70.5,70.95
12-12-2019,70.0,73.0,68.5,70.3
13-12-2019,70.9,72.5,70.3,71.75
16-12-2019,78.5,78.5,71.75,72.5
17-12-2019,75.0,75.0,71.0,74.35
18-12-2019,74.45,77.8,72.1,73.6
19-12-2019,73.9,73.9,69.35,70.25
20-12-2019,72.8,72.8,69.05,70.3
23-12-2019,70.3,72.5,68.65,69.45
24-12-2019,69.0,69.5,62.55,66.85
26-12-2019,68.8,70.5,66.1,69.8
27-12-2019,69.8,72.8,68.15,69.9
30-12-2019,72.8,72.8,67.95,69.15
31-12-2019,68.0,74.95,67.1,72.55
01-01-2020,72.4,76.5,72.15,74.75
02-01-2020,74.75,82.2,72.1,82.2
03-01-2020,81.45,90.0,81.4,84.95
06-01-2020,86.0,88.5,81.15,82.45
07-01-2020,83.45,84.95,76.25,79.1
08-01-2020,79.1,83.75,76.15,76.85
09-01-2020,80.0,81.9,77.15,79.85
10-01-2020,82.25,83.95,81.1,82.3
13-01-2020,83.0,87.8,81.05,84.95
14-01-2020,83.0,90.4,83.0,85.8
15-01-2020,86.5,86.5,80.6,83.85
16-01-2020,83.05,85.0,82.65,83.45
17-01-2020,83.45,91.75,81.55,91.75
20-01-2020,94.0,100.9,94.0,100.9
21-01-2020,100.05,104.95,97.1,101.9
22-01-2020,101.85,106.0,98.5,101.6
23-01-2020,102.0,102.0,96.55,96.55
24-01-2020,94.1,94.8,91.75,93.05
27-01-2020,93.05,95.25,91.15,92.45
28-01-2020,96.75,96.75,87.85,88.35
29-01-2020,88.35,91.0,84.2,85.6
30-01-2020,85.7,88.0,81.35,81.8
31-01-2020,81.0,82.0,78.7,81.7
01-02-2020,84.0,84.0,80.2,81.4
03-02-2020,78.2,83.5,78.2,80.0
04-02-2020,79.0,82.9,79.0,80.1
05-02-2020,82.9,82.9,81.1,81.5
06-02-2020,80.55,85.4,79.0,81.15
07-02-2020,78.5,82.1,78.5,80.15
10-02-2020,84.15,84.15,77.0,77.2
11-02-2020,81.05,81.05,75.0,78.55
12-02-2020,81.0,82.0,76.0,76.9
13-02-2020,79.0,80.7,77.0,79.95
14-02-2020,83.5,83.9,81.45,82.45
17-02-2020,86.5,86.5,78.35,78.35
18-02-2020,80.0,80.0,74.5,75.2
19-02-2020,77.65,77.65,73.0,74.1
20-02-2020,75.9,77.3,71.3,72.05
24-02-2020,72.05,72.05,70.0,71.1
25-02-2020,70.25,71.9,67.75,68.1
26-02-2020,67.85,69.7,66.5,67.65
27-02-2020,65.7,66.95,64.55,65.3
28-02-2020,64.3,64.8,62.35,64.5
02-03-2020,64.7,66.9,63.15,63.5
03-03-2020,66.25,66.25,61.2,63.0
04-03-2020,60.6,64.0,59.85,59.85
05-03-2020,57.1,60.0,56.9,56.9
06-03-2020,56.9,56.9,54.1,54.1
09-03-2020,54.1,54.1,51.4,53.4
11-03-2020,56.0,56.05,52.2,55.75
12-03-2020,55.0,55.0,53.0,53.1
13-03-2020,52.0,55.5,50.45,50.45
16-03-2020,49.0,50.95,47.95,47.95
17-03-2020,45.7,46.85,45.6,45.6
18-03-2020,43.35,43.35,43.35,43.35
19-03-2020,41.2,41.2,41.2,41.2
20-03-2020,39.15,43.2,39.15,40.2
23-03-2020,40.2,42.0,38.2,38.25
24-03-2020,36.35,40.15,36.35,36.35
25-03-2020,34.55,37.95,34.55,35.55
26-03-2020,35.55,37.2,33.8,35.05
27-03-2020,36.2,36.8,34.0,35.75
30-03-2020,37.3,37.5,35.0,36.95
31-03-2020,38.75,38.75,37.0,38.65
01-04-2020,37.0,40.55,37.0,38.0
03-04-2020,39.75,39.9,36.1,38.05
07-04-2020,39.8,39.95,38.0,39.5
08-04-2020,40.9,41.45,39.0,39.85
09-04-2020,41.5,41.75,38.15,39.0
13-04-2020,40.75,40.75,37.05,37.7
15-04-2020,39.25,39.25,36.15,37.0
16-04-2020,36.05,38.85,36.0,38.85
17-04-2020,40.75,40.75,40.75,40.75
20-04-2020,42.75,42.75,42.75,42.75
21-04-2020,44.85,44.85,42.75,44.85
22-04-2020,46.9,47.05,45.05,47.05
23-04-2020,49.4,49.4,49.4,49.4
24-04-2020,51.8,51.85,51.8,51.85
27-04-2020,54.4,54.4,49.3,54.4
28-04-2020,57.1,57.1,51.7,51.7
29-04-2020,49.2,51.4,49.15,49.15
30-04-2020,49.1,51.6,47.35,49.2
04-05-2020,49.2,49.2,46.75,47.15
05-05-2020,47.05,49.0,45.25,45.95
06-05-2020,48.15,48.15,44.1,44.85
07-05-2020,45.05,46.45,43.6,44.8
08-05-2020,45.1,47.0,45.1,46.9
11-05-2020,49.1,49.1,46.0,46.9
12-05-2020,46.0,46.75,44.6,44.85
13-05-2020,46.75,47.05,44.0,47.05
14-05-2020,47.1,48.85,46.3,46.6
15-05-2020,47.75,47.8,46.0,47.05
18-05-2020,47.05,48.0,44.7,44.9
19-05-2020,46.8,46.8,44.9,45.3
20-05-2020,43.35,45.8,43.35,44.0
21-05-2020,44.05,46.2,44.05,46.05
22-05-2020,46.05,47.6,44.1,45.25
26-05-2020,46.8,46.8,44.1,44.6
27-05-2020,45.5,45.75,43.5,44.6
28-05-2020,45.5,46.8,44.0,44.75
29-05-2020,45.95,46.95,44.3,45.55
01-06-2020,47.25,47.8,46.0,47.8
02-06-2020,48.75,49.95,46.05,47.1
03-06-2020,48.2,49.45,46.3,49.45
04-06-2020,49.0,51.7,47.4,48.5
05-06-2020,49.65,53.35,47.7,53.35
08-06-2020,57.0,58.65,55.25,57.65
09-06-2020,60.0,62.9,51.95,53.85
10-06-2020,53.85,57.75,51.1,52.0
11-06-2020,52.0,54.75,50.3,51.75
12-06-2020,47.5,54.8,47.5,54.3
15-06-2020,56.7,58.0,54.3,57.55
16-06-2020,59.45,62.75,56.1,57.8
17-06-2020,57.8,60.0,57.25,58.05
18-06-2020,55.75,63.85,55.75,63.7
19-06-2020,66.5,70.05,64.85,69.6
22-06-2020,72.95,73.05,70.15,72.65
23-06-2020,71.9,71.9,69.05,69.05
24-06-2020,68.85,69.9,65.6,65.7
25-06-2020,63.1,66.85,62.45,63.0
26-06-2020,62.5,65.85,61.5,62.8
29-06-2020,64.6,64.6,59.7,60.95
30-06-2020,63.0,63.0,58.5,60.4
01-07-2020,62.0,62.0,58.0,59.6
02-07-2020,60.0,60.85,58.55,59.55
03-07-2020,61.8,62.5,60.2,62.5
06-07-2020,62.1,65.6,61.9,65.2
07-07-2020,65.2,66.85,63.8,65.15
08-07-2020,65.0,66.35,64.0,65.6
09-07-2020,65.6,65.8,62.35,62.95
10-07-2020,64.55,64.55,60.7,61.8
13-07-2020,62.85,64.1,60.85,61.3
14-07-2020,60.05,62.9,58.65,61.45
15-07-2020,59.15,64.5,59.15,63.15
16-07-2020,64.45,66.3,63.05,66.3
17-07-2020,69.6,69.6,69.6,69.6
20-07-2020,73.05,73.05,73.05,73.05
21-07-2020,76.7,76.7,70.0,76.7
22-07-2020,80.5,80.5,72.9,72.9
23-07-2020,70.8,70.8,69.3,69.3
24-07-2020,65.9,68.5,65.85,68.25
27-07-2020,68.2,68.25,64.9,67.65
28-07-2020,65.45,70.4,65.45,68.4
29-07-2020,68.3,69.0,67.25,68.45
30-07-2020,67.1,70.3,67.0,67.85
31-07-2020,67.95,69.45,66.15,66.6
03-08-2020,66.05,68.3,65.15,66.6
04-08-2020,68.65,68.65,64.0,65.65
05-08-2020,67.5,68.9,65.55,68.9
06-08-2020,72.2,72.3,72.2,72.3
07-08-2020,79.5,79.5,75.1,79.5
10-08-2020,79.95,87.45,76.7,87.45
11-08-2020,95.0,95.0,81.95,83.0
12-08-2020,82.5,87.8,79.0,86.7
13-08-2020,81.3,89.6,81.3,85.6
14-08-2020,87.95,88.9,78.75,79.75
17-08-2020,81.4,87.7,81.4,87.7
18-08-2020,90.3,90.3,86.0,89.5
19-08-2020,93.0,93.95,89.0,92.2
20-08-2020,92.0,94.2,90.0,91.8
21-08-2020,88.55,94.45,87.25,88.3
24-08-2020,89.0,89.0,83.9,83.9
25-08-2020,79.75,79.75,79.75,79.75
26-08-2020,82.6,82.6,75.8,78.45
27-08-2020,78.45,81.75,75.55,77.75
28-08-2020,80.9,80.9,74.3,75.45
31-08-2020,78.6,78.6,71.7,71.7
01-09-2020,69.0,72.0,68.15,69.65
02-09-2020,66.65,72.0,66.55,70.55
03-09-2020,73.0,73.0,68.15,71.55
04-09-2020,71.95,73.3,68.1,71.8
07-09-2020,74.15,74.9,69.65,71.9
08-09-2020,74.7,74.7,69.1,70.5
09-09-2020,73.95,74.0,69.05,72.45
10-09-2020,75.3,75.3,70.2,73.1
11-09-2020,70.15,74.0,70.15,71.35
14-09-2020,73.7,73.7,69.6,69.95
15-09-2020,69.95,71.45,68.1,70.9
16-09-2020,68.5,70.65,68.0,69.45
17-09-2020,68.0,70.35,68.0,70.0
18-09-2020,72.7,72.7,68.3,69.75
21-09-2020,69.75,69.75,67.0,67.5
22-09-2020,67.3,67.3,65.3,65.95
23-09-2020,65.0,68.4,62.7,62.85
24-09-2020,60.25,62.5,59.75,59.75
25-09-2020,59.8,60.85,56.85,59.5
28-09-2020,62.3,62.3,58.5,59.85
29-09-2020,59.9,62.65,59.9,62.2
30-09-2020,62.3,63.3,59.9,60.15
01-10-2020,62.3,62.3,59.9,60.85
05-10-2020,60.85,63.0,58.25,61.25
06-10-2020,58.6,62.5,58.6,60.25
07-10-2020,61.65,61.65,58.45,59.0
08-10-2020,58.8,60.8,57.5,57.65
09-10-2020,57.15,58.5,57.15,58.0
12-10-2020,58.0,58.95,56.0,57.55
13-10-2020,56.0,59.0,54.75,56.1
14-10-2020,53.35,57.95,53.3,53.3
15-10-2020,51.05,51.7,50.65,50.65
16-10-2020,48.15,52.75,48.15,48.15
19-10-2020,50.35,50.5,45.75,50.35
20-10-2020,52.75,52.85,50.5,52.85
21-10-2020,55.4,55.45,53.1,55.45
22-10-2020,58.2,58.2,55.4,56.3
23-10-2020,58.75,58.75,55.0,56.9
26-10-2020,56.95,56.95,54.1,56.15
27-10-2020,56.75,56.75,53.35,53.4
28-10-2020,53.9,55.85,50.75,50.75
29-10-2020,48.6,53.25,48.25,52.65
30-10-2020,51.15,54.35,51.1,54.1
02-11-2020,54.15,55.95,51.4,51.5
03-11-2020,49.25,53.1,49.25,51.45
04-11-2020,53.45,53.45,50.05,51.85
05-11-2020,49.5,54.3,49.5,52.25
06-11-2020,52.0,54.6,52.0,53.0
09-11-2020,55.0,55.0,50.75,51.25
10-11-2020,49.5,53.8,49.5,53.55
11-11-2020,53.55,56.2,53.25,55.6
12-11-2020,52.85,58.35,52.85,58.35
13-11-2020,60.8,61.25,58.6,61.25
14-11-2020,63.95,64.3,62.1,64.1
17-11-2020,66.75,67.3,63.2,67.3
18-11-2020,69.85,70.05,67.0,67.75
19-11-2020,67.9,69.6,64.4,64.9
20-11-2020,65.0,68.05,62.15,65.05
23-11-2020,67.35,67.35,61.8,61.8
24-11-2020,62.0,63.9,58.75,58.85
25-11-2020,59.9,60.0,57.6,58.2
26-11-2020,60.0,61.1,58.1,60.1
27-11-2020,60.1,61.0,58.8,59.2
01-12-2020,58.1,59.95,57.7,59.15
02-12-2020,61.3,62.1,58.25,62.1
03-12-2020,62.55,65.0,60.65,64.65
04-12-2020,65.95,66.0,62.25,64.45
07-12-2020,62.05,67.65,62.05,66.05
08-12-2020,65.5,67.9,64.3,67.35
09-12-2020,67.35,70.7,67.0,70.7
10-12-2020,72.0,73.9,67.8,68.95
11-12-2020,69.85,71.45,66.55,68.9
14-12-2020,68.95,70.0,66.15,69.4
15-12-2020,70.2,70.25,68.2,69.65
16-12-2020,71.65,71.65,68.35,69.7
17-12-2020,71.35,73.15,70.0,73.15
18-12-2020,74.2,76.45,70.25,74.35
21-12-2020,75.0,75.15,70.65,70.65
22-12-2020,67.6,70.0,67.15,67.15
23-12-2020,65.95,68.45,64.0,65.3
24-12-2020,67.45,67.45,65.0,65.65
28-12-2020,68.15,68.15,66.9,67.7
29-12-2020,68.15,68.2,64.95,65.85
30-12-2020,65.5,65.5,62.6,62.6
31-12-2020,61.0,64.6,59.5,63.7
01-01-2021,64.45,66.5,63.35,65.65
04-01-2021,65.7,68.9,65.65,68.9
05-01-2021,69.3,72.3,69.3,72.3
06-01-2021,74.4,75.9,73.0,75.85
07-01-2021,77.3,79.35,73.95,76.95
08-01-2021,77.75,79.0,73.15,73.25
11-01-2021,75.25,76.9,73.8,75.75
12-01-2021,76.25,79.5,76.25,79.15
13-01-2021,79.55,81.0,75.5,76.7
14-01-2021,75.5,80.5,75.5,80.0
15-01-2021,82.35,82.35,76.05,76.7
18-01-2021,76.5,77.95,74.65,76.05
19-01-2021,76.05,77.55,75.5,76.85
20-01-2021,76.35,77.15,75.6,76.45
21-01-2021,76.45,79.35,73.2,74.35
22-01-2021,72.25,75.0,70.75,72.0
25-01-2021,72.65,73.95,69.2,70.0
27-01-2021,71.4,71.4,68.3,69.2
28-01-2021,70.0,70.0,67.65,69.0
29-01-2021,71.1,72.45,69.1,71.6
01-02-2021,72.0,75.15,71.6,74.75
02-02-2021,76.8,77.5,73.0,74.65
03-02-2021,75.0,77.0,75.0,75.35
04-02-2021,76.5,77.05,75.15,75.45
05-02-2021,76.15,76.55,74.3,75.25
08-02-2021,76.9,80.0,75.85,78.15
09-02-2021,79.7,81.0,77.1,77.65
10-02-2021,77.65,80.5,76.65,79.7
11-02-2021,80.0,87.1,77.1,85.7
12-02-2021,84.0,84.0,78.55,79.7
15-02-2021,78.15,82.8,75.55,77.2
16-02-2021,75.3,76.05,71.25,73.65
17-02-2021,73.65,73.65,71.2,71.95
18-02-2021,72.05,74.7,71.5,71.9
19-02-2021,74.4,79.05,74.25,79.0
22-02-2021,82.0,86.9,81.15,84.5
23-02-2021,87.0,89.0,79.5,83.7
24-02-2021,85.75,85.75,80.55,81.85
25-02-2021,82.55,86.5,82.35,85.0
26-02-2021,84.5,84.5,78.15,80.85
01-03-2021,83.5,84.5,81.0,82.4
02-03-2021,83.0,85.0,81.1,84.2
03-03-2021,85.95,89.9,84.6,85.3
04-03-2021,85.3,88.5,83.7,85.9
05-03-2021,84.95,85.5,81.4,81.9
08-03-2021,83.4,85.75,80.55,82.75
09-03-2021,83.45,83.5,80.0,80.95
10-03-2021,81.55,83.25,80.25,81.9
12-03-2021,82.1,82.8,78.2,78.7
15-03-2021,80.8,82.8,78.5,82.1
16-03-2021,84.75,85.5,82.3,83.4
17-03-2021,83.4,85.6,80.25,81.2
18-03-2021,81.3,83.0,75.25,77.3
19-03-2021,79.8,79.8,74.0,77.7
22-03-2021,78.5,79.9,77.1,78.8
23-03-2021,78.85,81.0,77.8,78.35
24-03-2021,78.1,79.1,77.05,77.6
25-03-2021,77.65,78.1,72.25,72.75
26-03-2021,73.75,76.7,73.15,74.95
30-03-2021,73.15,77.0,73.0,73.5
31-03-2021,73.2,74.75,68.3,71.05
01-04-2021,72.5,77.0,71.15,76.55
05-04-2021,77.4,77.4,72.7,74.2
06-04-2021,74.7,77.25,74.2,75.7
07-04-2021,76.4,76.75,74.0,74.35
08-04-2021,77.95,85.2,77.95,81.8
09-04-2021,82.0,84.65,80.05,80.85
12-04-2021,79.05,79.65,72.85,73.9
13-04-2021,75.7,78.5,74.55,75.8
15-04-2021,75.65,79.2,75.15,76.1
16-04-2021,76.9,77.5,73.55,76.85
19-04-2021,77.0,77.5,73.5,75.1
20-04-2021,75.8,78.2,74.3,74.85
22-04-2021,74.1,77.0,74.05,75.85
23-04-2021,75.8,79.5,75.5,76.1
26-04-2021,76.15,78.35,75.3,76.4
27-04-2021,77.2,84.25,77.2,81.2
28-04-2021,83.75,83.8,80.25,80.5
29-04-2021,80.75,81.7,78.0,79.1
30-04-2021,78.85,84.2,78.0,81.0
03-05-2021,82.6,86.25,80.6,84.75
04-05-2021,87.0,88.0,80.8,81.55
05-05-2021,83.05,97.85,81.85,97.85
06-05-2021,105.0,114.9,100.55,106.2
07-05-2021,105.3,108.9,100.0,102.45
10-05-2021,103.0,105.0,97.9,101.7
11-05-2021,101.0,112.1,96.55,103.85
12-05-2021,104.0,107.5,102.0,103.55
14-05-2021,104.95,105.0,96.0,97.75
17-05-2021,99.2,106.2,98.1,104.0
18-05-2021,105.5,112.9,104.0,111.55
19-05-2021,110.45,116.7,110.25,110.95
20-05-2021,111.05,112.6,105.7,109.7
21-05-2021,111.0,116.5,110.0,112.65
24-05-2021,116.0,121.0,113.7,118.4
25-05-2021,121.5,123.65,112.5,115.1
26-05-2021,118.1,119.9,115.15,117.05
27-05-2021,140.45,140.45,133.45,140.45
28-05-2021,148.0,166.95,143.3,160.05
31-05-2021,158.8,176.05,152.5,176.05
01-06-2021,179.4,193.65,178.8,193.65
02-06-2021,198.0,213.0,195.0,213.0
03-06-2021,223.0,223.65,216.05,223.65
04-06-2021,226.9,228.35,212.5,212.5
07-06-2021,201.9,212.5,201.9,201.9
08-06-2021,194.55,199.7,191.85,191.85
09-06-2021,191.0,199.7,182.3,182.3
10-06-2021,180.4,187.0,173.2,174.2
11-06-2021,175.0,180.55,166.4,170.8
14-06-2021,171.9,179.3,163.0,179.3
15-06-2021,182.5,185.4,179.0,181.9
16-06-2021,187.0,190.95,183.7,190.25
17-06-2021,191.0,194.95,181.5,184.55
18-06-2021,189.0,189.0,175.35,180.95
21-06-2021,171.95,179.9,171.95,177.2
22-06-2021,179.1,182.35,172.25,175.9
23-06-2021,178.95,178.95,170.95,174.25
24-06-2021,178.95,178.95,168.0,170.3
25-06-2021,173.0,178.8,171.15,178.8
28-06-2021,187.0,187.0,179.85,183.25
29-06-2021,185.2,190.0,183.3,184.3
30-06-2021,188.2,188.2,181.0,181.6
01-07-2021,184.8,190.65,180.65,190.65
02-07-2021,194.0,196.0,186.45,191.15
05-07-2021,190.75,192.0,186.65,187.55
06-07-2021,188.0,190.95,187.1,189.35
07-07-2021,187.0,190.6,182.15,187.9
08-07-2021,188.5,197.0,188.35,194.3
09-07-2021,194.45,194.45,189.0,191.45
12-07-2021,191.45,199.9,184.0,189.95
13-07-2021,196.0,196.7,190.3,191.85
14-07-2021,192.0,201.4,186.65,201.4
15-07-2021,207.9,209.9,198.05,200.3
16-07-2021,201.4,201.4,192.0,197.95
19-07-2021,194.45,207.8,189.55,207.8
20-07-2021,213.85,214.4,197.45,200.6
22-07-2021,205.0,210.6,205.0,210.6
23-07-2021,217.0,221.1,208.0,221.1
26-07-2021,227.0,232.15,214.1,232.15
27-07-2021,239.4,240.0,220.55,224.75
28-07-2021,225.85,228.0,214.15,217.15
29-07-2021,219.5,220.1,209.9,214.65
30-07-2021,216.4,225.35,211.45,225.0
02-08-2021,230.0,232.3,222.55,224.55
