date,open,high,low,close
14-12-2022,69.9,69.9,66.5,68.0
15-12-2022,67.5,67.5,66.0,66.7
16-12-2022,66.99,67.01,65.21,65.49
19-12-2022,66.1,66.99,66.1,66.27
20-12-2022,66.4,68.0,65.2,67.69
21-12-2022,67.69,68.45,67.61,68.38
22-12-2022,68.39,68.39,67.6,67.64
23-12-2022,67.89,67.89,66.4,66.68
26-12-2022,66.99,67.75,66.75,67.66
27-12-2022,67.1,68.75,67.1,68.26
28-12-2022,68.39,68.39,67.06,67.29
29-12-2022,67.0,81.0,66.6,81.0
30-12-2022,81.0,81.0,67.59,67.8
02-01-2023,68.58,68.58,67.8,68.25
03-01-2023,68.25,74.4,68.25,69.2
04-01-2023,58.0,69.98,58.0,69.3
05-01-2023,68.97,68.97,67.2,67.5
06-01-2023,68.48,68.48,67.61,67.85
09-01-2023,68.01,69.0,68.01,68.99
10-01-2023,68.8,68.8,67.4,67.9
11-01-2023,67.9,68.98,67.9,68.52
12-01-2023,68.2,68.2,67.52,68.1
13-01-2023,68.0,68.8,67.81,68.23
16-01-2023,70.27,70.27,68.2,68.92
17-01-2023,68.91,69.0,68.52,68.72
18-01-2023,68.6,69.0,68.21,68.3
19-01-2023,68.3,68.3,67.01,67.36
20-01-2023,67.81,68.39,67.8,68.29
23-01-2023,68.51,68.51,67.4,67.52
24-01-2023,67.9,67.9,66.4,67.28
25-01-2023,67.2,67.8,67.2,67.6
27-01-2023,69.62,69.62,67.55,68.76
30-01-2023,68.0,68.35,67.76,68.35
31-01-2023,68.2,68.2,67.2,67.99
01-02-2023,66.65,69.5,66.65,69.27
02-02-2023,69.71,71.01,69.71,70.88
03-02-2023,70.4,70.4,68.6,69.58
06-02-2023,67.8,68.2,67.2,67.21
07-02-2023,67.21,67.59,66.5,66.87
08-02-2023,66.81,67.95,66.81,67.88
10-02-2023,67.2,67.75,66.09,66.22
13-02-2023,66.01,66.69,65.8,66.2
14-02-2023,66.2,66.59,66.01,66.59
15-02-2023,66.4,66.4,65.25,65.43
16-02-2023,65.61,66.48,65.0,65.11
17-02-2023,65.2,66.0,64.6,64.6
20-02-2023,64.8,70.0,64.8,66.11
21-02-2023,66.98,66.98,65.3,65.5
22-02-2023,65.6,66.38,65.42,65.55
24-02-2023,65.8,65.98,64.41,64.97
27-02-2023,64.98,64.98,63.21,63.59
