date,open,high,low,close
24-07-2019,62.05,62.1,60.25,60.25
25-07-2019,62.0,62.0,60.0,60.0
26-07-2019,60.0,60.25,60.0,60.25
29-07-2019,60.0,60.0,60.0,60.0
30-07-2019,59.0,59.0,58.0,58.0
31-07-2019,58.0,60.75,58.0,60.75
01-08-2019,58.5,59.5,58.5,58.5
07-08-2019,58.0,58.0,58.0,58.0
08-08-2019,60.0,60.0,60.0,60.0
13-08-2019,57.15,57.15,57.15,57.15
21-08-2019,58.0,60.0,58.0,59.95
22-08-2019,59.9,60.0,59.9,60.0
23-08-2019,58.05,60.5,58.05,60.5
26-08-2019,60.0,61.0,60.0,61.0
27-08-2019,60.05,60.05,60.0,60.0
29-08-2019,60.05,60.05,59.5,59.5
06-09-2019,59.0,59.0,56.85,57.75
09-09-2019,59.0,61.0,59.0,60.85
11-09-2019,61.0,61.0,61.0,61.0
12-09-2019,60.5,60.5,60.0,60.0
16-09-2019,60.5,60.5,60.0,60.0
18-09-2019,60.0,60.0,60.0,60.0
19-09-2019,60.0,60.0,60.0,60.0
26-09-2019,62.0,67.0,62.0,65.65
01-10-2019,65.85,71.95,65.85,70.0
03-10-2019,69.6,69.6,69.0,69.0
04-10-2019,69.0,70.0,69.0,70.0
07-10-2019,70.0,70.0,69.0,69.0
09-10-2019,70.0,70.95,70.0,70.0
10-10-2019,71.0,71.0,70.05,70.5
11-10-2019,70.75,70.75,70.75,70.75
14-10-2019,71.0,71.0,70.05,70.5
15-10-2019,70.1,70.25,70.1,70.25
16-10-2019,70.25,70.5,70.0,70.0
17-10-2019,70.0,70.0,70.0,70.0
18-10-2019,70.05,70.05,70.0,70.0
22-10-2019,70.25,71.0,70.0,70.0
23-10-2019,70.0,70.0,70.0,70.0
24-10-2019,69.05,69.05,69.0,69.0
27-10-2019,69.0,69.0,69.0,69.0
29-10-2019,70.0,70.0,70.0,70.0
30-10-2019,70.0,70.0,69.0,69.0
01-11-2019,70.0,70.0,70.0,70.0
04-11-2019,69.0,69.0,69.0,69.0
06-11-2019,69.0,69.0,69.0,69.0
08-11-2019,69.0,69.0,69.0,69.0
11-11-2019,69.0,69.0,68.0,68.0
13-11-2019,68.0,68.0,67.0,67.0
15-11-2019,67.25,67.25,67.25,67.25
18-11-2019,67.0,67.0,67.0,67.0
21-11-2019,69.0,69.0,69.0,69.0
22-11-2019,68.0,68.0,68.0,68.0
25-11-2019,68.0,68.0,68.0,68.0
26-11-2019,68.0,68.0,68.0,68.0
27-11-2019,69.0,70.0,68.95,69.0
29-11-2019,69.0,69.0,69.0,69.0
04-12-2019,68.0,68.0,68.0,68.0
05-12-2019,68.0,68.0,68.0,68.0
06-12-2019,69.5,69.65,69.5,69.65
09-12-2019,68.25,68.25,68.25,68.25
11-12-2019,68.0,68.0,68.0,68.0
12-12-2019,68.0,68.0,68.0,68.0
13-12-2019,69.0,69.0,69.0,69.0
17-12-2019,68.0,68.0,68.0,68.0
18-12-2019,68.95,69.0,68.95,69.0
20-12-2019,70.75,70.75,70.0,70.0
23-12-2019,69.75,69.75,69.0,69.45
24-12-2019,69.5,69.5,69.5,69.5
26-12-2019,69.5,69.5,69.0,69.0
27-12-2019,69.5,69.5,69.5,69.5
30-12-2019,69.75,69.75,69.75,69.75
01-01-2020,70.0,70.0,70.0,70.0
02-01-2020,72.0,72.0,72.0,72.0
03-01-2020,70.5,70.5,70.5,70.5
06-01-2020,71.0,71.0,70.9,71.0
07-01-2020,72.0,72.95,71.05,71.95
08-01-2020,72.0,72.0,72.0,72.0
09-01-2020,72.0,73.5,72.0,73.0
10-01-2020,72.05,73.0,72.05,73.0
13-01-2020,73.95,73.95,73.95,73.95
14-01-2020,73.05,73.05,72.5,72.5
15-01-2020,73.5,73.5,73.5,73.5
16-01-2020,73.5,75.5,73.5,75.35
17-01-2020,76.0,77.0,76.0,77.0
20-01-2020,78.0,79.95,78.0,78.5
21-01-2020,79.0,79.0,79.0,79.0
22-01-2020,80.0,80.6,79.5,80.0
23-01-2020,80.45,80.45,80.0,80.0
24-01-2020,80.7,80.7,80.0,80.0
27-01-2020,80.5,80.5,80.0,80.0
28-01-2020,80.25,80.25,80.0,80.25
29-01-2020,80.7,81.0,80.7,81.0
30-01-2020,80.25,80.5,80.0,80.5
01-02-2020,80.5,80.5,80.5,80.5
04-02-2020,80.0,80.0,79.95,80.0
06-02-2020,80.0,80.5,80.0,80.25
07-02-2020,80.05,81.0,80.0,80.8
10-02-2020,80.15,80.15,79.0,79.0
11-02-2020,80.0,80.0,79.0,79.0
12-02-2020,79.0,79.0,79.0,79.0
13-02-2020,79.0,79.4,79.0,79.4
14-02-2020,79.0,79.05,79.0,79.05
17-02-2020,79.0,79.0,78.0,78.0
18-02-2020,78.0,78.0,76.25,77.85
19-02-2020,77.65,77.65,76.0,77.0
20-02-2020,78.0,78.0,77.5,77.5
24-02-2020,78.0,78.0,74.5,74.5
25-02-2020,75.5,75.5,74.05,74.05
26-02-2020,74.5,75.0,74.0,75.0
28-02-2020,73.05,73.05,73.0,73.0
02-03-2020,73.05,73.05,73.0,73.0
03-03-2020,72.05,72.05,72.0,72.0
04-03-2020,72.0,72.05,72.0,72.0
06-03-2020,70.0,70.0,70.0,70.0
09-03-2020,70.0,70.0,70.0,70.0
11-03-2020,70.0,70.0,67.0,67.0
12-03-2020,63.8,63.8,58.1,58.1
17-03-2020,55.35,57.5,55.35,57.5
18-03-2020,54.8,54.8,54.8,54.8
19-03-2020,50.0,50.05,50.0,50.05
23-03-2020,49.35,49.35,49.35,49.35
25-03-2020,45.3,45.3,39.5,39.5
31-03-2020,35.55,35.55,35.55,35.55
01-04-2020,39.1,39.1,39.1,39.1
07-04-2020,37.05,38.0,37.05,38.0
09-04-2020,36.0,38.0,36.0,38.0
13-04-2020,38.0,38.0,38.0,38.0
17-04-2020,41.8,41.8,41.8,41.8
