date,open,high,low,close
22-07-2019,429.7,429.7,402.25,415.4
23-07-2019,412.5,421.25,411.45,414.55
24-07-2019,414.5,472.0,407.25,446.85
25-07-2019,465.0,474.9,440.05,450.2
26-07-2019,449.0,449.0,425.9,429.1
29-07-2019,429.9,439.0,412.5,429.75
30-07-2019,425.5,435.5,416.5,430.35
31-07-2019,425.2,425.2,414.0,417.2
01-08-2019,414.5,423.45,409.7,412.6
02-08-2019,412.5,419.0,409.55,412.0
05-08-2019,409.7,412.2,403.55,410.45
06-08-2019,402.5,418.95,402.5,412.3
07-08-2019,409.1,414.9,407.0,412.3
08-08-2019,410.55,413.05,399.5,400.9
09-08-2019,401.5,410.0,401.5,405.6
13-08-2019,405.5,410.5,404.8,408.05
14-08-2019,408.05,409.05,398.05,401.85
16-08-2019,396.5,407.5,396.5,405.15
19-08-2019,418.5,424.0,405.0,407.75
20-08-2019,406.65,410.0,391.3,403.95
21-08-2019,399.45,404.75,392.5,398.05
22-08-2019,394.2,408.95,392.5,396.4
23-08-2019,392.8,408.5,386.3,395.85
26-08-2019,402.5,406.0,391.4,393.95
27-08-2019,391.8,398.95,373.75,382.35
28-08-2019,379.25,387.6,378.5,383.7
29-08-2019,381.3,382.5,375.0,376.65
30-08-2019,382.0,385.0,375.55,378.7
03-09-2019,383.8,384.0,377.5,380.4
04-09-2019,378.15,385.0,377.5,380.5
05-09-2019,380.5,384.0,380.5,381.75
06-09-2019,381.0,402.45,381.0,390.05
09-09-2019,390.1,402.5,390.1,400.65
11-09-2019,404.95,406.5,399.0,403.75
12-09-2019,402.0,407.5,394.0,397.45
13-09-2019,395.0,428.4,392.75,420.85
16-09-2019,420.85,459.95,415.85,450.7
17-09-2019,455.0,455.0,426.05,429.75
18-09-2019,426.9,437.95,424.0,424.5
19-09-2019,425.75,427.0,420.05,422.9
20-09-2019,417.85,439.0,416.4,425.1
23-09-2019,427.5,449.0,422.65,438.1
24-09-2019,435.0,437.95,427.5,431.55
25-09-2019,427.5,442.6,427.5,434.6
26-09-2019,430.45,433.5,423.6,427.05
27-09-2019,425.5,428.9,420.15,422.6
30-09-2019,422.2,451.45,422.2,439.8
01-10-2019,447.5,459.95,427.5,430.9
03-10-2019,425.35,435.2,418.6,425.95
04-10-2019,433.5,434.5,421.0,430.35
07-10-2019,432.45,432.45,418.1,425.15
09-10-2019,431.95,432.0,423.5,426.5
10-10-2019,430.0,430.0,417.5,419.45
11-10-2019,426.0,434.45,418.0,429.95
14-10-2019,425.5,438.0,422.75,425.55
15-10-2019,427.3,441.15,424.0,440.15
16-10-2019,440.2,448.9,438.5,444.15
17-10-2019,436.0,456.95,435.95,448.75
18-10-2019,450.0,453.55,447.5,447.55
22-10-2019,453.95,474.5,452.8,461.15
23-10-2019,465.0,470.0,454.0,465.3
24-10-2019,464.45,474.95,464.45,471.05
25-10-2019,476.0,490.0,424.0,434.15
27-10-2019,434.15,449.95,432.5,444.85
29-10-2019,437.55,470.0,437.5,458.9
30-10-2019,470.5,475.0,459.1,461.3
31-10-2019,465.0,470.0,453.4,457.15
01-11-2019,456.0,464.95,450.0,457.35
04-11-2019,452.0,458.65,452.0,455.85
05-11-2019,455.85,456.0,444.0,445.75
06-11-2019,448.85,452.35,438.1,443.65
07-11-2019,445.0,462.25,445.0,455.35
08-11-2019,465.3,485.0,454.05,475.3
11-11-2019,425.5,475.0,425.5,466.85
13-11-2019,456.0,468.7,452.8,461.7
14-11-2019,461.7,462.5,450.5,454.1
15-11-2019,450.5,462.5,450.5,461.55
18-11-2019,471.95,475.5,462.45,464.95
19-11-2019,467.5,474.85,465.0,469.9
20-11-2019,467.5,475.5,465.55,470.05
21-11-2019,474.35,475.0,465.15,471.25
22-11-2019,474.95,474.95,458.1,463.0
25-11-2019,472.45,475.0,449.0,464.0
26-11-2019,462.95,470.8,456.45,462.4
27-11-2019,465.0,472.0,462.75,468.5
28-11-2019,467.5,470.0,457.6,464.4
29-11-2019,460.75,466.0,450.0,450.1
02-12-2019,450.1,456.75,445.0,446.5
03-12-2019,445.9,463.15,438.05,459.5
04-12-2019,465.0,465.0,452.5,456.7
05-12-2019,453.0,470.0,452.95,462.45
06-12-2019,454.0,462.7,454.0,459.15
09-12-2019,459.15,460.95,450.25,451.7
10-12-2019,460.0,460.0,450.0,451.3
11-12-2019,451.45,459.45,441.3,453.1
12-12-2019,447.85,463.95,446.3,460.6
13-12-2019,464.45,465.0,459.35,462.45
16-12-2019,465.35,465.35,450.0,450.5
17-12-2019,450.5,462.25,450.5,459.65
18-12-2019,460.25,461.95,454.5,457.9
19-12-2019,460.95,461.75,457.5,459.95
20-12-2019,462.0,464.0,455.0,460.15
23-12-2019,460.0,474.8,459.6,469.45
24-12-2019,470.0,473.95,461.25,469.2
26-12-2019,469.15,474.95,463.2,472.5
27-12-2019,474.9,485.5,468.0,482.25
30-12-2019,482.5,495.0,482.0,487.75
31-12-2019,489.85,490.0,483.0,486.15
01-01-2020,489.5,492.25,478.0,483.75
02-01-2020,484.5,489.75,479.1,487.15
03-01-2020,487.0,489.75,479.5,481.85
06-01-2020,485.0,485.0,469.0,473.35
07-01-2020,470.5,483.5,470.5,478.4
08-01-2020,475.0,476.85,468.0,470.45
09-01-2020,470.5,491.0,470.5,486.3
10-01-2020,499.5,499.5,487.0,490.05
13-01-2020,495.5,516.0,491.75,506.85
14-01-2020,506.6,518.65,502.0,507.0
