date,open,high,low,close
22-07-2019,372.4,372.4,345.0,363.9
23-07-2019,368.4,372.05,365.0,366.7
24-07-2019,373.55,374.95,345.95,371.75
25-07-2019,373.1,386.8,346.0,368.15
26-07-2019,359.0,384.0,359.0,379.85
29-07-2019,390.0,390.0,365.0,376.45
30-07-2019,381.45,384.5,357.35,359.4
31-07-2019,363.45,365.0,337.0,344.65
01-08-2019,336.9,352.35,325.0,337.65
02-08-2019,335.6,339.4,325.05,325.85
05-08-2019,325.0,325.0,300.05,317.9
06-08-2019,303.45,345.0,303.45,328.1
07-08-2019,342.0,393.7,327.35,393.7
08-08-2019,428.0,459.5,405.6,428.75
09-08-2019,424.0,432.65,400.0,415.2
13-08-2019,421.0,443.0,390.0,393.05
14-08-2019,382.0,414.0,382.0,388.2
16-08-2019,380.15,385.0,367.35,372.6
19-08-2019,375.05,425.8,375.05,402.85
20-08-2019,405.0,414.5,385.95,391.55
21-08-2019,391.55,398.85,380.0,383.55
22-08-2019,376.05,380.0,362.15,370.6
23-08-2019,370.0,400.0,356.05,384.55
26-08-2019,387.0,403.0,382.35,386.35
27-08-2019,386.4,395.95,381.25,386.4
28-08-2019,386.4,389.05,381.5,383.9
29-08-2019,383.9,388.0,375.5,382.5
30-08-2019,379.0,391.95,378.95,389.0
03-09-2019,381.05,387.0,380.2,384.75
04-09-2019,382.5,383.55,361.7,379.8
05-09-2019,399.95,399.95,380.0,382.5
06-09-2019,387.8,390.0,378.95,387.15
09-09-2019,377.0,398.9,377.0,394.7
11-09-2019,391.95,442.9,390.3,409.45
12-09-2019,419.95,434.4,401.0,426.8
13-09-2019,441.0,512.15,411.0,512.15
16-09-2019,536.05,555.9,458.0,465.9
17-09-2019,463.45,477.0,438.0,445.1
18-09-2019,449.0,460.0,425.05,429.15
19-09-2019,439.0,439.0,408.0,410.9
20-09-2019,405.5,414.55,388.0,398.35
23-09-2019,402.0,421.9,393.3,396.0
24-09-2019,400.0,400.0,375.65,379.35
25-09-2019,374.95,375.0,363.95,365.5
26-09-2019,353.0,364.95,314.05,323.25
27-09-2019,319.95,320.0,290.95,294.1
30-09-2019,290.0,312.0,285.0,299.75
01-10-2019,298.55,348.0,295.25,318.75
03-10-2019,320.0,323.55,298.1,305.65
04-10-2019,305.0,309.05,300.95,305.8
07-10-2019,305.8,309.9,299.25,305.5
09-10-2019,300.3,302.95,293.35,299.3
10-10-2019,292.05,301.95,284.0,286.75
11-10-2019,291.05,300.0,258.1,279.15
14-10-2019,279.0,279.0,263.4,264.7
15-10-2019,264.05,266.0,248.0,251.95
16-10-2019,247.95,247.95,226.8,232.55
17-10-2019,231.05,244.15,230.2,244.15
18-10-2019,255.8,256.35,240.05,256.35
22-10-2019,269.0,269.15,264.05,269.15
23-10-2019,272.05,281.7,256.6,262.15
24-10-2019,265.0,265.0,249.05,249.7
25-10-2019,245.05,250.2,237.25,238.95
27-10-2019,248.0,250.85,240.05,250.65
29-10-2019,255.05,258.25,252.05,256.35
30-10-2019,264.0,264.0,245.25,246.85
31-10-2019,250.2,259.15,250.0,258.75
01-11-2019,264.2,271.65,262.75,271.65
04-11-2019,283.65,285.0,268.0,280.9
05-11-2019,294.9,294.9,294.9,294.9
06-11-2019,308.0,309.6,297.15,309.6
07-11-2019,325.05,325.05,310.1,317.55
08-11-2019,323.0,323.0,301.7,301.9
11-11-2019,299.3,302.05,287.8,289.65
13-11-2019,291.7,304.1,291.25,297.9
14-11-2019,305.0,305.0,283.05,287.7
15-11-2019,278.05,294.05,274.1,279.85
18-11-2019,275.85,284.0,265.9,266.7
19-11-2019,274.95,280.0,259.2,259.7
20-11-2019,260.0,272.65,258.05,272.0
21-11-2019,285.6,285.6,271.05,285.6
22-11-2019,298.05,299.85,280.0,287.0
25-11-2019,299.0,299.0,280.95,287.55
26-11-2019,289.05,293.5,281.95,285.0
27-11-2019,281.0,297.0,275.5,285.15
28-11-2019,282.9,283.95,272.5,275.75
29-11-2019,279.0,289.5,272.5,279.75
02-12-2019,275.95,283.95,273.45,278.65
03-12-2019,282.05,283.15,270.35,273.9
04-12-2019,274.85,280.75,271.5,272.85
05-12-2019,267.4,286.45,266.55,278.0
06-12-2019,284.7,286.0,268.0,270.95
09-12-2019,271.05,279.5,264.1,265.6
10-12-2019,274.0,274.0,262.5,265.3
11-12-2019,266.0,270.0,255.25,262.05
12-12-2019,248.55,266.0,248.5,263.2
13-12-2019,262.0,280.0,260.35,264.8
16-12-2019,271.95,271.95,263.3,267.85
17-12-2019,274.9,283.9,265.55,269.95
18-12-2019,267.8,276.95,258.05,264.7
19-12-2019,266.0,270.95,263.3,264.95
20-12-2019,266.05,269.55,253.25,257.2
23-12-2019,268.75,268.75,257.9,258.85
24-12-2019,253.85,267.0,253.8,262.6
26-12-2019,265.0,267.0,258.15,259.0
27-12-2019,266.9,267.0,260.15,263.6
30-12-2019,264.0,266.85,260.1,263.1
31-12-2019,261.05,272.0,261.0,263.15
01-01-2020,263.05,269.75,263.05,265.35
02-01-2020,269.9,280.0,263.0,273.4
03-01-2020,269.55,300.7,269.55,280.6
06-01-2020,280.0,289.0,270.0,271.9
07-01-2020,261.65,279.8,261.65,275.2
08-01-2020,274.9,280.0,270.3,273.75
09-01-2020,274.2,284.5,274.2,278.05
10-01-2020,278.05,283.45,270.0,272.45
13-01-2020,273.0,288.95,268.2,270.3
14-01-2020,270.3,277.9,270.3,273.55
15-01-2020,275.95,294.75,270.05,275.9
16-01-2020,284.8,284.8,270.3,272.55
17-01-2020,275.0,286.0,275.0,279.4
20-01-2020,270.05,290.0,264.2,278.15
21-01-2020,286.9,286.9,273.45,279.6
22-01-2020,277.3,282.2,272.0,273.4
23-01-2020,273.4,281.9,270.0,273.3
24-01-2020,271.0,278.0,270.2,273.3
27-01-2020,273.3,281.0,270.0,276.1
28-01-2020,276.1,283.0,270.0,271.65
29-01-2020,274.0,274.0,268.0,269.7
30-01-2020,269.6,276.45,263.1,267.25
31-01-2020,275.0,276.0,266.5,273.05
01-02-2020,273.0,283.8,263.7,266.25
03-02-2020,263.05,280.0,263.05,267.5
04-02-2020,264.0,274.0,263.0,264.55
05-02-2020,263.0,264.9,258.0,263.1
06-02-2020,272.8,279.0,260.0,271.1
07-02-2020,274.0,278.95,266.05,270.6
10-02-2020,273.8,273.8,269.05,272.25
11-02-2020,274.0,290.0,266.5,281.1
12-02-2020,283.0,290.0,281.1,283.65
13-02-2020,288.8,303.5,281.15,287.9
14-02-2020,287.9,290.0,281.9,285.55
17-02-2020,270.0,270.0,251.5,252.1
18-02-2020,252.5,267.2,241.4,247.95
19-02-2020,245.0,260.0,245.0,259.3
20-02-2020,253.2,261.0,250.05,254.15
24-02-2020,258.0,259.45,235.95,254.15
25-02-2020,246.7,255.95,246.7,247.95
26-02-2020,251.0,251.0,227.2,237.75
27-02-2020,240.0,240.0,222.05,230.2
28-02-2020,228.25,231.95,217.0,229.7
02-03-2020,249.0,257.8,232.1,248.65
03-03-2020,252.95,252.95,230.0,235.75
04-03-2020,235.75,254.0,233.0,247.2
05-03-2020,248.0,262.0,248.0,256.55
06-03-2020,256.55,256.55,238.0,245.75
09-03-2020,249.9,252.0,221.0,230.65
11-03-2020,235.0,238.85,230.0,230.4
12-03-2020,221.95,240.05,191.0,197.6
13-03-2020,176.05,231.0,164.0,217.55
16-03-2020,201.25,224.95,194.5,213.2
17-03-2020,221.85,247.0,206.65,216.2
18-03-2020,218.0,235.7,187.95,198.3
19-03-2020,186.05,189.95,173.0,180.3
20-03-2020,180.0,199.0,175.05,191.6
23-03-2020,194.0,210.0,172.2,176.05
24-03-2020,161.0,198.0,161.0,174.2
25-03-2020,175.0,185.0,175.0,179.75
26-03-2020,190.45,198.05,180.0,183.05
27-03-2020,200.95,200.95,152.65,168.35
30-03-2020,190.0,190.0,160.0,173.9
31-03-2020,172.25,182.85,172.25,178.75
01-04-2020,178.05,181.35,171.3,178.05
03-04-2020,174.0,178.8,167.05,171.0
07-04-2020,184.0,197.0,177.0,193.3
08-04-2020,199.0,220.95,190.1,192.7
09-04-2020,193.0,207.75,193.0,196.3
13-04-2020,190.25,212.0,190.25,204.2
15-04-2020,205.0,245.0,205.0,245.0
16-04-2020,265.0,294.0,260.0,294.0
17-04-2020,307.5,323.05,305.65,316.75
20-04-2020,310.0,310.0,286.1,291.25
21-04-2020,307.0,307.0,265.0,268.7
22-04-2020,270.25,278.0,242.0,252.1
23-04-2020,252.5,277.3,246.25,277.3
24-04-2020,286.75,299.9,275.0,278.55
27-04-2020,278.55,293.85,263.1,276.45
28-04-2020,272.5,276.5,263.55,271.8
29-04-2020,269.15,287.05,267.5,277.7
30-04-2020,280.1,289.0,271.15,275.95
04-05-2020,270.2,274.0,262.05,263.9
05-05-2020,270.1,279.1,263.0,264.3
06-05-2020,262.0,264.45,255.1,261.5
07-05-2020,261.55,265.0,255.2,261.4
08-05-2020,251.55,264.85,245.1,248.75
11-05-2020,246.0,255.0,231.55,240.0
12-05-2020,242.85,242.9,227.4,236.1
13-05-2020,241.05,248.05,237.1,241.1
14-05-2020,237.8,245.0,236.65,239.35
15-05-2020,246.35,246.95,235.25,239.65
18-05-2020,242.85,242.85,220.55,223.45
19-05-2020,229.6,229.6,216.55,219.95
20-05-2020,224.7,224.7,214.95,220.55
21-05-2020,220.0,235.75,219.95,227.6
22-05-2020,232.05,236.7,222.25,223.85
26-05-2020,224.2,226.65,218.0,220.9
27-05-2020,218.5,235.1,216.85,229.6
28-05-2020,227.0,238.0,227.0,234.4
29-05-2020,237.5,257.8,232.8,257.8
01-06-2020,270.0,277.9,262.15,269.7
02-06-2020,276.85,276.85,266.25,270.25
03-06-2020,268.05,279.15,264.0,273.0
04-06-2020,277.85,285.0,258.05,272.9
05-06-2020,274.55,299.0,263.3,284.35
08-06-2020,285.9,288.05,274.85,276.8
09-06-2020,276.05,332.15,276.0,332.15
10-06-2020,351.0,367.0,332.15,337.0
11-06-2020,337.0,350.95,315.5,318.2
12-06-2020,302.7,344.6,302.7,326.5
15-06-2020,321.55,325.0,302.65,310.6
16-06-2020,321.0,321.0,296.0,301.15
17-06-2020,294.0,306.4,294.0,297.7
18-06-2020,297.0,308.85,292.65,302.0
19-06-2020,312.0,312.0,293.0,296.3
22-06-2020,298.0,355.55,293.0,351.75
23-06-2020,359.95,359.95,322.0,326.9
24-06-2020,333.0,335.0,315.0,317.3
25-06-2020,310.05,332.5,308.95,324.5
26-06-2020,333.95,333.95,314.85,319.0
29-06-2020,332.85,332.85,301.0,304.9
30-06-2020,316.8,316.8,297.9,298.95
01-07-2020,300.0,306.9,296.0,299.3
02-07-2020,302.0,308.7,299.0,304.75
03-07-2020,306.0,308.0,295.5,298.6
06-07-2020,308.6,308.6,298.0,299.25
07-07-2020,304.1,304.1,297.0,298.25
08-07-2020,301.0,304.85,295.15,300.9
09-07-2020,298.45,307.85,296.15,298.8
10-07-2020,300.05,340.0,296.0,318.5
13-07-2020,324.0,376.0,319.55,361.25
14-07-2020,361.8,368.7,332.45,336.5
15-07-2020,336.6,364.4,336.6,340.5
16-07-2020,345.35,347.75,324.5,333.1
17-07-2020,334.8,353.9,327.5,334.5
20-07-2020,340.95,350.0,334.0,338.4
21-07-2020,344.95,350.0,332.95,338.55
22-07-2020,338.55,341.75,325.0,329.1
23-07-2020,339.95,355.0,331.0,341.65
24-07-2020,344.0,354.8,333.95,341.85
27-07-2020,343.0,348.5,333.95,338.75
28-07-2020,338.05,342.95,326.0,332.35
29-07-2020,334.05,336.65,328.0,330.5
30-07-2020,330.05,342.0,328.0,331.95
31-07-2020,334.0,345.0,325.25,336.1
03-08-2020,337.25,403.3,331.0,403.3
04-08-2020,438.0,478.7,420.05,468.6
05-08-2020,472.0,476.0,431.3,437.65
06-08-2020,431.1,436.0,411.0,415.25
07-08-2020,415.25,456.75,413.0,430.5
10-08-2020,440.0,468.0,436.2,459.05
11-08-2020,459.05,470.0,438.0,444.6
12-08-2020,428.0,443.9,427.0,429.2
13-08-2020,443.95,443.95,422.0,423.5
14-08-2020,427.0,429.9,408.35,412.8
17-08-2020,418.5,446.0,418.5,434.6
18-08-2020,428.15,436.6,423.1,430.45
19-08-2020,433.0,455.0,428.15,432.65
20-08-2020,432.9,450.0,432.55,445.8
21-08-2020,459.0,486.4,455.65,474.05
24-08-2020,470.0,470.0,441.0,459.95
25-08-2020,463.85,483.95,455.0,476.05
26-08-2020,490.0,490.0,470.0,473.2
27-08-2020,472.95,484.45,443.75,461.5
28-08-2020,461.55,471.0,456.0,458.45
31-08-2020,462.75,469.9,445.0,448.9
01-09-2020,437.6,462.85,437.6,455.45
02-09-2020,450.0,465.5,446.2,462.5
03-09-2020,459.85,466.7,459.85,464.5
04-09-2020,459.0,466.0,438.0,457.85
07-09-2020,455.0,462.0,450.35,459.05
08-09-2020,459.1,463.05,443.0,444.7
09-09-2020,444.0,450.45,441.0,447.1
10-09-2020,451.0,451.0,437.35,440.4
11-09-2020,445.3,450.5,444.8,445.4
14-09-2020,455.0,457.75,439.25,452.4
15-09-2020,455.0,497.6,444.0,497.6
16-09-2020,518.0,547.35,511.7,547.35
17-09-2020,555.25,602.05,555.0,602.05
18-09-2020,622.55,632.15,617.6,632.15
21-09-2020,657.0,663.75,610.7,655.35
22-09-2020,656.1,678.85,622.6,640.55
23-09-2020,659.0,672.55,626.5,637.95
24-09-2020,620.0,629.7,606.6,615.0
25-09-2020,629.0,644.05,620.05,628.5
28-09-2020,630.0,650.0,620.0,640.15
29-09-2020,640.0,660.0,620.0,624.5
30-09-2020,648.0,648.0,601.0,624.4
01-10-2020,639.95,640.0,620.0,620.7
05-10-2020,642.95,642.95,620.0,625.15
06-10-2020,621.6,633.5,616.6,620.7
07-10-2020,634.9,634.95,603.0,611.4
08-10-2020,618.2,628.0,591.1,598.35
09-10-2020,592.4,611.2,581.1,593.2
12-10-2020,611.65,611.65,593.9,597.3
13-10-2020,594.25,624.0,592.0,619.55
14-10-2020,621.5,623.0,600.4,619.2
15-10-2020,600.05,629.0,596.0,610.65
16-10-2020,608.2,658.0,606.7,647.65
19-10-2020,684.0,712.4,650.0,666.85
20-10-2020,674.0,684.4,650.65,657.75
21-10-2020,659.75,679.45,635.0,638.3
22-10-2020,632.05,658.0,625.0,638.5
23-10-2020,630.05,666.0,606.9,627.3
26-10-2020,613.85,651.0,598.85,604.45
27-10-2020,617.7,635.0,599.95,620.2
28-10-2020,612.85,623.9,595.0,602.25
29-10-2020,592.0,607.85,583.75,595.0
30-10-2020,595.95,606.0,583.15,586.45
