date,open,high,low,close
23-07-2019,19.0,19.0,19.0,19.0
24-07-2019,19.75,19.75,19.75,19.75
02-08-2019,19.0,19.0,19.0,19.0
06-08-2019,19.0,19.0,19.0,19.0
27-08-2019,19.25,19.25,19.25,19.25
05-09-2019,19.0,19.0,19.0,19.0
06-09-2019,18.55,18.55,18.55,18.55
09-09-2019,19.25,19.25,18.75,18.85
12-09-2019,18.75,18.75,18.75,18.75
13-09-2019,19.0,19.0,19.0,19.0
16-09-2019,19.0,19.0,18.75,18.75
18-09-2019,18.75,18.75,18.75,18.75
19-09-2019,18.75,18.75,18.75,18.75
20-09-2019,19.25,19.25,19.25,19.25
23-09-2019,18.75,18.75,18.75,18.75
24-09-2019,18.75,18.75,18.75,18.75
25-09-2019,19.25,19.25,19.25,19.25
26-09-2019,19.5,19.9,19.5,19.9
27-09-2019,18.75,18.75,18.75,18.75
30-09-2019,18.75,18.75,18.75,18.75
01-10-2019,18.5,19.95,18.5,19.4
15-10-2019,19.0,19.0,19.0,19.0
17-10-2019,19.25,19.25,19.25,19.25
27-10-2019,19.3,19.3,19.3,19.3
29-10-2019,19.0,19.0,19.0,19.0
30-10-2019,19.0,19.0,19.0,19.0
31-10-2019,19.0,19.0,19.0,19.0
05-11-2019,19.0,19.0,19.0,19.0
21-11-2019,19.0,19.0,19.0,19.0
25-11-2019,19.05,19.05,19.05,19.05
27-11-2019,19.1,19.1,19.1,19.1
03-12-2019,19.05,19.05,19.05,19.05
04-12-2019,19.05,19.05,19.05,19.05
11-12-2019,19.1,19.1,19.1,19.1
20-12-2019,19.15,19.15,19.15,19.15
27-12-2019,19.15,19.2,19.15,19.2
30-12-2019,19.25,19.25,19.25,19.25
07-01-2020,19.3,19.3,19.3,19.3
13-01-2020,18.75,18.75,18.75,18.75
14-01-2020,18.75,18.75,18.75,18.75
16-01-2020,18.5,18.5,18.5,18.5
23-01-2020,18.75,18.75,18.75,18.75
28-01-2020,18.85,18.85,18.85,18.85
29-01-2020,18.9,18.9,18.9,18.9
05-02-2020,19.0,19.0,19.0,19.0
11-02-2020,18.9,19.0,18.9,18.9
13-02-2020,18.9,18.9,18.9,18.9
20-02-2020,19.0,19.0,19.0,19.0
24-02-2020,19.1,19.1,19.1,19.1
25-02-2020,19.25,19.25,19.25,19.25
26-02-2020,18.75,18.75,18.75,18.75
27-02-2020,18.8,18.8,18.8,18.8
11-03-2020,19.25,19.25,19.25,19.25
25-03-2020,15.4,19.25,15.4,19.25
26-03-2020,18.25,19.4,18.25,19.4
27-05-2020,18.75,18.75,18.75,18.75
01-06-2020,19.75,19.75,19.75,19.75
05-06-2020,19.0,19.0,19.0,19.0
17-06-2020,19.1,19.1,19.1,19.1
23-06-2020,19.25,19.4,19.2,19.4
29-06-2020,19.5,19.5,19.5,19.5
01-07-2020,19.6,19.9,19.6,19.8
02-07-2020,19.6,19.7,19.5,19.5
03-07-2020,19.7,19.8,19.6,19.6
06-07-2020,19.6,19.6,19.5,19.55
07-07-2020,19.75,19.85,19.75,19.85
08-07-2020,19.9,20.0,19.6,20.0
09-07-2020,20.0,20.0,20.0,20.0
10-07-2020,20.0,20.1,20.0,20.1
13-07-2020,20.15,20.15,20.15,20.15
14-07-2020,20.25,21.5,20.25,21.0
15-07-2020,20.75,20.75,20.75,20.75
16-07-2020,22.5,22.5,22.5,22.5
20-07-2020,21.3,22.95,21.0,22.95
27-07-2020,23.0,23.0,23.0,23.0
28-07-2020,23.0,23.0,23.0,23.0
29-07-2020,23.25,23.25,23.1,23.25
30-07-2020,23.25,23.25,23.25,23.25
31-07-2020,23.25,23.25,23.25,23.25
05-08-2020,23.5,23.75,23.5,23.75
11-08-2020,24.25,24.25,24.25,24.25
17-08-2020,24.25,24.25,24.25,24.25
18-08-2020,24.25,24.25,24.25,24.25
21-08-2020,24.5,24.5,24.5,24.5
24-08-2020,24.75,24.75,24.75,24.75
26-08-2020,27.0,27.0,27.0,27.0
28-08-2020,28.0,28.0,28.0,28.0
31-08-2020,28.6,29.1,28.6,29.1
03-09-2020,29.5,30.5,29.5,30.5
04-09-2020,30.5,30.5,30.0,30.0
07-09-2020,29.75,30.5,29.75,30.5
09-09-2020,30.0,30.0,30.0,30.0
10-09-2020,29.95,29.95,29.95,29.95
14-09-2020,30.0,30.5,30.0,30.0
15-09-2020,30.5,30.5,30.5,30.5
30-09-2020,30.75,31.0,30.75,31.0
07-10-2020,31.4,31.6,31.4,31.6
09-10-2020,29.75,31.5,29.75,31.5
23-10-2020,31.5,31.5,29.75,29.75
26-10-2020,30.0,30.5,30.0,30.5
27-10-2020,30.5,30.5,30.5,30.5
29-10-2020,30.25,30.25,30.25,30.25
03-11-2020,30.45,30.45,30.45,30.45
05-11-2020,30.75,30.75,30.75,30.75
06-11-2020,31.0,31.0,30.45,30.45
09-11-2020,30.0,30.25,30.0,30.25
14-11-2020,30.6,30.6,30.6,30.6
17-11-2020,30.8,30.8,30.8,30.8
18-11-2020,29.95,29.95,29.95,29.95
02-12-2020,30.15,30.15,30.15,30.15
03-12-2020,30.6,30.6,30.6,30.6
08-12-2020,30.0,30.0,30.0,30.0
10-12-2020,30.4,30.4,30.4,30.4
15-12-2020,30.6,30.6,30.6,30.6
22-12-2020,30.5,30.5,30.5,30.5
23-12-2020,30.95,31.0,30.95,31.0
28-12-2020,31.25,31.25,31.25,31.25
31-12-2020,31.5,31.5,31.5,31.5
05-01-2021,29.75,29.75,29.25,29.25
18-01-2021,30.5,30.85,30.5,30.85
19-01-2021,31.5,31.5,31.5,31.5
20-01-2021,32.5,32.5,30.5,30.5
21-01-2021,31.5,31.5,31.5,31.5
08-02-2021,27.0,27.0,27.0,27.0
23-02-2021,27.5,31.0,22.6,28.0
24-02-2021,28.5,28.6,28.5,28.6
25-02-2021,28.7,28.8,28.7,28.8
26-02-2021,28.7,28.7,28.5,28.6
01-03-2021,28.6,29.1,28.6,29.1
02-03-2021,29.1,29.2,29.1,29.2
03-03-2021,28.75,28.8,28.7,28.75
04-03-2021,28.5,29.1,28.0,29.1
05-03-2021,29.25,30.15,28.0,30.0
08-03-2021,30.5,30.5,30.0,30.3
09-03-2021,30.05,31.25,29.95,31.25
10-03-2021,30.0,30.0,29.95,29.95
12-03-2021,30.0,30.05,30.0,30.05
15-03-2021,30.0,30.0,29.95,29.95
16-03-2021,29.9,29.9,29.6,29.6
17-03-2021,29.6,30.0,29.5,29.5
18-03-2021,29.5,30.0,29.4,29.4
19-03-2021,29.5,30.0,29.5,29.75
22-03-2021,30.15,30.15,29.5,29.6
23-03-2021,30.0,30.0,29.25,29.25
24-03-2021,29.5,29.5,28.5,29.5
25-03-2021,29.5,29.5,29.35,29.4
26-03-2021,30.0,30.0,29.4,29.5
30-03-2021,29.55,29.8,29.55,29.8
31-03-2021,30.5,30.6,30.5,30.6
01-04-2021,30.75,30.9,29.5,30.9
05-04-2021,30.5,30.75,30.5,30.75
06-04-2021,31.0,31.0,30.6,30.8
07-04-2021,30.85,31.25,30.85,30.9
08-04-2021,31.0,31.0,30.5,30.95
09-04-2021,31.5,31.5,30.25,30.85
12-04-2021,29.0,31.25,29.0,30.5
13-04-2021,32.75,32.75,30.2,30.6
15-04-2021,32.05,32.05,30.25,30.45
16-04-2021,32.5,32.5,30.35,30.6
19-04-2021,32.5,32.85,27.6,32.85
20-04-2021,32.4,32.4,29.0,32.35
22-04-2021,32.3,32.3,31.1,32.3
23-04-2021,32.1,32.1,31.6,32.0
26-04-2021,32.5,32.5,31.25,32.5
27-04-2021,32.6,32.6,31.5,32.6
28-04-2021,32.6,32.6,31.6,32.5
29-04-2021,32.5,32.6,31.5,32.6
30-04-2021,31.1,32.0,31.1,32.0
03-05-2021,31.6,32.0,31.6,31.75
04-05-2021,33.0,33.0,31.5,32.0
05-05-2021,32.8,32.8,31.0,31.9
06-05-2021,31.5,31.5,31.0,31.25
07-05-2021,31.3,31.3,30.5,30.6
10-05-2021,31.0,31.1,30.9,31.1
11-05-2021,31.0,32.0,31.0,31.55
12-05-2021,31.75,32.0,25.75,32.0
14-05-2021,31.5,31.5,30.5,30.5
17-05-2021,30.0,31.0,30.0,31.0
18-05-2021,30.5,31.5,30.0,30.95
19-05-2021,30.5,30.5,30.0,30.25
20-05-2021,30.5,30.5,29.4,30.45
21-05-2021,32.0,32.0,29.0,30.5
24-05-2021,32.0,32.0,30.6,31.0
25-05-2021,31.95,31.95,29.5,31.5
26-05-2021,26.0,31.0,25.2,30.0
27-05-2021,30.3,30.3,30.0,30.0
28-05-2021,31.5,31.5,30.0,30.5
31-05-2021,31.0,31.5,29.0,29.0
01-06-2021,28.5,28.5,26.95,26.95
02-06-2021,26.5,26.5,25.1,25.5
03-06-2021,26.0,26.5,24.0,24.4
04-06-2021,23.5,27.35,23.0,23.8
07-06-2021,23.0,24.45,19.5,21.1
08-06-2021,22.5,23.0,21.5,21.5
09-06-2021,21.55,21.55,21.0,21.0
10-06-2021,20.0,21.0,20.0,21.0
11-06-2021,21.5,22.5,21.5,22.5
14-06-2021,23.0,23.5,22.0,22.0
15-06-2021,22.1,23.5,22.1,23.5
16-06-2021,20.0,26.0,20.0,26.0
17-06-2021,25.0,27.3,25.0,27.0
18-06-2021,27.0,27.0,25.2,26.0
21-06-2021,26.0,26.5,26.0,26.0
22-06-2021,26.5,26.5,26.0,26.5
23-06-2021,27.0,27.0,25.5,25.5
24-06-2021,26.1,27.0,26.0,27.0
25-06-2021,29.0,29.0,28.75,28.95
28-06-2021,29.2,29.2,29.2,29.2
29-06-2021,29.2,29.2,28.95,28.95
30-06-2021,29.0,29.2,29.0,29.2
01-07-2021,28.9,29.0,28.9,29.0
02-07-2021,29.2,29.2,29.2,29.2
05-07-2021,29.2,29.25,28.5,29.2
06-07-2021,29.2,29.2,29.15,29.15
07-07-2021,29.0,29.2,29.0,29.2
08-07-2021,29.0,29.2,29.0,29.2
09-07-2021,29.0,29.2,29.0,29.2
12-07-2021,29.1,29.2,28.0,29.2
13-07-2021,29.0,29.2,29.0,29.2
14-07-2021,28.5,28.6,28.5,28.6
15-07-2021,30.0,30.0,28.0,28.35
16-07-2021,29.0,29.0,28.5,28.8
19-07-2021,29.0,29.0,28.5,28.95
20-07-2021,29.0,29.0,28.5,28.6
22-07-2021,29.0,29.2,29.0,29.1
23-07-2021,29.1,29.2,28.55,29.2
26-07-2021,29.1,29.1,28.5,29.0
27-07-2021,29.0,31.5,27.6,28.5
28-07-2021,30.3,30.3,28.0,29.5
29-07-2021,31.0,31.0,29.25,30.45
30-07-2021,30.5,30.5,28.0,30.0
02-08-2021,30.5,30.75,30.5,30.55
03-08-2021,30.0,30.0,29.8,29.9
04-08-2021,30.0,30.5,30.0,30.5
05-08-2021,29.75,29.75,29.5,29.6
06-08-2021,30.0,30.55,30.0,30.55
09-08-2021,30.0,30.1,30.0,30.1
10-08-2021,29.5,29.9,29.25,29.9
11-08-2021,29.5,29.5,29.4,29.4
12-08-2021,29.0,29.35,28.5,29.35
13-08-2021,29.5,30.5,29.5,30.5
16-08-2021,31.0,31.5,31.0,31.25
17-08-2021,30.5,30.7,30.3,30.3
18-08-2021,31.0,31.0,30.0,30.05
20-08-2021,31.0,31.0,30.0,30.05
23-08-2021,30.0,30.4,29.5,30.4
24-08-2021,30.5,30.5,30.0,30.3
25-08-2021,30.0,30.3,30.0,30.3
26-08-2021,30.0,30.1,30.0,30.1
27-08-2021,30.0,30.1,30.0,30.1
30-08-2021,30.5,31.5,30.5,31.5
31-08-2021,32.0,32.6,31.5,32.6
01-09-2021,32.0,32.1,32.0,32.1
02-09-2021,32.1,32.3,32.1,32.3
03-09-2021,31.5,31.7,31.5,31.7
06-09-2021,33.0,33.0,31.95,32.0
07-09-2021,31.8,33.0,31.8,32.8
08-09-2021,33.0,33.1,32.95,33.1
09-09-2021,31.5,33.0,31.5,32.3
13-09-2021,32.25,32.25,31.45,31.5
14-09-2021,31.5,31.9,31.5,31.9
15-09-2021,32.0,32.4,32.0,32.25
16-09-2021,32.3,32.4,32.3,32.4
17-09-2021,32.5,32.55,32.0,32.0
20-09-2021,29.9,33.0,29.9,33.0
21-09-2021,32.3,32.3,30.5,30.5
22-09-2021,31.0,32.0,30.5,31.05
23-09-2021,31.5,32.0,31.5,31.8
24-09-2021,33.0,33.0,30.5,32.5
27-09-2021,32.5,33.5,30.5,33.5
28-09-2021,33.25,33.25,30.5,31.5
29-09-2021,33.0,33.0,29.5,31.5
30-09-2021,32.8,32.8,30.0,32.6
01-10-2021,33.0,33.0,30.0,32.6
04-10-2021,33.0,33.1,32.5,33.1
05-10-2021,33.0,33.15,33.0,33.15
06-10-2021,33.5,33.5,31.5,32.5
07-10-2021,33.5,33.65,30.0,33.0
08-10-2021,33.5,33.7,31.5,32.5
11-10-2021,33.7,33.7,31.0,33.2
12-10-2021,33.1,33.2,33.1,33.2
13-10-2021,33.7,33.7,30.0,32.5
14-10-2021,33.7,33.7,30.0,33.5
18-10-2021,33.5,33.5,33.0,33.25
19-10-2021,33.5,33.5,33.0,33.4
20-10-2021,33.5,33.65,30.55,31.0
21-10-2021,33.7,33.7,30.5,31.5
22-10-2021,33.5,33.5,33.0,33.5
25-10-2021,33.5,33.5,33.45,33.45
26-10-2021,33.5,33.6,33.5,33.6
