date,open,high,low,close
22-07-2019,37.25,38.0,34.2,34.75
23-07-2019,35.05,36.65,33.55,35.8
24-07-2019,37.45,38.75,35.7,36.65
25-07-2019,36.15,37.85,35.05,35.3
26-07-2019,35.9,36.1,35.3,35.45
29-07-2019,35.25,36.75,34.35,34.75
30-07-2019,35.6,37.0,34.0,35.1
31-07-2019,36.0,36.0,34.3,34.85
01-08-2019,34.1,36.05,34.1,34.55
02-08-2019,34.05,34.6,32.0,33.75
05-08-2019,35.95,35.95,31.7,32.05
06-08-2019,32.05,33.95,31.0,33.25
07-08-2019,33.1,33.55,32.15,32.25
08-08-2019,32.55,33.3,31.2,31.95
09-08-2019,31.6,33.35,31.6,32.6
13-08-2019,33.25,34.95,32.25,33.25
14-08-2019,33.8,39.9,33.2,39.45
16-08-2019,38.0,38.6,35.6,37.75
19-08-2019,37.35,39.45,36.2,36.5
20-08-2019,37.4,39.0,35.35,38.1
21-08-2019,38.8,38.8,35.5,36.05
22-08-2019,36.35,36.35,32.65,33.0
23-08-2019,32.8,34.7,32.1,33.1
26-08-2019,34.3,34.3,32.35,33.05
27-08-2019,32.55,33.6,32.25,32.7
28-08-2019,33.2,33.55,32.0,32.3
29-08-2019,32.65,32.75,31.55,32.25
30-08-2019,32.25,32.8,31.5,31.65
03-09-2019,31.65,31.65,30.1,30.6
04-09-2019,31.75,32.0,30.6,31.65
05-09-2019,31.1,32.5,31.1,31.6
06-09-2019,32.35,32.4,31.75,31.9
09-09-2019,32.4,32.4,31.2,32.0
11-09-2019,32.5,38.4,32.4,38.4
12-09-2019,39.8,40.5,33.75,35.5
13-09-2019,35.0,40.0,35.0,36.25
16-09-2019,36.0,37.0,35.55,36.85
17-09-2019,36.6,37.6,35.55,35.65
18-09-2019,36.9,38.0,35.7,35.8
19-09-2019,35.05,36.45,34.0,34.2
20-09-2019,33.95,36.55,33.95,35.65
23-09-2019,35.65,37.4,32.8,35.25
24-09-2019,35.3,35.7,33.1,34.9
25-09-2019,36.0,36.0,33.9,34.15
26-09-2019,33.95,35.35,33.9,34.15
27-09-2019,34.0,34.9,33.4,33.95
30-09-2019,34.55,34.65,32.3,32.8
01-10-2019,32.35,33.7,30.45,31.15
03-10-2019,31.5,32.45,28.75,32.05
04-10-2019,32.7,32.7,30.75,31.4
07-10-2019,31.95,33.0,30.05,31.0
09-10-2019,31.05,31.7,30.5,30.85
10-10-2019,30.8,32.0,30.6,31.45
11-10-2019,31.05,32.4,30.8,31.4
