date,open,high,low,close
22-07-2019,285.1,292.9,277.7,284.2
23-07-2019,284.2,293.9,284.2,287.05
24-07-2019,294.9,310.0,275.5,277.95
25-07-2019,276.05,283.55,268.2,271.95
26-07-2019,269.0,282.05,260.25,273.85
29-07-2019,274.0,277.9,266.0,269.85
30-07-2019,264.6,269.9,260.0,261.65
31-07-2019,254.05,265.6,246.25,257.1
01-08-2019,251.85,264.9,250.0,256.3
02-08-2019,254.0,273.95,245.0,264.15
05-08-2019,262.0,277.65,245.2,258.2
06-08-2019,256.0,264.75,256.0,260.9
07-08-2019,257.95,289.0,257.95,262.8
08-08-2019,262.8,271.55,261.2,265.1
09-08-2019,265.4,277.0,261.0,271.75
13-08-2019,274.9,290.0,270.5,271.5
14-08-2019,270.05,273.95,257.3,262.65
16-08-2019,265.95,274.5,256.95,271.9
19-08-2019,265.6,278.4,263.0,265.95
20-08-2019,261.1,263.0,257.0,261.15
21-08-2019,257.0,264.95,240.5,248.9
22-08-2019,245.0,248.0,231.3,237.1
23-08-2019,235.0,242.0,227.0,236.6
26-08-2019,238.0,268.8,238.0,258.6
27-08-2019,267.9,274.95,260.15,264.9
28-08-2019,266.0,277.8,248.0,252.1
29-08-2019,248.0,259.8,240.05,243.75
30-08-2019,241.0,248.0,237.1,240.15
03-09-2019,238.0,249.05,238.0,242.75
04-09-2019,235.55,245.0,233.3,240.35
05-09-2019,240.0,245.0,236.6,241.75
06-09-2019,238.2,262.4,236.0,256.1
09-09-2019,254.5,263.0,246.2,259.95
11-09-2019,252.2,286.55,251.05,275.2
12-09-2019,275.5,293.0,271.0,278.35
13-09-2019,275.05,284.0,266.55,282.35
16-09-2019,280.0,287.0,272.0,276.45
17-09-2019,277.9,279.8,266.65,271.9
18-09-2019,272.0,297.85,266.25,268.45
19-09-2019,275.0,275.0,256.65,259.85
20-09-2019,260.0,275.15,255.1,268.45
23-09-2019,295.0,295.95,270.2,275.0
24-09-2019,279.9,279.9,266.8,268.2
25-09-2019,271.15,276.45,260.1,264.9
26-09-2019,273.95,274.0,263.3,267.65
27-09-2019,267.2,273.95,262.95,266.1
30-09-2019,260.6,276.0,242.2,251.3
01-10-2019,252.6,269.95,245.2,255.35
03-10-2019,250.05,263.95,249.9,254.7
04-10-2019,258.0,274.0,254.0,255.9
07-10-2019,258.0,265.95,246.3,249.95
09-10-2019,245.1,254.9,242.95,251.65
10-10-2019,250.0,254.05,242.2,245.85
11-10-2019,246.0,247.05,241.0,242.5
14-10-2019,240.05,253.0,240.0,247.7
15-10-2019,245.0,247.9,240.95,244.8
16-10-2019,247.0,254.65,242.35,250.0
17-10-2019,258.7,258.7,246.05,253.7
18-10-2019,257.95,264.0,243.5,257.25
22-10-2019,264.85,264.85,247.05,252.15
23-10-2019,257.75,259.8,237.05,245.95
24-10-2019,246.05,253.95,245.0,247.95
25-10-2019,246.0,248.9,236.2,243.5
27-10-2019,246.05,249.65,244.5,246.5
29-10-2019,246.9,256.65,246.9,247.0
30-10-2019,248.0,251.85,245.0,248.3
31-10-2019,262.0,263.0,245.1,258.95
01-11-2019,262.4,263.5,250.0,252.1
04-11-2019,259.9,263.7,252.0,254.0
05-11-2019,251.25,251.25,237.05,247.3
06-11-2019,246.0,249.7,243.0,247.2
07-11-2019,247.0,249.9,242.3,247.25
08-11-2019,246.0,249.0,242.1,244.5
11-11-2019,237.0,245.0,237.0,237.85
13-11-2019,243.5,243.5,235.5,238.25
14-11-2019,234.3,239.7,228.1,232.8
15-11-2019,232.0,240.0,232.0,235.25
18-11-2019,244.0,244.0,233.0,233.0
19-11-2019,236.0,243.8,224.0,234.75
20-11-2019,234.0,237.5,225.7,229.9
21-11-2019,230.0,235.35,226.0,227.2
22-11-2019,225.0,231.0,224.8,227.7
25-11-2019,226.9,267.0,226.9,250.5
26-11-2019,256.35,273.0,243.25,247.55
27-11-2019,245.0,249.7,237.0,240.45
28-11-2019,238.0,244.7,234.15,239.35
29-11-2019,233.25,241.95,233.25,237.3
02-12-2019,240.0,240.0,233.15,233.65
03-12-2019,237.5,242.7,230.6,232.0
04-12-2019,239.8,240.0,232.15,234.5
05-12-2019,234.0,247.85,232.0,236.95
06-12-2019,233.25,239.9,227.0,230.0
09-12-2019,230.0,238.2,227.55,229.15
10-12-2019,233.0,237.0,225.1,226.6
11-12-2019,229.95,236.95,221.05,222.6
12-12-2019,230.0,232.95,222.75,227.8
13-12-2019,222.55,235.0,222.5,225.95
16-12-2019,225.95,238.75,225.95,227.45
17-12-2019,226.4,231.9,222.25,226.1
18-12-2019,224.05,230.0,224.0,228.7
19-12-2019,228.7,237.7,226.0,230.45
20-12-2019,234.95,275.9,233.25,260.35
23-12-2019,263.0,270.0,253.0,260.8
24-12-2019,257.0,259.15,252.55,254.9
26-12-2019,254.9,305.85,245.0,304.25
27-12-2019,312.65,352.0,312.65,336.55
30-12-2019,324.8,341.0,315.0,319.35
31-12-2019,319.0,328.0,303.2,313.1
01-01-2020,318.95,323.0,310.7,312.3
02-01-2020,310.4,315.0,303.25,311.35
03-01-2020,310.25,315.0,301.1,304.65
06-01-2020,301.55,301.55,283.55,290.8
07-01-2020,289.9,299.0,288.0,289.75
08-01-2020,298.0,298.0,274.15,276.75
09-01-2020,280.0,293.5,276.0,290.25
10-01-2020,292.5,300.0,281.2,291.95
13-01-2020,295.0,309.9,293.0,295.65
14-01-2020,297.85,324.9,296.95,318.05
15-01-2020,324.0,329.05,313.75,318.4
16-01-2020,327.0,329.7,318.0,320.6
17-01-2020,321.0,325.0,319.0,320.3
20-01-2020,322.0,328.0,310.0,316.7
21-01-2020,318.3,323.9,311.15,312.4
22-01-2020,321.95,321.95,310.0,312.9
23-01-2020,320.0,323.9,314.0,319.8
24-01-2020,329.05,329.05,298.05,318.4
27-01-2020,326.0,328.9,310.0,320.95
28-01-2020,334.0,344.0,316.0,318.55
29-01-2020,328.95,328.95,315.0,318.4
30-01-2020,327.0,327.0,298.9,312.85
31-01-2020,317.15,322.0,303.55,314.1
01-02-2020,324.9,324.9,303.55,307.75
03-02-2020,321.95,322.0,301.55,308.05
04-02-2020,319.9,319.9,303.2,306.9
05-02-2020,306.2,317.8,302.0,305.85
06-02-2020,310.0,310.0,300.0,301.45
07-02-2020,301.45,305.85,293.55,301.45
10-02-2020,304.5,304.5,299.0,302.85
11-02-2020,307.5,319.4,303.2,306.2
12-02-2020,309.85,317.8,305.0,306.25
13-02-2020,315.0,315.0,296.0,301.6
14-02-2020,312.0,312.0,300.0,301.35
17-02-2020,308.85,308.85,292.0,294.85
18-02-2020,304.4,304.4,291.0,294.55
19-02-2020,292.0,299.75,292.0,295.1
