date,open,high,low,close
23-07-2019,470.4,473.2,455.4,471.0
24-07-2019,472.0,473.9,455.15,471.4
25-07-2019,472.8,487.7,471.05,477.45
26-07-2019,477.0,495.85,471.5,491.05
29-07-2019,495.0,495.0,464.6,468.5
30-07-2019,468.55,477.2,463.5,466.95
31-07-2019,464.0,474.7,455.9,472.55
01-08-2019,469.8,479.0,451.65,457.75
02-08-2019,455.0,463.35,441.7,456.2
05-08-2019,455.8,457.45,441.25,450.75
06-08-2019,448.75,452.85,438.05,441.0
07-08-2019,441.7,449.0,439.6,443.95
08-08-2019,445.9,454.0,439.0,452.6
09-08-2019,448.25,464.7,444.55,449.55
13-08-2019,450.0,454.9,418.3,422.4
14-08-2019,422.5,443.8,422.5,439.8
16-08-2019,432.3,446.35,428.4,444.65
19-08-2019,444.65,445.95,437.05,443.15
20-08-2019,442.0,443.65,432.25,434.5
21-08-2019,433.0,436.8,420.65,422.65
22-08-2019,422.8,426.35,407.1,415.1
23-08-2019,411.7,435.7,408.0,434.1
26-08-2019,437.05,444.5,427.45,443.1
27-08-2019,443.1,455.0,434.3,451.1
28-08-2019,451.0,456.6,434.5,441.8
29-08-2019,442.0,448.85,431.3,439.8
30-08-2019,439.8,442.6,422.45,438.45
03-09-2019,434.05,444.5,427.0,429.7
04-09-2019,430.0,432.35,420.8,429.45
05-09-2019,431.8,438.0,427.5,434.6
06-09-2019,435.0,439.85,430.7,435.7
09-09-2019,436.0,446.25,432.25,440.05
11-09-2019,437.65,451.85,437.65,444.5
12-09-2019,444.5,449.0,438.1,444.55
13-09-2019,444.0,450.85,440.3,447.35
16-09-2019,446.0,450.8,440.55,443.8
17-09-2019,443.0,446.85,432.65,436.8
18-09-2019,434.7,439.4,425.55,430.8
19-09-2019,430.8,431.4,414.3,417.8
20-09-2019,415.75,469.9,389.35,457.65
23-09-2019,462.0,522.4,462.0,499.3
24-09-2019,498.1,499.25,470.0,473.05
25-09-2019,472.45,472.45,457.0,463.7
26-09-2019,460.0,472.75,455.3,470.45
27-09-2019,472.7,492.5,469.1,482.95
30-09-2019,481.0,483.0,459.1,472.7
01-10-2019,474.95,484.3,459.25,477.9
03-10-2019,469.95,488.0,466.0,485.1
04-10-2019,483.7,486.0,460.5,462.95
07-10-2019,462.9,464.5,449.0,459.8
09-10-2019,459.0,473.8,452.15,471.75
10-10-2019,466.3,480.8,464.5,468.15
11-10-2019,467.0,476.0,462.6,467.1
14-10-2019,470.0,482.6,466.45,480.3
15-10-2019,476.1,495.0,476.1,490.1
16-10-2019,486.85,500.0,481.7,483.2
17-10-2019,486.0,504.45,482.1,502.55
18-10-2019,496.1,519.45,495.7,516.95
22-10-2019,516.95,532.4,514.2,520.0
23-10-2019,519.55,525.15,512.5,517.6
24-10-2019,519.5,523.9,513.6,520.3
25-10-2019,521.25,535.75,520.45,531.6
27-10-2019,534.2,536.4,525.0,531.25
29-10-2019,530.0,533.2,522.15,528.2
30-10-2019,530.0,535.3,517.05,519.15
31-10-2019,520.0,529.8,519.3,527.35
01-11-2019,527.5,551.3,526.05,542.65
04-11-2019,543.9,544.0,518.5,522.0
05-11-2019,521.0,527.85,514.35,520.0
06-11-2019,521.7,530.85,520.55,524.45
07-11-2019,524.0,529.0,514.8,527.5
08-11-2019,526.35,532.05,503.85,510.25
11-11-2019,507.8,531.85,505.4,529.15
13-11-2019,517.0,520.9,455.25,470.1
14-11-2019,471.15,496.0,471.0,490.8
15-11-2019,495.7,502.0,481.5,489.2
18-11-2019,491.45,500.0,484.4,497.35
19-11-2019,496.35,498.6,488.1,490.6
20-11-2019,493.0,501.0,487.3,498.15
21-11-2019,502.5,516.9,473.8,479.75
22-11-2019,482.7,487.0,475.1,483.9
25-11-2019,483.9,496.0,477.9,492.05
26-11-2019,490.0,498.7,482.7,487.6
27-11-2019,487.9,495.0,477.0,480.35
28-11-2019,483.0,488.9,478.25,486.9
29-11-2019,483.1,494.4,478.1,483.0
02-12-2019,486.0,491.85,465.35,470.7
03-12-2019,472.55,478.35,462.05,464.6
04-12-2019,464.0,472.6,457.6,468.1
05-12-2019,470.3,474.15,465.05,470.95
06-12-2019,471.0,475.0,462.2,464.15
09-12-2019,465.0,472.0,460.0,469.2
10-12-2019,471.9,477.7,460.5,462.6
11-12-2019,464.9,468.7,455.5,460.5
12-12-2019,462.0,465.95,454.4,464.2
13-12-2019,464.55,469.5,458.2,460.75
16-12-2019,461.05,464.3,450.8,453.7
17-12-2019,454.05,464.55,453.7,456.95
18-12-2019,458.0,458.95,441.0,444.1
19-12-2019,443.4,448.15,440.0,443.65
20-12-2019,443.35,453.0,443.2,450.15
23-12-2019,451.0,455.6,446.2,448.35
24-12-2019,450.25,453.65,445.5,448.5
