date,open,high,low,close
29-07-2019,9.6,9.6,9.25,9.5
13-08-2019,9.05,9.05,9.05,9.05
29-08-2019,8.9,9.25,8.9,9.1
30-08-2019,8.9,9.15,8.9,9.15
03-09-2019,9.05,9.1,9.05,9.1
04-09-2019,9.0,9.05,9.0,9.05
05-09-2019,9.1,9.3,9.05,9.3
06-09-2019,9.1,9.15,9.1,9.15
11-09-2019,9.1,9.2,9.1,9.15
12-09-2019,9.1,9.2,9.1,9.2
13-09-2019,9.1,9.2,9.1,9.2
16-09-2019,9.1,9.2,9.1,9.15
17-09-2019,9.05,9.1,9.05,9.1
18-09-2019,9.1,9.1,9.1,9.1
19-09-2019,9.05,9.1,9.0,9.05
20-09-2019,9.15,9.15,9.15,9.15
23-09-2019,9.2,9.2,9.15,9.15
24-09-2019,9.1,9.15,9.1,9.15
25-09-2019,8.9,8.9,8.9,8.9
26-09-2019,8.85,9.0,8.85,9.0
27-09-2019,8.9,8.95,8.85,8.9
30-09-2019,8.9,8.9,8.85,8.9
03-10-2019,9.1,9.2,8.75,9.2
04-10-2019,9.2,9.25,9.2,9.2
07-10-2019,8.9,8.95,8.9,8.95
09-10-2019,9.2,9.2,9.15,9.15
10-10-2019,8.85,8.95,8.85,8.95
11-10-2019,9.1,9.15,9.1,9.1
14-10-2019,9.05,9.1,9.0,9.1
15-10-2019,8.8,9.1,8.8,9.05
16-10-2019,9.1,9.1,9.05,9.1
17-10-2019,9.15,9.15,9.1,9.1
18-10-2019,9.15,9.15,9.0,9.05
22-10-2019,9.1,9.1,9.05,9.1
23-10-2019,9.1,9.15,9.1,9.15
24-10-2019,9.1,9.15,9.1,9.15
25-10-2019,9.15,9.15,9.0,9.1
27-10-2019,9.55,9.55,9.55,9.55
29-10-2019,9.1,10.05,9.1,9.8
30-10-2019,9.4,9.75,9.4,9.7
31-10-2019,9.7,10.2,9.65,10.1
01-11-2019,9.9,10.5,9.9,10.5
04-11-2019,10.5,10.95,10.5,10.95
05-11-2019,10.7,11.25,10.65,11.25
06-11-2019,11.0,11.75,11.0,11.15
07-11-2019,11.65,11.65,11.05,11.2
08-11-2019,11.2,11.3,11.2,11.25
11-11-2019,10.75,10.75,10.7,10.7
13-11-2019,10.6,10.7,10.55,10.55
14-11-2019,10.1,10.1,10.1,10.1
15-11-2019,10.1,10.15,9.95,10.15
18-11-2019,10.0,10.05,10.0,10.0
19-11-2019,10.0,10.05,9.9,10.05
20-11-2019,9.8,9.95,9.8,9.95
21-11-2019,9.8,9.8,9.5,9.75
22-11-2019,9.8,9.8,9.65,9.8
25-11-2019,9.8,9.85,9.8,9.85
26-11-2019,9.75,9.85,9.75,9.8
27-11-2019,9.75,9.85,9.7,9.85
28-11-2019,9.85,9.9,9.85,9.85
29-11-2019,9.75,9.8,9.75,9.75
02-12-2019,9.7,9.75,9.7,9.75
03-12-2019,9.75,9.8,9.3,9.55
04-12-2019,9.5,9.6,9.5,9.55
06-12-2019,9.55,9.6,9.55,9.55
09-12-2019,9.55,9.6,9.55,9.55
10-12-2019,9.6,9.6,9.55,9.6
