date,open,high,low,close
22-07-2019,225.65,225.65,217.05,221.2
23-07-2019,222.1,224.45,218.35,220.5
24-07-2019,223.25,223.25,203.9,218.4
25-07-2019,219.2,223.7,212.4,217.6
26-07-2019,213.9,221.0,213.75,218.25
29-07-2019,217.95,220.5,214.15,215.6
30-07-2019,218.25,219.8,203.6,205.45
31-07-2019,204.35,212.7,201.3,209.85
01-08-2019,208.5,214.6,208.5,212.65
02-08-2019,211.05,212.8,207.45,210.8
05-08-2019,209.2,209.2,201.3,205.2
06-08-2019,205.1,208.5,204.65,207.15
07-08-2019,206.9,213.3,206.35,211.35
08-08-2019,211.9,219.25,209.25,216.95
09-08-2019,216.5,218.45,214.65,216.15
13-08-2019,218.25,218.25,210.15,214.25
14-08-2019,214.8,217.4,210.95,213.8
16-08-2019,213.8,216.8,208.4,215.5
19-08-2019,214.75,228.5,213.75,224.1
20-08-2019,223.85,227.55,221.75,226.2
21-08-2019,224.8,235.85,224.8,234.25
22-08-2019,235.0,238.6,232.1,233.25
23-08-2019,233.1,237.4,225.7,236.25
26-08-2019,240.45,240.45,234.1,234.75
27-08-2019,235.4,238.6,234.8,237.65
28-08-2019,237.7,238.6,234.75,235.55
29-08-2019,234.95,240.4,234.55,237.85
30-08-2019,235.85,240.45,235.4,239.25
03-09-2019,241.4,246.9,236.75,238.4
04-09-2019,236.3,240.7,234.55,235.7
05-09-2019,235.95,238.5,233.65,234.75
06-09-2019,235.65,242.65,231.95,238.1
09-09-2019,239.1,250.6,238.6,249.6
11-09-2019,250.15,258.9,248.8,252.7
12-09-2019,251.8,258.75,249.25,252.9
13-09-2019,253.35,257.05,252.0,254.95
16-09-2019,251.95,280.45,251.95,271.3
17-09-2019,269.95,276.55,259.55,261.85
18-09-2019,264.3,267.0,255.2,257.7
19-09-2019,257.9,265.35,255.6,261.0
20-09-2019,262.5,269.65,255.65,258.25
23-09-2019,259.8,267.2,256.1,262.05
24-09-2019,262.55,275.3,260.3,271.0
25-09-2019,271.75,280.05,264.75,267.2
26-09-2019,268.95,271.8,256.7,259.4
27-09-2019,261.35,262.55,258.05,260.15
30-09-2019,261.45,261.55,254.5,256.5
01-10-2019,256.6,258.9,248.75,251.35
03-10-2019,249.65,251.3,240.7,243.6
04-10-2019,245.55,247.85,242.15,243.9
07-10-2019,245.45,245.45,239.7,241.15
09-10-2019,241.25,246.15,239.1,240.85
10-10-2019,239.7,241.85,228.55,231.2
11-10-2019,230.8,239.55,229.05,237.6
14-10-2019,237.6,240.4,236.2,237.9
15-10-2019,238.6,251.15,236.35,244.8
16-10-2019,246.65,246.7,238.45,239.6
17-10-2019,243.2,246.45,241.35,243.95
18-10-2019,242.4,261.7,241.65,258.45
22-10-2019,257.8,269.0,253.35,264.1
23-10-2019,262.1,270.75,262.1,265.7
24-10-2019,264.55,275.4,260.75,270.8
25-10-2019,271.3,276.3,267.35,270.85
27-10-2019,272.6,275.2,269.95,272.5
29-10-2019,271.8,282.9,270.7,276.45
30-10-2019,277.3,278.25,260.1,262.8
31-10-2019,260.75,269.6,259.35,260.6
01-11-2019,258.9,263.85,256.25,259.45
04-11-2019,259.8,266.5,258.9,260.5
05-11-2019,260.75,261.35,251.3,255.5
06-11-2019,255.2,266.25,253.35,263.4
07-11-2019,264.5,270.4,264.5,266.6
08-11-2019,264.95,267.35,263.05,263.6
11-11-2019,263.95,267.45,263.5,264.5
13-11-2019,265.35,273.6,265.25,271.35
14-11-2019,272.05,306.6,272.0,295.1
15-11-2019,298.45,308.35,283.8,286.25
18-11-2019,286.45,288.05,275.45,277.95
19-11-2019,277.3,290.65,276.65,279.1
20-11-2019,280.15,283.55,276.9,280.75
21-11-2019,281.65,283.2,270.1,271.6
22-11-2019,272.7,290.95,268.65,287.4
25-11-2019,289.3,289.6,281.5,283.0
26-11-2019,284.35,292.95,281.5,283.35
27-11-2019,284.4,291.15,284.2,289.95
28-11-2019,290.2,290.65,286.65,287.9
29-11-2019,289.0,292.7,285.6,290.05
02-12-2019,232.05,254.2,232.05,244.05
03-12-2019,246.0,257.5,246.0,248.25
04-12-2019,252.8,252.8,248.3,250.95
05-12-2019,253.5,253.95,249.5,251.4
06-12-2019,252.1,260.15,248.75,257.55
09-12-2019,256.8,256.8,247.2,249.15
10-12-2019,251.15,251.15,243.2,244.35
11-12-2019,244.35,252.15,244.15,249.35
12-12-2019,250.7,253.1,247.7,250.95
13-12-2019,251.95,255.65,248.95,255.15
16-12-2019,256.1,264.85,250.8,263.0
17-12-2019,264.8,269.95,261.25,267.8
18-12-2019,267.2,273.15,267.1,271.75
19-12-2019,271.3,279.5,270.65,274.2
20-12-2019,273.9,276.3,270.9,274.7
23-12-2019,274.7,275.4,271.1,273.05
24-12-2019,273.7,279.15,271.7,277.3
26-12-2019,279.15,281.0,276.55,278.8
27-12-2019,281.0,283.05,278.8,280.3
30-12-2019,280.05,285.1,276.85,284.15
31-12-2019,284.6,288.25,281.55,282.95
01-01-2020,284.3,286.05,279.45,283.2
02-01-2020,283.2,286.5,282.4,284.9
03-01-2020,285.4,289.6,281.9,285.3
06-01-2020,280.3,283.75,272.8,276.0
07-01-2020,278.7,284.7,278.7,282.1
08-01-2020,280.5,281.7,275.5,279.6
09-01-2020,281.9,285.45,281.0,282.1
10-01-2020,282.7,287.65,278.25,281.0
13-01-2020,283.65,289.3,281.25,283.55
14-01-2020,285.05,292.9,282.85,289.85
15-01-2020,289.3,296.65,288.35,291.2
16-01-2020,292.4,294.05,283.0,286.15
17-01-2020,290.0,291.15,279.15,280.25
20-01-2020,280.65,281.0,270.4,277.7
21-01-2020,14.0,14.7,14.0,14.7
22-01-2020,15.4,15.4,15.4,15.4
23-01-2020,16.1,16.1,16.1,16.1
24-01-2020,16.9,16.9,16.9,16.9
27-01-2020,17.75,17.75,17.75,17.75
28-01-2020,18.6,18.6,18.6,18.6
29-01-2020,19.55,19.55,19.55,19.55
30-01-2020,20.5,20.5,20.5,20.5
31-01-2020,21.5,21.5,21.5,21.5
01-02-2020,22.55,22.55,22.55,22.55
03-02-2020,24.85,24.85,24.85,24.85
04-02-2020,27.25,27.25,27.25,27.25
05-02-2020,29.1,30.0,27.65,29.35
06-02-2020,30.7,30.75,30.0,30.75
07-02-2020,31.85,32.3,31.65,32.3
10-02-2020,33.9,33.9,33.9,33.9
11-02-2020,35.55,35.55,35.55,35.55
12-02-2020,37.3,37.3,37.3,37.3
13-02-2020,39.15,39.15,37.35,38.85
14-02-2020,39.85,40.75,37.4,40.75
