date,open,high,low,close
14-07-2021,111.8,114.4,106.9,108.2
15-07-2021,109.4,112.4,101.2,103.75
16-07-2021,106.2,114.0,104.95,109.8
19-07-2021,106.6,113.0,106.0,108.3
20-07-2021,106.0,112.0,105.0,107.55
22-07-2021,109.5,113.0,107.5,111.45
23-07-2021,113.95,114.0,108.2,108.7
26-07-2021,110.4,110.5,104.0,106.65
27-07-2021,108.3,109.9,105.3,107.05
28-07-2021,108.0,111.0,106.1,109.55
29-07-2021,109.85,111.5,106.65,108.9
30-07-2021,106.7,109.4,106.7,108.55
02-08-2021,110.95,110.95,106.55,109.1
03-08-2021,110.5,120.0,108.5,118.3
04-08-2021,119.85,121.0,117.1,118.0
05-08-2021,118.1,118.9,112.45,117.0
06-08-2021,121.9,121.9,116.5,117.75
09-08-2021,120.9,120.9,117.45,118.5
10-08-2021,119.9,119.9,112.35,114.9
11-08-2021,116.0,118.0,106.05,109.95
12-08-2021,109.85,110.25,106.0,107.1
13-08-2021,110.1,128.5,106.85,126.55
16-08-2021,125.0,151.45,116.0,148.45
17-08-2021,148.5,152.5,135.6,139.85
18-08-2021,143.8,154.0,132.8,150.9
20-08-2021,148.5,150.5,137.4,143.65
23-08-2021,149.0,149.0,137.0,139.65
24-08-2021,137.05,139.45,125.0,129.5
25-08-2021,130.8,134.0,124.0,126.65
26-08-2021,127.8,135.8,125.1,129.45
27-08-2021,134.0,142.0,130.55,133.45
30-08-2021,135.0,143.45,134.1,136.55
31-08-2021,136.7,142.0,134.0,135.7
01-09-2021,137.3,140.0,133.2,135.0
02-09-2021,135.1,138.65,130.5,132.85
03-09-2021,134.6,139.5,132.0,133.55
06-09-2021,135.7,137.55,133.05,133.6
07-09-2021,137.0,137.0,131.0,132.1
08-09-2021,133.9,136.5,130.95,133.25
09-09-2021,133.4,135.0,130.0,133.75
13-09-2021,135.8,141.75,135.5,138.75
14-09-2021,140.8,164.85,137.0,148.35
15-09-2021,149.4,150.0,143.05,144.55
16-09-2021,144.3,145.3,134.05,137.65
17-09-2021,138.0,141.2,133.0,135.2
20-09-2021,136.8,137.0,126.75,129.9
21-09-2021,129.9,132.0,126.35,128.65
22-09-2021,129.75,135.05,127.9,131.65
23-09-2021,133.6,133.6,126.7,127.2
24-09-2021,128.0,129.75,124.75,125.8
27-09-2021,127.0,127.5,123.85,124.5
28-09-2021,127.0,127.0,120.8,124.05
29-09-2021,123.6,127.15,119.0,121.5
30-09-2021,122.0,123.95,119.0,120.0
01-10-2021,120.05,127.0,115.2,121.8
04-10-2021,123.5,123.5,119.45,120.0
05-10-2021,120.7,122.5,118.0,119.0
06-10-2021,120.4,120.7,116.25,117.05
07-10-2021,119.5,120.0,115.3,117.0
08-10-2021,118.0,118.0,112.7,114.7
11-10-2021,115.8,116.1,110.25,114.4
12-10-2021,116.0,116.1,110.4,111.6
13-10-2021,113.0,120.0,111.0,117.15
14-10-2021,121.0,121.6,115.45,118.1
18-10-2021,118.6,122.8,115.5,120.0
19-10-2021,135.0,135.05,120.1,124.35
20-10-2021,124.9,125.65,116.35,120.0
21-10-2021,120.95,122.0,110.7,112.45
22-10-2021,113.0,113.7,107.25,110.0
25-10-2021,111.9,111.9,102.0,102.5
26-10-2021,103.75,117.8,100.2,116.3
27-10-2021,116.3,122.4,114.8,121.1
28-10-2021,123.5,124.95,117.45,121.15
29-10-2021,120.0,127.0,116.45,124.3
01-11-2021,126.0,129.0,120.25,126.8
02-11-2021,128.05,130.0,125.5,128.2
03-11-2021,128.0,131.8,125.05,127.55
04-11-2021,127.95,129.9,124.35,127.05
08-11-2021,126.5,136.0,123.4,134.8
09-11-2021,135.0,135.3,130.1,131.5
10-11-2021,130.9,135.0,124.25,128.9
11-11-2021,130.5,132.0,124.4,126.6
12-11-2021,127.0,129.9,123.05,125.15
15-11-2021,126.7,127.6,115.95,119.55
16-11-2021,117.7,119.0,113.35,115.4
17-11-2021,114.45,116.6,110.9,112.0
18-11-2021,111.85,118.65,106.5,114.9
22-11-2021,114.4,117.2,111.7,115.2
23-11-2021,115.2,125.8,114.25,121.1
24-11-2021,121.7,124.9,117.05,119.05
25-11-2021,119.95,123.3,117.2,118.4
26-11-2021,117.0,122.05,113.05,114.7
29-11-2021,114.5,116.6,107.4,110.25
30-11-2021,110.7,113.5,106.05,107.25
01-12-2021,107.5,115.0,107.0,112.8
02-12-2021,111.5,114.0,108.55,110.45
03-12-2021,110.1,112.4,106.25,107.6
06-12-2021,108.9,109.8,105.05,105.55
07-12-2021,107.4,109.1,103.4,104.0
08-12-2021,105.3,105.9,102.05,103.7
09-12-2021,104.65,106.65,101.3,104.1
10-12-2021,104.8,105.55,101.9,103.45
13-12-2021,104.35,104.35,94.0,95.85
14-12-2021,94.8,96.7,91.55,93.0
15-12-2021,93.0,98.5,89.0,90.7
16-12-2021,94.0,98.25,84.55,90.6
17-12-2021,93.7,93.7,88.1,89.25
20-12-2021,86.7,86.7,76.35,78.0
21-12-2021,79.0,79.9,72.35,73.25
22-12-2021,73.0,77.9,71.1,76.2
23-12-2021,76.7,82.15,75.2,78.75
24-12-2021,78.9,82.0,75.9,76.45
27-12-2021,76.35,77.0,72.4,72.8
28-12-2021,73.6,74.6,72.4,72.85
29-12-2021,73.5,77.9,72.55,76.55
30-12-2021,76.5,79.3,74.8,76.2
31-12-2021,77.5,78.15,74.7,76.25
03-01-2022,76.35,77.8,73.05,73.8
04-01-2022,74.75,74.75,72.1,72.55
05-01-2022,73.9,73.9,71.6,72.2
06-01-2022,72.9,73.0,70.0,70.85
07-01-2022,70.9,73.2,70.4,71.4
10-01-2022,72.8,80.45,71.9,78.9
11-01-2022,78.7,81.1,75.8,76.5
12-01-2022,77.5,77.8,74.4,74.9
13-01-2022,75.0,77.6,72.4,73.8
14-01-2022,72.8,74.6,72.3,73.1
17-01-2022,73.4,77.4,73.25,75.75
18-01-2022,77.0,79.85,74.6,75.45
19-01-2022,75.65,76.9,73.3,73.65
20-01-2022,74.0,74.8,72.05,72.65
21-01-2022,72.65,72.65,70.5,70.85
24-01-2022,70.85,71.2,64.2,66.45
25-01-2022,64.9,68.5,62.1,66.55
27-01-2022,64.0,72.9,63.9,68.8
28-01-2022,68.95,72.15,66.55,67.35
31-01-2022,68.15,71.5,67.3,67.9
01-02-2022,68.4,70.45,65.7,66.45
02-02-2022,67.2,67.3,64.5,65.1
03-02-2022,65.0,66.6,64.35,64.75
04-02-2022,65.5,67.95,64.4,65.75
07-02-2022,65.4,67.5,64.85,66.5
08-02-2022,66.95,69.35,65.55,66.4
09-02-2022,66.95,69.5,64.2,67.2
10-02-2022,68.7,74.0,65.7,70.2
11-02-2022,69.25,74.2,68.75,71.95
14-02-2022,69.95,71.45,67.35,68.7
15-02-2022,69.2,73.3,68.1,70.9
16-02-2022,70.6,71.9,69.45,70.55
17-02-2022,70.9,70.9,66.0,67.05
18-02-2022,67.9,67.9,64.6,65.45
21-02-2022,64.5,69.5,61.75,68.35
22-02-2022,66.4,67.4,63.0,64.4
23-02-2022,64.6,66.0,62.65,63.7
24-02-2022,60.05,62.4,51.0,58.2
25-02-2022,58.2,63.2,57.7,59.25
28-02-2022,58.0,60.25,55.9,57.7
02-03-2022,56.0,57.15,53.95,55.05
03-03-2022,55.1,55.7,53.5,54.05
04-03-2022,53.4,53.45,51.95,52.4
07-03-2022,51.7,52.25,49.05,49.95
08-03-2022,50.0,51.0,47.75,49.15
09-03-2022,50.0,52.5,49.7,50.95
10-03-2022,52.2,52.75,47.1,47.9
11-03-2022,47.95,51.7,47.15,50.85
14-03-2022,50.7,51.2,48.7,50.45
15-03-2022,50.8,51.4,41.15,42.8
16-03-2022,43.5,48.3,41.75,42.7
17-03-2022,43.9,47.45,40.15,44.7
21-03-2022,46.0,48.6,43.95,45.2
22-03-2022,45.7,45.8,43.55,44.1
23-03-2022,44.5,44.65,42.0,42.25
24-03-2022,42.0,43.8,41.65,42.65
25-03-2022,43.0,43.3,40.6,41.2
28-03-2022,41.7,41.75,40.4,40.65
29-03-2022,40.8,41.2,39.05,39.3
30-03-2022,40.0,41.5,38.55,39.55
31-03-2022,39.95,45.9,39.6,44.35
01-04-2022,43.55,48.5,43.55,47.85
04-04-2022,48.75,51.45,48.45,50.7
05-04-2022,51.3,60.8,51.3,59.2
06-04-2022,59.8,60.7,56.1,58.0
07-04-2022,59.45,59.45,52.2,55.05
08-04-2022,56.0,56.9,53.1,56.2
11-04-2022,56.25,57.0,54.5,55.2
12-04-2022,55.0,55.05,52.2,53.7
13-04-2022,54.4,55.1,53.0,53.2
18-04-2022,54.2,56.6,53.25,54.6
19-04-2022,55.3,56.0,53.25,54.2
20-04-2022,54.9,55.35,53.95,54.55
21-04-2022,55.45,56.85,54.1,54.9
22-04-2022,57.8,59.95,56.05,57.85
25-04-2022,57.65,58.1,55.35,55.8
26-04-2022,56.2,57.7,54.5,54.8
27-04-2022,54.25,54.8,52.6,53.4
28-04-2022,53.8,54.0,52.3,52.6
29-04-2022,52.3,53.95,52.0,52.85
02-05-2022,53.2,53.4,51.5,51.7
04-05-2022,52.9,52.9,48.8,50.15
05-05-2022,51.55,53.0,50.75,51.55
06-05-2022,50.45,52.15,49.05,51.6
09-05-2022,50.55,52.5,49.0,49.6
10-05-2022,49.55,50.65,48.0,48.7
11-05-2022,48.85,49.35,44.0,45.25
12-05-2022,44.0,45.4,42.75,43.1
13-05-2022,43.95,44.0,42.1,42.5
16-05-2022,43.0,44.6,41.85,43.65
17-05-2022,44.8,45.6,43.8,44.35
18-05-2022,44.95,44.95,42.0,42.4
19-05-2022,41.1,42.3,41.1,41.35
20-05-2022,42.0,44.5,41.8,43.6
23-05-2022,44.45,44.45,43.0,43.3
24-05-2022,43.3,43.5,42.0,42.2
25-05-2022,42.9,42.9,40.75,41.1
26-05-2022,41.8,41.95,38.8,40.75
27-05-2022,41.1,41.4,39.75,40.05
30-05-2022,40.9,43.0,39.9,42.75
31-05-2022,38.5,41.35,38.5,40.0
01-06-2022,41.2,41.9,40.15,41.2
02-06-2022,41.5,41.65,40.0,40.3
03-06-2022,40.7,41.5,40.0,40.7
06-06-2022,40.7,41.1,40.0,40.5
07-06-2022,40.05,40.45,39.2,39.85
08-06-2022,40.35,40.9,39.0,39.9
09-06-2022,40.45,40.7,39.75,40.0
10-06-2022,39.6,40.2,39.1,39.65
13-06-2022,39.1,39.65,36.05,37.35
14-06-2022,37.65,39.35,36.7,38.8
15-06-2022,39.35,41.55,38.7,40.95
16-06-2022,41.1,41.8,38.2,39.15
17-06-2022,38.3,39.8,38.1,38.5
20-06-2022,39.0,39.0,35.4,36.2
21-06-2022,36.65,37.7,36.55,36.8
22-06-2022,36.85,37.45,36.0,36.55
23-06-2022,36.0,37.65,36.0,37.25
24-06-2022,37.85,37.85,37.0,37.5
27-06-2022,37.75,38.25,37.25,37.85
28-06-2022,38.3,38.3,36.7,37.65
29-06-2022,37.65,38.65,35.95,36.3
30-06-2022,36.7,37.15,35.05,35.45
01-07-2022,35.95,36.1,34.5,35.1
04-07-2022,35.1,36.45,34.75,36.15
05-07-2022,35.9,39.25,35.6,38.25
06-07-2022,38.2,38.8,37.55,38.0
07-07-2022,38.05,39.45,37.2,38.7
08-07-2022,39.25,39.65,38.45,39.15
