date,open,high,low,close
22-07-2019,1225.1,1225.1,1191.0,1210.1
23-07-2019,1218.0,1258.85,1199.45,1249.3
24-07-2019,1248.0,1248.0,1215.0,1226.6
25-07-2019,1226.6,1238.95,1215.0,1225.7
26-07-2019,1230.0,1240.15,1215.0,1227.3
29-07-2019,1221.0,1236.0,1215.1,1224.45
30-07-2019,1230.0,1240.0,1210.9,1224.5
31-07-2019,1234.0,1274.0,1185.2,1236.15
01-08-2019,1214.5,1284.5,1199.25,1272.35
02-08-2019,1243.6,1274.0,1236.05,1259.25
05-08-2019,1258.0,1258.0,1219.0,1232.55
06-08-2019,1225.35,1287.85,1223.0,1277.55
07-08-2019,1276.9,1276.95,1245.0,1253.25
08-08-2019,1251.0,1251.05,1230.0,1242.15
09-08-2019,1241.55,1259.95,1222.7,1238.1
13-08-2019,1256.0,1256.0,1223.0,1229.55
14-08-2019,1229.0,1250.0,1222.4,1244.85
16-08-2019,1247.95,1259.0,1223.0,1248.75
19-08-2019,1252.05,1254.2,1230.85,1246.75
20-08-2019,1230.05,1257.0,1228.0,1230.05
21-08-2019,1235.45,1235.45,1201.25,1221.05
22-08-2019,1221.0,1237.0,1216.85,1232.0
23-08-2019,1228.65,1234.0,1220.0,1227.05
26-08-2019,1227.1,1250.0,1227.1,1244.25
27-08-2019,1240.05,1246.95,1231.5,1239.15
28-08-2019,1235.0,1249.7,1228.0,1240.9
29-08-2019,1240.0,1249.0,1229.0,1231.55
30-08-2019,1231.85,1269.8,1231.15,1260.15
03-09-2019,1261.1,1261.1,1235.9,1242.95
04-09-2019,1257.0,1257.0,1200.0,1228.65
05-09-2019,1223.0,1239.9,1223.0,1234.0
06-09-2019,1240.0,1253.9,1235.0,1245.15
09-09-2019,1247.9,1255.0,1230.0,1234.5
11-09-2019,1234.0,1280.0,1230.0,1262.9
12-09-2019,1263.0,1280.0,1252.0,1255.55
13-09-2019,1264.95,1277.9,1252.1,1263.55
16-09-2019,1260.0,1277.8,1252.85,1268.55
17-09-2019,1269.0,1275.0,1201.5,1219.9
18-09-2019,1221.3,1244.8,1220.0,1233.4
19-09-2019,1226.15,1229.95,1210.0,1215.15
20-09-2019,1232.85,1327.1,1181.3,1303.85
23-09-2019,1311.0,1333.85,1280.0,1303.45
24-09-2019,1300.0,1314.0,1271.4,1299.2
25-09-2019,1305.0,1305.0,1273.1,1286.15
26-09-2019,1299.95,1319.2,1257.0,1305.15
27-09-2019,1320.0,1320.0,1263.7,1286.3
30-09-2019,1285.0,1297.6,1271.15,1292.15
01-10-2019,1289.95,1299.75,1276.3,1283.55
03-10-2019,1270.1,1275.0,1248.0,1266.5
04-10-2019,1280.0,1315.0,1260.0,1272.3
07-10-2019,1290.0,1315.0,1277.0,1285.3
09-10-2019,1284.95,1315.0,1273.0,1292.25
10-10-2019,1276.45,1294.0,1275.0,1283.45
11-10-2019,1289.05,1306.0,1280.0,1284.65
14-10-2019,1290.55,1307.55,1234.55,1264.85
15-10-2019,1266.1,1287.55,1263.05,1275.7
16-10-2019,1276.15,1293.95,1255.0,1264.05
17-10-2019,1259.95,1273.45,1241.0,1247.9
18-10-2019,1245.0,1274.0,1241.0,1252.65
22-10-2019,1252.0,1269.9,1226.05,1252.45
23-10-2019,1235.05,1249.8,1219.95,1225.9
24-10-2019,1220.1,1246.55,1216.2,1218.25
25-10-2019,1221.6,1232.25,1200.15,1210.05
27-10-2019,1195.0,1234.0,1195.0,1224.3
29-10-2019,1232.15,1264.0,1230.65,1258.45
30-10-2019,1242.05,1287.4,1242.05,1278.5
31-10-2019,1289.0,1309.75,1270.0,1302.45
01-11-2019,1300.0,1309.8,1261.4,1267.0
04-11-2019,1270.0,1279.95,1251.0,1256.65
05-11-2019,1269.6,1304.0,1252.55,1276.7
06-11-2019,1270.1,1276.65,1250.0,1252.45
07-11-2019,1240.5,1265.0,1239.1,1247.35
08-11-2019,1247.35,1247.35,1222.0,1225.25
11-11-2019,1242.55,1300.0,1215.05,1282.25
13-11-2019,1300.0,1315.95,1208.7,1226.7
14-11-2019,1236.55,1239.8,1207.75,1215.5
15-11-2019,1229.0,1229.0,1206.0,1213.95
18-11-2019,1227.8,1227.8,1202.1,1208.35
19-11-2019,1228.0,1228.0,1195.3,1199.75
20-11-2019,1207.0,1210.0,1190.05,1196.65
21-11-2019,1186.0,1199.0,1175.1,1184.25
22-11-2019,1199.0,1199.0,1160.05,1177.95
25-11-2019,1181.0,1181.0,1096.05,1139.55
26-11-2019,1145.95,1180.0,1125.0,1171.3
27-11-2019,1190.0,1190.0,1133.8,1146.75
28-11-2019,1150.0,1163.85,1120.0,1135.4
29-11-2019,1140.0,1170.0,1117.05,1148.4
02-12-2019,1150.0,1159.95,1120.0,1131.45
03-12-2019,1131.45,1136.0,1112.05,1122.4
04-12-2019,1115.05,1134.75,1115.05,1130.05
05-12-2019,1129.8,1130.85,1110.0,1114.75
06-12-2019,1119.9,1130.95,1087.95,1100.0
09-12-2019,1091.1,1110.5,1071.0,1100.7
10-12-2019,1109.25,1110.05,1079.85,1083.6
11-12-2019,1096.95,1114.95,1075.0,1084.35
12-12-2019,1084.35,1100.7,1080.35,1098.2
13-12-2019,1090.0,1125.05,1090.0,1118.7
16-12-2019,1110.0,1146.95,1110.0,1134.15
17-12-2019,1139.0,1158.0,1138.0,1149.45
18-12-2019,1157.0,1168.45,1140.0,1163.5
19-12-2019,1169.5,1169.5,1132.0,1140.45
20-12-2019,1138.1,1152.2,1138.1,1144.85
23-12-2019,1140.0,1170.0,1140.0,1158.8
24-12-2019,1157.3,1165.5,1143.45,1146.15
26-12-2019,1145.0,1168.0,1142.15,1150.65
27-12-2019,1150.35,1169.0,1145.0,1162.45
30-12-2019,1161.05,1165.55,1147.5,1153.35
31-12-2019,1165.0,1165.0,1151.0,1162.45
01-01-2020,1170.0,1170.2,1145.0,1148.55
02-01-2020,1145.05,1159.95,1121.15,1131.8
03-01-2020,1137.65,1154.85,1137.0,1147.5
06-01-2020,1140.0,1149.0,1126.0,1130.6
07-01-2020,1132.0,1140.05,1125.0,1128.2
08-01-2020,1125.05,1133.0,1109.9,1128.75
09-01-2020,1135.0,1156.05,1131.15,1140.3
10-01-2020,1149.9,1149.9,1134.05,1144.9
13-01-2020,1147.0,1159.9,1147.0,1150.35
14-01-2020,1155.0,1174.0,1146.0,1157.25
15-01-2020,1163.95,1180.0,1153.75,1172.1
16-01-2020,1183.0,1225.0,1182.3,1216.5
17-01-2020,1215.0,1234.0,1195.0,1202.7
20-01-2020,1203.0,1215.15,1165.1,1192.9
21-01-2020,1200.0,1200.0,1155.65,1178.05
22-01-2020,1185.9,1220.0,1180.0,1200.25
23-01-2020,1209.9,1278.05,1206.1,1262.4
24-01-2020,1269.8,1287.45,1250.0,1278.5
27-01-2020,1258.0,1283.8,1253.05,1269.2
28-01-2020,1278.0,1288.0,1256.25,1275.2
29-01-2020,1284.0,1284.0,1261.8,1266.85
30-01-2020,1271.35,1271.35,1230.05,1241.9
31-01-2020,1255.0,1255.0,1212.0,1215.8
01-02-2020,1229.95,1244.0,1216.0,1222.2
03-02-2020,1222.0,1222.0,1190.85,1198.35
04-02-2020,1212.0,1235.0,1202.25,1216.65
05-02-2020,1230.0,1230.0,1207.55,1220.65
06-02-2020,1221.0,1269.8,1221.0,1243.1
07-02-2020,1264.95,1408.95,1230.1,1360.8
10-02-2020,1379.5,1385.0,1307.9,1322.2
11-02-2020,1320.0,1325.5,1305.35,1316.65
12-02-2020,1316.65,1357.75,1308.8,1329.1
13-02-2020,1337.0,1344.0,1328.0,1333.35
14-02-2020,1341.4,1380.0,1330.55,1357.6
17-02-2020,1357.0,1398.5,1344.95,1356.6
18-02-2020,1360.0,1364.9,1334.2,1350.5
19-02-2020,1365.0,1375.0,1335.0,1364.95
20-02-2020,1366.0,1404.85,1366.0,1378.6
24-02-2020,1384.0,1397.8,1350.0,1356.3
25-02-2020,1383.0,1385.0,1325.0,1344.75
26-02-2020,1332.25,1348.0,1311.0,1314.3
27-02-2020,1321.0,1321.0,1284.95,1305.45
28-02-2020,1271.05,1300.0,1245.0,1270.5
02-03-2020,1276.0,1310.05,1275.0,1291.65
03-03-2020,1318.0,1344.0,1295.0,1313.7
04-03-2020,1310.2,1330.0,1270.65,1311.0
05-03-2020,1298.0,1318.45,1283.0,1288.25
06-03-2020,1230.0,1284.2,1230.0,1270.3
09-03-2020,1261.0,1269.0,1212.05,1231.15
11-03-2020,1220.05,1255.0,1216.2,1233.0
12-03-2020,1155.0,1200.0,1064.95,1070.85
13-03-2020,940.1,1110.8,874.0,1078.1
16-03-2020,1031.05,1130.0,1003.05,1081.15
17-03-2020,1083.0,1107.95,1037.0,1049.65
18-03-2020,1050.0,1067.95,929.9,1049.55
19-03-2020,992.0,1009.85,940.0,953.8
20-03-2020,978.9,980.0,930.0,941.95
23-03-2020,820.0,909.6,753.6,759.7
24-03-2020,825.0,825.0,700.0,730.25
25-03-2020,720.0,740.05,690.7,721.25
26-03-2020,733.95,775.0,707.0,769.15
27-03-2020,790.0,846.05,768.0,825.9
30-03-2020,800.0,908.45,752.0,797.6
31-03-2020,801.0,829.5,750.0,778.7
01-04-2020,800.0,804.85,780.0,795.6
03-04-2020,809.0,817.95,790.0,799.45
07-04-2020,806.0,849.1,806.0,836.5
08-04-2020,836.5,886.8,821.1,870.8
09-04-2020,900.0,909.0,875.1,895.6
13-04-2020,905.0,918.0,860.0,872.5
15-04-2020,875.0,903.0,848.75,886.15
16-04-2020,888.0,974.75,888.0,959.55
17-04-2020,990.0,1055.5,965.0,1030.0
20-04-2020,1030.0,1074.95,996.0,1012.95
21-04-2020,1007.45,1007.45,920.4,949.1
22-04-2020,978.95,987.95,940.2,946.4
23-04-2020,949.0,971.0,924.25,932.2
24-04-2020,930.0,930.0,901.05,906.25
27-04-2020,930.05,944.95,904.1,907.75
28-04-2020,929.95,958.0,900.0,918.05
29-04-2020,930.0,943.75,918.5,925.25
30-04-2020,935.0,947.65,915.0,922.5
04-05-2020,900.0,900.0,864.05,871.1
05-05-2020,878.0,918.75,852.2,863.6
06-05-2020,863.6,873.45,838.5,839.55
07-05-2020,850.0,870.0,838.0,844.45
08-05-2020,850.0,859.95,825.0,827.65
11-05-2020,828.0,845.0,825.0,828.95
12-05-2020,833.9,839.75,824.95,832.7
13-05-2020,855.0,859.8,833.0,836.15
14-05-2020,835.0,839.0,820.0,823.65
15-05-2020,824.0,835.0,800.0,804.75
18-05-2020,808.8,808.8,763.05,767.05
19-05-2020,775.0,781.15,764.0,765.3
20-05-2020,765.3,817.95,755.7,807.85
21-05-2020,810.0,844.0,791.05,800.55
22-05-2020,803.0,821.95,781.05,790.75
26-05-2020,801.0,819.0,792.0,794.5
27-05-2020,801.0,805.0,780.0,788.0
28-05-2020,795.0,835.9,788.0,815.8
29-05-2020,824.8,897.35,815.05,897.35
01-06-2020,942.0,975.8,880.0,900.8
02-06-2020,905.0,921.3,882.1,898.8
03-06-2020,908.65,935.8,891.15,899.35
04-06-2020,902.0,919.95,890.0,895.85
05-06-2020,904.0,919.95,896.05,899.1
08-06-2020,900.0,915.05,895.0,899.15
