date,open,high,low,close
22-07-2019,26.6,26.6,24.2,24.85
23-07-2019,24.85,25.85,24.3,24.65
24-07-2019,24.5,25.75,23.7,24.8
25-07-2019,24.65,25.35,21.9,22.25
26-07-2019,22.0,24.0,22.0,23.5
29-07-2019,23.2,23.3,22.05,22.05
30-07-2019,21.85,22.8,21.4,21.6
31-07-2019,21.4,21.8,20.15,21.5
01-08-2019,21.3,21.65,20.6,20.95
02-08-2019,20.8,21.0,20.0,20.8
05-08-2019,20.8,20.8,19.6,20.1
06-08-2019,20.8,20.8,19.45,19.8
07-08-2019,19.6,20.5,19.1,19.6
08-08-2019,20.0,20.8,19.6,19.95
09-08-2019,20.0,21.6,19.1,21.25
13-08-2019,21.0,24.45,20.6,21.65
14-08-2019,21.35,21.4,19.85,20.05
16-08-2019,20.45,20.45,19.25,20.35
19-08-2019,21.0,21.75,19.4,20.85
20-08-2019,21.6,21.65,20.85,21.0
21-08-2019,21.2,22.25,20.85,20.95
22-08-2019,20.85,21.0,20.0,20.6
23-08-2019,21.4,21.4,19.8,20.9
26-08-2019,23.0,23.4,19.55,21.35
27-08-2019,21.5,22.5,21.5,22.2
28-08-2019,22.2,22.85,21.05,21.4
29-08-2019,21.25,21.65,20.95,21.4
30-08-2019,21.8,22.2,21.4,21.6
03-09-2019,21.6,21.8,21.0,21.45
04-09-2019,22.2,22.2,21.2,21.45
05-09-2019,20.8,21.7,20.8,21.4
06-09-2019,22.0,23.35,21.6,23.15
09-09-2019,22.45,23.15,22.35,22.7
11-09-2019,22.0,23.8,22.0,23.4
12-09-2019,25.0,25.0,23.4,23.6
13-09-2019,24.0,24.25,22.9,23.55
16-09-2019,23.55,24.4,23.15,23.95
17-09-2019,24.0,25.0,22.35,23.15
18-09-2019,23.2,23.35,22.45,22.95
19-09-2019,22.8,23.5,22.2,22.5
20-09-2019,22.95,25.2,22.0,23.85
23-09-2019,24.15,24.8,23.05,23.75
24-09-2019,24.0,25.0,23.2,23.45
25-09-2019,23.2,23.3,22.6,22.9
26-09-2019,23.2,23.45,22.8,23.2
27-09-2019,23.2,23.25,22.4,22.5
30-09-2019,21.6,23.4,21.6,22.1
01-10-2019,22.35,22.45,21.1,21.45
03-10-2019,21.2,21.4,20.8,20.9
04-10-2019,21.05,21.6,20.9,21.25
07-10-2019,21.25,22.55,21.05,21.75
09-10-2019,22.2,22.8,22.05,22.3
10-10-2019,22.0,23.2,21.6,22.15
11-10-2019,22.8,22.8,21.2,21.8
14-10-2019,21.9,21.9,20.85,21.0
15-10-2019,21.0,21.45,20.8,20.85
16-10-2019,21.8,21.8,20.6,20.8
17-10-2019,20.8,21.1,20.8,20.95
18-10-2019,21.0,21.65,20.35,20.95
22-10-2019,21.1,22.4,20.8,20.85
23-10-2019,20.95,21.4,20.6,20.85
24-10-2019,21.35,22.2,20.9,21.9
25-10-2019,22.15,22.4,21.05,21.25
27-10-2019,21.25,21.5,20.8,21.3
29-10-2019,20.5,23.4,20.5,22.85
30-10-2019,22.7,26.3,22.05,24.75
31-10-2019,25.15,26.6,24.8,25.75
01-11-2019,26.4,26.4,24.6,24.8
04-11-2019,25.6,25.6,23.6,23.8
05-11-2019,23.8,25.6,23.35,24.2
06-11-2019,24.2,25.35,23.55,24.2
07-11-2019,23.8,24.0,22.9,23.1
08-11-2019,23.1,23.6,22.35,22.7
11-11-2019,23.0,23.55,22.6,22.95
13-11-2019,23.8,23.8,22.4,22.7
14-11-2019,23.4,23.45,22.2,22.95
15-11-2019,23.4,23.45,22.55,22.65
18-11-2019,23.4,23.4,21.7,22.05
19-11-2019,22.65,23.9,22.45,23.55
20-11-2019,23.7,24.5,23.55,24.2
21-11-2019,24.6,24.6,22.55,22.9
22-11-2019,22.9,23.25,22.25,22.7
25-11-2019,22.9,22.9,22.0,22.4
26-11-2019,22.45,23.0,22.2,22.4
27-11-2019,22.9,23.65,22.1,23.15
28-11-2019,23.0,23.15,22.45,22.55
29-11-2019,22.6,22.95,22.3,22.7
02-12-2019,22.4,23.0,21.8,22.8
03-12-2019,23.0,23.0,22.5,22.65
04-12-2019,23.0,23.0,22.6,22.75
05-12-2019,22.9,23.4,22.6,23.2
06-12-2019,23.8,23.8,22.6,22.7
09-12-2019,22.4,23.05,22.2,22.6
10-12-2019,22.8,22.9,22.4,22.4
11-12-2019,22.0,22.9,22.0,22.65
12-12-2019,23.2,23.2,22.6,22.7
13-12-2019,22.7,23.0,21.5,22.35
16-12-2019,22.45,22.75,22.25,22.4
17-12-2019,22.45,22.9,22.25,22.5
18-12-2019,22.55,23.35,22.4,22.5
19-12-2019,22.3,22.75,22.05,22.2
20-12-2019,22.2,22.8,22.0,22.25
23-12-2019,22.5,22.8,22.3,22.65
24-12-2019,22.6,23.6,22.5,23.2
26-12-2019,23.75,25.2,22.8,23.9
27-12-2019,24.15,25.0,23.65,24.4
30-12-2019,25.0,25.0,23.55,23.85
31-12-2019,23.85,24.7,23.65,23.9
01-01-2020,23.65,24.35,23.45,23.85
02-01-2020,23.85,24.9,23.8,24.55
03-01-2020,24.7,29.45,24.25,28.1
06-01-2020,28.1,28.15,25.8,26.25
07-01-2020,26.85,27.6,26.3,26.65
08-01-2020,26.2,26.6,25.7,26.15
09-01-2020,26.8,27.8,26.6,27.25
10-01-2020,27.85,28.85,27.2,27.7
13-01-2020,27.7,29.8,27.6,28.45
14-01-2020,28.45,29.2,28.45,28.85
15-01-2020,28.5,28.6,27.4,27.85
16-01-2020,28.15,29.95,27.7,28.7
17-01-2020,28.7,31.5,27.9,29.95
20-01-2020,32.0,32.45,29.55,29.65
21-01-2020,29.55,29.8,28.85,29.1
22-01-2020,29.0,29.65,28.65,29.15
23-01-2020,28.8,29.15,28.25,28.6
24-01-2020,29.45,29.45,28.35,29.05
27-01-2020,28.55,28.55,27.6,27.8
28-01-2020,28.1,28.3,26.7,27.0
29-01-2020,27.05,27.6,26.5,26.85
30-01-2020,26.6,27.25,25.8,26.25
31-01-2020,26.6,26.95,25.1,26.65
01-02-2020,26.8,27.6,25.6,25.7
03-02-2020,25.8,26.2,25.05,25.2
04-02-2020,25.2,26.65,25.2,25.9
05-02-2020,26.3,26.9,25.2,25.85
06-02-2020,26.4,26.4,25.65,25.8
07-02-2020,26.0,26.65,25.25,25.9
10-02-2020,25.1,26.9,25.0,25.05
11-02-2020,24.6,25.4,24.3,24.65
12-02-2020,24.6,24.95,24.2,24.65
13-02-2020,24.7,25.0,24.1,24.4
14-02-2020,24.4,25.75,24.0,24.4
17-02-2020,24.2,24.6,23.75,24.05
18-02-2020,23.7,23.95,23.0,23.55
19-02-2020,24.7,24.7,23.3,23.65
20-02-2020,23.65,24.0,23.2,23.25
24-02-2020,23.0,23.4,22.8,23.2
25-02-2020,22.5,23.65,22.5,22.85
26-02-2020,22.4,23.35,22.4,22.9
27-02-2020,22.65,23.2,22.4,22.45
28-02-2020,22.4,22.95,21.3,21.5
02-03-2020,21.5,22.05,21.2,21.2
03-03-2020,21.2,23.35,21.0,22.45
04-03-2020,22.0,22.4,21.2,21.45
05-03-2020,21.8,22.1,20.9,21.2
06-03-2020,20.1,20.75,19.55,20.4
09-03-2020,19.0,22.25,18.3,19.1
11-03-2020,19.85,20.2,19.0,19.7
12-03-2020,19.95,19.95,17.1,17.55
13-03-2020,15.25,20.8,14.2,17.65
16-03-2020,20.2,20.2,15.7,16.45
17-03-2020,17.45,17.5,15.3,15.9
18-03-2020,15.05,16.9,15.05,15.7
19-03-2020,14.3,16.2,14.0,15.35
20-03-2020,15.45,16.3,15.4,15.55
23-03-2020,15.0,18.35,12.95,13.95
24-03-2020,14.35,14.6,13.25,13.95
25-03-2020,14.4,14.4,13.3,13.65
26-03-2020,13.9,14.95,13.4,13.7
27-03-2020,14.0,15.2,13.7,14.5
30-03-2020,13.8,14.0,13.65,13.75
31-03-2020,13.85,16.4,13.85,14.05
01-04-2020,14.55,14.65,14.0,14.05
03-04-2020,13.85,14.7,13.85,14.25
07-04-2020,14.2,16.7,14.2,14.9
08-04-2020,14.8,16.2,14.8,15.05
09-04-2020,15.35,16.2,15.15,15.65
13-04-2020,15.7,16.2,15.15,15.6
15-04-2020,15.25,17.6,15.25,16.3
16-04-2020,16.0,17.35,16.0,16.75
17-04-2020,19.0,19.0,17.2,17.3
20-04-2020,17.8,18.2,16.6,16.95
21-04-2020,16.05,16.95,15.0,15.3
22-04-2020,15.2,15.4,14.2,14.7
23-04-2020,15.6,15.7,15.0,15.45
24-04-2020,15.4,15.4,14.65,14.75
27-04-2020,15.2,16.8,14.8,15.8
28-04-2020,16.6,16.6,15.6,15.65
29-04-2020,15.65,18.8,15.6,18.45
30-04-2020,18.5,18.7,16.7,17.0
04-05-2020,16.65,16.65,15.6,15.75
05-05-2020,15.9,16.5,15.7,15.85
06-05-2020,16.2,16.2,15.05,15.5
07-05-2020,15.8,16.2,15.5,15.65
08-05-2020,16.1,16.1,15.3,15.35
11-05-2020,15.9,16.0,15.45,15.55
12-05-2020,15.4,15.75,15.0,15.55
13-05-2020,16.6,16.6,15.6,16.0
14-05-2020,16.0,16.2,15.6,15.8
15-05-2020,15.65,16.0,15.6,15.7
18-05-2020,15.75,15.75,14.6,14.75
19-05-2020,15.05,15.35,14.45,14.75
20-05-2020,15.4,15.95,14.65,15.25
21-05-2020,15.6,17.8,15.2,16.3
22-05-2020,16.7,16.7,15.45,15.7
26-05-2020,15.6,16.5,15.3,15.5
27-05-2020,16.15,16.15,14.9,15.55
28-05-2020,15.55,17.2,15.55,16.8
29-05-2020,16.8,19.25,16.6,18.5
01-06-2020,18.8,20.55,18.8,19.4
02-06-2020,19.2,19.4,18.65,19.0
03-06-2020,18.7,19.4,18.4,18.65
04-06-2020,18.45,18.85,17.85,18.4
05-06-2020,18.75,20.8,18.5,20.45
08-06-2020,20.7,22.15,19.8,20.05
09-06-2020,20.2,20.9,19.45,19.95
10-06-2020,19.95,20.6,19.8,19.85
11-06-2020,19.85,20.35,19.4,19.6
12-06-2020,19.0,19.85,18.45,19.5
15-06-2020,19.5,19.8,18.9,19.2
16-06-2020,19.95,19.95,18.4,18.7
17-06-2020,19.75,19.75,18.25,19.2
18-06-2020,19.6,20.1,19.1,19.6
19-06-2020,20.15,23.5,19.45,22.05
22-06-2020,22.05,23.05,21.2,21.35
23-06-2020,21.45,22.7,20.9,22.1
24-06-2020,22.95,23.0,21.0,21.3
25-06-2020,20.6,21.9,20.5,20.9
26-06-2020,21.65,21.7,21.0,21.15
29-06-2020,20.65,21.2,20.0,20.1
30-06-2020,21.3,24.1,21.0,22.9
01-07-2020,22.45,22.75,21.6,21.75
02-07-2020,21.75,22.4,21.3,21.75
03-07-2020,22.1,22.1,20.4,21.05
06-07-2020,22.35,22.35,20.95,21.35
07-07-2020,21.6,22.0,20.8,21.05
08-07-2020,21.1,22.0,20.8,20.9
09-07-2020,21.2,21.8,20.8,21.25
10-07-2020,21.4,21.6,20.8,21.2
13-07-2020,21.2,21.55,20.5,20.65
14-07-2020,20.8,21.1,19.85,20.5
15-07-2020,20.7,20.75,19.8,20.0
16-07-2020,20.55,20.9,19.25,20.25
17-07-2020,19.8,20.8,19.8,20.3
20-07-2020,20.9,20.9,19.95,20.5
21-07-2020,20.8,20.85,20.2,20.65
22-07-2020,20.7,20.8,20.15,20.25
23-07-2020,20.05,20.65,20.05,20.35
24-07-2020,20.3,21.0,20.0,20.0
27-07-2020,20.2,20.45,19.55,19.65
28-07-2020,19.8,20.1,19.25,19.4
29-07-2020,19.45,19.8,18.7,19.15
30-07-2020,19.15,19.25,18.7,18.75
31-07-2020,19.7,19.7,18.15,18.7
03-08-2020,19.2,20.0,18.6,19.55
