date,open,high,low,close
18-12-2020,21.0,22.05,20.05,22.05
21-12-2020,23.15,23.15,20.95,22.55
22-12-2020,21.45,23.0,21.45,22.2
23-12-2020,22.6,22.7,21.1,21.1
24-12-2020,21.0,21.95,20.05,20.05
28-12-2020,19.5,21.05,19.05,20.8
29-12-2020,21.5,21.8,21.05,21.55
30-12-2020,21.15,22.0,20.65,21.6
31-12-2020,22.15,22.65,21.75,22.65
01-01-2021,23.75,23.75,23.75,23.75
04-01-2021,24.75,27.9,22.05,24.55
05-01-2021,24.05,25.9,22.95,24.75
06-01-2021,24.75,25.8,23.5,24.05
07-01-2021,23.7,26.75,22.7,24.3
08-01-2021,24.5,25.0,24.0,24.05
11-01-2021,23.9,25.4,23.5,24.2
12-01-2021,24.25,27.25,24.05,25.95
13-01-2021,26.55,27.25,24.5,25.05
14-01-2021,25.0,27.5,24.5,26.65
15-01-2021,26.65,27.5,25.75,26.6
18-01-2021,27.8,28.7,26.05,26.85
19-01-2021,26.95,27.85,24.85,26.5
20-01-2021,26.5,27.25,26.15,27.0
21-01-2021,26.9,27.3,25.5,25.65
22-01-2021,25.65,25.9,24.5,25.0
25-01-2021,25.75,25.8,23.75,24.1
27-01-2021,24.15,25.4,23.1,23.75
28-01-2021,23.95,23.95,20.7,22.75
29-01-2021,23.1,23.95,22.1,22.8
01-02-2021,23.0,23.0,21.3,22.45
02-02-2021,22.2,22.75,21.25,21.9
03-02-2021,22.0,22.0,21.05,21.25
04-02-2021,21.5,21.95,21.3,21.7
05-02-2021,21.85,23.0,21.7,22.85
08-02-2021,23.65,27.0,23.3,25.8
09-02-2021,26.1,27.5,25.45,25.8
10-02-2021,26.1,26.5,25.05,25.6
11-02-2021,25.2,26.35,25.1,25.85
12-02-2021,26.1,29.9,25.9,29.3
15-02-2021,29.85,34.95,29.3,32.15
16-02-2021,32.9,34.3,29.9,30.15
17-02-2021,30.55,31.5,29.1,30.15
18-02-2021,30.8,32.0,30.0,31.6
19-02-2021,32.25,34.4,31.4,33.05
22-02-2021,34.0,35.8,33.75,34.25
23-02-2021,36.45,36.45,33.95,34.5
24-02-2021,35.25,35.25,33.2,33.65
25-02-2021,34.0,34.4,33.25,33.85
26-02-2021,33.5,33.75,31.05,33.3
01-03-2021,33.5,34.9,33.4,33.85
02-03-2021,34.1,34.4,31.5,32.7
03-03-2021,32.95,34.0,31.6,32.95
04-03-2021,32.8,34.0,32.45,32.8
05-03-2021,33.7,33.7,31.65,32.65
08-03-2021,33.45,36.7,32.85,35.35
09-03-2021,36.0,37.5,34.9,35.65
10-03-2021,36.45,36.5,34.2,34.9
12-03-2021,35.1,35.85,33.3,33.65
15-03-2021,33.15,33.8,31.9,32.2
16-03-2021,32.95,33.75,32.2,32.3
17-03-2021,32.75,32.85,30.0,30.2
18-03-2021,30.95,31.4,28.0,28.35
19-03-2021,28.25,28.25,26.35,27.65
22-03-2021,28.0,29.0,28.0,28.7
23-03-2021,28.55,33.5,28.55,32.0
24-03-2021,32.0,33.15,30.6,30.85
25-03-2021,31.1,31.25,29.3,30.2
26-03-2021,31.0,31.5,28.05,29.3
30-03-2021,30.3,30.75,28.4,28.95
31-03-2021,29.8,29.8,28.75,29.05
01-04-2021,29.15,31.5,29.15,30.45
05-04-2021,30.2,30.8,28.9,29.4
06-04-2021,29.1,30.45,29.1,29.25
07-04-2021,29.65,29.95,28.9,29.15
08-04-2021,29.45,30.9,29.3,29.6
09-04-2021,29.55,30.9,29.55,29.9
12-04-2021,29.2,29.3,26.8,27.05
13-04-2021,27.85,28.2,26.85,27.55
15-04-2021,27.05,27.55,26.25,26.9
16-04-2021,27.5,28.15,26.9,28.0
19-04-2021,27.0,30.0,25.2,29.1
20-04-2021,30.0,30.9,27.3,29.75
22-04-2021,29.25,30.6,29.0,29.1
23-04-2021,29.0,30.0,28.4,28.55
26-04-2021,28.15,29.25,28.1,28.35
27-04-2021,28.15,29.0,28.15,28.75
28-04-2021,29.25,29.25,28.4,28.45
29-04-2021,28.9,28.95,26.9,27.45
30-04-2021,27.65,28.25,27.3,27.95
03-05-2021,28.2,28.2,25.5,27.25
04-05-2021,27.8,29.0,27.2,27.9
05-05-2021,28.25,28.75,27.35,27.75
06-05-2021,27.9,28.5,26.85,27.1
07-05-2021,27.1,27.85,26.8,26.9
10-05-2021,27.25,27.5,26.75,26.85
11-05-2021,26.9,27.85,26.8,27.4
12-05-2021,27.5,28.5,27.25,27.5
14-05-2021,27.55,27.65,26.2,26.5
17-05-2021,26.25,27.6,26.25,26.95
18-05-2021,27.4,27.45,26.25,26.6
19-05-2021,26.65,28.8,26.6,27.65
20-05-2021,28.2,30.2,27.5,29.0
21-05-2021,29.45,31.3,28.6,28.75
24-05-2021,28.5,29.9,28.4,29.6
25-05-2021,30.0,30.6,29.0,29.2
26-05-2021,29.85,29.85,28.35,28.65
27-05-2021,28.65,30.55,28.5,30.0
28-05-2021,30.4,30.7,28.4,28.75
31-05-2021,29.0,29.55,28.75,28.85
01-06-2021,29.0,29.8,27.65,28.2
02-06-2021,28.75,28.75,27.7,28.3
03-06-2021,28.5,29.7,28.3,29.05
04-06-2021,29.35,29.8,28.8,28.95
07-06-2021,29.5,29.6,28.5,29.2
08-06-2021,29.45,32.25,29.35,31.7
09-06-2021,32.5,32.7,29.7,30.35
10-06-2021,30.75,31.5,30.25,30.95
11-06-2021,31.75,31.95,30.35,30.55
14-06-2021,31.25,31.25,29.4,30.4
15-06-2021,30.8,30.8,29.8,30.3
16-06-2021,30.3,30.6,29.25,29.4
17-06-2021,29.45,30.55,29.4,29.85
18-06-2021,30.45,30.45,28.6,29.1
21-06-2021,28.6,29.9,28.6,29.65
22-06-2021,30.0,30.8,29.6,30.05
23-06-2021,30.75,30.75,29.55,29.8
24-06-2021,29.95,32.5,29.75,30.6
25-06-2021,31.55,31.65,30.6,30.8
28-06-2021,30.9,32.75,30.4,32.2
29-06-2021,32.5,38.15,31.0,36.3
30-06-2021,38.0,38.95,35.45,36.3
01-07-2021,35.3,36.35,34.05,34.95
02-07-2021,35.4,36.25,34.2,34.55
05-07-2021,34.1,38.9,34.1,38.2
06-07-2021,38.65,41.8,38.1,38.8
07-07-2021,39.05,40.7,38.25,38.55
08-07-2021,38.85,39.9,37.75,38.25
09-07-2021,38.45,45.5,38.1,43.45
12-07-2021,44.0,46.95,43.55,45.1
13-07-2021,45.55,47.8,45.55,46.3
14-07-2021,46.2,47.35,45.1,45.3
15-07-2021,45.3,50.7,43.3,49.35
16-07-2021,49.65,50.6,46.05,46.9
19-07-2021,46.25,47.5,45.2,45.65
20-07-2021,44.45,45.6,43.4,44.45
22-07-2021,45.0,46.3,44.0,44.95
23-07-2021,45.8,47.1,43.0,45.55
26-07-2021,45.8,46.0,44.0,44.15
27-07-2021,44.15,44.9,41.95,42.9
28-07-2021,42.85,43.7,41.05,42.4
29-07-2021,43.0,43.2,41.35,41.5
30-07-2021,40.55,42.25,40.55,41.25
02-08-2021,42.1,42.55,41.2,42.15
03-08-2021,42.45,42.45,40.3,40.85
04-08-2021,40.25,41.75,39.25,39.5
05-08-2021,41.45,41.45,39.9,41.45
06-08-2021,41.4,43.5,41.0,43.0
09-08-2021,44.8,44.8,41.05,42.2
10-08-2021,40.35,42.2,40.1,40.2
11-08-2021,40.1,40.1,38.2,39.25
12-08-2021,38.5,40.0,38.5,39.5
13-08-2021,39.6,41.45,39.0,40.9
16-08-2021,40.2,41.95,39.2,40.35
17-08-2021,41.0,41.0,39.1,39.4
18-08-2021,39.9,40.0,37.45,37.9
20-08-2021,36.9,37.45,36.05,36.2
23-08-2021,37.55,37.55,34.4,34.4
24-08-2021,34.4,36.1,34.1,36.1
25-08-2021,37.3,37.55,36.35,36.8
26-08-2021,38.55,38.6,37.4,38.3
27-08-2021,38.6,39.55,37.55,38.65
30-08-2021,38.6,38.75,37.15,37.45
31-08-2021,37.05,37.85,36.5,36.7
01-09-2021,36.1,37.8,36.0,37.3
02-09-2021,37.8,39.15,37.75,39.15
03-09-2021,39.85,40.75,38.55,39.05
06-09-2021,39.85,41.0,38.0,40.9
07-09-2021,40.2,40.5,39.2,39.5
08-09-2021,39.55,39.95,38.6,39.45
09-09-2021,39.45,40.55,39.05,39.95
13-09-2021,39.95,40.05,38.7,39.2
14-09-2021,39.3,39.95,38.7,38.95
15-09-2021,39.0,40.85,38.55,40.85
16-09-2021,42.2,42.85,41.7,42.85
17-09-2021,43.3,44.95,41.1,42.7
20-09-2021,41.8,44.8,41.8,44.45
21-09-2021,44.1,45.25,42.25,43.7
22-09-2021,44.0,45.85,44.0,45.85
23-09-2021,47.4,48.1,46.15,47.65
24-09-2021,47.95,49.0,45.8,46.25
27-09-2021,47.25,48.45,46.0,47.2
28-09-2021,47.0,47.8,45.7,46.3
29-09-2021,45.5,46.9,45.2,45.9
30-09-2021,45.9,46.35,44.8,45.35
01-10-2021,45.35,46.25,43.1,43.45
04-10-2021,43.5,45.6,43.2,45.6
05-10-2021,46.45,47.6,45.0,45.7
06-10-2021,46.3,46.45,44.2,44.7
07-10-2021,45.7,46.9,45.1,46.9
08-10-2021,47.75,48.6,47.1,47.95
11-10-2021,48.5,48.5,45.7,46.1
12-10-2021,46.4,46.8,44.75,45.05
13-10-2021,45.6,46.5,44.5,44.7
14-10-2021,45.5,45.5,43.25,43.95
18-10-2021,45.75,46.1,44.0,44.45
19-10-2021,45.45,45.45,42.25,42.3
20-10-2021,42.6,43.1,40.2,40.8
21-10-2021,38.8,42.8,38.8,41.9
22-10-2021,42.9,43.95,41.0,42.05
25-10-2021,42.9,42.9,39.95,41.55
26-10-2021,41.0,43.15,41.0,42.9
27-10-2021,43.7,45.0,42.5,44.0
28-10-2021,44.0,45.8,43.5,44.05
29-10-2021,44.55,44.9,42.25,43.7
01-11-2021,44.15,45.4,43.85,44.85
02-11-2021,44.9,46.4,43.8,45.05
03-11-2021,44.95,46.2,44.75,45.15
04-11-2021,45.85,46.8,45.8,46.45
08-11-2021,47.0,48.75,46.55,48.75
09-11-2021,49.2,51.15,49.0,51.15
10-11-2021,53.0,53.7,52.0,53.65
11-11-2021,54.5,54.9,51.0,51.6
12-11-2021,51.8,52.5,49.6,49.85
15-11-2021,51.2,51.55,47.5,48.05
16-11-2021,47.6,50.45,47.15,49.1
17-11-2021,48.7,50.7,48.35,49.65
18-11-2021,49.8,50.25,47.2,48.2
22-11-2021,48.5,48.55,45.8,45.85
23-11-2021,45.8,47.0,44.7,46.2
24-11-2021,46.7,48.5,46.5,47.8
25-11-2021,48.25,49.5,46.25,48.05
26-11-2021,47.6,47.85,46.05,46.15
29-11-2021,46.0,46.9,44.0,44.3
30-11-2021,44.8,46.4,44.25,44.95
01-12-2021,45.5,46.0,44.45,45.05
02-12-2021,44.7,46.0,44.7,45.05
03-12-2021,44.9,46.7,43.6,44.15
06-12-2021,44.15,45.6,43.15,43.85
07-12-2021,44.7,45.2,44.0,44.75
08-12-2021,45.2,47.7,45.0,46.85
09-12-2021,47.25,47.5,45.5,46.65
10-12-2021,46.85,50.4,46.15,48.8
13-12-2021,49.65,53.2,49.6,52.2
14-12-2021,52.9,53.5,51.0,51.6
15-12-2021,51.8,52.85,50.6,51.05
16-12-2021,51.45,52.0,50.65,51.15
17-12-2021,51.55,51.65,46.5,47.25
20-12-2021,47.0,47.0,43.55,44.1
21-12-2021,44.95,46.6,44.8,45.5
22-12-2021,46.0,47.7,45.5,46.8
23-12-2021,47.15,48.5,47.15,47.8
24-12-2021,48.1,51.0,47.5,48.7
