date,open,high,low,close
22-07-2019,66.7,67.3,65.5,67.1
23-07-2019,67.2,67.95,66.05,66.25
24-07-2019,66.4,66.6,63.0,63.85
25-07-2019,64.0,64.3,61.25,61.55
26-07-2019,61.3,63.15,60.95,62.3
29-07-2019,62.35,63.25,61.15,61.4
30-07-2019,61.95,61.95,58.4,58.9
31-07-2019,58.9,60.8,57.85,60.55
01-08-2019,60.3,60.85,58.5,59.75
02-08-2019,58.9,60.45,57.75,59.15
05-08-2019,58.5,58.95,57.35,57.9
06-08-2019,58.05,59.95,58.05,59.3
07-08-2019,59.4,60.2,58.65,59.05
08-08-2019,59.2,59.45,57.15,57.75
09-08-2019,58.2,59.7,56.75,57.5
13-08-2019,58.0,58.0,55.4,55.75
14-08-2019,56.3,56.4,54.7,55.5
16-08-2019,55.6,56.35,54.05,56.1
19-08-2019,56.15,58.1,56.15,57.25
20-08-2019,57.25,57.45,54.05,56.0
21-08-2019,56.0,56.0,50.35,51.1
22-08-2019,51.4,55.75,50.95,53.4
23-08-2019,53.45,55.8,52.2,54.5
26-08-2019,54.85,56.45,53.85,55.95
27-08-2019,56.1,56.7,55.1,55.35
28-08-2019,55.4,55.85,53.75,55.45
29-08-2019,54.85,55.95,54.4,55.5
30-08-2019,55.5,57.0,55.0,56.75
03-09-2019,55.1,56.15,53.7,53.85
04-09-2019,53.9,54.6,53.0,54.1
05-09-2019,54.1,55.7,53.9,55.3
06-09-2019,56.0,59.25,55.2,58.2
09-09-2019,58.9,61.75,57.75,60.4
11-09-2019,59.0,61.7,59.0,61.2
12-09-2019,62.0,65.1,61.65,63.9
13-09-2019,64.25,64.75,62.5,64.3
16-09-2019,63.8,64.5,63.2,64.4
17-09-2019,64.6,64.65,63.5,63.95
18-09-2019,64.05,64.5,63.05,64.05
19-09-2019,64.1,65.1,63.6,64.75
20-09-2019,65.15,68.5,64.1,67.05
23-09-2019,67.75,68.85,65.65,67.2
24-09-2019,67.7,67.95,65.35,66.4
25-09-2019,65.4,65.95,62.85,63.8
26-09-2019,64.1,64.25,62.8,63.65
27-09-2019,63.7,64.0,61.9,62.1
30-09-2019,62.5,62.8,61.0,62.5
01-10-2019,62.5,62.85,58.75,59.35
03-10-2019,58.95,59.75,58.6,59.35
04-10-2019,59.8,59.95,57.8,58.0
07-10-2019,58.25,59.0,56.75,58.2
09-10-2019,58.5,61.75,58.05,61.45
10-10-2019,61.1,62.1,60.4,61.6
11-10-2019,62.0,62.0,60.7,61.1
14-10-2019,60.75,61.6,59.55,59.8
15-10-2019,60.0,60.3,59.15,59.75
16-10-2019,60.0,60.05,57.8,58.1
17-10-2019,58.15,60.2,57.6,59.85
18-10-2019,60.0,60.5,59.2,59.95
22-10-2019,59.85,60.7,58.85,59.2
23-10-2019,59.55,62.25,59.25,61.1
24-10-2019,61.5,61.5,58.5,59.15
25-10-2019,59.65,59.65,57.25,57.6
27-10-2019,58.45,58.6,57.65,58.15
29-10-2019,58.5,59.3,57.9,58.45
30-10-2019,58.7,59.0,58.25,58.6
31-10-2019,58.9,59.7,58.4,59.3
01-11-2019,59.6,60.3,59.15,59.5
04-11-2019,59.75,60.8,59.2,59.7
05-11-2019,60.1,60.15,58.45,58.7
06-11-2019,58.7,59.25,57.9,58.9
07-11-2019,59.4,59.4,57.5,58.75
08-11-2019,59.55,60.35,58.65,59.55
11-11-2019,60.8,60.8,56.6,57.5
13-11-2019,57.85,57.95,55.05,55.4
14-11-2019,55.3,55.95,54.35,54.65
15-11-2019,55.0,55.45,54.2,54.5
18-11-2019,54.5,56.6,54.5,55.95
19-11-2019,56.0,56.3,55.35,55.75
20-11-2019,55.65,55.85,55.1,55.4
21-11-2019,55.35,56.2,54.55,54.85
22-11-2019,55.2,55.75,54.7,55.15
25-11-2019,55.15,56.1,55.15,55.95
26-11-2019,56.25,57.1,55.4,56.65
27-11-2019,57.0,57.5,56.55,56.8
28-11-2019,56.6,56.8,55.7,56.45
29-11-2019,56.8,58.95,56.55,57.35
02-12-2019,57.35,57.4,55.55,56.35
03-12-2019,56.5,56.5,55.0,55.45
04-12-2019,55.0,56.15,54.9,55.85
05-12-2019,56.15,56.15,55.25,55.8
06-12-2019,57.35,57.35,53.2,53.5
09-12-2019,53.5,54.65,52.25,52.45
10-12-2019,52.7,53.75,51.05,51.4
11-12-2019,51.15,53.1,51.15,52.8
12-12-2019,52.7,53.75,52.55,53.35
13-12-2019,53.6,54.6,52.9,54.0
16-12-2019,54.15,55.55,54.05,55.0
17-12-2019,55.0,56.2,54.65,56.05
18-12-2019,56.25,56.25,54.8,55.5
19-12-2019,54.95,56.05,54.55,55.7
20-12-2019,55.65,56.1,55.25,55.45
23-12-2019,55.0,56.0,55.0,55.75
24-12-2019,56.45,56.65,55.75,56.1
26-12-2019,56.0,56.55,55.0,55.15
27-12-2019,55.3,56.3,55.3,56.1
30-12-2019,55.9,56.7,55.7,56.45
31-12-2019,56.5,56.9,56.3,56.5
01-01-2020,56.8,57.85,56.65,57.6
02-01-2020,57.9,58.15,56.8,58.0
03-01-2020,58.0,58.55,57.3,57.75
06-01-2020,57.05,57.5,55.95,56.75
07-01-2020,57.1,57.55,56.05,56.6
08-01-2020,56.0,56.75,55.7,56.25
09-01-2020,56.55,58.2,56.55,57.8
10-01-2020,57.75,59.5,57.35,58.95
13-01-2020,59.2,59.85,58.85,59.4
14-01-2020,59.5,60.35,59.2,60.2
15-01-2020,60.3,61.1,59.9,60.9
16-01-2020,61.1,61.35,60.35,61.0
17-01-2020,61.1,62.1,60.8,61.55
20-01-2020,61.55,61.7,59.9,60.25
21-01-2020,59.6,60.3,59.35,59.55
22-01-2020,59.9,60.0,58.9,59.15
23-01-2020,59.0,60.25,58.9,60.15
24-01-2020,60.0,61.95,59.75,61.2
27-01-2020,60.8,62.0,60.35,60.7
28-01-2020,60.7,61.8,60.25,60.75
29-01-2020,61.35,62.0,60.4,60.9
30-01-2020,60.65,61.55,59.0,60.3
31-01-2020,60.5,60.6,57.6,58.1
01-02-2020,57.8,58.4,54.65,55.25
03-02-2020,55.1,56.4,54.65,54.9
04-02-2020,55.3,56.8,54.6,56.4
05-02-2020,56.9,57.35,56.15,57.2
06-02-2020,57.05,58.2,56.85,57.7
