date,open,high,low,close
22-07-2019,11.1,11.8,11.1,11.2
23-07-2019,11.5,11.7,11.1,11.1
24-07-2019,11.15,11.65,11.1,11.1
25-07-2019,11.55,11.55,11.1,11.3
26-07-2019,11.2,11.75,11.1,11.3
29-07-2019,11.95,11.95,10.95,11.2
30-07-2019,11.05,11.45,10.6,11.0
31-07-2019,10.9,11.5,10.3,10.7
01-08-2019,10.45,11.85,9.4,10.25
02-08-2019,11.0,11.0,9.3,10.3
05-08-2019,10.05,10.4,9.25,9.85
06-08-2019,9.6,10.55,9.3,10.1
07-08-2019,10.0,10.4,10.0,10.1
08-08-2019,10.8,10.8,9.95,10.0
09-08-2019,10.8,10.85,10.1,10.7
13-08-2019,10.75,10.75,9.45,9.8
14-08-2019,10.4,10.65,9.65,10.15
16-08-2019,10.05,10.45,9.95,10.05
19-08-2019,10.1,10.6,9.6,10.0
20-08-2019,10.0,10.1,9.25,9.75
21-08-2019,9.65,9.95,9.2,9.5
22-08-2019,9.35,9.8,9.1,9.35
23-08-2019,9.55,9.8,9.05,9.55
26-08-2019,10.35,10.7,9.25,10.4
27-08-2019,10.2,10.8,9.95,10.3
28-08-2019,10.55,11.0,10.2,10.45
29-08-2019,10.1,10.45,9.8,10.05
30-08-2019,9.95,10.4,9.95,10.2
03-09-2019,10.0,10.4,9.5,10.3
04-09-2019,10.25,10.3,10.0,10.1
05-09-2019,10.0,10.5,9.6,10.25
06-09-2019,10.7,10.8,10.05,10.55
09-09-2019,10.7,10.85,10.3,10.5
11-09-2019,10.65,11.2,10.5,10.95
12-09-2019,11.0,11.6,10.35,10.95
13-09-2019,10.6,10.6,10.1,10.45
16-09-2019,10.3,10.9,9.55,10.75
17-09-2019,10.65,10.95,10.1,10.3
18-09-2019,10.35,10.9,10.0,10.2
19-09-2019,10.15,10.3,10.0,10.0
20-09-2019,10.15,10.4,9.75,10.2
23-09-2019,10.05,10.75,10.05,10.6
24-09-2019,10.5,11.85,10.35,10.75
25-09-2019,10.85,10.9,10.25,10.35
26-09-2019,10.8,11.0,10.4,10.65
27-09-2019,10.7,10.8,10.4,10.45
30-09-2019,10.25,10.9,10.0,10.45
01-10-2019,10.3,10.85,9.9,10.0
03-10-2019,9.95,10.5,9.55,10.0
04-10-2019,9.9,10.45,9.2,9.65
07-10-2019,9.55,10.35,9.5,9.8
09-10-2019,9.8,10.3,9.3,9.85
10-10-2019,9.85,10.0,9.3,9.8
11-10-2019,10.25,10.3,9.1,9.55
14-10-2019,9.55,9.75,9.1,9.3
15-10-2019,10.0,10.05,9.05,9.3
16-10-2019,9.75,9.75,9.05,9.35
17-10-2019,9.65,9.65,9.1,9.35
18-10-2019,9.35,9.65,9.3,9.3
22-10-2019,9.5,9.8,9.1,9.3
23-10-2019,9.75,9.75,9.15,9.25
24-10-2019,9.8,9.8,8.75,8.95
25-10-2019,9.65,9.65,8.5,8.8
27-10-2019,9.0,9.25,8.3,8.75
29-10-2019,9.3,9.3,9.0,9.1
30-10-2019,9.7,9.7,9.1,9.2
31-10-2019,9.3,9.9,9.1,9.25
01-11-2019,9.8,9.8,9.1,9.35
04-11-2019,9.35,9.5,9.2,9.45
05-11-2019,9.9,9.9,8.65,9.05
06-11-2019,8.95,9.35,8.5,9.05
07-11-2019,9.7,9.7,9.05,9.05
08-11-2019,9.45,9.45,9.05,9.05
11-11-2019,8.95,9.35,8.4,9.0
13-11-2019,8.9,8.9,8.5,8.75
14-11-2019,9.15,9.15,8.4,8.6
15-11-2019,8.95,8.95,8.4,8.65
18-11-2019,9.0,9.0,8.35,8.55
19-11-2019,8.75,8.75,7.85,8.05
20-11-2019,8.15,8.6,7.85,7.95
21-11-2019,8.4,8.4,7.95,8.0
22-11-2019,9.3,9.3,7.5,7.9
25-11-2019,8.3,8.35,7.65,7.95
26-11-2019,7.8,8.1,7.75,8.0
27-11-2019,7.8,8.2,7.8,7.95
28-11-2019,8.0,8.1,7.7,7.9
29-11-2019,7.8,8.05,7.75,7.75
02-12-2019,8.1,8.1,7.55,7.8
03-12-2019,7.7,7.85,7.25,7.65
04-12-2019,7.95,7.95,7.3,7.4
05-12-2019,7.9,7.9,6.85,7.05
06-12-2019,8.45,8.45,8.45,8.45
09-12-2019,10.1,10.1,10.1,10.1
10-12-2019,11.4,12.1,10.95,12.1
11-12-2019,12.9,13.3,11.05,11.3
12-12-2019,10.9,10.9,10.2,10.3
13-12-2019,9.9,10.3,9.35,9.55
16-12-2019,9.75,10.0,9.75,10.0
17-12-2019,10.5,10.5,10.2,10.5
18-12-2019,10.85,10.85,10.0,10.0
19-12-2019,9.95,9.95,9.6,9.75
20-12-2019,9.35,10.0,9.35,9.6
23-12-2019,9.85,9.85,9.25,9.3
24-12-2019,9.3,9.4,8.9,9.05
26-12-2019,9.35,9.35,8.6,8.65
27-12-2019,8.7,9.05,8.7,8.75
30-12-2019,8.95,8.95,8.45,8.55
31-12-2019,8.35,8.8,8.35,8.65
01-01-2020,8.4,8.6,8.35,8.45
02-01-2020,8.35,8.7,8.3,8.45
03-01-2020,8.35,8.7,8.35,8.6
06-01-2020,8.25,9.0,8.25,8.95
07-01-2020,8.95,8.95,8.55,8.8
08-01-2020,8.45,9.05,8.4,8.7
09-01-2020,8.7,8.7,8.5,8.5
10-01-2020,8.9,8.9,8.4,8.55
13-01-2020,8.55,8.85,8.45,8.55
14-01-2020,8.55,8.95,8.4,8.5
15-01-2020,8.3,8.75,8.3,8.55
16-01-2020,8.9,8.9,8.2,8.45
17-01-2020,8.2,8.85,8.2,8.55
20-01-2020,8.35,8.55,8.3,8.45
21-01-2020,8.75,8.75,8.3,8.45
22-01-2020,8.25,8.6,8.25,8.45
23-01-2020,8.65,8.65,8.25,8.3
24-01-2020,8.25,8.5,8.2,8.3
27-01-2020,8.15,8.45,8.15,8.25
28-01-2020,8.3,8.5,8.05,8.05
29-01-2020,8.35,8.4,8.05,8.2
30-01-2020,8.4,8.4,8.05,8.1
31-01-2020,8.45,8.45,7.9,7.95
01-02-2020,7.8,8.1,7.8,8.0
03-02-2020,8.0,8.1,7.6,7.75
04-02-2020,7.75,7.9,7.4,7.4
05-02-2020,7.4,7.7,7.2,7.35
06-02-2020,7.7,7.7,7.05,7.35
07-02-2020,7.0,7.5,7.0,7.15
10-02-2020,7.05,7.4,6.55,7.25
11-02-2020,7.35,7.6,7.0,7.2
12-02-2020,7.8,7.8,6.9,7.0
13-02-2020,7.3,7.3,6.5,6.85
14-02-2020,6.7,7.0,6.7,6.95
17-02-2020,6.4,6.95,6.4,6.45
18-02-2020,6.35,6.7,6.0,6.35
