date,open,high,low,close
22-07-2019,64.0,68.3,60.0,67.65
23-07-2019,67.8,70.4,66.8,67.75
24-07-2019,67.8,67.8,64.2,64.35
25-07-2019,64.35,65.5,59.15,62.7
26-07-2019,62.6,64.8,61.8,64.0
29-07-2019,63.5,64.0,63.0,63.55
30-07-2019,63.5,63.9,58.9,59.55
31-07-2019,59.4,61.9,58.75,60.35
01-08-2019,58.9,59.0,57.7,57.75
02-08-2019,57.5,59.5,57.35,58.85
05-08-2019,57.95,60.0,56.5,59.3
06-08-2019,60.5,61.4,58.25,59.85
07-08-2019,60.2,63.3,59.2,61.6
08-08-2019,61.2,64.75,61.1,63.65
09-08-2019,64.95,68.05,63.0,67.35
13-08-2019,69.8,71.4,67.0,67.95
14-08-2019,68.2,73.6,68.2,72.4
16-08-2019,73.95,78.85,72.05,77.25
19-08-2019,78.5,80.0,76.0,78.75
20-08-2019,80.0,80.85,78.5,80.1
21-08-2019,79.95,82.65,76.35,78.7
22-08-2019,77.5,78.5,75.6,77.25
23-08-2019,77.5,81.1,76.0,79.5
26-08-2019,80.9,83.45,80.0,83.45
27-08-2019,85.55,86.5,84.1,85.1
28-08-2019,86.0,86.0,84.4,85.6
29-08-2019,85.6,87.0,84.15,85.3
30-08-2019,85.95,87.25,83.75,84.05
03-09-2019,88.25,88.25,83.4,85.4
04-09-2019,85.5,86.0,81.15,84.05
05-09-2019,84.05,85.5,83.3,84.45
06-09-2019,85.25,86.0,82.65,85.0
09-09-2019,84.5,85.5,81.25,82.45
11-09-2019,84.4,85.5,82.7,85.1
12-09-2019,85.1,87.4,83.7,86.55
13-09-2019,86.55,87.0,84.15,85.0
16-09-2019,85.05,85.6,81.3,83.2
17-09-2019,82.85,83.2,81.7,82.5
18-09-2019,82.55,84.1,78.4,79.7
19-09-2019,80.0,80.55,75.75,78.0
20-09-2019,76.0,81.9,76.0,79.55
23-09-2019,83.25,83.5,80.5,82.45
24-09-2019,83.45,83.45,81.1,82.9
25-09-2019,83.45,83.45,79.55,79.75
26-09-2019,81.5,83.7,77.8,82.5
27-09-2019,82.5,85.5,81.45,82.45
30-09-2019,82.25,82.4,78.35,78.35
01-10-2019,74.75,78.7,74.75,77.0
03-10-2019,77.25,80.85,76.0,80.0
04-10-2019,81.9,82.25,78.15,79.1
07-10-2019,79.9,83.05,78.0,82.7
09-10-2019,84.25,84.25,78.5,80.0
10-10-2019,80.4,80.4,75.5,78.15
11-10-2019,79.5,80.6,76.7,78.9
14-10-2019,79.95,79.95,77.9,78.35
15-10-2019,79.35,79.9,75.7,77.1
16-10-2019,77.0,86.8,76.75,80.0
17-10-2019,81.5,82.0,78.5,79.85
18-10-2019,79.85,82.0,78.65,80.15
22-10-2019,80.15,81.8,79.2,79.75
23-10-2019,79.75,81.0,77.95,78.35
24-10-2019,78.35,79.5,78.35,78.95
25-10-2019,78.8,79.45,77.9,78.7
27-10-2019,84.5,84.5,78.05,79.45
29-10-2019,79.0,81.6,78.35,79.55
30-10-2019,79.6,80.9,78.4,79.35
31-10-2019,80.4,84.4,79.4,81.1
01-11-2019,81.5,83.0,80.15,80.45
04-11-2019,82.35,83.45,79.0,82.95
05-11-2019,83.0,83.0,80.1,80.6
06-11-2019,81.65,81.75,76.35,79.25
07-11-2019,79.6,82.85,79.6,82.05
08-11-2019,81.85,90.45,81.5,83.6
11-11-2019,84.65,85.0,82.5,83.65
13-11-2019,84.4,85.8,80.1,80.4
14-11-2019,80.2,83.7,80.2,82.5
15-11-2019,82.5,83.9,81.15,82.05
18-11-2019,82.3,84.1,80.5,81.0
19-11-2019,82.0,82.4,80.5,81.05
20-11-2019,80.8,81.6,80.25,80.7
21-11-2019,80.7,82.1,78.3,78.5
22-11-2019,79.8,80.15,77.6,78.45
25-11-2019,79.1,79.1,77.45,77.55
26-11-2019,77.6,79.7,77.4,77.5
27-11-2019,77.75,78.6,77.25,77.6
28-11-2019,77.7,79.0,75.0,76.95
29-11-2019,77.55,78.8,75.8,77.8
02-12-2019,78.3,79.0,76.5,78.75
