date,open,high,low,close
22-07-2019,4.4,4.7,4.4,4.65
23-07-2019,4.45,4.7,4.4,4.5
24-07-2019,4.45,4.7,4.35,4.4
25-07-2019,4.2,4.4,4.2,4.3
26-07-2019,4.4,4.45,4.4,4.4
29-07-2019,4.3,4.4,4.3,4.4
30-07-2019,4.2,4.4,4.2,4.2
31-07-2019,4.05,4.25,4.05,4.2
01-08-2019,4.25,4.25,4.25,4.25
02-08-2019,4.05,4.4,4.05,4.05
05-08-2019,3.85,3.85,3.85,3.85
06-08-2019,3.7,4.05,3.7,3.75
07-08-2019,3.75,3.75,3.6,3.6
08-08-2019,3.75,3.75,3.5,3.65
09-08-2019,3.65,3.85,3.45,3.75
13-08-2019,3.8,3.8,3.55,3.65
14-08-2019,3.5,3.85,3.45,3.65
16-08-2019,3.65,3.65,3.45,3.6
19-08-2019,3.45,3.75,3.45,3.65
20-08-2019,3.45,3.85,3.45,3.6
21-08-2019,3.75,3.75,3.55,3.6
22-08-2019,3.75,3.75,3.45,3.55
23-08-2019,3.5,3.65,3.4,3.45
26-08-2019,3.6,3.6,3.6,3.6
27-08-2019,3.45,3.7,3.45,3.45
28-08-2019,3.6,3.6,3.45,3.6
29-08-2019,3.75,3.75,3.75,3.75
30-08-2019,3.9,3.9,3.55,3.9
03-09-2019,3.9,4.1,3.9,4.1
04-09-2019,4.15,4.3,4.15,4.25
05-09-2019,4.1,4.2,4.05,4.05
06-09-2019,3.85,4.25,3.85,4.2
09-09-2019,4.0,4.15,4.0,4.15
11-09-2019,4.35,4.35,3.95,4.0
12-09-2019,3.85,4.15,3.85,3.85
13-09-2019,3.75,4.0,3.65,3.8
16-09-2019,3.9,3.9,3.6,3.75
17-09-2019,3.75,3.85,3.6,3.65
18-09-2019,3.65,3.85,3.6,3.8
19-09-2019,3.85,3.95,3.65,3.85
20-09-2019,3.7,4.0,3.7,3.85
23-09-2019,4.05,4.05,3.7,3.7
24-09-2019,3.55,3.85,3.55,3.6
25-09-2019,3.6,3.6,3.6,3.6
26-09-2019,3.6,3.75,3.6,3.75
27-09-2019,3.75,3.85,3.55,3.55
30-09-2019,3.6,3.65,3.4,3.45
01-10-2019,3.45,3.6,3.35,3.5
03-10-2019,3.35,3.65,3.35,3.65
04-10-2019,3.85,3.85,3.5,3.65
07-10-2019,3.65,3.65,3.45,3.65
09-10-2019,3.55,3.9,3.35,3.35
10-10-2019,3.7,3.7,3.35,3.65
11-10-2019,3.65,3.85,3.35,3.85
14-10-2019,4.2,4.2,3.8,3.9
15-10-2019,3.9,3.9,3.75,3.8
16-10-2019,3.4,3.95,3.4,3.75
17-10-2019,3.45,3.85,3.45,3.65
18-10-2019,3.65,3.75,3.35,3.65
22-10-2019,3.35,3.8,3.3,3.45
23-10-2019,3.45,3.6,3.35,3.6
24-10-2019,3.3,3.6,3.3,3.55
25-10-2019,3.55,3.55,3.55,3.55
27-10-2019,3.6,3.85,3.25,3.3
29-10-2019,3.35,3.6,3.05,3.6
30-10-2019,3.6,3.8,3.6,3.65
31-10-2019,3.7,3.7,3.65,3.65
01-11-2019,3.7,3.95,3.7,3.75
04-11-2019,3.55,3.95,3.55,3.7
05-11-2019,3.65,4.05,3.65,3.65
06-11-2019,3.45,3.85,3.35,3.5
07-11-2019,3.5,3.85,3.5,3.8
08-11-2019,4.1,4.1,3.5,3.55
11-11-2019,3.55,3.85,3.4,3.85
13-11-2019,3.6,3.85,3.6,3.85
14-11-2019,3.85,3.85,3.45,3.8
15-11-2019,3.65,3.75,3.6,3.6
18-11-2019,3.85,3.85,3.6,3.6
19-11-2019,3.85,3.9,3.55,3.6
20-11-2019,3.9,3.9,3.75,3.85
21-11-2019,3.6,3.9,3.55,3.6
22-11-2019,3.8,3.8,3.55,3.6
25-11-2019,3.6,3.9,3.35,3.6
26-11-2019,3.6,3.75,3.35,3.75
27-11-2019,3.65,3.75,3.4,3.55
28-11-2019,3.3,3.75,3.3,3.45
