date,open,high,low,close
22-07-2019,1104.4,1131.25,1075.0,1123.05
23-07-2019,1125.0,1132.1,1088.95,1106.4
24-07-2019,1105.9,1105.9,1075.0,1079.85
25-07-2019,1088.5,1120.0,1073.15,1106.75
26-07-2019,1110.0,1125.0,1087.4,1120.0
29-07-2019,1121.0,1144.95,1110.0,1136.75
30-07-2019,1139.95,1139.95,1071.25,1078.95
31-07-2019,1078.85,1129.0,1072.5,1099.55
01-08-2019,1096.1,1103.0,1081.05,1099.3
02-08-2019,1091.6,1100.0,1077.55,1092.15
05-08-2019,1084.5,1085.95,1018.25,1030.85
06-08-2019,1025.0,1074.35,1025.0,1062.95
07-08-2019,1060.0,1074.9,1035.05,1048.2
08-08-2019,1051.0,1129.0,1041.05,1087.75
09-08-2019,1099.0,1109.9,1061.55,1094.95
13-08-2019,1099.95,1099.95,1056.65,1062.9
14-08-2019,1069.9,1087.15,1050.3,1077.55
16-08-2019,1084.0,1084.1,1048.75,1057.45
19-08-2019,1065.95,1079.95,1052.25,1069.0
20-08-2019,1060.0,1067.95,1024.35,1028.7
21-08-2019,1036.0,1042.0,1020.2,1035.5
22-08-2019,1041.85,1047.85,1001.1,1014.4
23-08-2019,1016.0,1019.5,992.6,1012.2
26-08-2019,1029.0,1029.0,1001.0,1004.45
27-08-2019,1014.95,1039.45,999.8,1004.1
28-08-2019,1009.95,1022.95,1005.0,1013.4
29-08-2019,1019.2,1019.2,1000.0,1008.6
30-08-2019,1012.05,1013.95,991.1,994.4
03-09-2019,999.95,1007.35,985.0,998.75
04-09-2019,994.45,1002.95,994.45,999.9
05-09-2019,1002.0,1007.5,987.0,990.1
06-09-2019,988.1,1022.3,988.1,1007.35
09-09-2019,1007.45,1007.5,990.2,999.9
11-09-2019,1000.0,1019.8,1000.0,1012.95
12-09-2019,1017.25,1032.85,988.9,993.65
13-09-2019,993.25,1054.6,992.0,1034.35
16-09-2019,1032.95,1051.95,1012.0,1018.55
17-09-2019,1022.75,1024.05,1000.0,1005.05
18-09-2019,1007.95,1010.0,1003.0,1006.15
19-09-2019,1009.9,1009.9,994.0,998.4
20-09-2019,1001.65,1120.0,995.05,1097.55
23-09-2019,1123.95,1181.25,1103.1,1111.65
24-09-2019,1122.0,1159.0,1115.0,1140.15
25-09-2019,1149.0,1160.0,1114.0,1133.15
26-09-2019,1142.6,1159.95,1132.35,1153.9
27-09-2019,1153.9,1165.0,1146.05,1152.05
30-09-2019,1154.8,1156.95,1120.1,1127.9
01-10-2019,1125.0,1171.0,1117.95,1140.1
03-10-2019,1130.55,1153.0,1116.65,1137.85
04-10-2019,1145.4,1170.0,1121.3,1130.55
07-10-2019,1134.95,1135.4,1102.95,1110.8
09-10-2019,1103.05,1148.9,1085.0,1140.5
10-10-2019,1135.05,1140.1,1108.0,1120.2
11-10-2019,1126.0,1128.0,1100.8,1121.05
14-10-2019,1126.0,1137.0,1109.5,1116.05
15-10-2019,1112.6,1130.5,1108.0,1116.35
16-10-2019,1119.9,1119.9,1092.05,1104.75
17-10-2019,1100.25,1121.0,1100.25,1109.15
18-10-2019,1103.1,1128.0,1102.0,1120.1
22-10-2019,1127.9,1155.0,1123.8,1139.4
23-10-2019,1142.95,1142.95,1130.1,1135.3
24-10-2019,1143.0,1153.35,1100.0,1104.1
25-10-2019,1100.1,1105.0,1090.0,1095.2
27-10-2019,1100.0,1108.5,1080.0,1094.7
29-10-2019,1091.0,1127.0,1085.15,1112.55
30-10-2019,1120.0,1140.0,1105.45,1120.75
31-10-2019,1136.95,1136.95,1111.05,1128.85
01-11-2019,1138.0,1169.5,1124.0,1158.0
04-11-2019,1171.1,1171.1,1141.55,1155.95
05-11-2019,1145.0,1158.7,1135.05,1144.25
06-11-2019,1149.95,1149.95,1124.0,1128.8
07-11-2019,1130.0,1133.55,1092.4,1100.25
08-11-2019,1097.5,1115.4,1085.1,1087.85
11-11-2019,1096.85,1100.0,1088.95,1094.0
13-11-2019,1094.0,1100.0,1061.2,1071.4
14-11-2019,1070.55,1086.0,1063.8,1069.4
15-11-2019,1080.2,1088.4,1041.0,1050.0
18-11-2019,1055.0,1064.95,1026.35,1030.25
19-11-2019,1025.2,1048.0,1025.2,1043.1
20-11-2019,1055.0,1055.9,1015.7,1026.5
21-11-2019,1026.0,1029.9,1010.0,1012.45
22-11-2019,1012.45,1014.85,999.0,1007.2
25-11-2019,1017.1,1017.1,992.1,999.55
26-11-2019,1006.8,1023.4,980.1,992.0
27-11-2019,995.35,1013.9,979.55,1001.55
28-11-2019,1008.0,1014.4,996.1,1001.6
29-11-2019,1001.0,1040.0,995.0,1026.7
02-12-2019,1026.0,1026.0,1001.9,1008.1
03-12-2019,1000.0,1017.65,997.0,999.9
04-12-2019,999.1,1010.45,975.2,982.35
05-12-2019,985.0,999.0,983.1,991.15
