date,open,high,low,close
15-09-2022,495.0,515.0,481.0,509.65
16-09-2022,505.0,505.0,492.6,493.7
19-09-2022,494.75,499.0,489.0,497.15
20-09-2022,497.15,509.9,490.0,493.45
21-09-2022,495.0,505.0,490.0,493.2
22-09-2022,493.2,499.0,492.6,493.7
23-09-2022,495.95,496.35,486.5,490.1
26-09-2022,489.95,489.95,478.25,482.3
27-09-2022,488.0,488.0,480.0,480.95
28-09-2022,480.95,483.3,475.0,476.4
29-09-2022,487.5,489.8,476.1,481.65
30-09-2022,481.65,484.0,475.05,478.45
03-10-2022,482.55,483.45,473.5,474.5
04-10-2022,476.95,482.35,471.5,473.45
06-10-2022,479.1,482.65,474.8,480.25
07-10-2022,482.0,482.0,475.0,476.65
10-10-2022,480.0,480.0,470.0,470.9
11-10-2022,471.0,476.45,469.0,469.7
12-10-2022,468.0,471.05,464.45,467.0
13-10-2022,468.0,469.65,463.55,465.45
14-10-2022,467.85,474.85,465.0,466.15
17-10-2022,468.0,494.6,465.0,475.65
18-10-2022,479.3,490.0,476.35,486.05
19-10-2022,486.5,502.0,483.95,498.4
20-10-2022,500.0,500.0,481.1,485.35
21-10-2022,486.0,494.4,481.0,483.15
24-10-2022,494.0,494.0,483.5,490.15
25-10-2022,492.0,493.4,484.05,487.15
27-10-2022,488.0,537.65,487.15,514.35
28-10-2022,522.0,525.0,498.05,507.75
31-10-2022,510.95,513.95,501.0,503.0
01-11-2022,503.5,511.0,503.35,504.95
02-11-2022,503.0,504.95,493.6,494.65
03-11-2022,494.65,514.6,492.4,502.5
04-11-2022,502.5,511.45,501.0,505.85
07-11-2022,511.45,526.9,506.45,509.9
09-11-2022,512.0,518.6,506.15,508.5
10-11-2022,509.0,511.95,500.15,506.95
11-11-2022,512.0,516.5,491.55,501.95
14-11-2022,504.0,508.2,500.0,503.75
15-11-2022,503.5,507.45,502.8,504.0
16-11-2022,508.0,509.5,500.0,502.15
17-11-2022,500.15,510.5,500.15,509.8
18-11-2022,509.45,514.3,505.0,510.6
21-11-2022,512.75,525.0,508.1,510.0
22-11-2022,509.0,513.6,506.1,508.65
23-11-2022,512.9,512.9,505.0,507.3
24-11-2022,512.4,512.4,505.05,507.2
25-11-2022,508.45,518.1,505.0,510.05
