date,open,high,low,close
23-07-2019,422.0,423.95,415.0,419.45
24-07-2019,418.0,420.9,400.05,415.15
25-07-2019,412.0,418.9,403.05,409.55
26-07-2019,409.55,411.0,403.0,407.75
29-07-2019,405.25,409.6,398.05,404.05
30-07-2019,406.1,414.0,391.8,401.15
31-07-2019,408.9,408.9,394.0,397.65
01-08-2019,405.0,427.2,402.0,421.2
02-08-2019,419.9,449.0,410.1,443.15
05-08-2019,436.9,454.0,427.7,445.05
06-08-2019,449.45,452.75,442.3,444.2
07-08-2019,447.0,450.0,436.0,437.85
08-08-2019,438.0,441.9,430.05,433.85
09-08-2019,435.9,454.0,432.05,447.05
13-08-2019,451.5,454.45,445.0,448.6
14-08-2019,450.0,451.4,440.9,444.0
16-08-2019,446.4,476.6,440.3,467.3
19-08-2019,468.4,474.95,460.55,471.7
20-08-2019,474.85,478.95,469.2,475.7
21-08-2019,476.9,489.25,468.85,471.15
22-08-2019,474.75,478.0,465.0,469.85
23-08-2019,471.45,482.35,462.15,474.8
26-08-2019,480.0,485.0,468.0,474.8
27-08-2019,477.8,483.8,471.2,472.1
28-08-2019,476.85,482.0,472.05,475.2
29-08-2019,478.65,486.0,466.5,469.25
30-08-2019,471.0,473.7,465.8,469.25
03-09-2019,468.7,470.7,445.1,450.9
04-09-2019,452.5,469.7,447.2,467.3
05-09-2019,467.3,471.95,459.15,462.1
06-09-2019,464.0,466.0,456.35,460.5
09-09-2019,460.0,461.9,456.55,459.85
11-09-2019,461.9,467.95,454.2,455.6
12-09-2019,460.95,474.5,455.0,456.3
13-09-2019,457.0,459.95,452.05,455.2
16-09-2019,454.2,458.0,447.0,449.0
17-09-2019,448.0,456.0,436.0,446.4
18-09-2019,449.6,466.85,446.65,462.9
19-09-2019,465.5,465.5,448.1,455.45
20-09-2019,454.3,491.6,451.0,489.8
23-09-2019,502.7,510.0,481.5,508.0
24-09-2019,515.0,523.55,509.0,515.4
25-09-2019,516.55,520.0,512.0,517.85
26-09-2019,515.15,529.0,504.0,509.4
27-09-2019,508.8,510.0,497.0,497.8
30-09-2019,497.3,502.75,476.0,483.9
01-10-2019,480.6,489.3,476.0,478.65
03-10-2019,481.5,500.0,481.1,499.6
04-10-2019,499.15,505.0,485.2,490.0
07-10-2019,490.9,491.95,478.0,488.15
09-10-2019,489.5,506.8,480.2,504.1
10-10-2019,505.8,506.45,494.1,497.9
