date,open,high,low,close
22-07-2019,5.45,5.45,5.2,5.3
23-07-2019,5.35,5.75,5.25,5.6
24-07-2019,5.6,5.8,5.55,5.75
25-07-2019,5.7,5.7,5.4,5.45
26-07-2019,5.45,5.6,5.3,5.5
29-07-2019,5.5,5.55,5.4,5.5
30-07-2019,5.5,5.5,5.3,5.35
31-07-2019,5.35,5.35,5.2,5.3
01-08-2019,5.3,5.45,5.3,5.4
02-08-2019,5.35,5.4,5.3,5.35
05-08-2019,5.5,5.65,5.45,5.5
06-08-2019,5.5,5.6,5.45,5.45
07-08-2019,5.5,5.6,5.5,5.6
08-08-2019,5.6,5.7,5.5,5.65
09-08-2019,5.7,5.8,5.6,5.65
13-08-2019,5.8,5.8,5.45,5.5
14-08-2019,5.5,5.65,5.4,5.55
16-08-2019,5.6,5.6,5.5,5.6
19-08-2019,5.55,5.8,5.55,5.75
20-08-2019,5.75,5.85,5.65,5.8
21-08-2019,5.75,5.8,5.65,5.7
22-08-2019,5.65,5.7,5.4,5.45
23-08-2019,5.4,5.6,5.35,5.5
26-08-2019,5.6,5.75,5.55,5.75
27-08-2019,5.8,5.9,5.75,5.85
28-08-2019,5.85,5.85,5.6,5.7
29-08-2019,5.6,5.65,5.5,5.55
30-08-2019,5.55,5.65,5.5,5.65
03-09-2019,5.6,5.6,5.5,5.55
04-09-2019,5.5,5.7,5.5,5.65
05-09-2019,5.65,5.7,5.65,5.65
06-09-2019,5.7,5.75,5.65,5.65
09-09-2019,5.65,5.95,5.6,5.85
11-09-2019,5.9,6.1,5.85,6.0
12-09-2019,6.05,6.25,6.0,6.05
13-09-2019,6.1,6.15,6.0,6.1
16-09-2019,6.05,6.35,6.0,6.25
17-09-2019,6.3,6.3,5.95,6.0
18-09-2019,6.0,6.05,5.8,5.95
19-09-2019,6.0,6.05,5.8,5.8
20-09-2019,5.8,6.15,5.75,6.05
23-09-2019,6.15,6.35,6.15,6.25
24-09-2019,6.3,6.3,6.15,6.2
25-09-2019,6.15,6.2,5.9,5.95
26-09-2019,5.95,6.05,5.9,5.95
27-09-2019,5.9,6.05,5.8,5.85
30-09-2019,5.9,5.95,5.75,5.9
01-10-2019,5.9,6.0,5.7,5.8
03-10-2019,5.8,5.85,5.65,5.7
04-10-2019,5.7,5.8,5.7,5.7
07-10-2019,5.7,5.75,5.6,5.65
09-10-2019,5.65,5.7,5.5,5.55
10-10-2019,5.55,5.6,5.5,5.55
11-10-2019,5.55,5.6,5.5,5.55
14-10-2019,5.6,5.65,5.5,5.55
15-10-2019,5.6,5.65,5.55,5.6
16-10-2019,5.6,5.65,5.55,5.6
17-10-2019,5.6,5.7,5.55,5.7
18-10-2019,5.7,6.1,5.7,6.05
22-10-2019,6.05,6.1,5.8,5.85
23-10-2019,5.8,6.0,5.8,5.95
24-10-2019,5.9,6.0,5.85,5.9
25-10-2019,5.9,6.0,5.85,5.9
