date,open,high,low,close
22-07-2019,530.0,540.0,515.0,518.1
23-07-2019,505.0,528.9,505.0,527.25
24-07-2019,513.55,537.0,505.25,508.65
25-07-2019,507.1,519.0,500.0,506.5
26-07-2019,506.5,515.0,502.35,505.1
29-07-2019,505.5,514.4,492.25,498.55
30-07-2019,500.0,514.0,492.25,497.15
31-07-2019,493.0,507.8,477.45,501.95
01-08-2019,505.0,510.05,475.0,501.95
02-08-2019,488.05,510.0,480.0,500.9
05-08-2019,490.45,536.0,488.0,512.3
06-08-2019,512.35,517.0,490.0,501.0
07-08-2019,496.0,509.0,493.0,495.0
08-08-2019,513.9,559.3,495.3,501.8
09-08-2019,503.0,530.0,485.0,493.7
13-08-2019,493.7,500.0,472.0,475.4
14-08-2019,480.0,494.9,473.0,488.25
16-08-2019,505.0,505.0,470.0,492.3
19-08-2019,489.85,489.9,470.0,472.4
20-08-2019,472.4,479.95,460.65,466.05
21-08-2019,464.0,470.0,446.1,452.95
22-08-2019,446.0,459.8,435.35,441.15
23-08-2019,431.3,465.95,420.0,442.8
26-08-2019,448.25,463.95,434.0,442.65
27-08-2019,443.75,463.0,443.2,460.75
28-08-2019,456.0,502.2,452.0,456.1
29-08-2019,452.1,492.9,452.1,467.75
30-08-2019,479.95,479.95,455.0,469.35
03-09-2019,469.35,474.95,458.0,458.55
04-09-2019,460.0,472.0,459.0,461.85
05-09-2019,461.9,468.0,452.0,453.3
06-09-2019,450.05,463.4,448.0,457.3
09-09-2019,463.0,469.95,458.0,467.75
11-09-2019,467.75,468.4,460.0,463.85
12-09-2019,473.9,478.0,463.85,469.6
13-09-2019,469.6,490.0,460.0,476.4
16-09-2019,475.0,489.8,470.0,476.4
17-09-2019,482.0,560.0,475.1,484.75
18-09-2019,488.0,490.0,476.0,480.6
19-09-2019,481.5,481.5,454.0,459.85
20-09-2019,454.4,497.7,454.4,492.4
23-09-2019,485.0,514.75,485.0,493.3
24-09-2019,493.0,503.4,484.5,490.15
25-09-2019,499.0,499.0,480.0,489.65
26-09-2019,489.65,489.65,466.05,475.8
27-09-2019,480.0,486.0,472.0,475.2
30-09-2019,500.0,500.0,450.05,456.3
01-10-2019,456.55,469.4,445.0,450.3
03-10-2019,452.05,459.35,441.2,453.95
04-10-2019,454.0,477.0,445.95,449.55
07-10-2019,453.4,465.0,448.5,455.6
09-10-2019,453.45,458.85,431.0,448.35
10-10-2019,440.05,448.35,435.35,442.0
11-10-2019,439.65,449.25,435.4,445.5
14-10-2019,441.25,449.95,435.0,438.05
15-10-2019,440.0,442.95,424.0,429.85
16-10-2019,432.05,443.0,431.1,438.2
17-10-2019,443.35,444.0,430.1,435.75
18-10-2019,444.9,449.0,435.95,441.7
22-10-2019,455.0,455.0,430.1,447.5
23-10-2019,445.0,483.3,441.4,454.5
24-10-2019,454.0,455.55,441.5,450.15
25-10-2019,447.0,467.0,439.2,441.05
27-10-2019,459.0,470.0,453.5,466.0
29-10-2019,456.6,475.0,456.6,474.1
30-10-2019,474.2,509.0,465.55,492.25
31-10-2019,482.45,514.8,482.0,500.8
01-11-2019,518.0,542.0,500.4,520.0
04-11-2019,536.0,536.0,512.0,515.75
05-11-2019,510.0,519.15,495.0,500.8
06-11-2019,510.0,514.4,490.0,496.35
07-11-2019,491.4,522.0,481.1,494.85
08-11-2019,494.0,504.0,485.5,494.9
11-11-2019,485.25,497.0,471.7,480.4
13-11-2019,494.0,494.0,475.0,479.3
14-11-2019,480.45,488.9,471.0,486.0
15-11-2019,477.05,485.1,470.0,474.8
18-11-2019,495.0,517.5,480.1,487.0
19-11-2019,482.4,487.0,475.0,482.65
20-11-2019,496.0,496.0,475.0,477.75
21-11-2019,489.4,559.0,480.0,545.35
22-11-2019,565.0,573.85,546.0,553.6
25-11-2019,550.0,571.0,530.6,540.45
26-11-2019,541.85,555.05,541.1,543.85
27-11-2019,545.4,557.85,530.1,533.25
28-11-2019,530.3,544.0,521.0,523.05
29-11-2019,525.3,539.75,511.0,518.55
02-12-2019,510.25,518.45,476.25,486.0
