date,open,high,low,close
22-07-2019,21.6,21.7,21.15,21.4
23-07-2019,21.65,23.2,21.65,22.0
24-07-2019,22.25,22.25,21.5,21.55
25-07-2019,21.6,21.9,21.5,21.55
26-07-2019,21.75,22.85,21.75,22.4
29-07-2019,22.3,22.3,21.95,22.1
30-07-2019,22.15,22.25,21.5,22.0
31-07-2019,21.75,21.95,21.2,21.6
01-08-2019,21.6,21.75,21.1,21.35
02-08-2019,21.0,21.3,20.55,21.15
05-08-2019,20.8,20.9,19.55,19.9
06-08-2019,19.6,20.65,19.6,20.45
07-08-2019,20.7,20.9,20.1,20.25
08-08-2019,20.25,20.5,20.05,20.4
09-08-2019,20.45,20.95,20.4,20.5
13-08-2019,20.7,23.4,20.5,21.8
14-08-2019,21.9,22.2,21.3,21.5
16-08-2019,21.3,21.3,20.6,20.95
19-08-2019,21.05,21.4,20.65,20.9
20-08-2019,20.75,20.95,20.25,20.4
21-08-2019,20.05,20.25,19.25,19.4
22-08-2019,19.1,19.2,18.1,18.3
23-08-2019,18.05,19.65,18.05,19.4
26-08-2019,20.5,20.55,19.4,19.85
27-08-2019,20.1,20.75,19.85,20.6
28-08-2019,20.5,22.75,20.25,21.65
29-08-2019,21.65,21.65,20.2,20.4
30-08-2019,20.15,21.1,20.15,20.4
03-09-2019,20.4,20.75,20.0,20.25
04-09-2019,20.25,20.4,19.85,20.1
05-09-2019,20.25,20.95,20.2,20.8
06-09-2019,21.0,21.1,20.6,20.85
09-09-2019,20.85,21.3,20.6,21.05
11-09-2019,21.1,21.45,20.95,21.25
12-09-2019,21.4,21.9,21.2,21.45
13-09-2019,21.65,22.15,21.5,21.7
16-09-2019,21.65,23.75,21.4,23.35
17-09-2019,23.35,23.6,22.2,22.3
18-09-2019,22.6,22.85,21.95,22.1
19-09-2019,22.2,22.2,21.4,21.5
20-09-2019,21.4,23.45,21.0,23.2
23-09-2019,24.45,25.5,23.7,25.15
24-09-2019,25.2,25.55,24.1,25.4
25-09-2019,25.35,25.35,23.4,24.3
26-09-2019,24.4,24.45,23.4,24.05
27-09-2019,23.9,24.4,23.85,24.1
30-09-2019,24.15,24.5,22.75,23.9
01-10-2019,24.2,24.4,23.1,24.05
03-10-2019,24.4,25.0,23.5,24.5
04-10-2019,24.9,24.9,23.75,23.9
07-10-2019,23.9,24.0,22.75,22.85
09-10-2019,22.55,23.0,22.35,22.55
10-10-2019,22.6,22.75,22.05,22.25
11-10-2019,22.05,22.45,21.8,22.0
14-10-2019,22.25,22.45,21.75,21.9
15-10-2019,21.9,23.2,21.6,21.75
16-10-2019,22.1,22.1,21.2,21.4
