date,open,high,low,close
22-07-2019,1800.0,1820.0,1771.0,1784.3
23-07-2019,1775.0,1793.85,1770.0,1779.35
24-07-2019,1755.25,1766.0,1690.0,1695.4
25-07-2019,1695.4,1698.35,1552.0,1627.1
26-07-2019,1627.1,1658.4,1613.8,1639.75
29-07-2019,1639.75,1735.2,1639.7,1688.3
30-07-2019,1661.0,1748.9,1570.0,1578.0
31-07-2019,1560.0,1610.0,1560.0,1578.7
01-08-2019,1545.95,1576.05,1520.0,1546.85
02-08-2019,1524.75,1553.85,1502.7,1515.9
05-08-2019,1487.1,1515.0,1487.1,1497.95
06-08-2019,1470.0,1519.9,1470.0,1508.05
07-08-2019,1508.1,1539.95,1502.05,1526.55
08-08-2019,1545.0,1570.0,1510.0,1563.0
09-08-2019,1610.0,1615.0,1526.0,1603.65
13-08-2019,1615.0,1690.0,1556.35,1622.45
14-08-2019,1680.0,1680.0,1600.05,1633.2
16-08-2019,1678.0,1678.0,1635.0,1642.1
19-08-2019,1640.1,1678.55,1640.0,1658.7
20-08-2019,1663.1,1669.1,1635.0,1640.75
21-08-2019,1670.0,1684.0,1640.5,1656.05
22-08-2019,1682.0,1682.0,1635.0,1646.85
23-08-2019,1641.5,1650.0,1575.0,1640.8
26-08-2019,1680.0,1820.0,1650.2,1693.55
27-08-2019,1720.0,1764.0,1699.95,1751.7
28-08-2019,1778.0,1779.0,1737.0,1752.0
29-08-2019,1767.8,1780.0,1718.0,1771.7
30-08-2019,1784.0,1818.0,1775.0,1795.15
03-09-2019,1758.05,1758.05,1701.5,1715.45
04-09-2019,1690.8,1721.0,1649.3,1700.55
05-09-2019,1729.95,1764.3,1712.0,1752.65
06-09-2019,1753.7,1770.0,1750.0,1754.45
09-09-2019,1751.0,1800.0,1750.0,1750.1
11-09-2019,1750.5,1874.95,1741.4,1846.45
12-09-2019,1845.05,1874.0,1821.0,1834.7
13-09-2019,1850.0,1850.0,1800.15,1835.55
16-09-2019,1835.0,1835.55,1805.0,1824.55
17-09-2019,1824.7,1832.3,1810.0,1820.05
18-09-2019,1858.95,1859.05,1780.0,1793.55
19-09-2019,1793.55,1793.55,1750.0,1751.55
20-09-2019,1751.55,1865.0,1720.1,1823.2
23-09-2019,1823.2,2046.8,1823.2,2011.95
24-09-2019,1975.8,2025.0,1944.0,2012.0
25-09-2019,2000.0,2009.0,1950.0,1979.05
26-09-2019,2000.05,2014.0,1941.1,1985.85
27-09-2019,1962.8,1980.0,1880.0,1903.45
30-09-2019,1900.05,1919.9,1791.0,1806.25
01-10-2019,1848.95,1849.0,1755.0,1779.7
03-10-2019,1770.0,1796.95,1700.3,1718.4
04-10-2019,1765.9,1787.05,1715.0,1722.7
07-10-2019,1719.95,1789.95,1715.15,1763.05
09-10-2019,1760.05,1789.7,1720.0,1759.0
10-10-2019,1750.05,1757.85,1727.0,1737.0
11-10-2019,1749.9,1800.0,1722.6,1742.55
14-10-2019,1742.0,1765.05,1740.0,1748.65
15-10-2019,1748.0,1792.5,1732.0,1757.45
16-10-2019,1765.0,1843.0,1765.0,1823.35
17-10-2019,1829.35,1835.0,1778.75,1811.5
18-10-2019,1859.95,1859.95,1802.1,1839.7
22-10-2019,1879.0,1879.0,1821.05,1839.2
23-10-2019,1801.05,1830.0,1786.15,1799.6
