date,open,high,low,close
22-07-2019,2.15,2.25,2.15,2.25
23-07-2019,2.35,2.35,2.35,2.35
24-07-2019,2.3,2.3,2.3,2.3
26-07-2019,2.2,2.2,2.2,2.2
29-07-2019,2.1,2.1,2.1,2.1
30-07-2019,2.1,2.1,2.0,2.1
31-07-2019,2.0,2.0,2.0,2.0
01-08-2019,2.0,2.0,1.9,1.9
02-08-2019,1.85,1.85,1.85,1.85
05-08-2019,1.8,1.8,1.8,1.8
07-08-2019,1.8,1.8,1.8,1.8
09-08-2019,1.75,1.75,1.75,1.75
13-08-2019,1.7,1.7,1.7,1.7
14-08-2019,1.65,1.65,1.65,1.65
16-08-2019,1.6,1.6,1.6,1.6
19-08-2019,1.6,1.6,1.6,1.6
20-08-2019,1.55,1.55,1.55,1.55
21-08-2019,1.5,1.5,1.5,1.5
22-08-2019,1.45,1.45,1.45,1.45
23-08-2019,1.45,1.45,1.45,1.45
26-08-2019,1.45,1.45,1.4,1.4
27-08-2019,1.4,1.4,1.35,1.4
28-08-2019,1.45,1.45,1.4,1.45
29-08-2019,1.45,1.45,1.4,1.4
30-08-2019,1.4,1.4,1.35,1.35
03-09-2019,1.4,1.4,1.35,1.35
04-09-2019,1.3,1.3,1.3,1.3
05-09-2019,1.35,1.35,1.35,1.35
11-09-2019,1.4,1.4,1.4,1.4
12-09-2019,1.45,1.45,1.45,1.45
13-09-2019,1.45,1.45,1.45,1.45
16-09-2019,1.4,1.4,1.4,1.4
18-09-2019,1.45,1.45,1.4,1.45
20-09-2019,1.45,1.45,1.4,1.45
23-09-2019,1.4,1.45,1.4,1.4
24-09-2019,1.35,1.45,1.35,1.45
25-09-2019,1.5,1.5,1.5,1.5
26-09-2019,1.55,1.55,1.45,1.55
27-09-2019,1.5,1.55,1.5,1.55
30-09-2019,1.6,1.6,1.6,1.6
01-10-2019,1.55,1.55,1.55,1.55
03-10-2019,1.5,1.55,1.5,1.55
04-10-2019,1.5,1.5,1.5,1.5
07-10-2019,1.5,1.5,1.5,1.5
10-10-2019,1.55,1.55,1.55,1.55
11-10-2019,1.6,1.6,1.5,1.5
14-10-2019,1.5,1.5,1.5,1.5
15-10-2019,1.45,1.45,1.45,1.45
18-10-2019,1.45,1.45,1.45,1.45
22-10-2019,1.4,1.45,1.4,1.45
23-10-2019,1.45,1.45,1.45,1.45
24-10-2019,1.4,1.4,1.4,1.4
25-10-2019,1.4,1.4,1.4,1.4
29-10-2019,1.4,1.4,1.35,1.35
30-10-2019,1.3,1.3,1.3,1.3
31-10-2019,1.25,1.3,1.25,1.3
01-11-2019,1.3,1.3,1.25,1.3
04-11-2019,1.35,1.35,1.3,1.35
05-11-2019,1.35,1.4,1.35,1.4
06-11-2019,1.45,1.45,1.35,1.35
07-11-2019,1.4,1.4,1.4,1.4
08-11-2019,1.45,1.45,1.4,1.4
11-11-2019,1.45,1.45,1.45,1.45
13-11-2019,1.4,1.4,1.4,1.4
15-11-2019,1.4,1.4,1.35,1.35
18-11-2019,1.35,1.35,1.3,1.3
19-11-2019,1.35,1.35,1.3,1.3
20-11-2019,1.3,1.3,1.3,1.3
21-11-2019,1.35,1.35,1.35,1.35
22-11-2019,1.3,1.3,1.3,1.3
25-11-2019,1.3,1.35,1.3,1.35
26-11-2019,1.3,1.3,1.3,1.3
27-11-2019,1.3,1.3,1.3,1.3
28-11-2019,1.35,1.35,1.3,1.3
29-11-2019,1.3,1.35,1.3,1.35
02-12-2019,1.35,1.35,1.35,1.35
04-12-2019,1.3,1.3,1.3,1.3
05-12-2019,1.35,1.35,1.35,1.35
06-12-2019,1.3,1.3,1.3,1.3
09-12-2019,1.3,1.3,1.25,1.25
10-12-2019,1.25,1.25,1.25,1.25
11-12-2019,1.25,1.25,1.2,1.2
12-12-2019,1.2,1.2,1.15,1.15
13-12-2019,1.15,1.15,1.1,1.1
17-12-2019,1.15,1.15,1.05,1.05
18-12-2019,1.05,1.05,1.0,1.0
19-12-2019,1.0,1.05,1.0,1.05
20-12-2019,1.0,1.05,1.0,1.05
23-12-2019,1.05,1.05,1.05,1.05
24-12-2019,1.0,1.0,1.0,1.0
26-12-2019,1.0,1.0,1.0,1.0
27-12-2019,1.0,1.05,1.0,1.0
30-12-2019,1.05,1.05,1.05,1.05
31-12-2019,1.1,1.1,1.05,1.05
01-01-2020,1.0,1.1,1.0,1.1
02-01-2020,1.15,1.15,1.15,1.15
03-01-2020,1.15,1.2,1.15,1.2
06-01-2020,1.2,1.2,1.2,1.2
07-01-2020,1.15,1.15,1.15,1.15
08-01-2020,1.15,1.15,1.15,1.15
